trabeate,"not arcuate; having straight horizontal beams or lintels (rather than arches)"
tracings,"the act of drawing a plan or diagram or outline","a drawing created by superimposing a semitransparent sheet of paper on the original image and copying on it the lines of the original image","the discovery and description of the course of development of something; "the tracing of genealogies""
track,"a line or route along which something travels or moves; "the hurricane demolished houses in its path"; "the track of an animal"; "the course of the river"","evidence pointing to a possible solution; "the police are following a promising lead"; "the trail led straight to the perpetrator"","a pair of parallel rails providing a runway for wheels","a course over which races are run","a distinct selection of music from a recording or a compact disc; "he played the first cut on the cd"; "the title track of the album"","an endless metal belt on which tracked vehicles move over the ground","(computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data","a groove on a phonograph recording","a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll","any road or path affording passage especially a rough one","the act of participating in an athletic competition involving running on a track","carry on the feet and deposit; "track mud into the house"","observe or plot the moving path of something; "track a missile"","go after with the intent to catch; "The policeman chased the mugger down the alley"; "the dog chased the rabbit"","travel across or pass over; "The caravan covered almost 100 miles each day"","make tracks upon"
trackage
trackages
tracked,"having tracks; "new snow tracked by rabbits"; "tracked vehicles""
tracker,"someone who tracks down game"
trackers,"someone who tracks down game"
tracking,"the pursuit (of a person or animal) by following tracks or marks they left behind"
trackings,"the pursuit (of a person or animal) by following tracks or marks they left behind"
trackman
trackmen
tracks,"a line or route along which something travels or moves; "the hurricane demolished houses in its path"; "the track of an animal"; "the course of the river"","evidence pointing to a possible solution; "the police are following a promising lead"; "the trail led straight to the perpetrator"","a pair of parallel rails providing a runway for wheels","a course over which races are run","a distinct selection of music from a recording or a compact disc; "he played the first cut on the cd"; "the title track of the album"","an endless metal belt on which tracked vehicles move over the ground","(computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data","a groove on a phonograph recording","a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll","any road or path affording passage especially a rough one","the act of participating in an athletic competition involving running on a track","carry on the feet and deposit; "track mud into the house"","observe or plot the moving path of something; "track a missile"","go after with the intent to catch; "The policeman chased the mugger down the alley"; "the dog chased the rabbit"","travel across or pass over; "The caravan covered almost 100 miles each day"","make tracks upon"
tract,"an extended area of land","a system of body parts that together serve some particular purpose","a brief treatise on a subject of interest; published in the form of a booklet","a bundle of myelinated nerve fibers following a path through the brain"
tractable,"easily managed (controlled or taught or molded); "tractable young minds"; "the natives...being...of an intelligent tractable disposition"- Samuel Butler","readily reacting to suggestions and influences; "a responsive student""
tractate
tractates
tractile,"capable of being shaped or bent or drawn out; "ductile copper"; "malleable metals such as gold"; "they soaked the leather to made it pliable"; "pliant molten glass"; "made of highly tensile steel alloy""
traction,"the friction between a body and the surface on which it moves (as between an automobile tire and the road)","(orthopedics) the act of pulling on a bone or limb (as in a fracture) to relieve pressure or align parts in a special way during healing; "his leg was in traction for several days""
tractional
tractions,"the friction between a body and the surface on which it moves (as between an automobile tire and the road)","(orthopedics) the act of pulling on a bone or limb (as in a fracture) to relieve pressure or align parts in a special way during healing; "his leg was in traction for several days""
tractive,"exerting traction and serving to pull"
tractor,"a wheeled vehicle with large wheels; used in farming and other applications","a truck that has a cab but no body; used for pulling large trailers or vans"
tractors,"a wheeled vehicle with large wheels; used in farming and other applications","a truck that has a cab but no body; used for pulling large trailers or vans"
tracts,"an extended area of land","a system of body parts that together serve some particular purpose","a brief treatise on a subject of interest; published in the form of a booklet","a bundle of myelinated nerve fibers following a path through the brain"
trad,"traditional jazz as revived in the 1950s"
tradable
trade,"the commercial exchange (buying and selling on domestic or international markets) of goods and services; "Venice was an important center of trade with the East"; "they are accused of conspiring to constrain trade"","the skilled practice of a practical occupation; "he learned his trade as an apprentice"","the business given to a commercial establishment by its customers; "even before noon there was a considerable patronage"","a particular instance of buying or selling; "it was a package deal"; "I had no further trade with him"; "he's a master of the business deal"","people who perform a particular kind of skilled work; "he represented the craft of brewers"; "as they say in the trade"","steady winds blowing from east to west above and below the equator; "they rode the trade winds going west"","an equal exchange; "we had no money so we had to live by barter"","engage in the trade of; "he is merchandising telephone sets"","turn in as payment or part payment for a purchase; "trade in an old car for a new one"","be traded at a certain price or under certain conditions; "The stock traded around $20 a share"","exchange or give (something) in exchange for","do business; offer for sale as for one's livelihood; "She deals in gold"; "The brothers sell shoes""
traded
trademark,"a distinctive characteristic or attribute","a formally registered symbol identifying the manufacturer or distributor of a product","mark with a brand or trademark; "when this product is not branded it sells for a lower price"","register the trademark of; "The company trademarked their new gadget""
trademarked,"(of goods and merchandise) labeled with proprietary (and legally registered) identification guaranteeing exclusive use; "trademarked goods""
trademarking
trademarks,"a distinctive characteristic or attribute","a formally registered symbol identifying the manufacturer or distributor of a product","mark with a brand or trademark; "when this product is not branded it sells for a lower price"","register the trademark of; "The company trademarked their new gadget""
trader,"someone who purchases and maintains an inventory of goods to be sold"
traders,"someone who purchases and maintains an inventory of goods to be sold"
trades,"the commercial exchange (buying and selling on domestic or international markets) of goods and services; "Venice was an important center of trade with the East"; "they are accused of conspiring to constrain trade"","the skilled practice of a practical occupation; "he learned his trade as an apprentice"","the business given to a commercial establishment by its customers; "even before noon there was a considerable patronage"","a particular instance of buying or selling; "it was a package deal"; "I had no further trade with him"; "he's a master of the business deal"","people who perform a particular kind of skilled work; "he represented the craft of brewers"; "as they say in the trade"","steady winds blowing from east to west above and below the equator; "they rode the trade winds going west"","an equal exchange; "we had no money so we had to live by barter"","engage in the trade of; "he is merchandising telephone sets"","turn in as payment or part payment for a purchase; "trade in an old car for a new one"","be traded at a certain price or under certain conditions; "The stock traded around $20 a share"","exchange or give (something) in exchange for","do business; offer for sale as for one's livelihood; "She deals in gold"; "The brothers sell shoes""
tradesman,"a merchant who owns or manages a shop"
tradesmen
tradespeople,"people engaged in trade"
trading,"buying or selling securities or commodities"
tradition,"an inherited pattern of thought or action","a specific practice of long standing"
traditional,"consisting of or derived from tradition; "traditional history"; "traditional morality"","pertaining to time-honored orthodox doctrines; "the simple security of traditional assumptions has vanished""
traditionally,"according to tradition; in a traditional manner; "traditionally, we eat fried foods on Hanukah""
traditions,"an inherited pattern of thought or action","a specific practice of long standing"
traditor
traditores
traduce,"speak unfavorably about; "She badmouths her husband everywhere""
traduced
traducer,"one who attacks the reputation of another by slander or libel"
traducers,"one who attacks the reputation of another by slander or libel"
traduces,"speak unfavorably about; "She badmouths her husband everywhere""
traducing
traffic,"the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time","buying and selling; especially illicit trade","the amount of activity over a communication system during a given period of time; "heavy traffic overloaded the trunk lines"; "traffic on the internet is lightest during the night"","social or verbal interchange (usually followed by `with')","deal illegally; "traffic drugs"","trade or deal a commodity; "They trafficked with us for gold""
trafficked,"deal illegally; "traffic drugs"","trade or deal a commodity; "They trafficked with us for gold""
trafficker,"someone who promotes or exchanges goods or services for money"
traffickers,"someone who promotes or exchanges goods or services for money"
trafficking,"deal illegally; "traffic drugs"","trade or deal a commodity; "They trafficked with us for gold""
traffics,"the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time","buying and selling; especially illicit trade","the amount of activity over a communication system during a given period of time; "heavy traffic overloaded the trunk lines"; "traffic on the internet is lightest during the night"","social or verbal interchange (usually followed by `with')","deal illegally; "traffic drugs"","trade or deal a commodity; "They trafficked with us for gold""
tragedies
tragedy,"an event resulting in great loss and misfortune; "the whole city was affected by the irremediable calamity"; "the earthquake was a disaster"","drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity"
tragi,"a small cartilaginous flap in front of the external opening of the ear"
tragic,"very sad; especially involving grief or death or destruction; "a tragic face"; "a tragic plight"; "a tragic accident"","of or relating to or characteristic of tragedy; "tragic hero""
tragical,"very sad; especially involving grief or death or destruction; "a tragic face"; "a tragic plight"; "a tragic accident""
tragically,"in a tragic manner; with tragic consequences; "the adventure ended tragically"; "tragically, she contracted AIDS""
tragopan,"brilliantly colored Asian pheasant having wattles and two fleshy processes on the head"
tragopans,"brilliantly colored Asian pheasant having wattles and two fleshy processes on the head"
tragus,"a small cartilaginous flap in front of the external opening of the ear"
traik
traiked
traiking
traiks
trail,"a track or mark left by something that has passed; "there as a trail of blood"; "a tear left its trail on her cheek"","a path or track roughly blazed through wild or hilly country","evidence pointing to a possible solution; "the police are following a promising lead"; "the trail led straight to the perpetrator"","to lag or linger behind; "But in so many other areas we still are dragging"","go after with the intent to catch; "The policeman chased the mugger down the alley"; "the dog chased the rabbit"","move, proceed, or walk draggingly or slowly; "John trailed behind his class mates"; "The Mercedes trailed behind the horse cart"","hang down so as to drag along the ground; "The bride's veiled trailed along the ground"","drag loosely along a surface; allow to sweep the ground; "The toddler was trailing his pants"; "She trained her long scarf behind her""
trailed
trailer,"someone who takes more time than necessary; someone who lags behind","an advertisement consisting of short scenes from a motion picture that will appear in the near future","a large transport conveyance designed to be pulled by a truck or tractor","a wheeled vehicle that can be pulled by a car or truck and is equipped for occupancy"
trailered
trailering
trailers,"someone who takes more time than necessary; someone who lags behind","an advertisement consisting of short scenes from a motion picture that will appear in the near future","a large transport conveyance designed to be pulled by a truck or tractor","a wheeled vehicle that can be pulled by a car or truck and is equipped for occupancy"
trailing,"the pursuit (of a person or animal) by following tracks or marks they left behind"
trails,"a track or mark left by something that has passed; "there as a trail of blood"; "a tear left its trail on her cheek"","a path or track roughly blazed through wild or hilly country","evidence pointing to a possible solution; "the police are following a promising lead"; "the trail led straight to the perpetrator"","to lag or linger behind; "But in so many other areas we still are dragging"","go after with the intent to catch; "The policeman chased the mugger down the alley"; "the dog chased the rabbit"","move, proceed, or walk draggingly or slowly; "John trailed behind his class mates"; "The Mercedes trailed behind the horse cart"","hang down so as to drag along the ground; "The bride's veiled trailed along the ground"","drag loosely along a surface; allow to sweep the ground; "The toddler was trailing his pants"; "She trained her long scarf behind her""
train,"public transport provided by a line of railway cars coupled together and drawn by a locomotive; "express trains don't stop at Princeton Junction"","a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding; "a string of islands"; "train of mourners"; "a train of thought"","a procession (of wagons or mules or camels) traveling together in single file; "we were part of a caravan of almost a thousand camels"; "they joined the wagon train for safety"","a series of consequences wrought by an event; "it led to a train of disasters"","piece of cloth forming the long back section of a gown that is drawn along the floor; "the bride's train was carried by her two young nephews"","wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed; "the fool got his tie caught in the geartrain"","create by training and teaching; "The old master is training world-class violinists"; "we develop the leaders for the future"","undergo training or instruction in preparation for a particular role, function, or profession; "She is training to be a teacher"; "He trained as a legal aid"","develop (children's) behavior by instruction and practice; especially to teach self-control; "Parents must discipline their children"; "Is this dog trained?"","educate for a future role or function; "He is grooming his son to become his successor"; "The prince was prepared to become King one day"; "They trained him to be a warrior"","teach or refine to be discriminative in taste or judgment; "Cultivate your musical taste"; "Train your tastebuds"; "She is well schooled in poetry"","point or cause to go (blows, weapons, or objects such as photographic equipment) towards; "Please don't aim at your little brother!"; "He trained his gun on the burglar"; "Don't train your camera on the women"; "Take a swipe at one's opponent"","teach and supervise (someone); act as a trainer or coach (to), as in sports; "He is training our Olympic team"; "She is coaching the crew"","exercise in order to prepare for an event or competition; "She is training for the Olympics"","cause to grow in a certain way by tying and pruning it; "train the vine"","travel by rail or train; "They railed from Rome to Venice"; "She trained to Hamburg"","drag loosely along a surface; allow to sweep the ground; "The toddler was trailing his pants"; "She trained her long scarf behind her""
trained,"shaped or conditioned or disciplined by training; often used as a combining form; "a trained mind"; "trained pigeons"; "well-trained servants""
trainee,"someone who is being trained"
trainees,"someone who is being trained"
trainer,"one who trains other persons or animals","simulator consisting of a machine on the ground that simulates the conditions of flying a plane"
trainers,"one who trains other persons or animals","simulator consisting of a machine on the ground that simulates the conditions of flying a plane"
trainful
trainfuls
training,"activity leading to skilled behavior","the result of good upbringing (especially knowledge of correct social behavior); "a woman of breeding and refinement""
trainings,"activity leading to skilled behavior","the result of good upbringing (especially knowledge of correct social behavior); "a woman of breeding and refinement""
trainload,"quantity that can be carried by a train"
trainloads,"quantity that can be carried by a train"
trainman,"an employee of a railroad"
trainmen
trains,"public transport provided by a line of railway cars coupled together and drawn by a locomotive; "express trains don't stop at Princeton Junction"","a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding; "a string of islands"; "train of mourners"; "a train of thought"","a procession (of wagons or mules or camels) traveling together in single file; "we were part of a caravan of almost a thousand camels"; "they joined the wagon train for safety"","a series of consequences wrought by an event; "it led to a train of disasters"","piece of cloth forming the long back section of a gown that is drawn along the floor; "the bride's train was carried by her two young nephews"","wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed; "the fool got his tie caught in the geartrain"","create by training and teaching; "The old master is training world-class violinists"; "we develop the leaders for the future"","undergo training or instruction in preparation for a particular role, function, or profession; "She is training to be a teacher"; "He trained as a legal aid"","develop (children's) behavior by instruction and practice; especially to teach self-control; "Parents must discipline their children"; "Is this dog trained?"","educate for a future role or function; "He is grooming his son to become his successor"; "The prince was prepared to become King one day"; "They trained him to be a warrior"","teach or refine to be discriminative in taste or judgment; "Cultivate your musical taste"; "Train your tastebuds"; "She is well schooled in poetry"","point or cause to go (blows, weapons, or objects such as photographic equipment) towards; "Please don't aim at your little brother!"; "He trained his gun on the burglar"; "Don't train your camera on the women"; "Take a swipe at one's opponent"","teach and supervise (someone); act as a trainer or coach (to), as in sports; "He is training our Olympic team"; "She is coaching the crew"","exercise in order to prepare for an event or competition; "She is training for the Olympics"","cause to grow in a certain way by tying and pruning it; "train the vine"","travel by rail or train; "They railed from Rome to Venice"; "She trained to Hamburg"","drag loosely along a surface; allow to sweep the ground; "The toddler was trailing his pants"; "She trained her long scarf behind her""
trainway
trainways
traipse,"walk or tramp about"
traipsed
traipses,"walk or tramp about"
traipsing
trait,"a distinguishing feature of your personal nature"
traitor,"someone who betrays his country by committing treason","a person who says one thing and does another"
traitors,"someone who betrays his country by committing treason","a person who says one thing and does another"
traits,"a distinguishing feature of your personal nature"
traject
trajected
trajecting
trajects
tram,"a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers","a four-wheeled wagon that runs on tracks in a mine; "a tramcar carries coal out of a coal mine"","a wheeled vehicle that runs on rails and is propelled by electricity","travel by tram"
tramcar,"a four-wheeled wagon that runs on tracks in a mine; "a tramcar carries coal out of a coal mine"","a wheeled vehicle that runs on rails and is propelled by electricity"
tramcars,"a four-wheeled wagon that runs on tracks in a mine; "a tramcar carries coal out of a coal mine"","a wheeled vehicle that runs on rails and is propelled by electricity"
tramel
trameled,"catch in or as if in a trap; "The men trap foxes"","place limits on (extent or access); "restrict the use of this parking lot"; "limit the time you can spend with your friends""
trameling,"catch in or as if in a trap; "The men trap foxes"","place limits on (extent or access); "restrict the use of this parking lot"; "limit the time you can spend with your friends""
tramell
tramelled,"catch in or as if in a trap; "The men trap foxes"","place limits on (extent or access); "restrict the use of this parking lot"; "limit the time you can spend with your friends""
tramelling,"catch in or as if in a trap; "The men trap foxes"","place limits on (extent or access); "restrict the use of this parking lot"; "limit the time you can spend with your friends""
tramells
tramels,"catch in or as if in a trap; "The men trap foxes"","place limits on (extent or access); "restrict the use of this parking lot"; "limit the time you can spend with your friends""
tramless
tramline,"the track on which trams or streetcars run"
trammed,"travel by tram"
trammel,"a fishing net with three layers; the outer two are coarse mesh and the loose inner layer is fine mesh","an adjustable pothook set in a fireplace","a restraint that is used to teach a horse to amble","a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner)","catch in or as if in a trap; "The men trap foxes"","place limits on (extent or access); "restrict the use of this parking lot"; "limit the time you can spend with your friends""
trammeled
trammeling
trammelled
trammelling
trammels,"a fishing net with three layers; the outer two are coarse mesh and the loose inner layer is fine mesh","an adjustable pothook set in a fireplace","a restraint that is used to teach a horse to amble","a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner)","catch in or as if in a trap; "The men trap foxes"","place limits on (extent or access); "restrict the use of this parking lot"; "limit the time you can spend with your friends""
tramming,"travel by tram"
tramp,"a disreputable vagrant; "a homeless tramp"; "he tried to help the really down-and-out bums"","a person who engages freely in promiscuous sex","a foot traveler; someone who goes on an extended walk (for pleasure)","a heavy footfall; "the tramp of military boots"","a commercial steamer for hire; one having no regular schedule","a long walk usually for exercise or pleasure; "she enjoys a hike in her spare time"","travel on foot, especially on a walking expedition; "We went tramping about the state of Colorado"","walk heavily and firmly, as when weary, or through mud; "Mules plodded in a circle around a grindstone"","cross on foot; "We had to tramp the creeks"","move about aimlessly or without any destination, often in search of food or employment; "The gypsies roamed the woods"; "roving vagabonds"; "the wandering Jew"; "The cattle roam across the prairie"; "the laborers drift from one town to the next"; "They rolled from town to town""
tramped
tramper,"someone who walks with a heavy noisy gait or who stamps on the ground","a foot traveler; someone who goes on an extended walk (for pleasure)"
trampers,"someone who walks with a heavy noisy gait or who stamps on the ground","a foot traveler; someone who goes on an extended walk (for pleasure)"
tramping
trampish
trample,"the sound of heavy treading or stomping; "he heard the trample of many feet"","tread or stomp heavily or roughly; "The soldiers trampled across the fields"","injure by trampling or as if by trampling; "The passerby was trampled by an elephant"","walk on and flatten; "tramp down the grass"; "trample the flowers""
trampled
trampler,"someone who injures by trampling","someone who walks with a heavy noisy gait or who stamps on the ground"
tramplers,"someone who injures by trampling","someone who walks with a heavy noisy gait or who stamps on the ground"
tramples,"the sound of heavy treading or stomping; "he heard the trample of many feet"","tread or stomp heavily or roughly; "The soldiers trampled across the fields"","injure by trampling or as if by trampling; "The passerby was trampled by an elephant"","walk on and flatten; "tramp down the grass"; "trample the flowers""
trampling,"the sound of heavy treading or stomping; "he heard the trample of many feet""
trampoline,"gymnastic apparatus consisting of a strong canvas sheet attached with springs to a metal frame; used for tumbling"
trampoliner
trampoliners
trampolines,"gymnastic apparatus consisting of a strong canvas sheet attached with springs to a metal frame; used for tumbling"
trampolinist
trampolinists
tramps,"a disreputable vagrant; "a homeless tramp"; "he tried to help the really down-and-out bums"","a person who engages freely in promiscuous sex","a foot traveler; someone who goes on an extended walk (for pleasure)","a heavy footfall; "the tramp of military boots"","a commercial steamer for hire; one having no regular schedule","a long walk usually for exercise or pleasure; "she enjoys a hike in her spare time"","travel on foot, especially on a walking expedition; "We went tramping about the state of Colorado"","walk heavily and firmly, as when weary, or through mud; "Mules plodded in a circle around a grindstone"","cross on foot; "We had to tramp the creeks"","move about aimlessly or without any destination, often in search of food or employment; "The gypsies roamed the woods"; "roving vagabonds"; "the wandering Jew"; "The cattle roam across the prairie"; "the laborers drift from one town to the next"; "They rolled from town to town""
tramroad
tramroads
trams,"a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers","a four-wheeled wagon that runs on tracks in a mine; "a tramcar carries coal out of a coal mine"","a wheeled vehicle that runs on rails and is propelled by electricity","travel by tram"
tramway,"a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers","the track on which trams or streetcars run"
tramways,"a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers","the track on which trams or streetcars run"
trance,"a psychological state induced by (or as if induced by) a magical incantation","a state of mind in which consciousness is fragile and voluntary action is poor or missing; a state resembling deep sleep","attract; cause to be enamored; "She captured all the men's hearts""
tranced
trances,"a psychological state induced by (or as if induced by) a magical incantation","a state of mind in which consciousness is fragile and voluntary action is poor or missing; a state resembling deep sleep","attract; cause to be enamored; "She captured all the men's hearts""
trancing
trangam
trangams
tranquil,"(of a body of water) free from disturbance by heavy waves; "a ribbon of sand between the angry sea and the placid bay"; "the quiet waters of a lagoon"; "a lake of tranquil blue water reflecting a tranquil blue sky"; "a smooth channel crossing"; "scarcely a ripple on the still water"; "unruffled water"","not agitated; without losing self-possession; "spoke in a calm voice"; "remained calm throughout the uproar"; "he remained serene in the midst of turbulence"; "a serene expression on her face"; "she became more tranquil"; "tranquil life in the country""
tranquiler
tranquilest
tranquilities
tranquility,"a disposition free from stress or emotion","an untroubled state; free from disturbances","a state of peace and quiet"
tranquilize,"make calm or still; "quiet the dragons of worry and fear"","cause to be calm or quiet as by administering a sedative to; "The patient must be sedated before the operation""
tranquilized
tranquilizer,"a drug used to reduce stress or tension without reducing mental clarity"
tranquilizers,"a drug used to reduce stress or tension without reducing mental clarity"
tranquilizes,"make calm or still; "quiet the dragons of worry and fear"","cause to be calm or quiet as by administering a sedative to; "The patient must be sedated before the operation""
tranquilizing,"tending to soothe or tranquilize; "valium has a tranquilizing effect"; "took a hot drink with sedative properties before going to bed""
tranquiller
tranquillest
tranquillities
tranquillity,"an untroubled state; free from disturbances","a state of peace and quiet","a disposition free from stress or emotion"
tranquillize,"make calm or still; "quiet the dragons of worry and fear"","cause to be calm or quiet as by administering a sedative to; "The patient must be sedated before the operation""
tranquillized
tranquillizer,"a drug used to reduce stress or tension without reducing mental clarity"
tranquillizers,"a drug used to reduce stress or tension without reducing mental clarity"
tranquillizes,"make calm or still; "quiet the dragons of worry and fear"","cause to be calm or quiet as by administering a sedative to; "The patient must be sedated before the operation""
tranquillizing,"tending to soothe or tranquilize; "valium has a tranquilizing effect"; "took a hot drink with sedative properties before going to bed""
tranquilly,"without emotional agitation; "tranquilly she went on with her work""
trans
transact,"conduct business; "transact with foreign governments""
transacted
transacting
transaction,"the act of transacting within or between groups (as carrying on commercial activities); "no transactions are possible without him"; "he has always been honest is his dealings with me""
transactions,"a written account of what transpired at a meeting"
transacts,"conduct business; "transact with foreign governments""
transcend,"be greater in scope or size than some standard; "Their loyalty exceeds their national bonds"","be superior or better than some standard; "She exceeded our expectations"; "She topped her performance of last year""
transcended
transcendent,"exceeding or surpassing usual limits especially in excellence","beyond and outside the ordinary range of human experience or understanding; "the notion of any transcendent reality beyond thought""
transcendental,"existing outside of or not in accordance with nature; "find transcendental motives for sublunary action"-Aldous Huxley","of or characteristic of a system of philosophy emphasizing the intuitive and spiritual above the empirical and material"
transcending
transcends,"be greater in scope or size than some standard; "Their loyalty exceeds their national bonds"","be superior or better than some standard; "She exceeded our expectations"; "She topped her performance of last year""
transcribe,"write out from speech, notes, etc.; "Transcribe the oral history of this tribe"","rewrite in a different script; "The Sanskrit text had to be transliterated"","rewrite or arrange a piece of music for an instrument or medium other than that originally intended","make a phonetic transcription of; "The anthropologist transcribed the sentences of the native informant"","convert the genetic information in (a strand of DNA) into a strand of RNA, especially messenger RNA"
transcribes,"write out from speech, notes, etc.; "Transcribe the oral history of this tribe"","rewrite in a different script; "The Sanskrit text had to be transliterated"","rewrite or arrange a piece of music for an instrument or medium other than that originally intended","make a phonetic transcription of; "The anthropologist transcribed the sentences of the native informant"","convert the genetic information in (a strand of DNA) into a strand of RNA, especially messenger RNA"
transcript,"something that has been transcribed; a written record (usually typewritten) of dictated or recorded speech; "he read a transcript of the interrogation"; "you can obtain a transcript of this radio program by sending a self-addressed envelope to the station"","a reproduction of a written record (e.g. of a legal or school record)"
transcription,"something written, especially copied from one medium to another, as a typewritten version of dictation","(genetics) the organic process whereby the DNA sequence in a gene is copied into mRNA; the process whereby a base sequence of messenger RNA is synthesized on a template of complementary DNA","a sound or television recording (e.g., from a broadcast to a tape recording)","the act of arranging and adapting a piece of music","the act of making a record (especially an audio record); "she watched the recording from a sound-proof booth""
transcriptions,"something written, especially copied from one medium to another, as a typewritten version of dictation","(genetics) the organic process whereby the DNA sequence in a gene is copied into mRNA; the process whereby a base sequence of messenger RNA is synthesized on a template of complementary DNA","a sound or television recording (e.g., from a broadcast to a tape recording)","the act of arranging and adapting a piece of music","the act of making a record (especially an audio record); "she watched the recording from a sound-proof booth""
transcripts,"something that has been transcribed; a written record (usually typewritten) of dictated or recorded speech; "he read a transcript of the interrogation"; "you can obtain a transcript of this radio program by sending a self-addressed envelope to the station"","a reproduction of a written record (e.g. of a legal or school record)"
transect,"cut across or divide transversely; "the trails transect the property""
transected
transecting
transects,"cut across or divide transversely; "the trails transect the property""
transept,"structure forming the transverse part of a cruciform church; crosses the nave at right angles"
transepts,"structure forming the transverse part of a cruciform church; crosses the nave at right angles"
