equabilities
equally,"to the same degree (often followed by `as'); "they were equally beautiful"; "birds were singing and the child sang as sweetly"; "sang as sweetly as a nightingale"; "he is every bit as mean as she is"","in equal amounts or shares; in a balanced or impartial way; "a class evenly divided between girls and boys"; "they split their winnings equally"; "deal equally with rich and poor""
equals,"a person who is of equal standing with another in a group","be identical or equivalent to; "One dollar equals 1,000 rubles these days!"","be equal to in quality or ability; "Nothing can rival cotton for durability"; "Your performance doesn't even touch that of your colleagues"; "Her persistence and ambition only matches that of her parents"","make equal, uniform, corresponding, or matching; "let's equalize the duties among all employees in this office"; "The company matched the discount policy of its competitors"","having the same quantity, value, or measure as another; "on equal terms"; "all men are equal before the law"","having the requisite qualities or resources to meet a task; "she had adequate training"; "her training was adequate"; "she was adequate to the job"; "he was equal to the task""
equanimities
equanimity,"steadiness of mind under stress; "he accepted their problems with composure and she with equanimity""
equate,"consider or describe as similar, equal, or analogous; "We can compare the Han dynasty to the Romans"; "You cannot equate success in financial matters with greed"","be equivalent or parallel, in mathematics","make equal, uniform, corresponding, or matching; "let's equalize the duties among all employees in this office"; "The company matched the discount policy of its competitors""
equated
equates,"consider or describe as similar, equal, or analogous; "We can compare the Han dynasty to the Romans"; "You cannot equate success in financial matters with greed"","be equivalent or parallel, in mathematics","make equal, uniform, corresponding, or matching; "let's equalize the duties among all employees in this office"; "The company matched the discount policy of its competitors""
equating,"the act of regarding as equal"
equation,"a mathematical statement that two expressions are equal","a state of being essentially equal or equivalent; equally balanced; "on a par with the best"","the act of regarding as equal"
equations,"a mathematical statement that two expressions are equal","a state of being essentially equal or equivalent; equally balanced; "on a par with the best"","the act of regarding as equal"
equator,"an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles; "the equator is the boundary between the northern and southern hemispheres"","a circle dividing a sphere or other surface into two usually equal and symmetrical parts"
equatorial,"a telescope whose mounting has only two axes of motion, one parallel to the Earth's axis and the other one at right angles to it","of or relating to or at an equator; "equatorial diameter"","of or relating to conditions at the geographical equator; "equatorial heat"","of or existing at or near the geographic equator; "equatorial Africa""
equators,"an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles; "the equator is the boundary between the northern and southern hemispheres"","a circle dividing a sphere or other surface into two usually equal and symmetrical parts"
equerries
equerry,"an official charged with the care of the horses of princes or nobles","a personal attendant of the British royal family"
equestrian,"a man skilled in equitation","of or relating to or composed of knights","of or relating to or featuring horseback riding"
equestrians,"a man skilled in equitation","of or relating to or composed of knights","of or relating to or featuring horseback riding"
equilateral,"a figure whose sides are all equal","having all sides or faces equal"
equilibrium,"a stable situation in which forces cancel one another","a chemical reaction and its reverse proceed at equal rates","equality of distribution","a sensory system located in structures of the inner ear that registers the orientation of the head"
equine,"hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck","resembling a horse","of or belonging to the family Equidae"
equinely
equines,"hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck","resembling a horse","of or belonging to the family Equidae"
equinities
equinity
equinox,"either of two times of the year when the sun crosses the plane of the earth's equator and day and night are of equal length","(astronomy) either of the two celestial points at which the celestial equator intersects the ecliptic"
equinoxes
equip,"provide with (something) usually for a specific purpose; "The expedition was equipped with proper clothing, food, and other necessities"","provide with abilities or understanding; "She was never equipped to be a dancer""
equipage,"equipment and supplies of a military force","a vehicle with wheels drawn by one or more horses"
equipages,"equipment and supplies of a military force","a vehicle with wheels drawn by one or more horses"
equipment,"an instrumentality needed for an undertaking or to perform a service"
equipments,"an instrumentality needed for an undertaking or to perform a service"
equipped,"provide with (something) usually for a specific purpose; "The expedition was equipped with proper clothing, food, and other necessities"","provide with abilities or understanding; "She was never equipped to be a dancer"","provided or fitted out with what is necessary or useful or appropriate; "a well equipped playground"; "a ship equipped with every mechanical aid to navigation"","provided with whatever is necessary for a purpose (as furniture or equipment or authority); "a furnished apartment"; "a completely furnished toolbox"","prepared with proper equipment; "equipped for service in the Arctic"","carrying weapons"
equipper
equippers
equipping,"the act of equiping with weapons in preparation for war","provide with (something) usually for a specific purpose; "The expedition was equipped with proper clothing, food, and other necessities"","provide with abilities or understanding; "She was never equipped to be a dancer""
equips,"provide with (something) usually for a specific purpose; "The expedition was equipped with proper clothing, food, and other necessities"","provide with abilities or understanding; "She was never equipped to be a dancer""
equiseta,"horsetails; coextensive with the family Equisetaceae"
equitable,"fair to all parties as dictated by reason and conscience; "equitable treatment of all citizens"; "an equitable distribution of gifts among the children""
equitant
equites
equities
equity,"the difference between the market value of a property and the claims held against it","the ownership interest of shareholders in a corporation","conformity with rules or standards; "the judge recognized the fairness of my claim""
equivalence,"a state of being essentially equal or equivalent; equally balanced; "on a par with the best"","essential equality and interchangeability","qualities that are comparable; "no comparison between the two books"; "beyond compare""
equivalences,"a state of being essentially equal or equivalent; equally balanced; "on a par with the best"","essential equality and interchangeability","qualities that are comparable; "no comparison between the two books"; "beyond compare""
equivalent,"a person or thing equal to another in value or measure or force or effect or significance etc; "send two dollars or the equivalent in stamps"","the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen","being essentially equal to something; "it was as good as gold"; "a wish that was equivalent to a command"; "his statement was tantamount to an admission of guilt""
equivalents,"a person or thing equal to another in value or measure or force or effect or significance etc; "send two dollars or the equivalent in stamps"","the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen","being essentially equal to something; "it was as good as gold"; "a wish that was equivalent to a command"; "his statement was tantamount to an admission of guilt""
equivocal,"open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead; "an equivocal statement"; "the polling had a complex and equivocal (or ambiguous) message for potential female candidates"; "the officer's equivocal behavior increased the victim's uneasiness"; "popularity is an equivocal crown"; "an equivocal response to an embarrassing question"","open to question; "aliens of equivocal loyalty"; "his conscience reproached him with the equivocal character of the union into which he had forced his son"-Anna Jameson","uncertain as a sign or indication; "the evidence from bacteriologic analysis was equivocal""
equivocate,"be deliberately ambiguous or unclear in order to mislead or withhold information"
equivocated
equivocates,"be deliberately ambiguous or unclear in order to mislead or withhold information"
equivocating
equivocation,"a statement that is not literally false but that cleverly avoids an unpleasant truth","intentionally vague or ambiguous","falsification by means of vague or ambiguous language"
equivocations,"a statement that is not literally false but that cleverly avoids an unpleasant truth","intentionally vague or ambiguous","falsification by means of vague or ambiguous language"
equivoke
equivokes
