zibeline
zippier,"quick and energetic; "a brisk walk in the park"; "a lively gait"; "a merry chase"; "traveling at a rattling rate"; "a snappy pace"; "a spanking breeze"","marked by lively action; "a bouncing gait"; "bouncy tunes"; "the peppy and interesting talk"; "a spirited dance""
zippiest,"quick and energetic; "a brisk walk in the park"; "a lively gait"; "a merry chase"; "traveling at a rattling rate"; "a snappy pace"; "a spanking breeze"","marked by lively action; "a bouncing gait"; "bouncy tunes"; "the peppy and interesting talk"; "a spirited dance""
zipping,"close with a zipper; "Zip up your jacket--it's cold"","move very fast; "The runner zipped past us at breakneck speed""
zippy,"quick and energetic; "a brisk walk in the park"; "a lively gait"; "a merry chase"; "traveling at a rattling rate"; "a snappy pace"; "a spanking breeze"","marked by lively action; "a bouncing gait"; "bouncy tunes"; "the peppy and interesting talk"; "a spirited dance""
zips,"a quantity of no importance; "it looked like nothing I had ever seen before"; "reduced to nil all the work we had done"; "we racked up a pathetic goose egg"; "it was all for naught"; "I didn't hear zilch about it"","a code of letters and digits added to a postal address to aid in the sorting of mail","forceful exertion; "he plays tennis with great energy"; "he's full of zip"","a fastener for locking together two toothed edges by means of a sliding tab","close with a zipper; "Zip up your jacket--it's cold"","move very fast; "The runner zipped past us at breakneck speed""
ziram
zirams
zircon,"a common mineral occurring in small crystals; chief source of zirconium; used as a refractory when opaque and as a gem when transparent"
zirconia,"a white crystalline oxide; used in refractories and in insulation and abrasives and enamels and glazes"
zirconias,"a white crystalline oxide; used in refractories and in insulation and abrasives and enamels and glazes"
zirconic
zirconium,"a lustrous grey strong metallic element resembling titanium; it is used in nuclear reactors as a neutron absorber; it occurs in baddeleyite but is obtained chiefly from zircon"
zirconiums,"a lustrous grey strong metallic element resembling titanium; it is used in nuclear reactors as a neutron absorber; it occurs in baddeleyite but is obtained chiefly from zircon"
zircons,"a common mineral occurring in small crystals; chief source of zirconium; used as a refractory when opaque and as a gem when transparent"
zither,"a musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers"
zithern,"a musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers"
zitherns,"a musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers"
zithers,"a musical stringed instrument with strings stretched over a flat sounding board; it is laid flat and played with a plectrum and with fingers"
ziti,"medium-sized tubular pasta in short pieces"
zitis,"medium-sized tubular pasta in short pieces"
zizith
zizzle
zizzled
zizzles
zizzling
