joannes
jobs,"the principal activity in your life that you do to earn money; "he's not in my line of business"","a specific piece of work required to be done as a duty or for a specific fee; "estimates of the city's loss on that job ranged as high as a million dollars"; "the job of repairing the engine took several hours"; "the endless task of classifying the samples"; "the farmer's morning chores"","a workplace; as in the expression "on the job";","an object worked on; a result produced by working; "he held the job in his left hand and worked on it with his right"","the responsibility to do something; "it is their job to print the truth"","the performance of a piece of work; "she did an outstanding job as Ophelia"; "he gave it up as a bad job"","a damaging piece of work; "dry rot did the job of destroying the barn"; "the barber did a real job on my hair"","a state of difficulty that needs to be resolved; "she and her husband are having problems"; "it is always a job to contact him"; "urban problems such as traffic congestion and smog"","a Jewish hero in the Old Testament who maintained his faith in God in spite of afflictions that tested him","any long-suffering person who withstands affliction without despairing","(computer science) a program application that may consist of several steps but is a single logical unit","a book in the Old Testament containing Job's pleas to God about his afflictions and God's reply","a crime (especially a robbery); "the gang pulled off a bank job in St. Louis"","profit privately from public office and official business","arranged for contracted work to be done by others","work occasionally; "As a student I jobbed during the semester breaks"","invest at a risk; "I bought this house not because I want to live in it but to sell it later at a good price, so I am speculating""
jock,"a person trained to compete in sports","a support for the genitals worn by men engaging in strenuous exercise"
jockey,"someone employed to ride horses in horse races","an operator of some vehicle or machine or apparatus; "he's a truck jockey"; "a computer jockey"; "a disc jockey"","defeat someone through trickery or deceit","compete (for an advantage or a position)","ride a racehorse as a professional jockey"
jockeyed
jockeying
jockeys,"someone employed to ride horses in horse races","an operator of some vehicle or machine or apparatus; "he's a truck jockey"; "a computer jockey"; "a disc jockey"","defeat someone through trickery or deceit","compete (for an advantage or a position)","ride a racehorse as a professional jockey"
jocko
jockos
jocks,"a person trained to compete in sports","a support for the genitals worn by men engaging in strenuous exercise"
jocose,"characterized by jokes and good humor"
jocosely,"with humor; "they tried to deal with this painful subject jocularly""
jocosities
jocosity,"fun characterized by humor","the trait of merry joking"
jocular,"characterized by jokes and good humor","with humor; "they tried to deal with this painful subject jocularly""
jocund,"full of or showing high-spirited merriment; "when hearts were young and gay"; "a poet could not but be gay, in such a jocund company"- Wordsworth; "the jolly crowd at the reunion"; "jolly old Saint Nick"; "a jovial old gentleman"; "have a merry Christmas"; "peals of merry laughter"; "a mirthful laugh""
jocundly
jodhpur,"a short riding boot that fastens with a buckle at the side"
jodhpurs,"flared trousers ending at the calves; worn with riding boots"
joe
joes
joey
joeys
jog,"a sharp change in direction; "there was a jog in the road"","a slow pace of running","a slight push or shake","continue talking or writing in a desultory manner; "This novel rambles on and jogs"","even up the edges of a stack of paper, in printing","run for exercise; "jog along the canal"","run at a moderately swift pace","give a slight push to","stimulate to remember; "jog my memory""
jogged,"continue talking or writing in a desultory manner; "This novel rambles on and jogs"","even up the edges of a stack of paper, in printing","run for exercise; "jog along the canal"","run at a moderately swift pace","give a slight push to","stimulate to remember; "jog my memory""
jogger,"someone who runs a steady slow pace (usually for exercise)"
joggers,"someone who runs a steady slow pace (usually for exercise)"
jogging,"running at a jog trot as a form of cardiopulmonary exercise","continue talking or writing in a desultory manner; "This novel rambles on and jogs"","even up the edges of a stack of paper, in printing","run for exercise; "jog along the canal"","run at a moderately swift pace","give a slight push to","stimulate to remember; "jog my memory""
joggle,"a fastener that is inserted into holes in two adjacent pieces and holds them together","a slight irregular shaking motion","move to and fro; "Don't jiggle your finger while the nurse is putting on the bandage!"","fasten or join with a joggle"
joggled
joggler
jogglers
joggles,"a fastener that is inserted into holes in two adjacent pieces and holds them together","a slight irregular shaking motion","move to and fro; "Don't jiggle your finger while the nurse is putting on the bandage!"","fasten or join with a joggle"
joggling
jogs,"a sharp change in direction; "there was a jog in the road"","a slow pace of running","a slight push or shake","continue talking or writing in a desultory manner; "This novel rambles on and jogs"","even up the edges of a stack of paper, in printing","run for exercise; "jog along the canal"","run at a moderately swift pace","give a slight push to","stimulate to remember; "jog my memory""
johannes
john,"a room or building equipped with one or more toilets","youngest son of Henry II; King of England from 1199 to 1216; succeeded to the throne on the death of his brother Richard I; lost his French possessions; in 1215 John was compelled by the barons to sign the Magna Carta (1167-1216)","(New Testament) disciple of Jesus; traditionally said to be the author of the 4th Gospel and three epistles and the book of Revelation","a prostitute's customer","the last of the four Gospels in the New Testament"
johnboat
johnboats
johnnies
johnny,"`Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms"
johns,"United States artist and proponent of pop art (born in 1930)"
join,"the shape or manner in which things come together and a connection is made","a set containing all and only the members of two or more given sets; "let C be the union of the sets A and B"","become part of; become a member of a group or organization; "He joined the Communist Party as a young man"","cause to become joined or linked; "join these two parts so that they fit together"","come into the company of; "She joined him for a drink"","make contact or come together; "The two roads join here"","be or become joined or united or linked; "The two streets connect to become a highway"; "Our paths joined"; "The travelers linked up again at the airport""
joinable
joinder
joinders
joined,"of or relating to two people who are married to each other","connected by a link, as railway cars or trailer trucks"
joiner,"a person who likes to join groups","a woodworker whose work involves making things by joining pieces of wood"
joineries
joiners,"a person who likes to join groups","a woodworker whose work involves making things by joining pieces of wood"
joinery,"fine woodwork done by a joiner","the craft of a joiner"
joining,"the act of bringing two things into contact (especially for communication); "the joining of hands around the table"; "there was a connection via the internet""
joinings,"the act of bringing two things into contact (especially for communication); "the joining of hands around the table"; "there was a connection via the internet""
joins,"the shape or manner in which things come together and a connection is made","a set containing all and only the members of two or more given sets; "let C be the union of the sets A and B"","become part of; become a member of a group or organization; "He joined the Communist Party as a young man"","cause to become joined or linked; "join these two parts so that they fit together"","come into the company of; "She joined him for a drink"","make contact or come together; "The two roads join here"","be or become joined or united or linked; "The two streets connect to become a highway"; "Our paths joined"; "The travelers linked up again at the airport""
joint,"(anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)","a disreputable place of entertainment","the shape or manner in which things come together and a connection is made","a piece of meat roasted or for roasting and of a size for slicing into more than one portion","junction by which parts or objects are joined together","marijuana leaves rolled into a cigarette for smoking","fit as if by joints; "The boards fit neatly"","provide with a joint; "the carpenter jointed two pieces of wood"","fasten with a joint","separate (meat) at the joint","united or combined; "a joint session of Congress"; "joint owners"","affecting or involving two or more; "joint income-tax return"; "joint ownership"","involving both houses of a legislature; "a joint session of Congress""
jointed,"having joints or jointed segments;"
jointer,"a long carpenter's plane used to shape the edges of boards so they will fit together"
jointers,"a long carpenter's plane used to shape the edges of boards so they will fit together"
jointing
jointly,"in collaboration or cooperation; "this paper was written jointly"","in conjunction with; combined; "our salaries put together couldn't pay for the damage"; "we couldn't pay for the damages with all our salaries put together""
joints,"(anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)","a disreputable place of entertainment","the shape or manner in which things come together and a connection is made","a piece of meat roasted or for roasting and of a size for slicing into more than one portion","junction by which parts or objects are joined together","marijuana leaves rolled into a cigarette for smoking","fit as if by joints; "The boards fit neatly"","provide with a joint; "the carpenter jointed two pieces of wood"","fasten with a joint","separate (meat) at the joint","united or combined; "a joint session of Congress"; "joint owners"","affecting or involving two or more; "joint income-tax return"; "joint ownership"","involving both houses of a legislature; "a joint session of Congress""
jointure,"(law) an estate secured to a prospective wife as a marriage settlement in lieu of a dower","the act of making or becoming a single unit; "the union of opposing factions"; "he looked forward to the unification of his family for the holidays""
jointured
jointures,"(law) an estate secured to a prospective wife as a marriage settlement in lieu of a dower","the act of making or becoming a single unit; "the union of opposing factions"; "he looked forward to the unification of his family for the holidays""
jointuring
joist,"beam used to support floors or roofs"
joisted
joisting
joists,"beam used to support floors or roofs"
jojoba
jojobas
joke,"a humorous anecdote or remark intended to provoke laughter; "he told a very funny joke"; "he knows a million gags"; "thanks for the laugh"; "he laughed unpleasantly at his own jest"; "even a schoolboy's jape is supposed to have some ascertainable point"","activity characterized by good humor","a ludicrous or grotesque act done for fun and amusement","a triviality not to be taken seriously; "I regarded his campaign for mayor as a joke"","tell a joke; speak humorously; "He often jokes even when he appears serious"","act in a funny or teasing way"
joked
joker,"a person who enjoys telling or playing jokes","a person who does something thoughtless or annoying; "some joker is blocking the driveway"","an inconspicuous clause in a document or bill that affects its meaning in a way that is not immediately apparent; "when I demanded my money he showed me the joker in the contract"","a playing card that is usually printed with a picture of a jester"
jokers,"a person who enjoys telling or playing jokes","a person who does something thoughtless or annoying; "some joker is blocking the driveway"","an inconspicuous clause in a document or bill that affects its meaning in a way that is not immediately apparent; "when I demanded my money he showed me the joker in the contract"","a playing card that is usually printed with a picture of a jester"
jokes,"a humorous anecdote or remark intended to provoke laughter; "he told a very funny joke"; "he knows a million gags"; "thanks for the laugh"; "he laughed unpleasantly at his own jest"; "even a schoolboy's jape is supposed to have some ascertainable point"","activity characterized by good humor","a ludicrous or grotesque act done for fun and amusement","a triviality not to be taken seriously; "I regarded his campaign for mayor as a joke"","tell a joke; speak humorously; "He often jokes even when he appears serious"","act in a funny or teasing way"
jokester,"a person who enjoys telling or playing jokes"
jokesters,"a person who enjoys telling or playing jokes"
joking,"characterized by jokes and good humor"
jokingly,"in jest; "I asked him jokingly whether he thought he could drive the Calcutta-Peshawar express"","not seriously; "I meant it facetiously""
jole
joles
jollied,"be silly or tease one another; "After we relaxed, we just kidded around""
jollier,"full of or showing high-spirited merriment; "when hearts were young and gay"; "a poet could not but be gay, in such a jocund company"- Wordsworth; "the jolly crowd at the reunion"; "jolly old Saint Nick"; "a jovial old gentleman"; "have a merry Christmas"; "peals of merry laughter"; "a mirthful laugh""
jollies
jolliest,"full of or showing high-spirited merriment; "when hearts were young and gay"; "a poet could not but be gay, in such a jocund company"- Wordsworth; "the jolly crowd at the reunion"; "jolly old Saint Nick"; "a jovial old gentleman"; "have a merry Christmas"; "peals of merry laughter"; "a mirthful laugh""
jollified,"celebrate noisily, often indulging in drinking; engage in uproarious festivities; "The members of the wedding party made merry all night"; "Let's whoop it up--the boss is gone!""
jollifies
jollify,"celebrate noisily, often indulging in drinking; engage in uproarious festivities; "The members of the wedding party made merry all night"; "Let's whoop it up--the boss is gone!""
jollifying
jollily
jollities
jollity,"feeling jolly and jovial and full of good humor"
jolly,"a happy party","a yawl used by a ship's sailors for general work","be silly or tease one another; "After we relaxed, we just kidded around"","full of or showing high-spirited merriment; "when hearts were young and gay"; "a poet could not but be gay, in such a jocund company"- Wordsworth; "the jolly crowd at the reunion"; "jolly old Saint Nick"; "a jovial old gentleman"; "have a merry Christmas"; "peals of merry laughter"; "a mirthful laugh"","to a moderately sufficient extent or degree; "pretty big"; "pretty bad"; "jolly decent of him"; "the shoes are priced reasonably"; "he is fairly clever with computers""
jollying
jolt,"a sudden jarring impact; "the door closed with a jolt"; "all the jars and jolts were smoothed out by the shock absorbers"","an abrupt spasmodic movement","move or cause to move with a sudden jerky motion","disturb (someone's) composure; "The audience was jolted by the play""
jolted,"bumped or shaken jerkily; "the jolted passengers"","disturbed psychologically as if by a physical jolt or shock; "retrieved his named from her jolted memory"; "the accident left her badly shaken""
jolter
jolters
joltier
joltiest
joltily
jolting,"causing or characterized by jolts and irregular movements; "a rough ride""
jolts,"a sudden jarring impact; "the door closed with a jolt"; "all the jars and jolts were smoothed out by the shock absorbers"","an abrupt spasmodic movement","move or cause to move with a sudden jerky motion","disturb (someone's) composure; "The audience was jolted by the play""
jolty,"causing or characterized by jolts and irregular movements; "a rough ride""
jongleur,"a singer of folk songs"
jongleurs,"a singer of folk songs"
jonquil,"widely cultivated ornamental plant native to southern Europe but naturalized elsewhere having fragrant yellow or white clustered flowers","often used colloquially for any yellow daffodil"
jonquils,"widely cultivated ornamental plant native to southern Europe but naturalized elsewhere having fragrant yellow or white clustered flowers","often used colloquially for any yellow daffodil"
joram
jorams
jordan,"a river in Palestine that empties into the Dead Sea; John the Baptist baptized Jesus in the Jordan","an Arab kingdom in southwestern Asia on the Red Sea"
jordans,"a river in Palestine that empties into the Dead Sea; John the Baptist baptized Jesus in the Jordan","an Arab kingdom in southwestern Asia on the Red Sea"
jorum,"a large drinking bowl"
jorums,"a large drinking bowl"
joseph,"leader of the Nez Perce in their retreat from United States troops (1840-1904)","(Old Testament) the 11th son of Jacob and one of the 12 patriarchs of Israel; Jacob gave Joseph a coat of many colors, which made his brothers jealous and they sold him into slavery in Egypt","(New Testament) husband of Mary and (in Christian belief) the foster father of Jesus"
josephs,"leader of the Nez Perce in their retreat from United States troops (1840-1904)","(Old Testament) the 11th son of Jacob and one of the 12 patriarchs of Israel; Jacob gave Joseph a coat of many colors, which made his brothers jealous and they sold him into slavery in Egypt","(New Testament) husband of Mary and (in Christian belief) the foster father of Jesus"
josh,"be silly or tease one another; "After we relaxed, we just kidded around""
joshed
josher
joshers
joshes
joshing
joss,"a Chinese god worshipped in the form of an idol"
josses
jostle,"the act of jostling (forcing your way by pushing)","make one's way by jostling, pushing, or shoving; "We had to jostle our way to the front of the platform"","come into rough contact with while moving; "The passengers jostled each other in the overcrowded train""
jostled
jostler
jostlers
jostles,"the act of jostling (forcing your way by pushing)","make one's way by jostling, pushing, or shoving; "We had to jostle our way to the front of the platform"","come into rough contact with while moving; "The passengers jostled each other in the overcrowded train""
jostling,"the act of jostling (forcing your way by pushing)"
jot,"a brief (and hurriedly handwritten) note","a slight but appreciable amount; "this dish could use a touch of garlic"","write briefly or hurriedly; write a short note of"
jota
jotas
jots,"a brief (and hurriedly handwritten) note","a slight but appreciable amount; "this dish could use a touch of garlic"","write briefly or hurriedly; write a short note of"
jotted,"write briefly or hurriedly; write a short note of"
jotting,"a brief (and hurriedly handwritten) note","write briefly or hurriedly; write a short note of"
jottings,"a brief (and hurriedly handwritten) note","write briefly or hurriedly; write a short note of"
jotty
jouk
jouked
jouking
jouks
joule,"a unit of electrical energy equal to the work done when a current of one ampere passes through a resistance of one ohm for one second","English physicist who established the mechanical theory of heat and discovered the first law of thermodynamics (1818-1889)"
joules,"a unit of electrical energy equal to the work done when a current of one ampere passes through a resistance of one ohm for one second","English physicist who established the mechanical theory of heat and discovered the first law of thermodynamics (1818-1889)"
jounce,"a sudden jarring impact; "the door closed with a jolt"; "all the jars and jolts were smoothed out by the shock absorbers"","move up and down repeatedly"
jounced
jounces,"a sudden jarring impact; "the door closed with a jolt"; "all the jars and jolts were smoothed out by the shock absorbers"","move up and down repeatedly"
jouncier
jounciest
jouncing
jouncy
journal,"a daily written record of (usually personal) experiences and observations","a periodical dedicated to a particular subject; "he reads the medical journals"","a ledger in which transactions have been recorded as they occurred","a record book as a physical object","the part of the axle contained by a bearing"
journalism,"newspapers and magazines collectively","the profession of reporting or photographing or editing news stories for one of the media"
journalisms,"newspapers and magazines collectively","the profession of reporting or photographing or editing news stories for one of the media"
journalist,"a writer for newspapers and magazines","someone who keeps a diary or journal"
journalistic,"of or relating to or having the characteristics of journalism; "journalistic writing""
journalists,"a writer for newspapers and magazines","someone who keeps a diary or journal"
journals,"a daily written record of (usually personal) experiences and observations","a periodical dedicated to a particular subject; "he reads the medical journals"","a ledger in which transactions have been recorded as they occurred","a record book as a physical object","the part of the axle contained by a bearing"
journey,"the act of traveling from one place to another","undertake a journey or trip","travel upon or across; "travel the oceans""
journeyed
journeying,"the act of traveling from one place to another"
journeyman,"a skilled worker who practices some trade or handicraft"
journeymen
journeys,"the act of traveling from one place to another","undertake a journey or trip","travel upon or across; "travel the oceans""
joust,"a combat between two mounted knights tilting against each other with blunted lances","joust against somebody in a tournament by fighting on horseback"
jousted
jouster
jousters
jousting
jousts,"a combat between two mounted knights tilting against each other with blunted lances","joust against somebody in a tournament by fighting on horseback"
jovial,"full of or showing high-spirited merriment; "when hearts were young and gay"; "a poet could not but be gay, in such a jocund company"- Wordsworth; "the jolly crowd at the reunion"; "jolly old Saint Nick"; "a jovial old gentleman"; "have a merry Christmas"; "peals of merry laughter"; "a mirthful laugh""
jovially,"in a jovial manner; "he greeted his friend jovially""
jow
jowed
jowing
jowl,"the jaw in vertebrates that is hinged to open the mouth","a fullness and looseness of the flesh of the lower cheek and jaw (characteristic of aging)"
jowled
jowlier
jowliest
jowls,"the jaw in vertebrates that is hinged to open the mouth","a fullness and looseness of the flesh of the lower cheek and jaw (characteristic of aging)"
jowly,"having sagging folds of flesh beneath the chin or lower jaw"
jows
joy,"the emotion of great happiness","something or someone that provides a source of happiness; "a joy to behold"; "the pleasure of his company"; "the new car is a delight"","feel happiness or joy","make glad or happy"
joyance
joyances
joyed
joyful,"full of or producing joy; "make a joyful noise"; "a joyful occasion"","full of high-spirited delight; "a joyful heart""
joyfuller
joyfullest
joyfully,"in a joyous and gleeful manner; "the old man had greeted her gleefully""
joying
joyless,"not experiencing or inspiring joy; "a joyless man"; "a joyless occasion"; "joyless evenings""
joyous,"full of or characterized by joy; "felt a joyous abandon"; "joyous laughter""
joyously,"in a joyous and gleeful manner; "the old man had greeted her gleefully""
joyousness,"the emotion of great happiness"
joyousnesses
joypop
joypopped
joypopping
joypops
joyride,"a ride in a car taken solely for pleasure; "they took their girlfriends for joyrides in stolen cars"","ride in a car with no particular goal and just for the pleasure of it; "We tooled down the street""
joyrider
joyriders
joyrides,"a ride in a car taken solely for pleasure; "they took their girlfriends for joyrides in stolen cars"","ride in a car with no particular goal and just for the pleasure of it; "We tooled down the street""
joyriding
joyridings
joys,"the emotion of great happiness","something or someone that provides a source of happiness; "a joy to behold"; "the pleasure of his company"; "the new car is a delight"","feel happiness or joy","make glad or happy"
joystick,"a lever used by a pilot to control the ailerons and elevators of an airplane","a manual control consisting of a vertical handle that can move freely in two directions; used as an input device to computers or to devices controlled by computers"
joysticks,"a lever used by a pilot to control the ailerons and elevators of an airplane","a manual control consisting of a vertical handle that can move freely in two directions; used as an input device to computers or to devices controlled by computers"
