rabato,"a wired or starched collar of intricate lace; worn in 17th century"
racketeers,"someone who commits crimes for profit (especially one who obtains money by fraud or extortion)","carry on illegal business activities involving crime"
racketier
racketiest
racketing
rackets,"a loud and disturbing noise","an illegal enterprise (such as extortion or fraud or drug peddling or prostitution) carried on for profit","the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience; "modern music is just noise to me"","a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strike a ball (or shuttlecock) in various games","celebrate noisily, often indulging in drinking; engage in uproarious festivities; "The members of the wedding party made merry all night"; "Let's whoop it up--the boss is gone!"","make loud and annoying noises","hit (a ball) with a racket"
rackety,"uncontrollably noisy"
racking,"causing great physical or mental suffering; "a wrenching pain""
rackle
racks,"framework for holding objects","rib section of a forequarter of veal or pork or especially lamb or mutton","the destruction or collapse of something; "wrack and ruin"","an instrument of torture that stretches or disjoints or mutilates victims","a support for displaying various articles; "the newspapers were arranged on a rack"","a form of torture in which pain is inflicted by stretching the body","a rapid gait of a horse in which each foot strikes the ground separately","go at a rack; "the horses single-footed"","stretch to the limits; "rack one's brains"","put on a rack and pinion; "rack a camera"","obtain by coercion or intimidation; "They extorted money from the executive by threatening to reveal his past to the company boss"; "They squeezed money from the owner of the business by threatening him"","run before a gale","fly in high wind","draw off from the lees; "rack wine"","torment emotionally or mentally","work on a rack; "rack leather"","seize together, as of parallel ropes of a tackle in order to prevent running through the block","torture on the rack"
rackwork
rackworks
raclette
raclettes
racon,"a device that, on receiving radar signals, transmits coded signals in response to help navigators determine their position"
racons,"a device that, on receiving radar signals, transmits coded signals in response to help navigators determine their position"
raconteur,"a person skilled in telling anecdotes"
raconteurs,"a person skilled in telling anecdotes"
racoon,"an omnivorous nocturnal mammal native to North America and Central America"
racoons,"an omnivorous nocturnal mammal native to North America and Central America"
racquet,"a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strike a ball (or shuttlecock) in various games"
racquets,"a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strike a ball (or shuttlecock) in various games"
racy,"full of zest or vigor; "a racy literary style"","marked by richness and fullness of flavor; "a rich ruby port"; "full-bodied wines"; "a robust claret"; "the robust flavor of fresh-brewed coffee"","suggestive of sexual impropriety; "a blue movie"; "blue jokes"; "he skips asterisks and gives you the gamy details"; "a juicy scandal"; "a naughty wink"; "naughty words"; "racy anecdotes"; "a risque story"; "spicy gossip"","designed or suitable for competing in a race"
rad,"a unit of absorbed ionizing radiation equal to 100 ergs per gram of irradiated material","the unit of plane angle adopted under the Systeme International d'Unites; equal to the angle at the center of a circle subtended by an arc equal in length to the radius (approximately 57.295 degrees)"
radar,"measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects"
radars,"measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects"
radded
radding
raddle,"a red iron ore used in dyeing and marking","twist or braid together, interlace","mark or paint with raddle"
raddled,"used until no longer useful; "battered trumpets and raddled radios"; "worn-out shoes with flapping soles"","showing the wearing effects of overwork or care or suffering; "looking careworn as she bent over her mending"; "her face was drawn and haggard from sleeplessness"; "that raddled but still noble face"; "shocked to see the worn look of his handsome young face"- Charles Dickens"
raddles,"a red iron ore used in dyeing and marking","twist or braid together, interlace","mark or paint with raddle"
raddling
radiable
radial,"pneumatic tire that has radial-ply casing","relating to or near the radius; "the radial aspect of the forearm"","relating to or moving along or having the direction of a radius; "radial velocity"","issuing in rays from a common center; relating to rays of light; "radial heat"","arranged like rays or radii; radiating from a common center; "radial symmetry"; "a starlike or stellate arrangement of petals"; "many cities show a radial pattern of main highways""
radiale
radialia
radially,"in a radial manner; "an imaginative dispersal of the pews radially from the central focus of the pulpit""
radials,"pneumatic tire that has radial-ply casing","relating to or near the radius; "the radial aspect of the forearm"","relating to or moving along or having the direction of a radius; "radial velocity"","issuing in rays from a common center; relating to rays of light; "radial heat"","arranged like rays or radii; radiating from a common center; "radial symmetry"; "a starlike or stellate arrangement of petals"; "many cities show a radial pattern of main highways""
radian,"the unit of plane angle adopted under the Systeme International d'Unites; equal to the angle at the center of a circle subtended by an arc equal in length to the radius (approximately 57.295 degrees)"
radiance,"the amount of electromagnetic radiation leaving or arriving at a point on a surface","the quality of being bright and sending out rays of light","an attractive combination of good health and happiness; "the radiance of her countenance""
radiances,"the amount of electromagnetic radiation leaving or arriving at a point on a surface","the quality of being bright and sending out rays of light","an attractive combination of good health and happiness; "the radiance of her countenance""
radiancies
radiancy,"the quality of being bright and sending out rays of light"
radians,"the unit of plane angle adopted under the Systeme International d'Unites; equal to the angle at the center of a circle subtended by an arc equal in length to the radius (approximately 57.295 degrees)"
radiant,"radiating or as if radiating light; "the beaming sun"; "the effulgent daffodils"; "a radiant sunrise"; "a refulgent sunset""
radiantly,"in a radiant manner; "the bride smiled radiantly""
radiants,"radiating or as if radiating light; "the beaming sun"; "the effulgent daffodils"; "a radiant sunrise"; "a refulgent sunset""
radiate,"send out rays or waves; "The sun radiates heat"","send out real or metaphoric rays; "She radiates happiness"","extend or spread outward from a center or focus or inward towards a center; "spokes radiate from the hub of the wheel"; "This plants radiate spines in all directions"","have a complexion with a strong bright color, such as red or pink; "Her face glowed when she came out of the sauna"","cause to be seen by emitting light as if in rays; "The sun is radiating"","experience a feeling of well-being or happiness, as from good health or an intense emotion; "She was beaming with joy"; "Her face radiated with happiness"","issue or emerge in rays or waves; "Heat radiated from the metal box"","spread into new habitats and produce variety or variegate; "The plants on this island diversified"","arranged like rays or radii; radiating from a common center; "radial symmetry"; "a starlike or stellate arrangement of petals"; "many cities show a radial pattern of main highways"","having rays or ray-like parts as in the flower heads of daisies"
radiated
radiates,"send out rays or waves; "The sun radiates heat"","send out real or metaphoric rays; "She radiates happiness"","extend or spread outward from a center or focus or inward towards a center; "spokes radiate from the hub of the wheel"; "This plants radiate spines in all directions"","have a complexion with a strong bright color, such as red or pink; "Her face glowed when she came out of the sauna"","cause to be seen by emitting light as if in rays; "The sun is radiating"","experience a feeling of well-being or happiness, as from good health or an intense emotion; "She was beaming with joy"; "Her face radiated with happiness"","issue or emerge in rays or waves; "Heat radiated from the metal box"","spread into new habitats and produce variety or variegate; "The plants on this island diversified"","arranged like rays or radii; radiating from a common center; "radial symmetry"; "a starlike or stellate arrangement of petals"; "many cities show a radial pattern of main highways"","having rays or ray-like parts as in the flower heads of daisies"
radiating,"diverging from a common point"
radiation,"energy that is radiated or transmitted in the form of rays or waves or particles","the act of spreading outward from a central source","syndrome resulting from exposure to ionizing radiation (e.g., exposure to radioactive chemicals or to nuclear explosions); low doses cause diarrhea and nausea and vomiting and sometimes loss of hair; greater exposure can cause sterility and cataracts and some forms of cancer and other diseases; severe exposure can cause death within hours; "he was suffering from radiation"","the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay","the spread of a group of organisms into new habitats","a radial arrangement of nerve fibers connecting different parts of the brain","(medicine) the treatment of disease (especially cancer) by exposure to a radioactive substance"
radiations,"energy that is radiated or transmitted in the form of rays or waves or particles","the act of spreading outward from a central source","syndrome resulting from exposure to ionizing radiation (e.g., exposure to radioactive chemicals or to nuclear explosions); low doses cause diarrhea and nausea and vomiting and sometimes loss of hair; greater exposure can cause sterility and cataracts and some forms of cancer and other diseases; severe exposure can cause death within hours; "he was suffering from radiation"","the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay","the spread of a group of organisms into new habitats","a radial arrangement of nerve fibers connecting different parts of the brain","(medicine) the treatment of disease (especially cancer) by exposure to a radioactive substance"
radiator,"any object that radiates energy","heater consisting of a series of pipes for circulating steam or hot water to heat rooms or buildings","a mechanism consisting of a metal honeycomb through which hot fluids circulate; heat is transferred from the fluid through the honeycomb to the airstream that is created either by the motion of the vehicle or by a fan"
radiators,"any object that radiates energy","heater consisting of a series of pipes for circulating steam or hot water to heat rooms or buildings","a mechanism consisting of a metal honeycomb through which hot fluids circulate; heat is transferred from the fluid through the honeycomb to the airstream that is created either by the motion of the vehicle or by a fan"
radical,"(chemistry) two or more atoms bound together as a single unit and forming part of a molecule","an atom or group of atoms with at least one unpaired electron; in the body it is usually an oxygen molecule that has lost an electron and will stabilize itself by stealing an electron from a nearby molecule; "in the body free radicals are high-energy particles that ricochet wildly and damage cells"","a person who has radical ideas or opinions","(mathematics) a quantity expressed as the root of another quantity","a character conveying the lexical meaning of a logogram","(linguistics) the form of a word after all affixes are removed; "thematic vowels are part of the stem"","(used of opinions and actions) far beyond the norm; "extremist political views"; "radical opinions on education"; "an ultra conservative"","markedly new or introducing radical change; "a revolutionary discovery"; "radical political views"","arising from or going to the root or source; "a radical flaw in the plan"","of or relating to or constituting a linguistic root; "a radical verb form"","especially of leaves; located at the base of a plant or stem; especially arising directly from the root or rootstock or a root-like stem; "basal placentation"; "radical leaves""
radicalism,"the political orientation of those who favor revolutionary change in government and society"
radicalisms,"the political orientation of those who favor revolutionary change in government and society"
radically,"in a radical manner; "she took a radically different approach""
radicals,"(chemistry) two or more atoms bound together as a single unit and forming part of a molecule","an atom or group of atoms with at least one unpaired electron; in the body it is usually an oxygen molecule that has lost an electron and will stabilize itself by stealing an electron from a nearby molecule; "in the body free radicals are high-energy particles that ricochet wildly and damage cells"","a person who has radical ideas or opinions","(mathematics) a quantity expressed as the root of another quantity","a character conveying the lexical meaning of a logogram","(linguistics) the form of a word after all affixes are removed; "thematic vowels are part of the stem"","(used of opinions and actions) far beyond the norm; "extremist political views"; "radical opinions on education"; "an ultra conservative"","markedly new or introducing radical change; "a revolutionary discovery"; "radical political views"","arising from or going to the root or source; "a radical flaw in the plan"","of or relating to or constituting a linguistic root; "a radical verb form"","especially of leaves; located at the base of a plant or stem; especially arising directly from the root or rootstock or a root-like stem; "basal placentation"; "radical leaves""
radicand
radicands
radicate
radicated
radicates
radicating
radicel
radicels
radices,"(numeration system) the positive integer that is equivalent to one in the next higher counting place; "10 is the radix of the decimal system""
radicle,"(anatomy) a small structure resembling a rootlet (such as a fibril of a nerve)"
radicles,"(anatomy) a small structure resembling a rootlet (such as a fibril of a nerve)"
radii,"the length of a line segment between the center and circumference of a circle or sphere","a straight line from the center to the perimeter of a circle (or from the center to the surface of a sphere)","a circular region whose area is indicated by the length of its radius; "they located it within a radius of 2 miles"","the outer and slightly shorter of the two bones of the human forearm","support consisting of a radial member of a wheel joining the hub to the rim"
radio,"medium for communication","an electronic receiver that detects and demodulates and amplifies transmitted signals","a communication system based on broadcasting electromagnetic waves","transmit messages via radio waves; "he radioed for help"","indicating radiation or radioactivity; "radiochemistry""
radioactive,"exhibiting or caused by radioactivity; "radioactive isotope"; "radioactive decay"; "radioactive fallout""
radioactivities
radioactivity,"the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay"
radioed
radioing
radiologies
radiologist,"a medical specialist who uses radioactive substances and X-rays in the treatment of disease"
radiologists,"a medical specialist who uses radioactive substances and X-rays in the treatment of disease"
radiology,"the branch of medical science dealing with the medical use of X-rays or other penetrating radiation","(radiology) examination of the inner structure of opaque objects using X rays or other penetrating radiation"
radioman
radiomen
radionuclide
radionuclides
radios,"medium for communication","an electronic receiver that detects and demodulates and amplifies transmitted signals","a communication system based on broadcasting electromagnetic waves","transmit messages via radio waves; "he radioed for help"","indicating radiation or radioactivity; "radiochemistry""
radiotherapies
radiotherapy,"(medicine) the treatment of disease (especially cancer) by exposure to a radioactive substance"
radish,"pungent fleshy edible root","radish of Japan with a long hard durable root eaten raw or cooked","pungent edible root of any of various cultivated radish plants","Eurasian plant widely cultivated for its edible pungent root usually eaten raw","a cruciferous plant of the genus Raphanus having a pungent edible root"
radishes
radium,"an intensely radioactive metallic element that occurs in minute amounts in uranium ores"
radiums,"an intensely radioactive metallic element that occurs in minute amounts in uranium ores"
radius,"the length of a line segment between the center and circumference of a circle or sphere","a straight line from the center to the perimeter of a circle (or from the center to the surface of a sphere)","a circular region whose area is indicated by the length of its radius; "they located it within a radius of 2 miles"","the outer and slightly shorter of the two bones of the human forearm","support consisting of a radial member of a wheel joining the hub to the rim"
radiuses
radix,"(numeration system) the positive integer that is equivalent to one in the next higher counting place; "10 is the radix of the decimal system""
radixes
radome,"a housing for a radar antenna; transparent to radio waves"
radomes,"a housing for a radar antenna; transparent to radio waves"
radon,"a radioactive gaseous element formed by the disintegration of radium; the heaviest of the inert gasses; occurs naturally (especially in areas over granite) and is considered a hazard to health"
radons,"a radioactive gaseous element formed by the disintegration of radium; the heaviest of the inert gasses; occurs naturally (especially in areas over granite) and is considered a hazard to health"
rads,"a unit of absorbed ionizing radiation equal to 100 ergs per gram of irradiated material","the unit of plane angle adopted under the Systeme International d'Unites; equal to the angle at the center of a circle subtended by an arc equal in length to the radius (approximately 57.295 degrees)"
radula
radulae
radular
radulas
raff
raffia,"leaf fibers of the raffia palm tree; used to make baskets and mats etc.","fiber of a raffia palm used as light cordage and in making hats and baskets","feather palm of tropical Africa and Madagascar and Central and South America widely grown for commercial purposes"
raffias,"leaf fibers of the raffia palm tree; used to make baskets and mats etc.","fiber of a raffia palm used as light cordage and in making hats and baskets","feather palm of tropical Africa and Madagascar and Central and South America widely grown for commercial purposes"
raffish,"marked by up-to-dateness in dress and manners; "a dapper young man"; "a jaunty red hat"","marked by a carefree unconventionality or disreputableness; "a cocktail party given by some...raffish bachelors"- Crary Moore"
raffishly,"in a rakish manner; "she wore her hat rakishly at an angle""
raffishness
raffishnesses
raffle,"a lottery in which the prizes are goods rather than money","dispose of in a lottery; "We raffled off a trip to the Bahamas""
raffled
raffler
rafflers
raffles,"British colonial administrator who founded Singapore (1781-1826)","dispose of in a lottery; "We raffled off a trip to the Bahamas""
raffling
raffs
raft,"a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers","(often followed by `of') a large number or amount or extent; "a batch of letters"; "a deal of trouble"; "a lot of money"; "he made a mint on the stock market"; "see the rest of the winners in our huge passel of photos"; "it must have cost plenty"; "a slew of journalists"; "a wad of money"","transport on a raft; "raft wood down a river"","travel by raft in water; "Raft the Colorado River"","make into a raft; "raft these logs""
rafted
rafter,"one of several parallel sloping beams that support a roof","someone who travels by raft","provide (a ceiling) with rafters"
rafters,"one of several parallel sloping beams that support a roof","someone who travels by raft","provide (a ceiling) with rafters"
rafting
rafts,"a large number or amount; "made lots of new friends"; "she amassed stacks of newspapers"","transport on a raft; "raft wood down a river"","travel by raft in water; "Raft the Colorado River"","make into a raft; "raft these logs""
raftsman,"someone who travels by raft"
raftsmen
rag,"a small piece of cloth or paper","a week at British universities during which side-shows and processions of floats are organized to raise money for charities","music with a syncopated melody (usually for the piano)","newspaper with half-size pages","a boisterous practical joke (especially by college students)","treat cruelly; "The children tormented the stuttering teacher"","cause annoyance in; disturb, especially by minor irritations; "Mosquitoes buzzing in my ear really bothers me"; "It irritates me that she never closes the door after she leaves"","play in ragtime; "rag that old tune"","harass with persistent criticism or carping; "The children teased the new teacher"; "Don't ride me so hard over my failure"; "His fellow workers razzed him when he wore a jacket and tie"","censure severely or angrily; "The mother scolded the child for entering a stranger's car"; "The deputy ragged the Prime Minister"; "The customer dressed down the waiter for bringing cold soup"","break into lumps before sorting; "rag ore""
raga
ragamuffin,"a dirty shabbily clothed urchin"
ragamuffins,"a dirty shabbily clothed urchin"
ragas
ragbag,"a motley assortment of things","a bag in which rags are kept"
ragbags,"a motley assortment of things","a bag in which rags are kept"
rage,"a feeling of intense anger; "hell hath no fury like a woman scorned"; "his face turned red with rage"","a state of extreme anger; "she fell into a rage and refused to answer"","something that is desired intensely; "his rage for fame destroyed him"","violent state of the elements; "the sea hurled itself in thundering rage against the rocks"","an interest followed with exaggerated zeal; "he always follows the latest fads"; "it was all the rage that season"","behave violently, as if in state of a great anger","be violent; as of fires and storms","feel intense anger; "Rage against the dying of the light!""
raged
ragee,"East Indian cereal grass whose seed yield a somewhat bitter flour, a staple in the Orient"
ragees,"East Indian cereal grass whose seed yield a somewhat bitter flour, a staple in the Orient"
rages,"a feeling of intense anger; "hell hath no fury like a woman scorned"; "his face turned red with rage"","a state of extreme anger; "she fell into a rage and refused to answer"","something that is desired intensely; "his rage for fame destroyed him"","violent state of the elements; "the sea hurled itself in thundering rage against the rocks"","an interest followed with exaggerated zeal; "he always follows the latest fads"; "it was all the rage that season"","behave violently, as if in state of a great anger","be violent; as of fires and storms","feel intense anger; "Rage against the dying of the light!""
ragged,"treat cruelly; "The children tormented the stuttering teacher"","cause annoyance in; disturb, especially by minor irritations; "Mosquitoes buzzing in my ear really bothers me"; "It irritates me that she never closes the door after she leaves"","play in ragtime; "rag that old tune"","harass with persistent criticism or carping; "The children teased the new teacher"; "Don't ride me so hard over my failure"; "His fellow workers razzed him when he wore a jacket and tie"","censure severely or angrily; "The mother scolded the child for entering a stranger's car"; "The deputy ragged the Prime Minister"; "The customer dressed down the waiter for bringing cold soup"","break into lumps before sorting; "rag ore"","being or dressed in clothes that are worn or torn; "clothes as ragged as a scarecrow's"; "a ragged tramp"","worn out from stress or strain; "run ragged"","having an irregular outline; "text set with ragged right margins"; "herded the class into a ragged line""
raggeder
raggedest
raggedly,"in a ragged uneven manner; "I took the cigarette he offered, drawing at it raggedly"","in a ragged irregular manner; "a stone wall trails raggedly through the woods"","with a ragged and uneven appearance; "a long beard, raggedly cut""
raggedness,"a texture of a surface or edge that is not smooth but is irregular and uneven","shabbiness by virtue of being in rags"
raggednesses
raggedy
raggies
ragging,"treat cruelly; "The children tormented the stuttering teacher"","cause annoyance in; disturb, especially by minor irritations; "Mosquitoes buzzing in my ear really bothers me"; "It irritates me that she never closes the door after she leaves"","play in ragtime; "rag that old tune"","harass with persistent criticism or carping; "The children teased the new teacher"; "Don't ride me so hard over my failure"; "His fellow workers razzed him when he wore a jacket and tie"","censure severely or angrily; "The mother scolded the child for entering a stranger's car"; "The deputy ragged the Prime Minister"; "The customer dressed down the waiter for bringing cold soup"","break into lumps before sorting; "rag ore""
raggle
raggles
raggy
ragi,"East Indian cereal grass whose seed yield a somewhat bitter flour, a staple in the Orient"
raging,"characterized by violent and forceful activity or movement; very intense; "the fighting became hot and heavy"; "a hot engagement"; "a raging battle"; "the river became a raging torrent"","very severe; "a raging thirst"; "a raging toothache"","(of the elements) as if showing violent anger; "angry clouds on the horizon"; "furious winds"; "the raging sea""
ragingly
ragis,"East Indian cereal grass whose seed yield a somewhat bitter flour, a staple in the Orient"
raglan,"a garment (coat or sweater) that has raglan sleeves"
raglans,"a garment (coat or sweater) that has raglan sleeves"
ragman
ragmen
ragout,"well-seasoned stew of meat and vegetables"
ragouted
ragouting
ragouts,"well-seasoned stew of meat and vegetables"
rags,"a small piece of cloth or paper","a week at British universities during which side-shows and processions of floats are organized to raise money for charities","music with a syncopated melody (usually for the piano)","newspaper with half-size pages","a boisterous practical joke (especially by college students)","treat cruelly; "The children tormented the stuttering teacher"","cause annoyance in; disturb, especially by minor irritations; "Mosquitoes buzzing in my ear really bothers me"; "It irritates me that she never closes the door after she leaves"","play in ragtime; "rag that old tune"","harass with persistent criticism or carping; "The children teased the new teacher"; "Don't ride me so hard over my failure"; "His fellow workers razzed him when he wore a jacket and tie"","censure severely or angrily; "The mother scolded the child for entering a stranger's car"; "The deputy ragged the Prime Minister"; "The customer dressed down the waiter for bringing cold soup"","break into lumps before sorting; "rag ore""
ragtag,"disparaging terms for the common people"
ragtags,"disparaging terms for the common people"
ragtime,"music with a syncopated melody (usually for the piano)"
ragtimes,"music with a syncopated melody (usually for the piano)"
ragweed,"widespread European weed having yellow daisylike flowers; sometimes an obnoxious weed and toxic to cattle if consumed in quantity","any of numerous chiefly North American weedy plants constituting the genus Ambrosia that produce highly allergenic pollen responsible for much hay fever and asthma"
ragweeds,"widespread European weed having yellow daisylike flowers; sometimes an obnoxious weed and toxic to cattle if consumed in quantity","any of numerous chiefly North American weedy plants constituting the genus Ambrosia that produce highly allergenic pollen responsible for much hay fever and asthma"
ragwort,"widespread European weed having yellow daisylike flowers; sometimes an obnoxious weed and toxic to cattle if consumed in quantity","American ragwort with yellow flowers"
ragworts,"widespread European weed having yellow daisylike flowers; sometimes an obnoxious weed and toxic to cattle if consumed in quantity","American ragwort with yellow flowers"
rah
raia
raias
