craal
cracking,"a sudden sharp noise; "the crack of a whip"; "he heard the cracking of the ice"; "he can hear the snap of a twig"","the act of cracking something","the process whereby heavy molecules of naphtha or petroleum are broken down into hydrocarbons of lower molecular weight (especially in the oil-refining process)","very good; "he did a bully job"; "a neat sports car"; "had a great time at the party"; "you look simply smashing""
crackings,"a sudden sharp noise; "the crack of a whip"; "he heard the cracking of the ice"; "he can hear the snap of a twig"","the act of cracking something","the process whereby heavy molecules of naphtha or petroleum are broken down into hydrocarbons of lower molecular weight (especially in the oil-refining process)","very good; "he did a bully job"; "a neat sports car"; "had a great time at the party"; "you look simply smashing""
crackle,"the sharp sound of snapping noises","glazed china with a network of fine cracks on the surface","make a crackling sound; "My Rice Krispies crackled in the bowl"","make a crushing noise; "his shoes were crunching on the gravel"","to become, or to cause to become, covered with a network of small cracks; "The blazing sun crackled the desert sand"","having the surface decorated with a network of fine cracks, as in crackleware; "a crackle glaze""
crackled
crackles,"the sharp sound of snapping noises","glazed china with a network of fine cracks on the surface","make a crackling sound; "My Rice Krispies crackled in the bowl"","make a crushing noise; "his shoes were crunching on the gravel"","to become, or to cause to become, covered with a network of small cracks; "The blazing sun crackled the desert sand"","having the surface decorated with a network of fine cracks, as in crackleware; "a crackle glaze""
cracklier
crackliest
crackling,"the residue that remains after animal fat has been rendered","the sharp sound of snapping noises"
crackly
cracknel
cracknels
crackpot,"a whimsically eccentric person"
crackpots,"a whimsically eccentric person"
cracks,"a long narrow opening","a narrow opening; "he opened the window a crack"","a long narrow depression in a surface","a sudden sharp noise; "the crack of a whip"; "he heard the cracking of the ice"; "he can hear the snap of a twig"","a chance to do something; "he wanted a shot at the champion"","witty remark","a blemish resulting from a break without complete separation of the parts; "there was a crack in the mirror"","a purified and potent form of cocaine that is smoked rather than snorted; highly addictive","a usually brief attempt; "he took a crack at it"; "I gave it a whirl"","the act of cracking something","become fractured; break or crack on the surface only; "The glass cracked when it was heated"","make a very sharp explosive sound; "His gun cracked"","make a sharp sound; "his fingers snapped"","hit forcefully; deal a hard blow, making a cracking noise; "The teacher cracked him across the face with a ruler"","pass through (a barrier); "Registrations cracked through the 30,000 mark in the county"","break partially but keep its integrity; "The glass cracked"","break suddenly and abruptly, as under tension; "The pipe snapped"","gain unauthorized access computers with malicious intentions; "she cracked my password"; "crack a safe"","suffer a nervous breakdown","tell spontaneously; "crack a joke"","cause to become cracked; "heat and light cracked the back of the leather chair"","reduce (petroleum) to a simpler compound by cracking","break into simpler molecules by means of heat; "The petroleum cracked"","of the highest quality; "an ace reporter"; "a crack shot"; "a first-rate golfer"; "a super party"; "played top-notch tennis"; "an athlete in tiptop condition"; "she is absolutely tops""
crackup
crackups
cracky
cradle,"a baby bed with sides and rockers","where something originated or was nurtured in its early existence; "the birthplace of civilization"","birth of a person; "he was taught from the cradle never to cry"","a trough that can be rocked back and forth; used by gold miners to shake auriferous earth in water in order to separate the gold","hold gently and carefully; "He cradles the child in his arms"","bring up from infancy","hold or place in or as if in a cradle; "He cradled the infant in his arms"","cut grain with a cradle scythe","wash in a cradle; "cradle gold"","run with the stick"
cradled
cradler
cradlers
cradles,"a baby bed with sides and rockers","where something originated or was nurtured in its early existence; "the birthplace of civilization"","birth of a person; "he was taught from the cradle never to cry"","a trough that can be rocked back and forth; used by gold miners to shake auriferous earth in water in order to separate the gold","hold gently and carefully; "He cradles the child in his arms"","bring up from infancy","hold or place in or as if in a cradle; "He cradled the infant in his arms"","cut grain with a cradle scythe","wash in a cradle; "cradle gold"","run with the stick"
cradling
craft,"the skilled practice of a practical occupation; "he learned his trade as an apprentice"","a vehicle designed for navigation in or on water or air or through outer space","people who perform a particular kind of skilled work; "he represented the craft of brewers"; "as they say in the trade"","skill in an occupation or trade","shrewdness as demonstrated by being skilled in deception","make by hand and with much skill; "The artisan crafted a complicated tool""
crafted
craftier,"marked by skill in deception; "cunning men often pass for wise"; "deep political machinations"; "a foxy scheme"; "a slick evasive answer"; "sly as a fox"; "tricky Dick"; "a wily old attorney""
craftiest,"marked by skill in deception; "cunning men often pass for wise"; "deep political machinations"; "a foxy scheme"; "a slick evasive answer"; "sly as a fox"; "tricky Dick"; "a wily old attorney""
craftily,"in an artful manner; "he craftily arranged to be there when the decision was announced"; "had ever circumstances conspired so cunningly?""
craftiness,"shrewdness as demonstrated by being skilled in deception","the quality of being crafty"
craftinesses
crafting
crafts,"the skilled practice of a practical occupation; "he learned his trade as an apprentice"","a vehicle designed for navigation in or on water or air or through outer space","people who perform a particular kind of skilled work; "he represented the craft of brewers"; "as they say in the trade"","skill in an occupation or trade","shrewdness as demonstrated by being skilled in deception","make by hand and with much skill; "The artisan crafted a complicated tool""
craftsman,"a professional whose work is consistently of high quality; "as an actor he was a consummate craftsman"","a creator of great skill in the manual arts; "the jewelry was made by internationally famous craftsmen"","a skilled worker who practices some trade or handicraft"
craftsmanship,"skill in an occupation or trade"
craftsmanships,"skill in an occupation or trade"
craftsmen
craftsmenship
craftsmenships
crafty,"marked by skill in deception; "cunning men often pass for wise"; "deep political machinations"; "a foxy scheme"; "a slick evasive answer"; "sly as a fox"; "tricky Dick"; "a wily old attorney""
crag,"a steep rugged rock or cliff"
cragged,"having hills and crags; "hilly terrain""
craggier,"having hills and crags; "hilly terrain""
craggiest,"having hills and crags; "hilly terrain""
craggily
craggy,"having hills and crags; "hilly terrain""
crags,"a steep rugged rock or cliff"
cragsman,"a climber of vertical rock faces"
cragsmen
crake,"any of several short-billed Old World rails"
crakes,"any of several short-billed Old World rails"
cram,"crowd or pack to capacity; "the theater was jampacked"","put something somewhere so that the space is completely filled; "cram books into the suitcase"","study intensively, as before an exam; "I had to bone up on my Latin verbs before the final exam"","prepare (students) hastily for an impending exam"
crambe,"annual or perennial herbs with large leaves that resemble the leaves of cabbages"
crambes,"annual or perennial herbs with large leaves that resemble the leaves of cabbages"
crambo
cramboes
crambos
crammed,"crowd or pack to capacity; "the theater was jampacked"","put something somewhere so that the space is completely filled; "cram books into the suitcase"","study intensively, as before an exam; "I had to bone up on my Latin verbs before the final exam"","prepare (students) hastily for an impending exam"
crammer,"a student who crams","a teacher who is paid to cram students for examinations","a special school where students are crammed","a textbook designed for cramming"
crammers,"a student who crams","a teacher who is paid to cram students for examinations","a special school where students are crammed","a textbook designed for cramming"
cramming,"crowd or pack to capacity; "the theater was jampacked"","put something somewhere so that the space is completely filled; "cram books into the suitcase"","study intensively, as before an exam; "I had to bone up on my Latin verbs before the final exam"","prepare (students) hastily for an impending exam"
cramoisies
cramoisy
cramp,"a painful and involuntary muscular contraction","a clamp for holding pieces of wood together while they are glued","a strip of metal with ends bent at right angles; used to hold masonry together","secure with a cramp; "cramp the wood"","prevent the progress or free movement of; "He was hampered in his efforts by the bad weather"; "the imperialist nation wanted to strangle the free trade between the two small countries"","affect with or as if with a cramp","suffer from sudden painful contraction of a muscle"
cramped,"constricted in size; "cramped quarters"; "trying to bring children up in cramped high-rise apartments""
cramping
crampit
crampits
crampon,"a hinged pair of curved iron bars; used to raise heavy objects","an iron spike attached to the shoe to prevent slipping on ice when walking or climbing"
crampons,"a hinged pair of curved iron bars; used to raise heavy objects","an iron spike attached to the shoe to prevent slipping on ice when walking or climbing"
crampoon,"a hinged pair of curved iron bars; used to raise heavy objects","an iron spike attached to the shoe to prevent slipping on ice when walking or climbing"
crampoons,"a hinged pair of curved iron bars; used to raise heavy objects","an iron spike attached to the shoe to prevent slipping on ice when walking or climbing"
cramps,"a painful and involuntary muscular contraction","a clamp for holding pieces of wood together while they are glued","a strip of metal with ends bent at right angles; used to hold masonry together","secure with a cramp; "cramp the wood"","prevent the progress or free movement of; "He was hampered in his efforts by the bad weather"; "the imperialist nation wanted to strangle the free trade between the two small countries"","affect with or as if with a cramp","suffer from sudden painful contraction of a muscle"
crams,"crowd or pack to capacity; "the theater was jampacked"","put something somewhere so that the space is completely filled; "cram books into the suitcase"","study intensively, as before an exam; "I had to bone up on my Latin verbs before the final exam"","prepare (students) hastily for an impending exam"
cranberries
cranberry,"any of numerous shrubs of genus Vaccinium bearing cranberries","very tart red berry used for sauce or juice"
cranch,"press or grind with a crushing noise"
cranched
cranches
cranching
crane,"United States writer (1871-1900)","United States poet (1899-1932)","a small constellation in the southern hemisphere near Phoenix","lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis","large long-necked wading bird of marshes and plains in many parts of the world","stretch (the neck) so as to see better; "The women craned their necks to see the President drive by""
craned
cranes,"United States writer (1871-1900)","United States poet (1899-1932)","a small constellation in the southern hemisphere near Phoenix","lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis","large long-necked wading bird of marshes and plains in many parts of the world","stretch (the neck) so as to see better; "The women craned their necks to see the President drive by""
crania,"the part of the skull that encloses the brain"
cranial,"of or relating to the cranium which encloses the brain; "cranial pressure""
craniate,"animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium"
craniates,"animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium"
craning
cranium,"the part of the skull that encloses the brain"
craniums,"the part of the skull that encloses the brain"
crank,"a bad-tempered person","a whimsically eccentric person","an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant","a hand tool consisting of a rotating shaft with parallel handle","travel along a zigzag path; "The river zigzags through the countryside"","start by cranking; "crank up the engine"","rotate with a crank","fasten with a crank","bend into the shape of a crank","(used of boats) inclined to heel over easily under sail"
cranked
cranker
crankest
crankier,"(used of boats) inclined to heel over easily under sail","easily irritated or annoyed; "an incorrigibly fractious young man"; "not the least nettlesome of his countrymen""
crankiest,"(used of boats) inclined to heel over easily under sail","easily irritated or annoyed; "an incorrigibly fractious young man"; "not the least nettlesome of his countrymen""
crankily
cranking
crankle
crankled
crankles
crankling
crankly
crankous
crankpin
crankpins
cranks,"a bad-tempered person","a whimsically eccentric person","an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant","a hand tool consisting of a rotating shaft with parallel handle","travel along a zigzag path; "The river zigzags through the countryside"","start by cranking; "crank up the engine"","rotate with a crank","fasten with a crank","bend into the shape of a crank","(used of boats) inclined to heel over easily under sail"
cranky,"(used of boats) inclined to heel over easily under sail","easily irritated or annoyed; "an incorrigibly fractious young man"; "not the least nettlesome of his countrymen""
crannied,"having small chinks or crannies (especially in or between rocks or stones); "a crannied wall""
crannies
crannog
crannoge
crannoges
crannogs
cranny,"a long narrow depression in a surface","a small opening or crevice (especially in a rock face or wall)"
crap,"obscene terms for feces","obscene words for unacceptable behavior; "I put up with a lot of bullshit from that jerk"; "what he said was mostly bull"","have a bowel movement; "The dog had made in the flower beds""
crape,"small very thin pancake","a soft thin light fabric with a crinkled surface","cover or drape with crape; "crape the mirror"","curl tightly; "crimp hair""
craped
crapes,"small very thin pancake","a soft thin light fabric with a crinkled surface","cover or drape with crape; "crape the mirror"","curl tightly; "crimp hair""
craping
crapped,"have a bowel movement; "The dog had made in the flower beds""
crapper,"a plumbing fixture for defecation and urination"
crappers,"a plumbing fixture for defecation and urination"
crappie,"small sunfishes of the genus Pomoxis of central United States rivers","small sunfishes of central United States rivers"
crappier
crappies,"small sunfishes of the genus Pomoxis of central United States rivers","small sunfishes of central United States rivers"
crappiest
crapping,"have a bowel movement; "The dog had made in the flower beds""
crappy,"very bad; "a lousy play"; "it's a stinking world""
craps,"expressions used when when two dice are thrown and both come up showing one spot","a gambling game played with two dice; a first throw of 7 or 11 wins and a first throw of 2, 3, or 12 loses and a first throw of any other number must be repeated to win before a 7 is thrown, which loses the bet and the dice","have a bowel movement; "The dog had made in the flower beds""
crapshooter,"a gambler who plays the game of craps"
crapshooters,"a gambler who plays the game of craps"
crases
crash,"a loud resonant repeating noise; "he could hear the clang of distant bells"","a serious accident (usually involving one or more vehicles); "they are still investigating the crash of the TWA plane"","a sudden large decline of business or the prices of stocks (especially one that causes additional failures)","the act of colliding with something; "his crash through the window"; "the fullback's smash into the defensive line"","(computer science) an event that causes a computer system to become inoperative; "the crash occurred during a thunderstorm and the system has been down ever since"","fall or come down violently; "The branch crashed down on my car"; "The plane crashed in the sea"","move with, or as if with, a crashing noise; "The car crashed through the glass door"","undergo damage or destruction on impact; "the plane crashed into the ocean"; "The car crashed into the lamp post"","move violently as through a barrier; "The terrorists crashed the gate"","break violently or noisily; smash;","occupy, usually uninvited; "My son's friends crashed our house last weekend"","make a sudden loud sound; "the waves crashed on the shore and kept us awake all night"","enter uninvited; informal; "let's crash the party!"","cause to crash; "The terrorists crashed the plane into the palace"; "Mother crashed the motorbike into the lamppost"","hurl or thrust violently; "He dashed the plate against the wall"; "Waves were dashing against the rock"","undergo a sudden and severe downturn; "the economy crashed"; "will the stock market crash again?"","stop operating; "My computer crashed last night"; "The system goes down at least once a week"","sleep in a convenient place; "You can crash here, though it's not very comfortable""
crashed
crasher,"someone who gets in (to a party) without an invitation or without paying"
crashers,"someone who gets in (to a party) without an invitation or without paying"
crashes
crashing,"informal intensifiers; "what a bally (or blinking) nuisance"; "a bloody fool"; "a crashing bore"; "you flaming idiot""
crasis
crass,"(of persons) so unrefined as to be lacking in discrimination and sensibility"
crasser
crassest
crassly
cratch
cratches
crate,"a rugged box (usually made of wood); used for shipping","the quantity contained in a crate","put into a crate; as for protection; "crate the paintings before shipping them to the museum""
crated
crater,"a bowl-shaped geological formation at the top of a volcano","a faint constellation in the southern hemisphere near Hydra and Corvus","a bowl-shaped depression formed by the impact of a meteorite or bomb"
cratered
cratering
craters,"a bowl-shaped geological formation at the top of a volcano","a faint constellation in the southern hemisphere near Hydra and Corvus","a bowl-shaped depression formed by the impact of a meteorite or bomb"
crates,"a rugged box (usually made of wood); used for shipping","the quantity contained in a crate","put into a crate; as for protection; "crate the paintings before shipping them to the museum""
crating
craton,"the part of a continent that is stable and forms the central mass of the continent; typically Precambrian"
cratonic
cratons,"the part of a continent that is stable and forms the central mass of the continent; typically Precambrian"
craunch,"press or grind with a crushing noise"
craunched
craunches
craunching
cravat,"neckwear worn in a slipknot with long ends overlapping vertically in front"
cravats,"neckwear worn in a slipknot with long ends overlapping vertically in front"
crave,"have a craving, appetite, or great desire for","plead or ask for earnestly"
craved,"wanted intensely; "the child could no longer resist taking one of the craved cookies"; "it produced the desired effect""
craven,"an abject coward","lacking even the rudiments of courage; abjectly fearful; "the craven fellow turned and ran"; "a craven proposal to raise the white flag"; "this recreant knight"- Spenser"
cravened
cravening
cravenly
cravens,"an abject coward","lacking even the rudiments of courage; abjectly fearful; "the craven fellow turned and ran"; "a craven proposal to raise the white flag"; "this recreant knight"- Spenser"
craver
cravers
craves,"have a craving, appetite, or great desire for","plead or ask for earnestly"
craving,"an intense desire for some particular thing"
cravings,"an intense desire for some particular thing"
craw,"a pouch in many birds and some lower animals that resembles a stomach for storage and preliminary maceration of food"
crawdad,"tiny lobster-like crustaceans usually boiled briefly","small freshwater decapod crustacean that resembles a lobster"
crawdads,"tiny lobster-like crustaceans usually boiled briefly","small freshwater decapod crustacean that resembles a lobster"
crawfish,"tiny lobster-like crustaceans usually boiled briefly","small freshwater decapod crustacean that resembles a lobster","large edible marine crustacean having a spiny carapace but lacking the large pincers of true lobsters","make a retreat from an earlier commitment or activity; "We'll have to crawfish out from meeting with him"; "He backed out of his earlier promise"; "The aggressive investment company pulled in its horns""
crawfished
crawfishes,"tiny lobster-like crustaceans usually boiled briefly","small freshwater decapod crustacean that resembles a lobster","large edible marine crustacean having a spiny carapace but lacking the large pincers of true lobsters"
crawfishing
crawl,"a very slow movement; "the traffic advanced at a crawl"","a swimming stroke; arms are moved alternately overhead accompanied by a flutter kick","a slow mode of locomotion on hands and knees or dragging the body; "a crawl was all that the injured man could manage"; "the traffic moved at a creep"","move slowly; in the case of people or animals with the body near the ground; "The crocodile was crawling along the riverbed"","feel as if crawling with insects; "My skin crawled--I was terrified"","be full of; "The old cheese was crawling with maggots"","show submission or fear","swim by doing the crawl; "European children learn the breast stroke; they often don't know how to crawl""
crawled
crawler,"a person who tries to please someone in order to gain a personal advantage","a person who crawls or creeps along the ground","terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers"
crawlers,"a person who tries to please someone in order to gain a personal advantage","a person who crawls or creeps along the ground","terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers"
crawlier
crawliest
crawling,"a slow mode of locomotion on hands and knees or dragging the body; "a crawl was all that the injured man could manage"; "the traffic moved at a creep""
crawls,"a very slow movement; "the traffic advanced at a crawl"","a swimming stroke; arms are moved alternately overhead accompanied by a flutter kick","a slow mode of locomotion on hands and knees or dragging the body; "a crawl was all that the injured man could manage"; "the traffic moved at a creep"","move slowly; in the case of people or animals with the body near the ground; "The crocodile was crawling along the riverbed"","feel as if crawling with insects; "My skin crawled--I was terrified"","be full of; "The old cheese was crawling with maggots"","show submission or fear","swim by doing the crawl; "European children learn the breast stroke; they often don't know how to crawl""
crawlway
crawlways
crawly
craws,"a pouch in many birds and some lower animals that resembles a stomach for storage and preliminary maceration of food"
crayfish,"warm-water lobsters without claws; those from Australia and South Africa usually marketed as frozen tails; caught also in Florida and California","tiny lobster-like crustaceans usually boiled briefly","small freshwater decapod crustacean that resembles a lobster","large edible marine crustacean having a spiny carapace but lacking the large pincers of true lobsters"
crayfishes,"warm-water lobsters without claws; those from Australia and South Africa usually marketed as frozen tails; caught also in Florida and California","tiny lobster-like crustaceans usually boiled briefly","small freshwater decapod crustacean that resembles a lobster","large edible marine crustacean having a spiny carapace but lacking the large pincers of true lobsters"
crayon,"writing implement consisting of a colored stick of composition wax used for writing and drawing","write, draw, or trace with a crayon"
crayoned
crayoning
crayons,"writing implement consisting of a colored stick of composition wax used for writing and drawing","write, draw, or trace with a crayon"
craze,"an interest followed with exaggerated zeal; "he always follows the latest fads"; "it was all the rage that season"","state of violent mental agitation","a fine crack in a glaze or other surface","cause to go crazy; cause to lose one's mind","develop a fine network of cracks; "Crazed ceramics""
crazed,"driven insane"
crazes,"an interest followed with exaggerated zeal; "he always follows the latest fads"; "it was all the rage that season"","state of violent mental agitation","a fine crack in a glaze or other surface","cause to go crazy; cause to lose one's mind","develop a fine network of cracks; "Crazed ceramics""
crazier,"affected with madness or insanity; "a man who had gone mad"","foolish; totally unsound; "a crazy scheme"; "half-baked ideas"; "a screwball proposal without a prayer of working"","possessed by inordinate excitement; "the crowd went crazy"; "was crazy to try his new bicycle"","bizarre or fantastic; "had a crazy dream"; "wore a crazy hat"","intensely enthusiastic about or preoccupied with; "crazy about cars and racing"; "he is potty about her""
craziest,"affected with madness or insanity; "a man who had gone mad"","foolish; totally unsound; "a crazy scheme"; "half-baked ideas"; "a screwball proposal without a prayer of working"","possessed by inordinate excitement; "the crowd went crazy"; "was crazy to try his new bicycle"","bizarre or fantastic; "had a crazy dream"; "wore a crazy hat"","intensely enthusiastic about or preoccupied with; "crazy about cars and racing"; "he is potty about her""
crazily,"in an insane manner; "she behaved insanely"; "he behaves crazily when he is off his medication"; "the witch cackled madly"; "screaming dementedly""
craziness,"informal terms for insanity","the quality of being rash and foolish; "trying to drive through a blizzard is the height of folly"; "adjusting to an insane society is total foolishness"","foolish or senseless behavior"
crazinesses
crazing
crazy,"someone deranged and possibly dangerous","affected with madness or insanity; "a man who had gone mad"","foolish; totally unsound; "a crazy scheme"; "half-baked ideas"; "a screwball proposal without a prayer of working"","possessed by inordinate excitement; "the crowd went crazy"; "was crazy to try his new bicycle"","bizarre or fantastic; "had a crazy dream"; "wore a crazy hat"","intensely enthusiastic about or preoccupied with; "crazy about cars and racing"; "he is potty about her""
creak,"a squeaking sound; "the creak of the floorboards gave him away"","make a high-pitched, screeching noise; "The door creaked when I opened it slowly"; "My car engine makes a whining noise""
creaked
creakier
creakiest
creakily,"in a creaky manner; "the old boat was moving along creakily""
creaking,"a squeaking sound; "the creak of the floorboards gave him away""
creaks,"a squeaking sound; "the creak of the floorboards gave him away"","make a high-pitched, screeching noise; "The door creaked when I opened it slowly"; "My car engine makes a whining noise""
creaky,"worn and broken down by hard use; "a creaky shack"; "a decrepit bus...its seats held together with friction tape"; "a flea-bitten sofa"; "a run-down neighborhood"; "a woebegone old shack"","having a rasping or grating sound; "creaky stairs"","of or pertaining to arthritis; "my creaky old joints"; "rheumy with age and grief""
cream,"the best people or things in a group; "the cream of England's young men were killed in the Great War"","the part of milk containing the butterfat","toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin","make creamy by beating; "Cream the butter"","beat thoroughly and conclusively in a competition or fight; "We licked the other team on Sunday!"","put on cream, as on one's face or body; "She creams her face every night"","remove from the surface; "skim cream from the surface of milk"","add cream to one's coffee, for example"
creamed
creamer,"a small pitcher for serving cream"
creameries
creamers,"a small pitcher for serving cream"
creamery,"a workplace where dairy products (butter and cheese etc.) are produced or sold"
creamier,"of the color of cream; "creamy translucent pebbles"","thick like cream"
creamiest,"of the color of cream; "creamy translucent pebbles"","thick like cream"
creamily
creaming
creams,"the best people or things in a group; "the cream of England's young men were killed in the Great War"","the part of milk containing the butterfat","toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin","make creamy by beating; "Cream the butter"","beat thoroughly and conclusively in a competition or fight; "We licked the other team on Sunday!"","put on cream, as on one's face or body; "She creams her face every night"","remove from the surface; "skim cream from the surface of milk"","add cream to one's coffee, for example"
creamy,"of the color of cream; "creamy translucent pebbles"","thick like cream"
crease,"an angular or rounded shape made by folding; "a fold in the napkin"; "a crease in his trousers"; "a plication on her blouse"; "a flexure of the colon"; "a bend of his elbow"","a slight depression in the smoothness of a surface; "his face has many lines"; "ironing gets rid of most wrinkles"","a Malayan dagger with a wavy blade","make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in; "The dress got wrinkled"; "crease the paper like this to make a crane"","make wrinkled or creased; "furrow one's brow"","scrape gently; "graze the skin"","become wrinkled or crumpled or creased; "This fabric won't wrinkle""
creased
creaser
creasers
creases,"an angular or rounded shape made by folding; "a fold in the napkin"; "a crease in his trousers"; "a plication on her blouse"; "a flexure of the colon"; "a bend of his elbow"","a slight depression in the smoothness of a surface; "his face has many lines"; "ironing gets rid of most wrinkles"","a Malayan dagger with a wavy blade","make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in; "The dress got wrinkled"; "crease the paper like this to make a crane"","make wrinkled or creased; "furrow one's brow"","scrape gently; "graze the skin"","become wrinkled or crumpled or creased; "This fabric won't wrinkle""
creasier
creasiest
creasing
creasy
create,"make or cause to be or to become; "make a mess in one's office"; "create a furor"","bring into existence; "The company was created 25 years ago"; "He created a new movement in painting"","pursue a creative activity; be engaged in a creative activity; "Don't disturb him--he is creating"","invest with a new title, office, or rank; "Create one a peer"","create by artistic means; "create a poem"; "Schoenberg created twelve-tone music"; "Picasso created Cubism"; "Auden made verses"","create or manufacture a man-made product; "We produce more cars than we can sell"; "The company has been making toys for two centuries""
created
creates,"make or cause to be or to become; "make a mess in one's office"; "create a furor"","bring into existence; "The company was created 25 years ago"; "He created a new movement in painting"","pursue a creative activity; be engaged in a creative activity; "Don't disturb him--he is creating"","invest with a new title, office, or rank; "Create one a peer"","create by artistic means; "create a poem"; "Schoenberg created twelve-tone music"; "Picasso created Cubism"; "Auden made verses"","create or manufacture a man-made product; "We produce more cars than we can sell"; "The company has been making toys for two centuries""
creatin,"an amino acid that does not occur in proteins but is found in the muscle tissue of vertebrates both in the free form and as phosphocreatine; supplies energy for muscle contraction"
creatine,"an amino acid that does not occur in proteins but is found in the muscle tissue of vertebrates both in the free form and as phosphocreatine; supplies energy for muscle contraction"
creatines,"an amino acid that does not occur in proteins but is found in the muscle tissue of vertebrates both in the free form and as phosphocreatine; supplies energy for muscle contraction"
creating
creatinine
creatins,"an amino acid that does not occur in proteins but is found in the muscle tissue of vertebrates both in the free form and as phosphocreatine; supplies energy for muscle contraction"
creation,"the human act of creating","an artifact that has been brought into existence by someone","the event that occurred at the beginning of something; "from its creation the plan was doomed to failure"","the act of starting something for the first time; introducing something new; "she looked forward to her initiation as an adult"; "the foundation of a new scientific society"","(theology) God's act of bringing the universe into existence","everything that exists anywhere; "they study the evolution of the universe"; "the biggest tree in existence""
creations,"the human act of creating","an artifact that has been brought into existence by someone","the event that occurred at the beginning of something; "from its creation the plan was doomed to failure"","the act of starting something for the first time; introducing something new; "she looked forward to her initiation as an adult"; "the foundation of a new scientific society"","(theology) God's act of bringing the universe into existence","everything that exists anywhere; "they study the evolution of the universe"; "the biggest tree in existence""
