cyan,"a primary subtractive color for light; has a blue-green color","of a bluish shade of green"
cyclorama,"a picture (or series of pictures) representing a continuous scene"
cycloramas,"a picture (or series of pictures) representing a continuous scene"
cyclos
cycloses,"the circulation of cytoplasm within a cell"
cyclosis,"the circulation of cytoplasm within a cell"
cyder,"a beverage made from juice pressed from apples"
cyders,"a beverage made from juice pressed from apples"
cyeses
cyesis
cygnet,"a young swan"
cygnets,"a young swan"
cylices,"a shallow drinking cup with two handles; used in ancient Greece"
cylinder,"a solid bounded by a cylindrical surface and two parallel planes (the bases)","a surface generated by rotating a parallel line around a fixed line","a chamber within which piston moves","a cylindrical container for oxygen or compressed air"
cylindered
cylindering
cylinders,"a solid bounded by a cylindrical surface and two parallel planes (the bases)","a surface generated by rotating a parallel line around a fixed line","a chamber within which piston moves","a cylindrical container for oxygen or compressed air"
cylix,"a shallow drinking cup with two handles; used in ancient Greece"
cyma,"(architecture) a molding for a cornice; in profile it is shaped like an S (partly concave and partly convex)"
cymae,"(architecture) a molding for a cornice; in profile it is shaped like an S (partly concave and partly convex)"
cymar
cymars
cymas,"(architecture) a molding for a cornice; in profile it is shaped like an S (partly concave and partly convex)"
cymatia,"(architecture) a molding for a cornice; in profile it is shaped like an S (partly concave and partly convex)"
cymatium,"(architecture) a molding for a cornice; in profile it is shaped like an S (partly concave and partly convex)"
cymbal,"a percussion instrument consisting of a concave brass disk; makes a loud crashing sound when hit with a drumstick or when two are struck together"
cymbaler
cymbalers
cymbals,"a percussion instrument consisting of a concave brass disk; makes a loud crashing sound when hit with a drumstick or when two are struck together"
cymbling
cymblings
cyme,"more or less flat-topped cluster of flowers in which the central or terminal flower opens first"
cymene,"any of three isotopes of a colorless aromatic liquid hydrocarbon occurring in the volatile oil of cumin and thyme and used in the manufacture of synthetic resins"
cymenes,"any of three isotopes of a colorless aromatic liquid hydrocarbon occurring in the volatile oil of cumin and thyme and used in the manufacture of synthetic resins"
cymes,"more or less flat-topped cluster of flowers in which the central or terminal flower opens first"
cymlin
cymling,"squash plant having flattened round fruit with a scalloped edge; usually greenish white"
cymlings,"squash plant having flattened round fruit with a scalloped edge; usually greenish white"
cymlins
cymogene
cymogenes
cymoid
cymol
cymols
cymose,"having a usually flat-topped flower cluster in which the main and branch stems each end in a flower that opens before those below it or to its side"
cymosely
cymous
cynic,"someone who is critical of the motives of others","a member of a group of ancient Greek philosophers who advocated the doctrine that virtue is the only good and that the essence of virtue is self-control"
cynical,"believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others"
cynicism,"a cynical feeling of distrust"
cynicisms,"a cynical feeling of distrust"
cynics,"someone who is critical of the motives of others","a member of a group of ancient Greek philosophers who advocated the doctrine that virtue is the only good and that the essence of virtue is self-control"
cynosure,"something that provides guidance (as Polaris guides mariners); "let faith be your cynosure to walk by"","something that strongly attracts attention and admiration; "if he was the cynosure of all eyes he didn't notice""
cynosures,"something that provides guidance (as Polaris guides mariners); "let faith be your cynosure to walk by"","something that strongly attracts attention and admiration; "if he was the cynosure of all eyes he didn't notice""
cypher,"a mathematical element that when added to another number yields the same number","a quantity of no importance; "it looked like nothing I had ever seen before"; "reduced to nil all the work we had done"; "we racked up a pathetic goose egg"; "it was all for naught"; "I didn't hear zilch about it"","a person of no influence","a secret method of writing","a message written in a secret code","convert ordinary language into code; "We should encode the message for security reasons"","make a mathematical calculation or computation"
cyphered
cyphering
cyphers,"a mathematical element that when added to another number yields the same number","a quantity of no importance; "it looked like nothing I had ever seen before"; "reduced to nil all the work we had done"; "we racked up a pathetic goose egg"; "it was all for naught"; "I didn't hear zilch about it"","a person of no influence","a secret method of writing","a message written in a secret code","convert ordinary language into code; "We should encode the message for security reasons"","make a mathematical calculation or computation"
cypres,"large tropical American tree of the genus Cordia grown for its abundant creamy white flowers and valuable wood"
cypreses
cypress,"wood of any of various cypress trees especially of the genus Cupressus","any of numerous evergreen conifers of the genus Cupressus of north temperate regions having dark scalelike leaves and rounded cones"
cypresses
cyprian,"a woman who engages in sexual intercourse for money","a native or inhabitant of Cyprus","of or relating to Cyprus or its people or culture; "Cypriot expatriates"; "Cypriote monasteries"","resembling the ancient orgiastic worship of Aphrodite on Cyprus"
cyprians,"a woman who engages in sexual intercourse for money","a native or inhabitant of Cyprus","of or relating to Cyprus or its people or culture; "Cypriot expatriates"; "Cypriote monasteries"","resembling the ancient orgiastic worship of Aphrodite on Cyprus"
cyprinid,"soft-finned mainly freshwater fishes typically having toothless jaws and cycloid scales","of or relating to members of fish family Cyprinidae"
cyprinids,"soft-finned mainly freshwater fishes typically having toothless jaws and cycloid scales","of or relating to members of fish family Cyprinidae"
cyprus,"a country on the island of Cyprus; 80% of the people are of Greek origin and 20% or Turkish origin","an island in the eastern Mediterranean"
cypruses
cypsela
cypselae
cyst,"a closed sac that develops abnormally in some body structure","a small anatomically normal sac or bladderlike structure (especially one containing fluid)"
cystein
cysteine,"an amino acid containing sulfur that is found in most proteins; oxidizes on exposure to air to form cystine"
cysteines,"an amino acid containing sulfur that is found in most proteins; oxidizes on exposure to air to form cystine"
cysteins
cystic,"of or relating to a normal cyst (as the gallbladder or urinary bladder)","of or relating to or resembling a cyst"
cystine,"a crystalline amino acid found in proteins (especially keratin); discovered in bladder stones"
cystines,"a crystalline amino acid found in proteins (especially keratin); discovered in bladder stones"
cystitides
cystitis,"inflammation of the urinary bladder and ureters"
cystoid
cystoids
cysts,"a closed sac that develops abnormally in some body structure","a small anatomically normal sac or bladderlike structure (especially one containing fluid)"
cytaster
cytasters
cytidine,"a nucleoside component of DNA; composed of cytosine and deoxyribose"
cytidines,"a nucleoside component of DNA; composed of cytosine and deoxyribose"
cytogenies
cytogeny,"the origin and development and variation of cells"
cytologies
cytology,"the branch of biology that studies the structure and function of cells"
cyton
cytons
cytopathological
cytosine,"a base found in DNA and RNA and derived from pyrimidine; pairs with guanine"
cytosines,"a base found in DNA and RNA and derived from pyrimidine; pairs with guanine"
