feal
fearsome,"causing fear or dread or terror; "the awful war"; "an awful risk"; "dire news"; "a career or vengeance so direful that London was shocked"; "the dread presence of the headmaster"; "polio is no longer the dreaded disease it once was"; "a dreadful storm"; "a fearful howling"; "horrendous explosions shook the city"; "a terrible curse""
feasance
feasances
fease
feased
feases
feasibilities
feasibility,"the quality of being doable"
feasible,"capable of being done with means at hand and circumstances as they are"
feasibly,"in a practicable manner; so as to be feasible"
feasing
feast,"a ceremonial dinner party for many people","something experienced with great delight; "a feast for the eyes"","a meal that is well prepared and greatly enjoyed; "a banquet for the graduating seniors"; "the Thanksgiving feast"; "they put out quite a spread"","an elaborate party (often outdoors)","partake in a feast or banquet","provide a feast or banquet for","gratify; "feed one's eyes on a gorgeous view""
feasted
feaster
feasters
feastful
feasting,"eating an elaborate meal (often accompanied by entertainment)"
feasts,"a ceremonial dinner party for many people","something experienced with great delight; "a feast for the eyes"","a meal that is well prepared and greatly enjoyed; "a banquet for the graduating seniors"; "the Thanksgiving feast"; "they put out quite a spread"","an elaborate party (often outdoors)","partake in a feast or banquet","provide a feast or banquet for","gratify; "feed one's eyes on a gorgeous view""
feat,"a notable achievement; "he performed a great feat"; "the book was her finest effort""
feater
featest
feather,"the light horny waterproof structure forming the external covering of birds","turning an oar parallel to the water between pulls","join tongue and groove, in carpentry","cover or fit with feathers","turn the paddle; in canoeing","turn the oar, while rowing","grow feathers; "The young sparrows are fledging already""
feathered,"adorned with feathers or plumes","having or covered with feathers; "our feathered friends""
featherier
featheriest
feathering,"turning an oar parallel to the water between pulls"
featherless,"having no feathers; "a featherless biped"; "the unfeathered legs of an Orpington""
feathers,"the light horny waterproof structure forming the external covering of birds","turning an oar parallel to the water between pulls","join tongue and groove, in carpentry","cover or fit with feathers","turn the paddle; in canoeing","turn the oar, while rowing","grow feathers; "The young sparrows are fledging already""
feathery,"resembling or suggesting a feather or feathers; "feathery palm trees"","characterized by a covering of feathers; "the feathery congregation of jays"","adorned with feathers or plumes"
featlier
featliest
featly
feats,"a notable achievement; "he performed a great feat"; "the book was her finest effort""
feature,"a prominent attribute or aspect of something; "the map showed roads and other features"; "generosity is one of his best characteristics"","the characteristic parts of a person's face: eyes and nose and mouth and chin; "an expression of pleasure crossed his features"; "his lineaments were very regular"","the principal (full-length) film in a program at a movie theater; "the feature tonight is `Casablanca'"","a special or prominent article in a newspaper or magazine; "they ran a feature on retirement planning"","(linguistics) a distinctive characteristic of a linguistic unit that serves to distinguish it from other units of the same kind","an article of merchandise that is displayed or advertised more than other articles","have as a feature; "This restaurant features the most famous chefs in France"","wear or display in an ostentatious or proud manner; "she was sporting a new hat""
featured,"made a feature or highlight; given prominence; "a featured actor"; "a featured item at the sale"","having facial features as specified; usually used in combination; "a grim-featured man""
featureless,"lacking distinguishing characteristics or features; "the featureless landscape of the steppe""
features,"a prominent attribute or aspect of something; "the map showed roads and other features"; "generosity is one of his best characteristics"","the characteristic parts of a person's face: eyes and nose and mouth and chin; "an expression of pleasure crossed his features"; "his lineaments were very regular"","the principal (full-length) film in a program at a movie theater; "the feature tonight is `Casablanca'"","a special or prominent article in a newspaper or magazine; "they ran a feature on retirement planning"","(linguistics) a distinctive characteristic of a linguistic unit that serves to distinguish it from other units of the same kind","an article of merchandise that is displayed or advertised more than other articles","have as a feature; "This restaurant features the most famous chefs in France"","wear or display in an ostentatious or proud manner; "she was sporting a new hat""
featuring
feaze
feazed
feazes
feazing
febrific
febrile,"of or relating to or characterized by fever; "a febrile reaction caused by an allergen""
fecal,"of or relating to feces; "fecal matter""
feces,"solid excretory product evacuated from the bowels"
fecial
fecials
feck
feckless,"not fit to assume responsibility","generally incompetent and ineffectual; "feckless attempts to repair the plumbing"; "inept handling of the account""
feckly
fecks
fecula,"excreta (especially of insects)"
feculae,"excreta (especially of insects)"
feculent,"foul with waste matter"
fecund,"capable of producing offspring or vegetation","intellectually productive; "a prolific writer"; "a fecund imagination""
fecundities
fecundity,"the intellectual productivity of a creative imagination","the state of being fertile; capable of producing offspring","the quality of something that causes or assists healthy growth"
fed,"any federal law-enforcement officer","the central bank of the United States; incorporates 12 Federal Reserve branch banks and all national banks and state-chartered commercial banks and some trust companies; "the Fed seeks to control the United States economy by raising and lowering short-term interest rates and the money supply"","provide as food; "Feed the guests the nuts"","give food to; "Feed the starving children in India"; "don't give the child this tough meat"","feed into; supply; "Her success feeds her vanity"","introduce continuously; "feed carrots into a food processor"","support or promote; "His admiration fed her vanity"","take in food; used of animals only; "This dog doesn't eat certain kinds of meat"; "What do whales eat?"","serve as food for; be the food for; "This dish feeds six"","move along, of liquids; "Water flowed into the cave"; "the Missouri feeds into the Mississippi"","profit from in an exploitatory manner; "He feeds on her insecurity"","gratify; "feed one's eyes on a gorgeous view"","provide with fertilizers or add nutrients to; "We should fertilize soil if we want to grow healthy plants""
fedayee
fedayeen,"(plural) Arab guerrillas who operate mainly against Israel"
federacies
federacy
federal,"a member of the Union Army during the American Civil War","any federal law-enforcement officer","national; especially in reference to the government of the United States as distinct from that of its member units; "the Federal Bureau of Investigation"; "federal courts"; "the federal highway program"; "federal property"","of or relating to the central government of a federation; "a federal district is one set aside as the seat of the national government"","being of or having to do with the northern United States and those loyal to the Union during the American Civil War; "Union soldiers"; "Federal forces"; "a Federal infantryman"","characterized by or constituting a form of government in which power is divided between one central and several regional authorities; "a federal system like that of the United States"; "federal governments often evolved out of confederations""
federalism,"the idea of a federal organization of more or less self-governing units"
federalisms,"the idea of a federal organization of more or less self-governing units"
federalist,"a member of a former political party in the United States that favored a strong centralized federal government","an advocate of federalism"
federalists,"a member of a former political party in the United States that favored a strong centralized federal government","an advocate of federalism"
federally,"by federal government; "it's federally regulated""
federals,"a member of the Union Army during the American Civil War","any federal law-enforcement officer","national; especially in reference to the government of the United States as distinct from that of its member units; "the Federal Bureau of Investigation"; "federal courts"; "the federal highway program"; "federal property"","of or relating to the central government of a federation; "a federal district is one set aside as the seat of the national government"","being of or having to do with the northern United States and those loyal to the Union during the American Civil War; "Union soldiers"; "Federal forces"; "a Federal infantryman"","characterized by or constituting a form of government in which power is divided between one central and several regional authorities; "a federal system like that of the United States"; "federal governments often evolved out of confederations""
federate,"enter into a league for a common purpose; "The republics federated to become the Soviet Union"","unite on a federal basis or band together as a league; "The country was federated after the civil war"","united under a central government"
federated,"united under a central government"
federates,"enter into a league for a common purpose; "The republics federated to become the Soviet Union"","unite on a federal basis or band together as a league; "The country was federated after the civil war"","united under a central government"
federating
federation,"an organization formed by merging several groups or parties","a union of political organizations","the act of constituting a political unity out of a number of separate states or colonies or provinces so that each member retains the management of its internal affairs"
federations,"an organization formed by merging several groups or parties","a union of political organizations","the act of constituting a political unity out of a number of separate states or colonies or provinces so that each member retains the management of its internal affairs"
fedora,"a hat made of felt with a creased crown"
fedoras,"a hat made of felt with a creased crown"
feds,"any federal law-enforcement officer","the central bank of the United States; incorporates 12 Federal Reserve branch banks and all national banks and state-chartered commercial banks and some trust companies; "the Fed seeks to control the United States economy by raising and lowering short-term interest rates and the money supply"","provide as food; "Feed the guests the nuts"","give food to; "Feed the starving children in India"; "don't give the child this tough meat"","feed into; supply; "Her success feeds her vanity"","introduce continuously; "feed carrots into a food processor"","support or promote; "His admiration fed her vanity"","take in food; used of animals only; "This dog doesn't eat certain kinds of meat"; "What do whales eat?"","serve as food for; be the food for; "This dish feeds six"","move along, of liquids; "Water flowed into the cave"; "the Missouri feeds into the Mississippi"","profit from in an exploitatory manner; "He feeds on her insecurity"","gratify; "feed one's eyes on a gorgeous view"","provide with fertilizers or add nutrients to; "We should fertilize soil if we want to grow healthy plants""
fee,"a fixed charge for a privilege or for professional services","an interest in land capable of being inherited","give a tip or gratuity to in return for a service, beyond the compensation agreed on; "Remember to tip the waiter"; "fee the steward""
feeble,"pathetically lacking in force or effectiveness; "a feeble excuse"; "a lame argument"","lacking strength or vigor; "damning with faint praise"; "faint resistance"; "feeble efforts"; "a feeble voice"","lacking bodily or muscular strength or vitality; "a feeble old woman"; "her body looked sapless"","lacking strength; "a weak, nerveless fool, devoid of energy and promptitude"- Nathaniel Hawthorne"
feebleminded,"retarded in intellectual development"
feeblemindedness,"severe mental deficiency"
feeblemindednesses
feebleness,"the state of being weak in health or body (especially from old age)","the quality of lacking intensity or substance; "a shrill yet sweet tenuity of voice"- Nathaniel Hawthorne"
feeblenesses
feebler
feeblest
feeblish
feebly,"in a faint and feeble manner; "the lighthouse, flashing feebly against the sleet-blurred, rocky backdrop of the coast of north west Norway"","in a halting and feeble manner; "reform, in fact, is, rather feebly, on the win""
feed,"food for domestic livestock","provide as food; "Feed the guests the nuts"","give food to; "Feed the starving children in India"; "don't give the child this tough meat"","feed into; supply; "Her success feeds her vanity"","introduce continuously; "feed carrots into a food processor"","support or promote; "His admiration fed her vanity"","take in food; used of animals only; "This dog doesn't eat certain kinds of meat"; "What do whales eat?"","serve as food for; be the food for; "This dish feeds six"","move along, of liquids; "Water flowed into the cave"; "the Missouri feeds into the Mississippi"","profit from in an exploitatory manner; "He feeds on her insecurity"","gratify; "feed one's eyes on a gorgeous view"","provide with fertilizers or add nutrients to; "We should fertilize soil if we want to grow healthy plants""
feedable
feedback,"the process in which part of the output of a system is returned to its input in order to regulate its further output","response to an inquiry or experiment"
feedbacks,"the process in which part of the output of a system is returned to its input in order to regulate its further output","response to an inquiry or experiment"
feedbag,"a canvas bag that is used to feed an animal (such as a horse); covers the muzzle and fastens at the top of the head"
feedbags,"a canvas bag that is used to feed an animal (such as a horse); covers the muzzle and fastens at the top of the head"
feedbox
feedboxes
feeder,"an animal being fattened or suitable for fattening","someone who consumes food for nourishment","a branch that flows into the main stream","a machine that automatically provides a supply of some material; "the feeder discharged feed into a trough for the livestock"","an outdoor device that supplies food for wild birds","an animal that feeds on a particular source of food; "a bark feeder"; "a mud feeder""
feeders,"an animal being fattened or suitable for fattening","someone who consumes food for nourishment","a branch that flows into the main stream","a machine that automatically provides a supply of some material; "the feeder discharged feed into a trough for the livestock"","an outdoor device that supplies food for wild birds","an animal that feeds on a particular source of food; "a bark feeder"; "a mud feeder""
feeding,"the act of consuming food","the act of supplying food and nourishment"
feedlot,"a building where livestock are fattened for market"
feedlots,"a building where livestock are fattened for market"
feeds,"food for domestic livestock","provide as food; "Feed the guests the nuts"","give food to; "Feed the starving children in India"; "don't give the child this tough meat"","feed into; supply; "Her success feeds her vanity"","introduce continuously; "feed carrots into a food processor"","support or promote; "His admiration fed her vanity"","take in food; used of animals only; "This dog doesn't eat certain kinds of meat"; "What do whales eat?"","serve as food for; be the food for; "This dish feeds six"","move along, of liquids; "Water flowed into the cave"; "the Missouri feeds into the Mississippi"","profit from in an exploitatory manner; "He feeds on her insecurity"","gratify; "feed one's eyes on a gorgeous view"","provide with fertilizers or add nutrients to; "We should fertilize soil if we want to grow healthy plants""
feeing
feel,"an intuitive awareness; "he has a feel for animals" or "it's easy when you get the feel of it";","the general atmosphere of a place or situation and the effect that it has on people; "the feel of the city excited him"; "a clergyman improved the tone of the meeting"; "it had the smell of treason"","a property perceived by touch","manual stimulation of the genital area for sexual pleasure; "the girls hated it when he tried to sneak a feel"","undergo an emotional sensation or be in a particular state of mind; "She felt resentful"; "He felt regret"","come to believe on the basis of emotion, intuitions, or indefinite grounds; "I feel that he doesn't like me"; "I find him to be obnoxious"; "I found the movie rather entertaining"","perceive by a physical sensation, e.g., coming from the skin or muscles; "He felt the wind"; "She felt an object brushing her arm"; "He felt his flesh crawl"; "She felt the heat when she got out of the car"","be conscious of a physical, mental, or emotional state; "My cold is gone--I feel fine today"; "She felt tired after the long hike"; "She felt sad after her loss"","have a feeling or perception about oneself in reaction to someone's behavior or attitude; "She felt small and insignificant"; "You make me feel naked"; "I made the students feel different about themselves"","undergo passive experience of:"We felt the effects of inflation"; "her fingers felt their way through the string quartet"; "she felt his contempt of her"","be felt or perceived in a certain way; "The ground feels shaky"; "The sheets feel soft"","grope or feel in search of something; "He felt for his wallet"","examine by touch; "Feel this soft cloth!"; "The customer fingered the sweater"","examine (a body part) by palpation; "The nurse palpated the patient's stomach"; "The runner felt her pulse"","find by testing or cautious exploration; "He felt his way around the dark room"","produce a certain impression; "It feels nice to be home again"","pass one's hands over the sexual organs of; "He felt the girl in the movie theater""
feeler,"one of a pair of mobile appendages on the head of e.g. insects and crustaceans; typically sensitive to touch and taste","a tentative suggestion designed to elicit the reactions of others; "she rejected his advances"","sensitivity similar to that of a receptor organ; "he had a special antenna for public relations"","slender tactile process on the jaws of a fish"
feelers,"one of a pair of mobile appendages on the head of e.g. insects and crustaceans; typically sensitive to touch and taste","a tentative suggestion designed to elicit the reactions of others; "she rejected his advances"","sensitivity similar to that of a receptor organ; "he had a special antenna for public relations"","slender tactile process on the jaws of a fish"
feeless
feeling,"the experiencing of affective and emotional states; "she had a feeling of euphoria"; "he had terrible feelings of guilt"; "I disliked him and the feeling was mutual"","a vague idea in which some confidence is placed; "his impression of her was favorable"; "what are your feelings about the crisis?"; "it strengthened my belief in his sincerity"; "I had a feeling that she was lying"","the general atmosphere of a place or situation and the effect that it has on people; "the feel of the city excited him"; "a clergyman improved the tone of the meeting"; "it had the smell of treason"","a physical sensation that you experience; "he had a queasy feeling"; "I had a strange feeling in my leg"; "he lost all feeling in his arm"","the sensation produced by pressure receptors in the skin; "she likes the touch of silk on her skin"; "the surface had a greasy feeling"","an intuitive understanding of something; "he had a great feeling for music""
feelings,"emotional or moral sensitivity (especially in relation to personal principles or dignity); "the remark hurt his feelings""
feels,"an intuitive awareness; "he has a feel for animals" or "it's easy when you get the feel of it";","the general atmosphere of a place or situation and the effect that it has on people; "the feel of the city excited him"; "a clergyman improved the tone of the meeting"; "it had the smell of treason"","a property perceived by touch","manual stimulation of the genital area for sexual pleasure; "the girls hated it when he tried to sneak a feel"","undergo an emotional sensation or be in a particular state of mind; "She felt resentful"; "He felt regret"","come to believe on the basis of emotion, intuitions, or indefinite grounds; "I feel that he doesn't like me"; "I find him to be obnoxious"; "I found the movie rather entertaining"","perceive by a physical sensation, e.g., coming from the skin or muscles; "He felt the wind"; "She felt an object brushing her arm"; "He felt his flesh crawl"; "She felt the heat when she got out of the car"","be conscious of a physical, mental, or emotional state; "My cold is gone--I feel fine today"; "She felt tired after the long hike"; "She felt sad after her loss"","have a feeling or perception about oneself in reaction to someone's behavior or attitude; "She felt small and insignificant"; "You make me feel naked"; "I made the students feel different about themselves"","undergo passive experience of:"We felt the effects of inflation"; "her fingers felt their way through the string quartet"; "she felt his contempt of her"","be felt or perceived in a certain way; "The ground feels shaky"; "The sheets feel soft"","grope or feel in search of something; "He felt for his wallet"","examine by touch; "Feel this soft cloth!"; "The customer fingered the sweater"","examine (a body part) by palpation; "The nurse palpated the patient's stomach"; "The runner felt her pulse"","find by testing or cautious exploration; "He felt his way around the dark room"","produce a certain impression; "It feels nice to be home again"","pass one's hands over the sexual organs of; "He felt the girl in the movie theater""
fees,"a fixed charge for a privilege or for professional services","an interest in land capable of being inherited","give a tip or gratuity to in return for a service, beyond the compensation agreed on; "Remember to tip the waiter"; "fee the steward""
feet,"the part of the leg of a human being below the ankle joint; "his bare feet projected from his trousers"; "armored from head to foot"","a linear unit of length equal to 12 inches or a third of a yard; "he is six feet tall"","the lower part of anything; "curled up on the foot of the bed"; "the foot of the page"; "the foot of the list"; "the foot of the mountain"","the pedal extremity of vertebrates other than human beings","lowest support of a structure; "it was built on a base of solid rock"; "he stood at the foot of the tower"","any of various organs of locomotion or attachment in invertebrates","travel by walking; "he followed on foot"; "the swiftest of foot"","a member of a surveillance team who works on foot or rides as a passenger","an army unit consisting of soldiers who fight on foot; "there came ten thousand horsemen and as many fully-armed foot"","(prosody) a group of 2 or 3 syllables forming the basic unit of poetic rhythm","a support resembling a pedal extremity; "one foot of the chair was on the carpet""
feetless
feeze
feezed
feezes
feezing
feign,"make believe with the intent to deceive; "He feigned that he was ill"; "He shammed a headache"","make a pretence of; "She assumed indifference, even though she was seething with anger"; "he feigned sleep""
feigned,"not genuine; "feigned sympathy""
feigner
feigners
feigning,"pretending with intention to deceive","the act of giving a false appearance; "his conformity was only pretending""
feigns,"make believe with the intent to deceive; "He feigned that he was ill"; "He shammed a headache"","make a pretence of; "She assumed indifference, even though she was seething with anger"; "he feigned sleep""
feint,"any distracting or deceptive maneuver (as a mock attack)","deceive by a mock action; "The midfielder feinted to shoot""
feinted
feinting
feints,"any distracting or deceptive maneuver (as a mock attack)","deceive by a mock action; "The midfielder feinted to shoot""
feirie
feist,"a nervous belligerent little mongrel dog"
feistier,"showing courage; "the champion is faced with a feisty challenger"","quick to take offense"
feistiest,"showing courage; "the champion is faced with a feisty challenger"","quick to take offense"
feists,"a nervous belligerent little mongrel dog"
feisty,"showing courage; "the champion is faced with a feisty challenger"","quick to take offense"
feldspar,"any of a group of hard crystalline minerals that consist of aluminum silicates of potassium or sodium or calcium or barium"
feldspars,"any of a group of hard crystalline minerals that consist of aluminum silicates of potassium or sodium or calcium or barium"
felicitate,"express congratulations"
felicitated
felicitates,"express congratulations"
felicitating
felicitation,"(usually plural) an expression of pleasure at the success or good fortune of another; "I sent them my sincere congratulations on their marriage"","the act of acknowledging that someone has an occasion for celebration"
felicitations,"(usually plural) an expression of pleasure at the success or good fortune of another; "I sent them my sincere congratulations on their marriage"","the act of acknowledging that someone has an occasion for celebration"
felicities
felicitous,"exhibiting an agreeably appropriate manner or style; "a felicitous speaker"","marked by good fortune; "a felicitous life"; "a happy outcome""
felicitously,"in a felicitous manner; "a not felicitously chosen word""
felicity,"pleasing and appropriate manner or style (especially manner or style of expression)","state of well-being characterized by emotions ranging from contentment to intense joy"
felid,"any of various lithe-bodied roundheaded fissiped mammals, many with retractile claws"
felids,"any of various lithe-bodied roundheaded fissiped mammals, many with retractile claws"
feline,"any of various lithe-bodied roundheaded fissiped mammals, many with retractile claws","of or relating to cats; "feline fur""
felinely
felines,"any of various lithe-bodied roundheaded fissiped mammals, many with retractile claws","of or relating to cats; "feline fur""
felinities
felinity
fell,"the dressed skin of an animal (especially a large animal)","seam made by turning under or folding together and stitching the seamed materials to avoid rough edges","the act of felling something (as a tree)","cause to fall by or as if by delivering a blow; "strike down a tree"; "Lightning struck down the hikers"","pass away rapidly; "Time flies like an arrow"; "Time fleeing beneath him"","sew a seam by folding the edges","(of persons or their actions) able or disposed to inflict pain or suffering; "a barbarous crime"; "brutal beatings"; "cruel tortures"; "Stalin's roughshod treatment of the kulaks"; "a savage slap"; "vicious kicks""
fella,"a boy or man; "that chap is your host"; "there's a fellow at the door"; "he's a likable cuss"; "he's a good bloke""
fellable
fellah,"an agricultural laborer in Arab countries"
fellaheen,"an agricultural laborer in Arab countries"
fellahin,"an agricultural laborer in Arab countries"
fellahs,"an agricultural laborer in Arab countries"
fellas,"a boy or man; "that chap is your host"; "there's a fellow at the door"; "he's a likable cuss"; "he's a good bloke""
fellatio,"oral stimulation of the penis"
fellatios,"oral stimulation of the penis"
felled
feller,"a person who fells trees","a boy or man; "that chap is your host"; "there's a fellow at the door"; "he's a likable cuss"; "he's a good bloke""
fellers,"a person who fells trees","a boy or man; "that chap is your host"; "there's a fellow at the door"; "he's a likable cuss"; "he's a good bloke""
fellest
fellies
felling
fellness
fellnesses
felloe,"rim (or part of the rim) into which spokes are inserted"
felloes,"rim (or part of the rim) into which spokes are inserted"
fellow,"a boy or man; "that chap is your host"; "there's a fellow at the door"; "he's a likable cuss"; "he's a good bloke"","a friend who is frequently in the company of another; "drinking companions"; "comrades in arms"","a person who is member of one's class or profession; "the surgeon consulted his colleagues"; "he sent e-mail to his fellow hackers"","one of a pair; "he lost the mate to his shoe"; "one eye was blue but its fellow was brown"","a member of a learned society; "he was elected a fellow of the American Physiological Association"","an informal form of address for a man; "Say, fellow, what are you doing?"; "Hey buster, what's up?"","a man who is the lover of a girl or young woman; "if I'd known he was her boyfriend I wouldn't have asked""
fellowed
fellowing
fellowly
fellowman
fellowmen
fellows,"a boy or man; "that chap is your host"; "there's a fellow at the door"; "he's a likable cuss"; "he's a good bloke"","a friend who is frequently in the company of another; "drinking companions"; "comrades in arms"","a person who is member of one's class or profession; "the surgeon consulted his colleagues"; "he sent e-mail to his fellow hackers"","one of a pair; "he lost the mate to his shoe"; "one eye was blue but its fellow was brown"","a member of a learned society; "he was elected a fellow of the American Physiological Association"","an informal form of address for a man; "Say, fellow, what are you doing?"; "Hey buster, what's up?"","a man who is the lover of a girl or young woman; "if I'd known he was her boyfriend I wouldn't have asked""
fellowship,"an association of people who share common beliefs or activities; "the message was addressed not just to employees but to every member of the company family"; "the church welcomed new members into its fellowship"","the state of being with someone; "he missed their company"; "he enjoyed the society of his friends"","money granted (by a university or foundation or other agency) for advanced study or research"
fellowships,"an association of people who share common beliefs or activities; "the message was addressed not just to employees but to every member of the company family"; "the church welcomed new members into its fellowship"","the state of being with someone; "he missed their company"; "he enjoyed the society of his friends"","money granted (by a university or foundation or other agency) for advanced study or research"
fells,"the dressed skin of an animal (especially a large animal)","seam made by turning under or folding together and stitching the seamed materials to avoid rough edges","the act of felling something (as a tree)","cause to fall by or as if by delivering a blow; "strike down a tree"; "Lightning struck down the hikers"","pass away rapidly; "Time flies like an arrow"; "Time fleeing beneath him"","sew a seam by folding the edges","(of persons or their actions) able or disposed to inflict pain or suffering; "a barbarous crime"; "brutal beatings"; "cruel tortures"; "Stalin's roughshod treatment of the kulaks"; "a savage slap"; "vicious kicks""
felly,"rim (or part of the rim) into which spokes are inserted"
felon,"someone who has committed a crime or has been legally convicted of a crime","a purulent infection at the end of a finger or toe in the area surrounding the nail"
felonies
felonious,"involving or being or having the nature of a crime; "a criminal offense"; "criminal abuse"; "felonious intent""
felonries
felonry
felons,"someone who has committed a crime or has been legally convicted of a crime","a purulent infection at the end of a finger or toe in the area surrounding the nail"
felony,"a serious crime (such as murder or arson)"
felsite
felsites
felsitic
felspar,"any of a group of hard crystalline minerals that consist of aluminum silicates of potassium or sodium or calcium or barium"
felspars,"any of a group of hard crystalline minerals that consist of aluminum silicates of potassium or sodium or calcium or barium"
felstone
felstones
felt,"a fabric made of compressed matted animal fibers","mat together and make felt-like; "felt the wool"","cover with felt; "felt a cap"","change texture so as to become matted and felt-like; "The fabric felted up after several washes""
felted,"made by combining fibers with a binder using heat and pressure; "felt is a felted cloth""
felting
feltings
felts,"a fabric made of compressed matted animal fibers","mat together and make felt-like; "felt the wool"","cover with felt; "felt a cap"","change texture so as to become matted and felt-like; "The fabric felted up after several washes""
felucca,"a fast narrow sailing ship of the Mediterranean"
feluccas,"a fast narrow sailing ship of the Mediterranean"
felwort,"gentian of Europe and China having creamy white flowers with fringed corollas"
felworts,"gentian of Europe and China having creamy white flowers with fringed corollas"
female,"an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)","a person who belongs to the sex that can have babies","being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop; "a female heir"; "female holly trees bear the berries"","characteristic of or peculiar to a woman; "female sensitiveness"; "female suffrage"","for or pertaining to or composed of women or girls; "the female lead in the play"; "a female chorus""
females,"an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)","a person who belongs to the sex that can have babies","being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop; "a female heir"; "female holly trees bear the berries"","characteristic of or peculiar to a woman; "female sensitiveness"; "female suffrage"","for or pertaining to or composed of women or girls; "the female lead in the play"; "a female chorus""
feme
femes
feminacies
feminacy
feminie
feminine,"a gender that refers chiefly (but not exclusively) to females or to objects classified as female","associated with women and not with men; "feminine intuition"","of grammatical gender","befitting or characteristic of a woman especially a mature woman; "womanly virtues of gentleness and compassion"","(music or poetry) ending on an unaccented beat or syllable; "a feminine ending""
feminines,"a gender that refers chiefly (but not exclusively) to females or to objects classified as female","associated with women and not with men; "feminine intuition"","of grammatical gender","befitting or characteristic of a woman especially a mature woman; "womanly virtues of gentleness and compassion"","(music or poetry) ending on an unaccented beat or syllable; "a feminine ending""
femininities
femininity,"the trait of behaving in ways considered typical for women"
feminise,"assume (more) feminine characteristics; "feminized language"; "feminized frogs"","to give a (more) feminine, effeminate, or womanly quality or appearance to; "This hairdo feminizes the man""
feminised
feminises,"assume (more) feminine characteristics; "feminized language"; "feminized frogs"","to give a (more) feminine, effeminate, or womanly quality or appearance to; "This hairdo feminizes the man""
feminising
feminism,"a doctrine that advocates equal rights for women","the movement aimed at equal rights for women"
feminisms,"a doctrine that advocates equal rights for women","the movement aimed at equal rights for women"
feminist,"a supporter of feminism","of or relating to or advocating equal rights for women; "feminist critique""
feminists,"a supporter of feminism","of or relating to or advocating equal rights for women; "feminist critique""
feminities
feminity
feminization,"the process of becoming feminized; the development of female characteristics (loss of facial hair or breast enlargement) in a male because of hormonal disorders or castration"
feminizations,"the process of becoming feminized; the development of female characteristics (loss of facial hair or breast enlargement) in a male because of hormonal disorders or castration"
feminize,"assume (more) feminine characteristics; "feminized language"; "feminized frogs"","to give a (more) feminine, effeminate, or womanly quality or appearance to; "This hairdo feminizes the man""
feminized
feminizes,"assume (more) feminine characteristics; "feminized language"; "feminized frogs"","to give a (more) feminine, effeminate, or womanly quality or appearance to; "This hairdo feminizes the man""
feminizing
femme
femmes
femora,"the longest and thickest bone of the human skeleton; extends from the pelvis to the knee"
femoral,"of or relating to or near the femur or thigh"
