sea,"a division of an ocean or a large body of salt water partially enclosed by land","anything apparently limitless in quantity or volume","turbulent water with swells of considerable size; "heavy seas""
seabag,"a cylindrical drawstring bag used by sailors to hold their clothing and other gear"
seamy,"showing a seam","morally degraded; "a seedy district"; "the seamy side of life"; "sleazy characters hanging around casinos"; "sleazy storefronts with...dirt on the walls"- Seattle Weekly; "the sordid details of his orgies stank under his very nostrils"- James Joyce; "the squalid atmosphere of intrigue and betrayal""
seance,"a meeting of spiritualists; "the seance was held in the medium's parlor""
seances,"a meeting of spiritualists; "the seance was held in the medium's parlor""
seapiece
seapieces
seaplane,"an airplane that can land on or take off from water; "the designer of marine aircraft demonstrated his newest hydroplane"","glide on the water in a hydroplane"
seaplanes,"an airplane that can land on or take off from water; "the designer of marine aircraft demonstrated his newest hydroplane"","glide on the water in a hydroplane"
seaport,"a sheltered port where ships can take on or discharge cargo"
seaports,"a sheltered port where ships can take on or discharge cargo"
seaquake,"an earthquake at the sea bed"
seaquakes,"an earthquake at the sea bed"
sear,"make very hot and dry; "The heat scorched the countryside"","become superficially burned; "my eyebrows singed when I bent over the flames"","burn slightly and superficially so as to affect color; "The cook blackened the chicken breast"; "The fire charred the ceiling above the mantelpiece"; "the flames scorched the ceiling"","cause to wither or parch from exposure to heat; "The sun parched the earth"","(used especially of vegetation) having lost all moisture; "dried-up grass"; "the desert was edged with sere vegetation"; "shriveled leaves on the unwatered seedlings"; "withered vines""
search,"the activity of looking thoroughly in order to find something or someone","an investigation seeking answers; "a thorough search of the ledgers revealed nothing"; "the outcome justified the search"","an operation that determines whether one or more of a set of items has a specified property; "they wrote a program to do a table lookup"","the examination of alternative hypotheses; "his search for a move that would avoid checkmate was unsuccessful"","boarding and inspecting a ship on the high seas; "right of search"","try to locate or discover, or try to establish the existence of; "The police are searching for clues"; "They are searching for the missing man in the entire county"","search or seek; "We looked all day and finally found the child in the forest"; "Look elsewhere for the perfect gift!"","inquire into; "the students had to research the history of the Second World War for their history project"; "He searched for information on his relatives on the web"; "Scientists are exploring the nature of consciousness"","subject to a search; "The police searched the suspect"; "We searched the whole house for the missing keys""
searched
searcher,"someone making a search or inquiry; "they are seekers after truth"","a customs official whose job is to search baggage or goods or vehicles for contraband or dutiable items","large metallic blue-green beetle that preys on caterpillars; found in North America"
searchers,"someone making a search or inquiry; "they are seekers after truth"","a customs official whose job is to search baggage or goods or vehicles for contraband or dutiable items","large metallic blue-green beetle that preys on caterpillars; found in North America"
searches
searching,"diligent and thorough in inquiry or investigation; "a probing inquiry"; "a searching investigation of their past dealings"","having keenness and forcefulness and penetration in thought, expression, or intellect; "searching insights"; "trenchant criticism"","exploring thoroughly"
searchlight,"a light source with reflectors that projects a beam of light in a particular direction"
searchlights,"a light source with reflectors that projects a beam of light in a particular direction"
seared,"having the surface burned quickly with intense heat; "the seared meat is then covered with hot liquid for braising""
searer
searest
searing,"severely critical"
sears,"make very hot and dry; "The heat scorched the countryside"","become superficially burned; "my eyebrows singed when I bent over the flames"","burn slightly and superficially so as to affect color; "The cook blackened the chicken breast"; "The fire charred the ceiling above the mantelpiece"; "the flames scorched the ceiling"","cause to wither or parch from exposure to heat; "The sun parched the earth"","(used especially of vegetation) having lost all moisture; "dried-up grass"; "the desert was edged with sere vegetation"; "shriveled leaves on the unwatered seedlings"; "withered vines""
seas,"a division of an ocean or a large body of salt water partially enclosed by land","anything apparently limitless in quantity or volume","turbulent water with swells of considerable size; "heavy seas""
seascape,"a view of the sea","a painting of the sea (as distinguished from a landscape)"
seascapes,"a view of the sea","a painting of the sea (as distinguished from a landscape)"
seascout
seascouts
seashell,"the shell of a marine organism"
seashells,"the shell of a marine organism"
seashore,"the shore of a sea or ocean"
seashores,"the shore of a sea or ocean"
seasick,"experiencing motion sickness"
seasickness,"motion sickness experienced while traveling on water"
seasicknesses
seaside,"the shore of a sea or ocean regarded as a resort"
seasides,"the shore of a sea or ocean regarded as a resort"
season,"a period of the year marked by special events or activities in some field; "he celebrated his 10th season with the ballet company"; "she always looked forward to the avocado season"","one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions; "the regular sequence of the seasons"","a recurrent time marked by major holidays; "it was the Christmas season"","lend flavor to; "Season the chicken breast after roasting it"","make fit; "This trip will season even the hardiest traveller"","make more temperate, acceptable, or suitable by adding something else; moderate; "she tempered her criticism""
seasonable,"in keeping with the season; "a hard but seasonable frost"; "seasonable clothes"","done or happening at the appropriate or proper time; "a timely warning"; "with timely treatment the patient has a good chance of recovery"; "a seasonable time for discussion"; "the book's publication was well timed""
seasonably,"in accordance with the season; "it was seasonably cold"","at an opportune time; "your letter arrived apropos""
seasonal,"a worker who finds employment only in certain seasons","occurring at or dependent on a particular season; "seasonal labor"; "a seasonal rise in unemployment""
seasonally,"depending on the season; "prices are seasonally adjusted""
seasoned,"aged or processed; "seasoned wood"","rendered competent through trial and experience; "a seasoned traveler"; "veteran steadiness"; "a veteran officer""
seasoner,"a cook who uses seasonings; "the cook is a light seasoner"","something added to food primarily for the savor it imparts"
seasoners,"a cook who uses seasonings; "the cook is a light seasoner"","something added to food primarily for the savor it imparts"
seasoning,"something added to food primarily for the savor it imparts","the act of adding a seasoning to food"
seasons,"a period of the year marked by special events or activities in some field; "he celebrated his 10th season with the ballet company"; "she always looked forward to the avocado season"","one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions; "the regular sequence of the seasons"","a recurrent time marked by major holidays; "it was the Christmas season"","lend flavor to; "Season the chicken breast after roasting it"","make fit; "This trip will season even the hardiest traveller"","make more temperate, acceptable, or suitable by adding something else; moderate; "she tempered her criticism""
seat,"a space reserved for sitting (as in a theater or on a train or airplane); "he booked their seats in advance"; "he sat in someone else's place"","the fleshy part of the human body that you sit on; "he deserves a good kick in the butt"; "are you going to sit on your fanny and do nothing?"","furniture that is designed for sitting on; "there were not enough seats for all the guests"","any support where you can sit (especially the part of a chair or bench etc. on which you sit); "he dusted off the seat before sitting down"","a center of authority (as a city from which authority is exercised)","the location (metaphorically speaking) where something is based; "the brain is said to be the seat of reason"","the legal right to sit as a member in a legislative or similar body; "he was elected to a seat in the Senate"","a part of a machine that supports or guides another part","the cloth covering for the buttocks; "the seat of his pants was worn through"","show to a seat; assign a seat for; "The host seated me next to Mrs. Smith"","be able to seat; "The theater seats 2,000"","place ceremoniously or formally in an office or position; "there was a ceremony to induct the president of the Academy"","put a seat on a chair","provide with seats; "seat a concert hall"","place or attach firmly in or on a base; "seat the camera on the tripod"","place in or on a seat; "the mother seated the toddler on the high chair""
seated,"(of persons) having the torso erect and legs bent with the body supported on the buttocks; "the seated Madonna"; "the audience remained seated""
seater
seaters
seating,"an area that includes places where several people can sit; "there is seating for 40 students in this classroom"","the service of ushering people to their seats"
seatings,"an area that includes places where several people can sit; "there is seating for 40 students in this classroom"","the service of ushering people to their seats"
seatless
seatmate
seatmates
seatrain
seatrains
seats,"an area that includes places where several people can sit; "there is seating for 40 students in this classroom"","show to a seat; assign a seat for; "The host seated me next to Mrs. Smith"","be able to seat; "The theater seats 2,000"","place ceremoniously or formally in an office or position; "there was a ceremony to induct the president of the Academy"","put a seat on a chair","provide with seats; "seat a concert hall"","place or attach firmly in or on a base; "seat the camera on the tripod"","place in or on a seat; "the mother seated the toddler on the high chair""
seatwork
seatworks
seawall,"a protective structure of stone or concrete; extends from shore into the water to prevent a beach from washing away"
seawalls,"a protective structure of stone or concrete; extends from shore into the water to prevent a beach from washing away"
seawan
seawans
seawant
seawants
seaward,"the direction toward the sea","(of winds) coming from the land; "offshore winds"","(of winds) coming from the sea toward the land; "an inshore breeze"; "an onshore gale"; "sheltered from seaward winds"","directed or situated away from inland regions and toward the sea or coast; "from the hill he took a seaward course"; "on the seaward side of the road"","in the direction of the sea; "the sailor looked seaward""
seawards,"the direction toward the sea","(of winds) coming from the land; "offshore winds"","(of winds) coming from the sea toward the land; "an inshore breeze"; "an onshore gale"; "sheltered from seaward winds"","directed or situated away from inland regions and toward the sea or coast; "from the hill he took a seaward course"; "on the seaward side of the road"","in the direction of the sea; "the sailor looked seaward""
seaware
seawares
seawater,"water containing salts; "the water in the ocean is all saltwater""
seawaters,"water containing salts; "the water in the ocean is all saltwater""
seaway,"a lane at sea that is a regularly used route for vessels"
seaways,"a lane at sea that is a regularly used route for vessels"
seaweed,"plant growing in the sea, especially marine algae"
seaweeds,"plant growing in the sea, especially marine algae"
seaworthy,"fit for a sea voyage"
sebacic
sebasic
sebum,"the oily secretion of the sebaceous glands; with perspiration it moistens and protects the skin"
sebums,"the oily secretion of the sebaceous glands; with perspiration it moistens and protects the skin"
sec,"1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites","ratio of the hypotenuse to the adjacent side of a right-angled triangle","an independent federal agency that oversees the exchange of securities to protect investors","(of champagne) moderately dry"
secant,"a straight line that intersects a curve at two or more points","ratio of the hypotenuse to the adjacent side of a right-angled triangle"
secantly
secants,"a straight line that intersects a curve at two or more points","ratio of the hypotenuse to the adjacent side of a right-angled triangle"
secateur
secateurs,"small pruning shears with a spring that holds the handles open and a single blade that closes against a flat surface"
secco
seccos
secede,"withdraw from an organization or communion; "After the break up of the Soviet Union, many republics broke away""
seceded
seceder
seceders
secedes,"withdraw from an organization or communion; "After the break up of the Soviet Union, many republics broke away""
seceding
secern,"mark as different; "We distinguish several kinds of maple""
secerned
secerning
secerns,"mark as different; "We distinguish several kinds of maple""
seclude,"keep away from others; "He sequestered himself in his study to write a book""
secluded,"hidden from general view or use; "a privy place to rest and think"; "a secluded romantic spot"; "a secret garden"","providing privacy or seclusion; "the cloistered academic world of books"; "sat close together in the sequestered pergola"; "sitting under the reclusive calm of a shade tree"; "a secluded romantic spot""
secludes,"keep away from others; "He sequestered himself in his study to write a book""
secluding
seclusion,"the quality of being secluded from the presence or view of others","the act of secluding yourself from others"
seclusions,"the quality of being secluded from the presence or view of others","the act of secluding yourself from others"
second,"1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites","an indefinitely short time; "wait just a moment"; "in a mo"; "it only takes a minute"; "in just a bit"","the fielding position of the player on a baseball team who is stationed near the second of the bases in the infield","a particular point in time; "the moment he arrived the party began"","following the first in an ordering or series; "he came in a close second"","a 60th part of a minute of arc; "the treasure is 2 minutes and 45 seconds south of here"","the official attendant of a contestant in a duel or boxing match","a speech seconding a motion; "do I hear a second?"","the gear that has the second lowest forward gear ratio in the gear box of a motor vehicle; "he had to shift down into second to make the hill"","merchandise that has imperfections; usually sold at a reduced price without the brand name","give support or one's approval to; "I'll second that motion"; "I can't back this plan"; "endorse a new project"","transfer an employee to a different, temporary assignment; "The officer was seconded for duty overseas"","coming next after the first in position in space or time or degree or magnitude","a part or voice or instrument or orchestra section lower in pitch than or subordinate to the first; "second flute"; "the second violins"","in the second place; "second, we must consider the economy""
secondary,"the defensive football players who line up behind the linemen","coil such that current is induced in it by passing a current through the primary coil","being of second rank or importance or value; not direct or immediate; "the stone will be hauled to a secondary crusher"; "a secondary source"; "a secondary issue"; "secondary streams"","inferior in rank or status; "the junior faculty"; "a lowly corporal"; "petty officialdom"; "a subordinate functionary"","depending on or incidental to what is original or primary; "a secondary infection"","not of major importance; "played a secondary role in world events"","belonging to a lower class or rank"
seconde
seconded
seconder,"someone who endorses a motion or petition as a necessary preliminary to a discussion or vote"
seconders,"someone who endorses a motion or petition as a necessary preliminary to a discussion or vote"
secondes
secondhand,"derived from what is primary or original; not firsthand; "a secondhand report"; "a secondhand account of a memory of something once read"; "most of our knowledge is secondhand"","previously used or owned by another; "bought a secondhand (or used) car"","by indirect means; "I heard about it only secondhand or thirdhand"; "he prefers to buy secondhand""
secondi,"the second or lower part of a duet (especially a piano duet)"
seconding
secondly,"in the second place; "second, we must consider the economy""
secondo,"the second or lower part of a duet (especially a piano duet)"
seconds,"1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites","an indefinitely short time; "wait just a moment"; "in a mo"; "it only takes a minute"; "in just a bit"","the fielding position of the player on a baseball team who is stationed near the second of the bases in the infield","a particular point in time; "the moment he arrived the party began"","following the first in an ordering or series; "he came in a close second"","a 60th part of a minute of arc; "the treasure is 2 minutes and 45 seconds south of here"","the official attendant of a contestant in a duel or boxing match","a speech seconding a motion; "do I hear a second?"","the gear that has the second lowest forward gear ratio in the gear box of a motor vehicle; "he had to shift down into second to make the hill"","merchandise that has imperfections; usually sold at a reduced price without the brand name","give support or one's approval to; "I'll second that motion"; "I can't back this plan"; "endorse a new project"","transfer an employee to a different, temporary assignment; "The officer was seconded for duty overseas"","coming next after the first in position in space or time or degree or magnitude","a part or voice or instrument or orchestra section lower in pitch than or subordinate to the first; "second flute"; "the second violins"","in the second place; "second, we must consider the economy""
secpar,"a unit of astronomical length based on the distance from Earth at which stellar parallax is 1 second of arc; equivalent to 3.262 light years"
secpars,"a unit of astronomical length based on the distance from Earth at which stellar parallax is 1 second of arc; equivalent to 3.262 light years"
secrecies
secrecy,"the trait of keeping things secret","the condition of being concealed or hidden"
secret,"something that should remain hidden from others (especially information that is not to be passed on); "the combination to the safe was a secret"; "he tried to keep his drinking a secret"","information known only to a special group; "the secret of Cajun cooking"","something that baffles understanding and cannot be explained; "how it got out is a mystery"; "it remains one of nature's secrets"","not open or public; kept private or not revealed; "a secret formula"; "secret ingredients"; "secret talks"","conducted with or marked by hidden aims or methods; "clandestine intelligence operations"; "cloak-and-dagger activities behind enemy lines"; "hole-and-corner intrigue"; "secret missions"; "a secret agent"; "secret sales of arms"; "surreptitious mobilization of troops"; "an undercover investigation"; "underground resistance"","not openly made known; "a secret marriage"; "a secret bride"","communicated covertly; "their secret signal was a wink"; "secret messages"","not expressed; "secret (or private) thoughts"","designed to elude detection; "a hidden room or place of concealment such as a priest hole"; "a secret passage"; "the secret compartment in the desk"","hidden from general view or use; "a privy place to rest and think"; "a secluded romantic spot"; "a secret garden"","(of information) given in confidence or in secret; "this arrangement must be kept confidential"; "their secret communications"","indulging only covertly; "a secret alcoholic"","having an import not apparent to the senses nor obvious to the intelligence; beyond ordinary understanding; "mysterious symbols"; "the mystical style of Blake"; "occult lore"; "the secret learning of the ancients"","the next to highest level of official classification for documents"
secretarial,"of or relating to a secretary or to a secretary's work"
secretariat,"an administrative unit responsible for maintaining records and other secretarial duties; especially for international organizations","thoroughbred that won the triple crown in 1973"
secretariats,"an administrative unit responsible for maintaining records and other secretarial duties; especially for international organizations","thoroughbred that won the triple crown in 1973"
secretaries
secretary,"a person who is head of an administrative department of government","an assistant who handles correspondence and clerical work for a boss or an organization","a person to whom a secret is entrusted","a desk used for writing"
secrete,"generate and separate from cells or bodily fluids; "secrete digestive juices"; "release a hormone into the blood stream"","place out of sight; keep secret; "The money was secreted from his children""
secreted
secreter,"any of various organs that synthesize substances needed by the body and release it through ducts or directly into the bloodstream"
secretes,"generate and separate from cells or bodily fluids; "secrete digestive juices"; "release a hormone into the blood stream"","place out of sight; keep secret; "The money was secreted from his children""
secretest
secretin,"a gastrointestinal hormone that stimulates the secretion of water and bicarbonate from the pancreas and bile ducts whenever the stomach empties too much acid into the small intestine"
secreting
secretins,"a gastrointestinal hormone that stimulates the secretion of water and bicarbonate from the pancreas and bile ducts whenever the stomach empties too much acid into the small intestine"
secretion,"the organic process of synthesizing and releasing some substance","a functionally specialized substance (especially one that is not a waste) released from a gland or cell"
secretions,"the organic process of synthesizing and releasing some substance","a functionally specialized substance (especially one that is not a waste) released from a gland or cell"
secretive,"inclined to secrecy or reticence about divulging information; "although they knew her whereabouts her friends kept close about it""
secretly,"in secrecy; not openly; "met secretly to discuss the invasion plans"; "the children secretly went to the movies when they were supposed to be at the library"; "they arranged to meet in secret"","not openly; inwardly; "they were secretly delighted at his embarrassment"; "hoped secretly she would change her mind""
secretor,"any of various organs that synthesize substances needed by the body and release it through ducts or directly into the bloodstream"
secretors,"any of various organs that synthesize substances needed by the body and release it through ducts or directly into the bloodstream"
secrets,"something that should remain hidden from others (especially information that is not to be passed on); "the combination to the safe was a secret"; "he tried to keep his drinking a secret"","information known only to a special group; "the secret of Cajun cooking"","something that baffles understanding and cannot be explained; "how it got out is a mystery"; "it remains one of nature's secrets"","not open or public; kept private or not revealed; "a secret formula"; "secret ingredients"; "secret talks"","conducted with or marked by hidden aims or methods; "clandestine intelligence operations"; "cloak-and-dagger activities behind enemy lines"; "hole-and-corner intrigue"; "secret missions"; "a secret agent"; "secret sales of arms"; "surreptitious mobilization of troops"; "an undercover investigation"; "underground resistance"","not openly made known; "a secret marriage"; "a secret bride"","communicated covertly; "their secret signal was a wink"; "secret messages"","not expressed; "secret (or private) thoughts"","designed to elude detection; "a hidden room or place of concealment such as a priest hole"; "a secret passage"; "the secret compartment in the desk"","hidden from general view or use; "a privy place to rest and think"; "a secluded romantic spot"; "a secret garden"","(of information) given in confidence or in secret; "this arrangement must be kept confidential"; "their secret communications"","indulging only covertly; "a secret alcoholic"","having an import not apparent to the senses nor obvious to the intelligence; beyond ordinary understanding; "mysterious symbols"; "the mystical style of Blake"; "occult lore"; "the secret learning of the ancients"","the next to highest level of official classification for documents"
secs,"1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites","ratio of the hypotenuse to the adjacent side of a right-angled triangle","an independent federal agency that oversees the exchange of securities to protect investors","(of champagne) moderately dry"
sect,"a subdivision of a larger religious group","a dissenting clique"
sectarian,"a member of a sect; "most sectarians are intolerant of the views of any other sect"","of or relating to or characteristic of a sect or sects; "sectarian differences"","belonging to or characteristic of a sect; "a sectarian mind"; "the negations of sectarian ideology"- Sidney Hook; "sectarian squabbles in psychology""
sectarians,"a member of a sect; "most sectarians are intolerant of the views of any other sect"","of or relating to or characteristic of a sect or sects; "sectarian differences"","belonging to or characteristic of a sect; "a sectarian mind"; "the negations of sectarian ideology"- Sidney Hook; "sectarian squabbles in psychology""
sectaries
sectary,"a member of a sect; "most sectarians are intolerant of the views of any other sect""
sectile
section,"a self-contained part of a larger composition (written or musical); "he always turns first to the business section"; "the history of this work is discussed in the next section"","a very thin slice (of tissue or mineral or other substance) for examination under a microscope; "sections from the left ventricle showed diseased tissue"","a distinct region or subdivision of a territorial or political area or community or group of people; "no section of the nation is more ardent than the South"; "there are three synagogues in the Jewish section"","one of several parts or pieces that fit with others to constitute a whole object; "a section of a fishing rod"; "metal sections were used below ground"; "finished the final segment of the road"","a small team of policemen working as part of a police platoon","one of the portions into which something is regarded as divided and which together constitute a whole; "the written part of the exam"; "the finance section of the company"; "the BBC's engineering division"","a land unit equal to 1 square mile","(geometry) the area created by a plane cutting through a solid","a small class of students who are part of a larger course but are taught separately; "a graduate student taught sections for the professor's lecture course"","a division of an orchestra containing all instruments of the same class","a small army unit usually having a special function","a specialized division of a large organization; "you'll find it in the hardware department"; "she got a job in the historical section of the Treasury"","a segment of a citrus fruit; "he ate a section of the orange"","the cutting of or into body tissues or organs (especially by a surgeon as part of an operation)","divide into segments; "segment an orange"; "segment a compound word""
sectional,"a piece of furniture made up of sections that can be arranged individually or together","relating to or based upon a section (i.e. as if cut through by an intersecting plane); "a sectional view"; "sectional drawings"","consisting of or divided into sections; "a sectional sofa"; "sectioned plates"","related or limited to a distinct region or subdivision of a territory or community or group of people; "sectional tensions arose over slavery""
sectioned,"consisting of or divided into sections; "a sectional sofa"; "sectioned plates""
sectioning
sections,"a self-contained part of a larger composition (written or musical); "he always turns first to the business section"; "the history of this work is discussed in the next section"","a very thin slice (of tissue or mineral or other substance) for examination under a microscope; "sections from the left ventricle showed diseased tissue"","a distinct region or subdivision of a territorial or political area or community or group of people; "no section of the nation is more ardent than the South"; "there are three synagogues in the Jewish section"","one of several parts or pieces that fit with others to constitute a whole object; "a section of a fishing rod"; "metal sections were used below ground"; "finished the final segment of the road"","a small team of policemen working as part of a police platoon","one of the portions into which something is regarded as divided and which together constitute a whole; "the written part of the exam"; "the finance section of the company"; "the BBC's engineering division"","a land unit equal to 1 square mile","(geometry) the area created by a plane cutting through a solid","a small class of students who are part of a larger course but are taught separately; "a graduate student taught sections for the professor's lecture course"","a division of an orchestra containing all instruments of the same class","a small army unit usually having a special function","a specialized division of a large organization; "you'll find it in the hardware department"; "she got a job in the historical section of the Treasury"","a segment of a citrus fruit; "he ate a section of the orange"","the cutting of or into body tissues or organs (especially by a surgeon as part of an operation)","divide into segments; "segment an orange"; "segment a compound word""
sector,"a plane figure bounded by two radii and the included arc of a circle","a social group that forms part of the society or the economy; "the public sector"","a particular aspect of life or activity; "he was helpless in an important sector of his life"","the minimum track length that can be assigned to store information; unless otherwise specified a sector of data consists of 512 bytes","a portion of a military position","measuring instrument consisting of two graduated arms hinged at one end"
sectoral
sectored
sectoring
sectors,"a plane figure bounded by two radii and the included arc of a circle","a social group that forms part of the society or the economy; "the public sector"","a particular aspect of life or activity; "he was helpless in an important sector of his life"","the minimum track length that can be assigned to store information; unless otherwise specified a sector of data consists of 512 bytes","a portion of a military position","measuring instrument consisting of two graduated arms hinged at one end"
sects,"a subdivision of a larger religious group","a dissenting clique"
secular,"someone who is not a clergyman or a professional person","of or relating to the doctrine that rejects religion and religious considerations","characteristic of or devoted to the temporal world as opposed to the spiritual world; "worldly goods and advancement"; "temporal possessions of the church"","not concerned with or devoted to religion; "sacred and profane music"; "secular drama"; "secular architecture", "children being brought up in an entirely profane environment"","of or relating to clergy not bound by monastic vows; "the secular clergy"","characteristic of those who are not members of the clergy; "set his collar in laic rather than clerical position"; "the lay ministry""
seculars,"someone who is not a clergyman or a professional person","of or relating to the doctrine that rejects religion and religious considerations","characteristic of or devoted to the temporal world as opposed to the spiritual world; "worldly goods and advancement"; "temporal possessions of the church"","not concerned with or devoted to religion; "sacred and profane music"; "secular drama"; "secular architecture", "children being brought up in an entirely profane environment"","of or relating to clergy not bound by monastic vows; "the secular clergy"","characteristic of those who are not members of the clergy; "set his collar in laic rather than clerical position"; "the lay ministry""
secund
secundly
secundum
