suable
subdivisions,"an area composed of subdivided lots","the act of subdividing; division of something previously divided","a division of some larger or more complex organization; "a branch of Congress"; "botany is a branch of biology"; "the Germanic branch of Indo-European languages"","a self-contained part of a larger composition (written or musical); "he always turns first to the business section"; "the history of this work is discussed in the next section"","a section of a section; a part of a part; i.e., a part of something already divided"
subdual
subduals
subduce
subduced
subduces
subducing
subduct
subducted
subducting
subducts
subdue,"put down by force or intimidation; "The government quashes any attempt of an uprising"; "China keeps down her dissidents very efficiently"; "The rich landowners subjugated the peasants working the land"","to put down by force or authority; "suppress a nascent uprising"; "stamp down on littering"; "conquer one's desires"","hold within limits and control; "subdue one's appetites"; "mortify the flesh"","get on top of; deal with successfully; "He overcame his shyness"","make subordinate, dependent, or subservient; "Our wishes have to be subordinated to that of our ruler"","correct by punishment or discipline"
subdued,"in a softened tone; "hushed voices"; "muted trumpets"; "a subdued whisper"; "a quiet reprimand"","restrained in style or quality; "a little masterpiece of low-keyed eloquence"","quieted and brought under control; "children were subdued and silent"","not brilliant or glaring; "the moon cast soft shadows"; "soft pastel colors"; "subdued lighting"","lacking in light; not bright or harsh; "a dim light beside the bed"; "subdued lights and soft music""
subduer,"someone who overcomes and establishes ascendancy and control by force or persuasion"
subduers,"someone who overcomes and establishes ascendancy and control by force or persuasion"
subdues,"put down by force or intimidation; "The government quashes any attempt of an uprising"; "China keeps down her dissidents very efficiently"; "The rich landowners subjugated the peasants working the land"","to put down by force or authority; "suppress a nascent uprising"; "stamp down on littering"; "conquer one's desires"","hold within limits and control; "subdue one's appetites"; "mortify the flesh"","get on top of; deal with successfully; "He overcame his shyness"","make subordinate, dependent, or subservient; "Our wishes have to be subordinated to that of our ruler"","correct by punishment or discipline"
subduing
subecho
subechoes
subedit,"edit and correct (written or printed material)"
subedited
subediting
subedits,"edit and correct (written or printed material)"
subentries
subentry
subepoch
subepochs
subequatorial
suber
suberect
suberic
suberin
suberins
suberise
suberised
suberises
suberising
suberize
suberized
suberizes
suberizing
suberose
suberous
subers
subfamilies
subfamily,"(biology) a taxonomic category below a family"
subfield
subfields
subfix
subfixes
subfloor
subfloors
subfluid
subfreezing
subfusc,"devoid of brightness or appeal; "a subfusc mining town"; "dark subfusc clothing""
subgenera,"(biology) taxonomic group between a genus and a species"
subgenus,"(biology) taxonomic group between a genus and a species"
subgenuses
subgrade
subgrades
subgroup,"a distinct and often subordinate group within a group","(mathematics) a subset (that is not empty) of a mathematical group"
subgroups,"a distinct and often subordinate group within a group","(mathematics) a subset (that is not empty) of a mathematical group"
subgum
subhead,"a heading of a subdivision of a text"
subheading,"a heading of a subdivision of a text"
subheadings,"a heading of a subdivision of a text"
subheads,"a heading of a subdivision of a text"
subhuman,"less than human or not worthy of a human being; "treated natives as subhuman"; "a subhuman spectacle"; "the subhuman primates"","unfit for human beings; "subhuman conditions of life""
subhumans,"less than human or not worthy of a human being; "treated natives as subhuman"; "a subhuman spectacle"; "the subhuman primates"","unfit for human beings; "subhuman conditions of life""
subhumid
subidea
subideas
subindex
subindexes
subindices
subindustries
subindustry
subitem
subitems
subito
subject,"the subject matter of a conversation or discussion; "he didn't want to discuss that subject"; "it was a very sensitive topic"; "his letters were always on the theme of love"","something (a person or object or scene) selected by an artist or photographer for graphic representation; "a moving picture of a train is more dramatic than a still picture of the same subject"","a branch of knowledge; "in what discipline is his doctorate?"; "teachers should be well trained in their subject"; "anthropology is the study of human beings"","some situation or event that is thought about; "he kept drifting off the topic"; "he had been thinking about the subject for several years"; "it is a matter for the police"","(grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated","a person who is subjected to experimental or other observational procedures; someone who is an object of investigation; "the subjects for this investigation were selected randomly"; "the cases that we studied were drawn from two different communities"","a person who owes allegiance to that nation; "a monarch has a duty to his subjects"","(logic) the first term of a proposition","cause to experience or suffer or make liable or vulnerable to; "He subjected me to his awful poetry"; "The sergeant subjected the new recruits to many drills"; "People in Chernobyl were subjected to radiation"","make accountable for; "He did not want to subject himself to the judgments of his superiors"","make subservient; force to submit or subdue","refer for judgment or consideration; "The lawyers submitted the material to the court"","possibly accepting or permitting; "a passage capable of misinterpretation"; "open to interpretation"; "an issue open to question"; "the time is fixed by the director and players and therefore subject to much variation"","being under the power or sovereignty of another or others; "subject peoples"; "a dependent prince"","likely to be affected by something; "the bond is subject to taxation"; "he is subject to fits of depression""
subjected
subjecting
subjection,"forced submission to control by others","the act of conquering"
subjections,"forced submission to control by others","the act of conquering"
subjective,"taking place within the mind and modified by individual bias; "a subjective judgment"","of a mental act performed entirely within the mind; "a cognition is an immanent act of mind""
subjectively,"in a subjective way; "you cannot look at these facts subjectively""
subjectivities
subjectivity,"judgment based on individual personal impressions and feelings and opinions rather than external facts"
subjects,"the subject matter of a conversation or discussion; "he didn't want to discuss that subject"; "it was a very sensitive topic"; "his letters were always on the theme of love"","something (a person or object or scene) selected by an artist or photographer for graphic representation; "a moving picture of a train is more dramatic than a still picture of the same subject"","a branch of knowledge; "in what discipline is his doctorate?"; "teachers should be well trained in their subject"; "anthropology is the study of human beings"","some situation or event that is thought about; "he kept drifting off the topic"; "he had been thinking about the subject for several years"; "it is a matter for the police"","(grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated","a person who is subjected to experimental or other observational procedures; someone who is an object of investigation; "the subjects for this investigation were selected randomly"; "the cases that we studied were drawn from two different communities"","a person who owes allegiance to that nation; "a monarch has a duty to his subjects"","(logic) the first term of a proposition","cause to experience or suffer or make liable or vulnerable to; "He subjected me to his awful poetry"; "The sergeant subjected the new recruits to many drills"; "People in Chernobyl were subjected to radiation"","make accountable for; "He did not want to subject himself to the judgments of his superiors"","make subservient; force to submit or subdue","refer for judgment or consideration; "The lawyers submitted the material to the court"","possibly accepting or permitting; "a passage capable of misinterpretation"; "open to interpretation"; "an issue open to question"; "the time is fixed by the director and players and therefore subject to much variation"","being under the power or sovereignty of another or others; "subject peoples"; "a dependent prince"","likely to be affected by something; "the bond is subject to taxation"; "he is subject to fits of depression""
subjoin,"add to the end"
subjoined
subjoining,"the act of supplementing"
subjoins,"add to the end"
subjugate,"put down by force or intimidation; "The government quashes any attempt of an uprising"; "China keeps down her dissidents very efficiently"; "The rich landowners subjugated the peasants working the land"","make subservient; force to submit or subdue"
subjugated,"reduced to submission; "subjugated peoples""
subjugates,"put down by force or intimidation; "The government quashes any attempt of an uprising"; "China keeps down her dissidents very efficiently"; "The rich landowners subjugated the peasants working the land"","make subservient; force to submit or subdue"
subjugating
subjugation,"forced submission to control by others","the act of subjugating by cruelty; "the tyrant's oppression of the people"","the act of conquering"
subjugations,"forced submission to control by others","the act of subjugating by cruelty; "the tyrant's oppression of the people"","the act of conquering"
subjunctive,"a mood that represents an act or state (not as a fact but) as contingent or possible","relating to a mood of verbs; "subjunctive verb endings""
subjunctives,"a mood that represents an act or state (not as a fact but) as contingent or possible","relating to a mood of verbs; "subjunctive verb endings""
sublate
sublated
sublates
sublating
sublease,"a lease from one lessee to another","lease or rent all or part of (a leased or rented property) to another person; "We sublet our apartment over the summer""
subleased
subleases,"a lease from one lessee to another","lease or rent all or part of (a leased or rented property) to another person; "We sublet our apartment over the summer""
subleasing
sublet,"a lease from one lessee to another","lease or rent all or part of (a leased or rented property) to another person; "We sublet our apartment over the summer""
sublethal
sublets,"a lease from one lessee to another","lease or rent all or part of (a leased or rented property) to another person; "We sublet our apartment over the summer""
subletting,"lease or rent all or part of (a leased or rented property) to another person; "We sublet our apartment over the summer""
sublevel
sublevels
sublime,"vaporize and then condense right back again","change or cause to change directly from a solid into a vapor without first melting; "sublime iodine"; "some salts sublime when heated"","inspiring awe; "well-meaning ineptitude that rises to empyreal absurdity"- M.S.Dworkin; "empyrean aplomb"- Hamilton Basso; "the sublime beauty of the night"","worthy of adoration or reverence","lifted up or set high; "their hearts were jocund and sublime"- Milton","of high moral or intellectual value; elevated in nature or style; "an exalted ideal"; "argue in terms of high-flown ideals"- Oliver Franks; "a noble and lofty concept"; "a grand purpose""
sublimed,"passing or having passed from the solid to the gaseous state (or vice versa) without becoming liquid"
sublimer
sublimers
sublimes,"vaporize and then condense right back again","change or cause to change directly from a solid into a vapor without first melting; "sublime iodine"; "some salts sublime when heated"","inspiring awe; "well-meaning ineptitude that rises to empyreal absurdity"- M.S.Dworkin; "empyrean aplomb"- Hamilton Basso; "the sublime beauty of the night"","worthy of adoration or reverence","lifted up or set high; "their hearts were jocund and sublime"- Milton","of high moral or intellectual value; elevated in nature or style; "an exalted ideal"; "argue in terms of high-flown ideals"- Oliver Franks; "a noble and lofty concept"; "a grand purpose""
sublimest
subliming
sublimities
sublimity,"nobility in thought or feeling or style"
subliterate
submarine,"a submersible warship usually armed with torpedoes","a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States","move forward or under in a sliding motion; "The child was injured when he submarined under the safety belt of the car"","throw with an underhand motion","bring down with a blow to the legs","control a submarine","attack by submarine; "The Germans submarined the Allies"","beneath the surface of the sea"
submarines,"a submersible warship usually armed with torpedoes","a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States","move forward or under in a sliding motion; "The child was injured when he submarined under the safety belt of the car"","throw with an underhand motion","bring down with a blow to the legs","control a submarine","attack by submarine; "The Germans submarined the Allies"","beneath the surface of the sea"
submerge,"sink below the surface; go under or as if under water","cover completely or make imperceptible; "I was drowned in work"; "The noise drowned out her speech"","put under water; "submerge your head completely"","fill or cover completely, usually with water"
submerged,"beneath the surface of the water; "submerged rocks"","growing or remaining under water; "viewing subaqueous fauna from a glass-bottomed boat"; "submerged leaves""
submergence,"sinking until covered completely with water"
submergences,"sinking until covered completely with water"
submerges,"sink below the surface; go under or as if under water","cover completely or make imperceptible; "I was drowned in work"; "The noise drowned out her speech"","put under water; "submerge your head completely"","fill or cover completely, usually with water"
submerging,"sinking until covered completely with water"
submerse,"sink below the surface; go under or as if under water","put under water; "submerge your head completely""
submersed,"beneath the surface of the water; "submerged rocks"","growing or remaining under water; "viewing subaqueous fauna from a glass-bottomed boat"; "submerged leaves""
submerses,"sink below the surface; go under or as if under water","put under water; "submerge your head completely""
submersible,"an apparatus intended for use under water","a warship designed to operate under water","capable of being immersed in water or functioning while submerged; "a submersible pump"; "a submergible electric frying pan""
submersing
submersion,"sinking until covered completely with water","the act of wetting something by submerging it"
submersions,"sinking until covered completely with water","the act of wetting something by submerging it"
submiss
submission,"something (manuscripts or architectural plans and models or estimates or works of art of all genres etc.) submitted for the judgment of others (as in a competition); "several of his submissions were rejected by publishers"; "what was the date of submission of your proposal?"","the act of submitting; usually surrendering power to another","the condition of having submitted to control by someone or something else; "the union was brought into submission"; "his submission to the will of God"","the feeling of patient, submissive humbleness","a legal document summarizing an agreement between parties in a dispute to abide by the decision of an arbiter","an agreement between parties in a dispute to abide by the decision of an arbiter","(law) a contention presented by a lawyer to a judge or jury as part of the case he is arguing"
submissions,"something (manuscripts or architectural plans and models or estimates or works of art of all genres etc.) submitted for the judgment of others (as in a competition); "several of his submissions were rejected by publishers"; "what was the date of submission of your proposal?"","the act of submitting; usually surrendering power to another","the condition of having submitted to control by someone or something else; "the union was brought into submission"; "his submission to the will of God"","the feeling of patient, submissive humbleness","a legal document summarizing an agreement between parties in a dispute to abide by the decision of an arbiter","an agreement between parties in a dispute to abide by the decision of an arbiter","(law) a contention presented by a lawyer to a judge or jury as part of the case he is arguing"
submissive,"inclined or willing to submit to orders or wishes of others or showing such inclination; "submissive servants"; "a submissive reply"; "replacing troublemakers with more submissive people"","abjectly submissive; characteristic of a slave or servant; "slavish devotion to her job ruled her life"; "a slavish yes-man to the party bosses"- S.H.Adams; "she has become submissive and subservient""
submit,"refer for judgment or consideration; "The lawyers submitted the material to the court"","put before; "I submit to you that the accused is guilty"","yield to the control of another","hand over formally","refer to another person for decision or judgment; "She likes to relegate difficult questions to her colleagues"","yield to another's wish or opinion; "The government bowed to the military pressure"","accept or undergo, often unwillingly; "We took a pay cut"","make an application as for a job or funding; "We put in a grant to the NSF"","make over as a return; "They had to render the estate"","accept as inevitable; "He resigned himself to his fate""
submits,"refer for judgment or consideration; "The lawyers submitted the material to the court"","put before; "I submit to you that the accused is guilty"","yield to the control of another","hand over formally","refer to another person for decision or judgment; "She likes to relegate difficult questions to her colleagues"","yield to another's wish or opinion; "The government bowed to the military pressure"","accept or undergo, often unwillingly; "We took a pay cut"","make an application as for a job or funding; "We put in a grant to the NSF"","make over as a return; "They had to render the estate"","accept as inevitable; "He resigned himself to his fate""
submitted,"refer for judgment or consideration; "The lawyers submitted the material to the court"","put before; "I submit to you that the accused is guilty"","yield to the control of another","hand over formally","refer to another person for decision or judgment; "She likes to relegate difficult questions to her colleagues"","yield to another's wish or opinion; "The government bowed to the military pressure"","accept or undergo, often unwillingly; "We took a pay cut"","make an application as for a job or funding; "We put in a grant to the NSF"","make over as a return; "They had to render the estate"","accept as inevitable; "He resigned himself to his fate""
submitting,"refer for judgment or consideration; "The lawyers submitted the material to the court"","put before; "I submit to you that the accused is guilty"","yield to the control of another","hand over formally","refer to another person for decision or judgment; "She likes to relegate difficult questions to her colleagues"","yield to another's wish or opinion; "The government bowed to the military pressure"","accept or undergo, often unwillingly; "We took a pay cut"","make an application as for a job or funding; "We put in a grant to the NSF"","make over as a return; "They had to render the estate"","accept as inevitable; "He resigned himself to his fate""
subnasal
subnetwork
subnetworks
subnodal
subnormal,"a person of less than normal intelligence","below normal or average; "after the floods the harvests were subnormal"; "subnormal intelligence""
suboceanic,"formed or situated or occurring beneath the ocean or the ocean bed; "suboceanic oil resources""
suboptic
suboral
suborder,"(biology) taxonomic group that is a subdivision of an order"
suborders,"(biology) taxonomic group that is a subdivision of an order"
subordinate,"an assistant subject to the authority or control of another","a word that is more specific than a given word","rank or order as less important or consider of less value; "Art is sometimes subordinated to Science in these schools"","make subordinate, dependent, or subservient; "Our wishes have to be subordinated to that of our ruler"","lower in rank or importance","subject or submissive to authority or the control of another; "a subordinate kingdom"","(of a clause) unable to stand alone syntactically as a complete sentence; "a subordinate (or dependent) clause functions as a noun or adjective or adverb within a sentence""
subordinated
subordinates,"an assistant subject to the authority or control of another","a word that is more specific than a given word","rank or order as less important or consider of less value; "Art is sometimes subordinated to Science in these schools"","make subordinate, dependent, or subservient; "Our wishes have to be subordinated to that of our ruler"","lower in rank or importance","subject or submissive to authority or the control of another; "a subordinate kingdom"","(of a clause) unable to stand alone syntactically as a complete sentence; "a subordinate (or dependent) clause functions as a noun or adjective or adverb within a sentence""
subordinating,"serving to connect a subordinate clause to a main clause; "`when' in `I will come when I can' is a subordinating conjunction""
subordination,"the state of being subordinate to something","the semantic relation of being subordinate or belonging to a lower rank or class","the grammatical relation of a modifying word or phrase to its head","the quality of obedient submissiveness","the act of mastering or subordinating someone"
subordinations,"the state of being subordinate to something","the semantic relation of being subordinate or belonging to a lower rank or class","the grammatical relation of a modifying word or phrase to its head","the quality of obedient submissiveness","the act of mastering or subordinating someone"
suborn,"incite to commit a crime or an evil deed; "He suborned his butler to cover up the murder of his wife"","procure (false testimony or perjury)","induce to commit perjury or give false testimony; "The President tried to suborn false witnesses""
suborned
suborner,"someone who pays (or otherwise incites) you to commit a wrongful act"
suborners,"someone who pays (or otherwise incites) you to commit a wrongful act"
suborning
suborns,"incite to commit a crime or an evil deed; "He suborned his butler to cover up the murder of his wife"","procure (false testimony or perjury)","induce to commit perjury or give false testimony; "The President tried to suborn false witnesses""
suboval
subovate
suboxide
suboxides
subpar
subpart,"a part of a part"
subparts,"a part of a part"
subpena
subpenaed
subpenaing
subpenas
subphyla,"(biology) a taxonomic group ranking between a phylum and a class"
subplot
subplots
subpoena,"a writ issued by court authority to compel the attendance of a witness at a judicial proceeding; disobedience may be punishable as a contempt of court","serve or summon with a subpoena; "The witness and her records were subpoenaed""
subpoenaed
subpoenaing
subpoenas,"a writ issued by court authority to compel the attendance of a witness at a judicial proceeding; disobedience may be punishable as a contempt of court","serve or summon with a subpoena; "The witness and her records were subpoenaed""
subpolar
subprincipal
subprincipals
subprocess
subprocesses
subprogram,"a set sequence of steps, part of larger computer program"
subprograms,"a set sequence of steps, part of larger computer program"
subproject
subprojects
subpubic
subrace
subraces
subregion
subregions
subrent
subrents
subring
subrings
subroutine,"a set sequence of steps, part of larger computer program"
subroutines,"a set sequence of steps, part of larger computer program"
subrule
subrules
subs,"a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States","a submersible warship usually armed with torpedoes","be a substitute; "The young teacher had to substitute for the sick colleague"; "The skim milk substitutes for cream--we are on a strict diet""
subsale
subsales
subscribe,"offer to buy, as of stocks and shares; "The broker subscribed 500 shares"","mark with one's signature; write one's name (on); "She signed the letter and sent it off"; "Please sign here"","adopt as a belief; "I subscribe to your view on abortion"","pay (an amount of money) as a contribution to a charity or service, especially at regular intervals; "I pledged $10 a month to my favorite radio station"","receive or obtain regularly; "We take the Times every day""
subscribed,"(of a contract or will or other document) having a signature written at the end; "the subscribed will""
subscriber,"someone who expresses strong approval","someone who contracts to receive and pay for a service or a certain number of issues of a publication","someone who contributes (or promises to contribute) a sum of money"
subscribers,"someone who expresses strong approval","someone who contracts to receive and pay for a service or a certain number of issues of a publication","someone who contributes (or promises to contribute) a sum of money"
subscribes,"offer to buy, as of stocks and shares; "The broker subscribed 500 shares"","mark with one's signature; write one's name (on); "She signed the letter and sent it off"; "Please sign here"","adopt as a belief; "I subscribe to your view on abortion"","pay (an amount of money) as a contribution to a charity or service, especially at regular intervals; "I pledged $10 a month to my favorite radio station"","receive or obtain regularly; "We take the Times every day""
subscribing
subscript,"a character or symbol set or printed or written beneath or slightly below and to the side of another character","written or printed below and to one side of another character"
subscription,"a payment for consecutive issues of a newspaper or magazine for a given period of time","agreement expressed by (or as if expressed by) signing your name","a pledged contribution","the act of signing your name; writing your signature (as on a document); "the deed was attested by the subscription of his signature""
subscriptions,"a payment for consecutive issues of a newspaper or magazine for a given period of time","agreement expressed by (or as if expressed by) signing your name","a pledged contribution","the act of signing your name; writing your signature (as on a document); "the deed was attested by the subscription of his signature""
subscripts,"a character or symbol set or printed or written beneath or slightly below and to the side of another character","written or printed below and to one side of another character"
subsect
subsection,"a section of a section; a part of a part; i.e., a part of something already divided"
subsections,"a section of a section; a part of a part; i.e., a part of something already divided"
subsects
subsequent,"following in time or order; "subsequent developments""
subsequently,"happening at a time subsequent to a reference time; "he apologized subsequently"; "he's going to the store but he'll be back here later"; "it didn't happen until afterward"; "two hours after that""
subsere
subseres
subserve,"be helpful or useful"
subserved
subserves,"be helpful or useful"
subserving
subset,"a set whose members are members of another set; a set contained within another set"
subsets,"a set whose members are members of another set; a set contained within another set"
subshaft
subshafts
subshrub,"low-growing woody shrub or perennial with woody base"
subshrubs,"low-growing woody shrub or perennial with woody base"
subside,"wear off or die down; "The pain subsided"","sink to a lower level or form a depression; "the valleys subside"","sink down or precipitate; "the mud subsides when the waters become calm"","descend into or as if into some soft substance or place; "He sank into bed"; "She subsided into the chair""
subsided
subsider
subsiders
subsides,"wear off or die down; "The pain subsided"","sink to a lower level or form a depression; "the valleys subside"","sink down or precipitate; "the mud subsides when the waters become calm"","descend into or as if into some soft substance or place; "He sank into bed"; "She subsided into the chair""
subsidiaries
subsidiary,"an assistant subject to the authority or control of another","a company that is completely controlled by another company","functioning in a supporting capacity; "the main library and its auxiliary branches""
subsidies
subsiding,"a gradual sinking to a lower level"
subsidize,"support through subsidies; "The arts in Europe are heavily subsidized"","secure the assistance of by granting a subsidy, as of nations or military forces"
subsidized,"having partial financial support from public funds; "lived in subsidized public housing""
subsidizes,"support through subsidies; "The arts in Europe are heavily subsidized"","secure the assistance of by granting a subsidy, as of nations or military forces"
subsidizing
subsidy,"a grant paid by a government to an enterprise that benefits the public; "a subsidy for research in artificial intelligence""
subsist,"support oneself; "he could barely exist on such a low wage"; "Can you live on $2000 a month in New York City?"; "Many people in the world have to subsist on $1 a day""
subsisted
subsistence,"minimal (or marginal) resources for subsisting; "social security provided only a bare subsistence"","a means of surviving; "farming is a hard means of subsistence"","the state of existing in reality; having substance"
subsistences,"minimal (or marginal) resources for subsisting; "social security provided only a bare subsistence"","a means of surviving; "farming is a hard means of subsistence"","the state of existing in reality; having substance"
subsisting
subsists,"support oneself; "he could barely exist on such a low wage"; "Can you live on $2000 a month in New York City?"; "Many people in the world have to subsist on $1 a day""
subsoil,"the layer of soil between the topsoil and bedrock"
subsoiled
subsoiling
subsoils,"the layer of soil between the topsoil and bedrock"
subsolar
subsonic,"(of speed) less than that of sound in a designated medium; "aircraft flying at subsonic speeds""
subspace,"a space that is contained within another space"
subspaces,"a space that is contained within another space"
subspecialties
subspecialty
subspecies,"(biology) a taxonomic group that is a division of a species; usually arises as a consequence of geographical isolation within a species"
substage
substages
substandard,"falling short of some prescribed norm; "substandard housing""
substantial,"fairly large; "won by a substantial margin"","having a firm basis in reality and being therefore important, meaningful, or considerable; "substantial equivalents"","having substance or capable of being treated as fact; not imaginary; "the substantial world"; "a mere dream, neither substantial nor practical"; "most ponderous and substantial things"- Shakespeare","providing abundant nourishment; "a hearty meal"; "good solid food"; "ate a substantial breakfast"; "four square meals a day"","of good quality and condition; solidly built; "a solid foundation"; "several substantial timber buildings""
substantially,"to a great extent or degree; "I'm afraid the film was well over budget"; "painting the room white made it seem considerably (or substantially) larger"; "the house has fallen considerably in value"; "the price went up substantially"","in a strong substantial way; "the house was substantially built""
substantiate,"establish or strengthen as with new evidence or facts; "his story confirmed my doubts"; "The evidence supports the defendant"","represent in bodily form; "He embodies all that is evil wrong with the system"; "The painting substantiates the feelings of the artist"","make real or concrete; give reality or substance to; "our ideas must be substantiated into actions"","solidify, firm, or strengthen; "The president's trip will substantiate good relations with the former enemy country""
substantiated
substantiates,"establish or strengthen as with new evidence or facts; "his story confirmed my doubts"; "The evidence supports the defendant"","represent in bodily form; "He embodies all that is evil wrong with the system"; "The painting substantiates the feelings of the artist"","make real or concrete; give reality or substance to; "our ideas must be substantiated into actions"","solidify, firm, or strengthen; "The president's trip will substantiate good relations with the former enemy country""
substantiating,"serving to support or corroborate; "collateral evidence""
substantiation,"additional proof that something that was believed (some fact or hypothesis or theory) is correct; "fossils provided further confirmation of the evolutionary theory"","the act of validating; finding or testing the truth of something"
substantiations,"additional proof that something that was believed (some fact or hypothesis or theory) is correct; "fossils provided further confirmation of the evolutionary theory"","the act of validating; finding or testing the truth of something"
substitute,"a person or thing that takes or can take the place of another","an athlete who plays only when a starter on the team is replaced","someone who takes the place of another (as when things get dangerous or difficult); "the star had a stand-in for dangerous scenes"; "we need extra employees for summer fill-ins"","put in the place of another; switch seemingly equivalent items; "the con artist replaced the original with a fake Rembrandt"; "substitute regular milk with fat-free milk"; "synonyms can be interchanged without a changing the context's meaning"","be a substitute; "The young teacher had to substitute for the sick colleague"; "The skim milk substitutes for cream--we are on a strict diet"","act as a substitute; "She stood in for the soprano who suffered from a cold"","capable of substituting in any of several positions on a team; "a utility infielder"","serving or used in place of another; "an alternative plan"","artificial and inferior; "ersatz coffee"; "substitute coffee""
substituted
substitutes,"a person or thing that takes or can take the place of another","an athlete who plays only when a starter on the team is replaced","someone who takes the place of another (as when things get dangerous or difficult); "the star had a stand-in for dangerous scenes"; "we need extra employees for summer fill-ins"","put in the place of another; switch seemingly equivalent items; "the con artist replaced the original with a fake Rembrandt"; "substitute regular milk with fat-free milk"; "synonyms can be interchanged without a changing the context's meaning"","be a substitute; "The young teacher had to substitute for the sick colleague"; "The skim milk substitutes for cream--we are on a strict diet"","act as a substitute; "She stood in for the soprano who suffered from a cold"","capable of substituting in any of several positions on a team; "a utility infielder"","serving or used in place of another; "an alternative plan"","artificial and inferior; "ersatz coffee"; "substitute coffee""
substituting,"working as a substitute for someone who is ill or on leave of absence"
substitution,"an event in which one thing is substituted for another; "the replacement of lost blood by a transfusion of donor blood"","the act of putting one thing or person in the place of another: "he sent Smith in for Jones but the substitution came too late to help""
