eta,"a terrorist organization organized in 1959 by student activists who were dissatisfied with the moderate nationalism of the traditional Basque party; want to create an independent homeland in Spain's western Pyrenees; "in 1968 ETA launched a campaign of political assassinations of government officials"","the 7th letter of the Greek alphabet"
etagere,"a piece of furniture with open shelves for displaying small ornaments"
etna,"an inactive volcano in Sicily; last erupted in 1961; the highest volcano in Europe (10,500 feet)","a gas burner used in laboratories; has an air valve to regulate the mixture of gas and air"
etnas,"an inactive volcano in Sicily; last erupted in 1961; the highest volcano in Europe (10,500 feet)","a gas burner used in laboratories; has an air valve to regulate the mixture of gas and air"
etoile
etoiles
etude,"a short composition for a solo instrument; intended as an exercise or to demonstrate technical virtuosity"
etudes,"a short composition for a solo instrument; intended as an exercise or to demonstrate technical virtuosity"
etui,"small ornamental ladies' bag for small articles"
etuis,"small ornamental ladies' bag for small articles"
etwee
etwees
etyma,"a simple form inferred as the common basis from which related words in several languages can be derived by linguistic processes"
etymological,"based on or belonging to etymology; "I merely drew an etymological distinction""
etymologist,"a lexicographer who specializes in etymology"
etymologists,"a lexicographer who specializes in etymology"
etymon,"a simple form inferred as the common basis from which related words in several languages can be derived by linguistic processes"
etymons,"a simple form inferred as the common basis from which related words in several languages can be derived by linguistic processes"
