slab,"block consisting of a thick piece of something"
slakes,"satisfy (thirst); "The cold water quenched his thirst"","make less active or intense","cause to heat and crumble by treatment with water; "slack lime""
slaking
slalom,"a downhill race over a winding course defined by upright poles","race on skis around obstacles"
slalomed
slaloming
slaloms,"a downhill race over a winding course defined by upright poles","race on skis around obstacles"
slam,"winning all or all but one of the tricks in bridge","the noise made by the forceful impact of two objects","a forceful impact that makes a loud noise","an aggressive remark directed at a person like a missile and intended to have a telling effect; "his parting shot was `drop dead'"; "she threw shafts of sarcasm"; "she takes a dig at me every chance she gets"","close violently; "He slammed the door shut"","strike violently; "slam the ball"","dance the slam dance","throw violently; "He slammed the book on the table""
slammed,"close violently; "He slammed the door shut"","strike violently; "slam the ball"","dance the slam dance","throw violently; "He slammed the book on the table""
slamming,"close violently; "He slammed the door shut"","strike violently; "slam the ball"","dance the slam dance","throw violently; "He slammed the book on the table""
slams,"winning all or all but one of the tricks in bridge","the noise made by the forceful impact of two objects","a forceful impact that makes a loud noise","an aggressive remark directed at a person like a missile and intended to have a telling effect; "his parting shot was `drop dead'"; "she threw shafts of sarcasm"; "she takes a dig at me every chance she gets"","close violently; "He slammed the door shut"","strike violently; "slam the ball"","dance the slam dance","throw violently; "He slammed the book on the table""
slander,"words falsely spoken that damage the reputation of another","an abusive attack on a person's character or good name","charge falsely or with malicious intent; attack the good name and reputation of someone; "The journalists have defamed me!" "The article in the paper sullied my reputation""
slandered
slanderer,"one who attacks the reputation of another by slander or libel"
slanderers,"one who attacks the reputation of another by slander or libel"
slandering
slanderous,"(used of statements) harmful and often untrue; tending to discredit or malign"
slanders,"words falsely spoken that damage the reputation of another","an abusive attack on a person's character or good name","charge falsely or with malicious intent; attack the good name and reputation of someone; "The journalists have defamed me!" "The article in the paper sullied my reputation""
slang,"informal language consisting of words and expressions that are not considered appropriate for formal occasions; often vituperative or vulgar; "their speech was full of slang expressions"","a characteristic language of a particular group (as among thieves); "they don't speak our lingo"","use slang or vulgar language","fool or hoax; "The immigrant was duped because he trusted everyone"; "You can't fool me!"","abuse with coarse language"
slanged
slangier
slangiest
slangily,"with slang; in a slangy manner; "he expresses himself slangily""
slanging
slangs,"informal language consisting of words and expressions that are not considered appropriate for formal occasions; often vituperative or vulgar; "their speech was full of slang expressions"","a characteristic language of a particular group (as among thieves); "they don't speak our lingo"","use slang or vulgar language","fool or hoax; "The immigrant was duped because he trusted everyone"; "You can't fool me!"","abuse with coarse language"
slangy,"constituting or expressed in slang or given to the use of slang; "a slangy expression"; "slangy speech""
slank
slant,"a biased way of looking at or presenting something","degree of deviation from a horizontal plane; "the roof had a steep pitch"","lie obliquely; "A scar slanted across his face"","present with a bias; "He biased his presentation so as to please the share holders"","to incline or bend from a vertical position; "She leaned over the banister"","heel over; "The tower is tilting"; "The ceiling is slanting""
slanted,"having an oblique or slanted direction","favoring one person or side over another; "a biased account of the trial"; "a decision that was partial to the defendant""
slanting,"having an oblique or slanted direction"
slants,"a biased way of looking at or presenting something","degree of deviation from a horizontal plane; "the roof had a steep pitch"","lie obliquely; "A scar slanted across his face"","present with a bias; "He biased his presentation so as to please the share holders"","to incline or bend from a vertical position; "She leaned over the banister"","heel over; "The tower is tilting"; "The ceiling is slanting""
slap,"a blow from a flat object (as an open hand)","the act of smacking something; a blow delivered with an open hand","hit with something flat, like a paddle or the open hand; "The impatient teacher slapped the student"; "a gunshot slapped him on the forehead"","directly; "he ran bang into the pole"; "ran slap into her""
slapdash,"marked by great carelessness; "a most haphazard system of record keeping"; "slapdash work"; "slipshod spelling"; "sloppy workmanship"","in a careless or reckless manner; "the shelves were put up slapdash"","directly; "he ran bang into the pole"; "ran slap into her""
slapdashes
slapjack
slapjacks
slapped,"hit with something flat, like a paddle or the open hand; "The impatient teacher slapped the student"; "a gunshot slapped him on the forehead""
slapper,"a hitter who slaps (usually another person) with an open hand; "someone slapped me on the back and I turned to see who the slapper was"; "my father was the designated spanker in our family""
slappers,"a hitter who slaps (usually another person) with an open hand; "someone slapped me on the back and I turned to see who the slapper was"; "my father was the designated spanker in our family""
slapping,"hit with something flat, like a paddle or the open hand; "The impatient teacher slapped the student"; "a gunshot slapped him on the forehead""
slaps,"a blow from a flat object (as an open hand)","the act of smacking something; a blow delivered with an open hand","hit with something flat, like a paddle or the open hand; "The impatient teacher slapped the student"; "a gunshot slapped him on the forehead"","directly; "he ran bang into the pole"; "ran slap into her""
slash,"a wound made by cutting; "he put a bandage over the cut"","an open tract of land in a forest that is strewn with debris from logging (or fire or wind)","a punctuation mark (/) used to separate related items of information","a strong sweeping cut made with a sharp instrument","cut with sweeping strokes; as with an ax or machete","beat severely with a whip or rod; "The teacher often flogged the students"; "The children were severely trounced"","cut open; "she slashed her wrists"","cut drastically; "Prices were slashed"","move or stir about violently; "The feverish patient thrashed around in his bed""
slashed,"patterned by having color applied with sweeping strokes; "brown iris...slashed with yellow"- Willa Cather","having long and narrow ornamental cuts showing an underlying fabric; "a slashed doublet"; "slashed cuffs showing the scarlet lining"","(used of rates or prices) reduced usually sharply; "the slashed prices attracted buyers""
slasher,"someone who slashes another person","a weapon (a sword or dagger) used for slashing"
slashers,"someone who slashes another person","a weapon (a sword or dagger) used for slashing"
slashes
slashing,"as if striking with slashing blows; "his slashing demon-ridden cadenza""
slashings,"as if striking with slashing blows; "his slashing demon-ridden cadenza""
slat,"a thin strip (wood or metal)","equip or bar with slats; "Slat the windows"","close the slats of (windows)"
slatch
slatches
slate,"(formerly) a writing tablet made of slate","thin layers of rock used for roofing","a fine-grained metamorphic rock that can be split into thin layers","a list of candidates nominated by a political party to run for election to public offices","designate or schedule; "He slated his talk for 9 AM"; "She was slated to be his successor"","enter on a list or slate for an election; "He was slated for borough president"","cover with slate; "slate the roof""
slated
slater,"any of various small terrestrial isopods having a flat elliptical segmented body; found in damp habitats"
slaters,"any of various small terrestrial isopods having a flat elliptical segmented body; found in damp habitats"
slates,"(formerly) a writing tablet made of slate","thin layers of rock used for roofing","a fine-grained metamorphic rock that can be split into thin layers","a list of candidates nominated by a political party to run for election to public offices","designate or schedule; "He slated his talk for 9 AM"; "She was slated to be his successor"","enter on a list or slate for an election; "He was slated for borough president"","cover with slate; "slate the roof""
slather,"spread thickly; "I can't eat bagels without slathering them with cream cheese""
slathered
slathering
slathers,"spread thickly; "I can't eat bagels without slathering them with cream cheese""
slatier,"of the color of slate or granite; "the slaty sky of dawn""
slatiest,"of the color of slate or granite; "the slaty sky of dawn""
slating,"thin layers of rock used for roofing","a severely critical attack; "the reviewers gave his book a sound slating"","the act of laying slates for a roof"
slatings,"thin layers of rock used for roofing","a severely critical attack; "the reviewers gave his book a sound slating"","the act of laying slates for a roof"
slats,"a thin strip (wood or metal)","equip or bar with slats; "Slat the windows"","close the slats of (windows)"
slatted,"equip or bar with slats; "Slat the windows"","close the slats of (windows)"
slattern,"a prostitute who attracts customers by walking the streets","a dirty untidy woman"
slatterns,"a prostitute who attracts customers by walking the streets","a dirty untidy woman"
slatting,"equip or bar with slats; "Slat the windows"","close the slats of (windows)"
slaty,"of the color of slate or granite; "the slaty sky of dawn""
slaughter,"the killing of animals (as for food)","a sound defeat","the savage and excessive killing of many people","kill (animals) usually for food consumption; "They slaughtered their only goat to survive the winter"","kill a large number of people indiscriminately; "The Hutus massacred the Tutsis in Rwanda""
slaughtered
slaughterhouse,"a building where animals are butchered"
slaughterhouses,"a building where animals are butchered"
slaughtering
slaughters,"the killing of animals (as for food)","a sound defeat","the savage and excessive killing of many people","kill (animals) usually for food consumption; "They slaughtered their only goat to survive the winter"","kill a large number of people indiscriminately; "The Hutus massacred the Tutsis in Rwanda""
slave,"a person who is owned by someone","someone who works as hard as a slave","someone entirely dominated by some influence or person; "a slave to fashion"; "a slave to cocaine"; "his mother was his abject slave"","work very hard, like a slave"
slaved
slaver,"a person engaged in slave trade","someone who holds slaves","let saliva drivel from the mouth; "The baby drooled""
slavered
slaverer
slaverers
slaveries
slavering
slavers,"a person engaged in slave trade","someone who holds slaves","let saliva drivel from the mouth; "The baby drooled""
slavery,"the state of being under the control of another person","the practice of owning slaves","work done under harsh conditions for little or no pay"
slaves,"a person who is owned by someone","someone who works as hard as a slave","someone entirely dominated by some influence or person; "a slave to fashion"; "a slave to cocaine"; "his mother was his abject slave"","work very hard, like a slave"
slavey,"a female domestic servant who does all kinds of menial work"
slaveys,"a female domestic servant who does all kinds of menial work"
slaving
slavish,"blindly imitative; "a slavish copy of the original"","abjectly submissive; characteristic of a slave or servant; "slavish devotion to her job ruled her life"; "a slavish yes-man to the party bosses"- S.H.Adams; "she has become submissive and subservient""
slaw,"basically shredded cabbage"
slaws,"basically shredded cabbage"
slay,"kill intentionally and with premeditation; "The mafia boss ordered his enemies murdered""
slayer,"someone who causes the death of a person or animal"
slayers,"someone who causes the death of a person or animal"
slaying,"unlawful premeditated killing of a human being by a human being"
slays,"kill intentionally and with premeditation; "The mafia boss ordered his enemies murdered""
sleave
sleaved
sleaves
sleaving
sleazier,"of cloth; thin and loosely woven; "the coat has a sleazy lining"","of very poor quality; flimsy","morally degraded; "a seedy district"; "the seamy side of life"; "sleazy characters hanging around casinos"; "sleazy storefronts with...dirt on the walls"- Seattle Weekly; "the sordid details of his orgies stank under his very nostrils"- James Joyce; "the squalid atmosphere of intrigue and betrayal""
sleaziest,"of cloth; thin and loosely woven; "the coat has a sleazy lining"","of very poor quality; flimsy","morally degraded; "a seedy district"; "the seamy side of life"; "sleazy characters hanging around casinos"; "sleazy storefronts with...dirt on the walls"- Seattle Weekly; "the sordid details of his orgies stank under his very nostrils"- James Joyce; "the squalid atmosphere of intrigue and betrayal""
sleazily
sleazy,"of cloth; thin and loosely woven; "the coat has a sleazy lining"","of very poor quality; flimsy","morally degraded; "a seedy district"; "the seamy side of life"; "sleazy characters hanging around casinos"; "sleazy storefronts with...dirt on the walls"- Seattle Weekly; "the sordid details of his orgies stank under his very nostrils"- James Joyce; "the squalid atmosphere of intrigue and betrayal""
sled,"a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow","ride (on) a sled"
sledded
sledder,"someone who rides a sled"
sledders,"someone who rides a sled"
sledding,"the sport of riding on a sled or sleigh","advancing toward a goal; "persuading him was easy going"; "the proposal faces tough sledding"","ride (on) a sled"
sleddings,"the sport of riding on a sled or sleigh","advancing toward a goal; "persuading him was easy going"; "the proposal faces tough sledding"","ride (on) a sled"
sledge,"a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow","a heavy long-handled hammer used to drive stakes or wedges","transport in a sleigh","ride in or travel with a sledge; "the antarctic expedition sledged along the coastline"; "The children sledged all day by the lake"","beat with a sledgehammer"
sledged
sledgehammer,"a heavy long-handled hammer used to drive stakes or wedges","beat with a sledgehammer"
sledgehammered
sledgehammering
sledgehammers,"a heavy long-handled hammer used to drive stakes or wedges","beat with a sledgehammer"
sledges,"a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow","a heavy long-handled hammer used to drive stakes or wedges","transport in a sleigh","ride in or travel with a sledge; "the antarctic expedition sledged along the coastline"; "The children sledged all day by the lake"","beat with a sledgehammer"
sledging
sleds,"a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow","ride (on) a sled"
sleek,"make slick or smooth","well-groomed and neatly tailored; especially too well-groomed; "sleek figures in expensive clothes"","designed or arranged to offer the least resistant to fluid flow; "a streamlined convertible"","having a smooth, gleaming surface reflecting light; "glossy auburn hair"; "satiny gardenia petals"; "sleek black fur"; "silken eyelashes"; "silky skin"; "a silklike fabric"; "slick seals and otters""
sleeked
sleeken
sleekened
sleekening
sleekens
sleeker
sleekest
sleekier
sleekiest
sleeking
sleekit
sleekly,"in a sleek glossy manner; "the wet road was shining sleekly""
sleeks,"make slick or smooth","well-groomed and neatly tailored; especially too well-groomed; "sleek figures in expensive clothes"","designed or arranged to offer the least resistant to fluid flow; "a streamlined convertible"","having a smooth, gleaming surface reflecting light; "glossy auburn hair"; "satiny gardenia petals"; "sleek black fur"; "silken eyelashes"; "silky skin"; "a silklike fabric"; "slick seals and otters""
sleeky
sleep,"a natural and periodic state of rest during which consciousness of the world is suspended; "he didn't get enough sleep last night"; "calm as a child in dreamless slumber"","a torpid state resembling deep sleep","a period of time spent sleeping; "he felt better after a little sleep"; "there wasn't time for a nap"","euphemisms for death (based on an analogy between lying in a bed and in a tomb); "she was laid to rest beside her husband"; "they had to put their family pet to sleep"","be asleep","be able to accommodate for sleeping; "This tent sleeps six people""
sleeper,"a rester who is sleeping","a spy or saboteur or terrorist planted in an enemy country who lives there as a law-abiding citizen until activated by a prearranged signal","an unexpected achiever of success; "the winner was a true sleeper--no one expected him to get it"","one of the cross braces that support the rails on a railway track; "the British call a railroad tie a sleeper"","a passenger car that has berths for sleeping","pajamas with feet; worn by children","a piece of furniture that can be opened up into a bed","tropical fish that resembles a goby and rests quietly on the bottom in shallow water","an unexpected hit; "that movie was the sleeper of the summer""
sleepers,"a rester who is sleeping","a spy or saboteur or terrorist planted in an enemy country who lives there as a law-abiding citizen until activated by a prearranged signal","an unexpected achiever of success; "the winner was a true sleeper--no one expected him to get it"","one of the cross braces that support the rails on a railway track; "the British call a railroad tie a sleeper"","a passenger car that has berths for sleeping","pajamas with feet; worn by children","a piece of furniture that can be opened up into a bed","tropical fish that resembles a goby and rests quietly on the bottom in shallow water","an unexpected hit; "that movie was the sleeper of the summer""
sleepier,"ready to fall asleep; "beginning to feel sleepy"; "a sleepy-eyed child with drooping eyelids"; "sleepyheaded students""
sleepiest,"ready to fall asleep; "beginning to feel sleepy"; "a sleepy-eyed child with drooping eyelids"; "sleepyheaded students""
sleepily,"in a sleepy manner; "the two children who were snuggled sleepily in the back of the car""
sleepiness,"a very sleepy state; "sleepiness causes many driving accidents""
sleeping,"the state of being asleep","quiet and inactive restfulness","the suspension of consciousness and decrease in metabolic rate","lying with head on paws as if sleeping"
sleepings,"the state of being asleep","quiet and inactive restfulness","the suspension of consciousness and decrease in metabolic rate","lying with head on paws as if sleeping"
sleepless,"experiencing or accompanied by sleeplessness; "insomniac old people"; "insomniac nights"; "lay sleepless all night"; "twenty watchful, weary, tedious nights"- Shakespeare","always watchful; "to an eye like mine, a lidless watcher of the public weal"- Alfred Tennyson"
sleeplessness,"a temporary state in which you are unable (or unwilling) to sleep; "accept your wakefulness and sleep in its own contrary way is more likely to come""
sleeps,"a natural and periodic state of rest during which consciousness of the world is suspended; "he didn't get enough sleep last night"; "calm as a child in dreamless slumber"","a torpid state resembling deep sleep","a period of time spent sleeping; "he felt better after a little sleep"; "there wasn't time for a nap"","euphemisms for death (based on an analogy between lying in a bed and in a tomb); "she was laid to rest beside her husband"; "they had to put their family pet to sleep"","be asleep","be able to accommodate for sleeping; "This tent sleeps six people""
sleepwalk,"walk in one's sleep"
sleepwalked
sleepwalker,"someone who walks about in their sleep"
sleepwalkers,"someone who walks about in their sleep"
sleepwalking,"walking by a person who is asleep"
sleepwalks,"walk in one's sleep"
sleepy,"ready to fall asleep; "beginning to feel sleepy"; "a sleepy-eyed child with drooping eyelids"; "sleepyheaded students""
sleet,"partially melted snow (or a mixture of rain and snow)","precipitate as a mixture of rain and snow; "If the temperature rises above freezing, it will probably sleet""
sleeted
sleetier
sleetiest
sleeting
sleets,"partially melted snow (or a mixture of rain and snow)","precipitate as a mixture of rain and snow; "If the temperature rises above freezing, it will probably sleet""
sleety,"consisting of or of the nature of frozen or partially frozen rain"
sleeve,"the part of a garment that is attached at the armhole and that provides a cloth covering for the arm","small case into which an object fits"
sleeved,"made with sleeves or sleeves especially as specified; often used in combination; "sleeved garments"; "short-sleeved""
sleeveless,"having no sleeves; "sleeveless summer dresses"","unproductive of success; "a fruitless search"; "futile years after her artistic peak"; "a sleeveless errand"; "a vain attempt""
sleeves,"the part of a garment that is attached at the armhole and that provides a cloth covering for the arm","small case into which an object fits"
sleeving
sleigh,"a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow","ride (on) a sled"
sleighed
sleigher
sleighers
sleighing
sleighs,"a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow","ride (on) a sled"
sleight,"adroitness in using the hands"
sleights,"adroitness in using the hands"
slender,"being of delicate or slender build; "she was slender as a willow shoot is slender"- Frank Norris; "a slim girl with straight blonde hair"; "watched her slight figure cross the street"","very narrow; "a thin line across the page"","having little width in proportion to the length or height; "a slender pole"","small in quantity; "slender wages"; "a slim chance of winning"; "a small surplus"","moving and bending with ease"
slenderer
slenderest
slept,"be asleep","be able to accommodate for sleeping; "This tent sleeps six people""
sleuth,"a detective who follows a trail","watch, observe, or inquire secretly"
sleuthed
sleuthing,"a police investigation to determine the perpetrator; "detection is hard on the feet""
sleuths,"a detective who follows a trail","watch, observe, or inquire secretly"
slew,"(often followed by `of') a large number or amount or extent; "a batch of letters"; "a deal of trouble"; "a lot of money"; "he made a mint on the stock market"; "see the rest of the winners in our huge passel of photos"; "it must have cost plenty"; "a slew of journalists"; "a wad of money"","turn sharply; change direction abruptly; "The car cut to the left at the intersection"; "The motorbike veered to the right"","move obliquely or sideways, usually in an uncontrolled manner; "the wheels skidded against the sidewalk""
slewed
slewing
slews,"a large number or amount; "made lots of new friends"; "she amassed stacks of newspapers"","turn sharply; change direction abruptly; "The car cut to the left at the intersection"; "The motorbike veered to the right"","move obliquely or sideways, usually in an uncontrolled manner; "the wheels skidded against the sidewalk""
slice,"a share of something; "a slice of the company's revenue"","a serving that has been cut from a larger portion; "a piece of pie"; "a slice of bread"","a wound made by cutting; "he put a bandage over the cut"","a golf shot that curves to the right for a right-handed golfer; "he took lessons to cure his slicing"","a thin flat piece cut off of some object","a spatula for spreading paint or ink","make a clean cut through; "slit her throat"","hit a ball and put a spin on it so that it travels in a different direction","cut into slices; "Slice the salami, please"","hit a ball so that it causes a backspin"
sliced,"prepared by cutting; "sliced tomatoes"; "sliced ham"; "chopped clams"; "chopped meat"; "shredded cabbage"","used of meat; cut into pieces for serving"
slicer,"a golfer whose shots typically curve right (for right-handed golfers)","a machine for cutting; usually with a revolving blade","knife especially designed for slicing particular foods, as cheese"
slicers,"a golfer whose shots typically curve right (for right-handed golfers)","a machine for cutting; usually with a revolving blade","knife especially designed for slicing particular foods, as cheese"
slices,"a share of something; "a slice of the company's revenue"","a serving that has been cut from a larger portion; "a piece of pie"; "a slice of bread"","a wound made by cutting; "he put a bandage over the cut"","a golf shot that curves to the right for a right-handed golfer; "he took lessons to cure his slicing"","a thin flat piece cut off of some object","a spatula for spreading paint or ink","make a clean cut through; "slit her throat"","hit a ball and put a spin on it so that it travels in a different direction","cut into slices; "Slice the salami, please"","hit a ball so that it causes a backspin"
slicing,"a golf shot that curves to the right for a right-handed golfer; "he took lessons to cure his slicing"","the act of cutting into slices"
slick,"a slippery smoothness; "he could feel the slickness of the tiller"","a magazine printed on good quality paper","a film of oil or garbage floating on top of water","a trowel used to make a surface slick","make slick or smooth","give a smooth and glossy appearance; "slick one's hair"","made slick by e.g. ice or grease; "sidewalks slick with ice"; "roads are slickest when rain has just started and hasn't had time to wash away the oil"","having only superficial plausibility; "glib promises"; "a slick commercial"","having a smooth, gleaming surface reflecting light; "glossy auburn hair"; "satiny gardenia petals"; "sleek black fur"; "silken eyelashes"; "silky skin"; "a silklike fabric"; "slick seals and otters"","marked by skill in deception; "cunning men often pass for wise"; "deep political machinations"; "a foxy scheme"; "a slick evasive answer"; "sly as a fox"; "tricky Dick"; "a wily old attorney""
slicked,"(of hair) made smooth by applying a sticky or glossy substance; "black hair plastered with pomade""
slicker,"a macintosh made from cotton fabric treated with oil and pigment to make it waterproof","a person with good manners and stylish clothing","someone who leads you to believe something that is not true"
slickers,"a macintosh made from cotton fabric treated with oil and pigment to make it waterproof","a person with good manners and stylish clothing","someone who leads you to believe something that is not true"
slickest
slicking
slickly,"with superficial plausibility; "he talked glibly""
slicks,"a slippery smoothness; "he could feel the slickness of the tiller"","a magazine printed on good quality paper","a film of oil or garbage floating on top of water","a trowel used to make a surface slick","make slick or smooth","give a smooth and glossy appearance; "slick one's hair"","made slick by e.g. ice or grease; "sidewalks slick with ice"; "roads are slickest when rain has just started and hasn't had time to wash away the oil"","having only superficial plausibility; "glib promises"; "a slick commercial"","having a smooth, gleaming surface reflecting light; "glossy auburn hair"; "satiny gardenia petals"; "sleek black fur"; "silken eyelashes"; "silky skin"; "a silklike fabric"; "slick seals and otters"","marked by skill in deception; "cunning men often pass for wise"; "deep political machinations"; "a foxy scheme"; "a slick evasive answer"; "sly as a fox"; "tricky Dick"; "a wily old attorney""
slid,"move obliquely or sideways, usually in an uncontrolled manner; "the wheels skidded against the sidewalk"","to pass or move unobtrusively or smoothly; "They slid through the wicket in the big gate"","move smoothly along a surface; "He slid the money over to the other gambler""
slidable
slidden,"move obliquely or sideways, usually in an uncontrolled manner; "the wheels skidded against the sidewalk"","to pass or move unobtrusively or smoothly; "They slid through the wicket in the big gate"","move smoothly along a surface; "He slid the money over to the other gambler""
slide,"a small flat rectangular piece of glass on which specimens can be mounted for microscopic study","(geology) the descent of a large mass of earth or rocks or snow etc.","(music) rapid sliding up or down the musical scale; "the violinist was indulgent with his swoops and slides"","plaything consisting of a sloping chute down which children can slide","the act of moving smoothly along a surface while remaining in contact with it; "his slide didn't stop until the bottom of the hill"; "the children lined up for a coast down the snowy slope"","a transparency mounted in a frame; viewed with a slide projector","sloping channel through which things can descend","move obliquely or sideways, usually in an uncontrolled manner; "the wheels skidded against the sidewalk"","to pass or move unobtrusively or smoothly; "They slid through the wicket in the big gate"","move smoothly along a surface; "He slid the money over to the other gambler""
slider,"a person who slips or slides because of loss of traction","someone who races the luge","freshwater turtle of United States and South America; frequently raised commercially; some young sold as pets","a fastball that curves slightly away from the side from which it was thrown"
sliders,"a person who slips or slides because of loss of traction","someone who races the luge","freshwater turtle of United States and South America; frequently raised commercially; some young sold as pets","a fastball that curves slightly away from the side from which it was thrown"
slides,"a small flat rectangular piece of glass on which specimens can be mounted for microscopic study","(geology) the descent of a large mass of earth or rocks or snow etc.","(music) rapid sliding up or down the musical scale; "the violinist was indulgent with his swoops and slides"","plaything consisting of a sloping chute down which children can slide","the act of moving smoothly along a surface while remaining in contact with it; "his slide didn't stop until the bottom of the hill"; "the children lined up for a coast down the snowy slope"","a transparency mounted in a frame; viewed with a slide projector","sloping channel through which things can descend","move obliquely or sideways, usually in an uncontrolled manner; "the wheels skidded against the sidewalk"","to pass or move unobtrusively or smoothly; "They slid through the wicket in the big gate"","move smoothly along a surface; "He slid the money over to the other gambler""
slideway,"sloping channel through which things can descend"
slideways,"sloping channel through which things can descend"
sliding,"being a smooth continuous motion"
slier,"marked by skill in deception; "cunning men often pass for wise"; "deep political machinations"; "a foxy scheme"; "a slick evasive answer"; "sly as a fox"; "tricky Dick"; "a wily old attorney""
sliest,"marked by skill in deception; "cunning men often pass for wise"; "deep political machinations"; "a foxy scheme"; "a slick evasive answer"; "sly as a fox"; "tricky Dick"; "a wily old attorney""
slight,"a deliberate discourteous act (usually as an expression of anger or disapproval)","pay no attention to, disrespect; "She cold-shouldered her ex-fiance"","(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some; "little rain fell in May"; "gave it little thought"; "little time is left"; "we still have little money"; "a little hope remained"; "there's slight chance that it will work"; "there's a slight chance it will work"","lacking substance or significance; "slight evidence"; "a tenuous argument"; "a thin plot"; a fragile claim to fame"","being of delicate or slender build; "she was slender as a willow shoot is slender"- Frank Norris; "a slim girl with straight blonde hair"; "watched her slight figure cross the street""
slighted
slighter
slightest
slighting,"tending to diminish or disparage; "belittling comments"; "managed a deprecating smile at the compliment"; "deprecatory remarks about the book"; "a slighting remark""
slightly,"to a small degree or extent; "his arguments were somewhat self-contradictory"; "the children argued because one slice of cake was slightly larger than the other"","in a slim or slender manner; "a slenderly built woman"; "slightly built""
slights,"a deliberate discourteous act (usually as an expression of anger or disapproval)","pay no attention to, disrespect; "She cold-shouldered her ex-fiance"","(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some; "little rain fell in May"; "gave it little thought"; "little time is left"; "we still have little money"; "a little hope remained"; "there's slight chance that it will work"; "there's a slight chance it will work"","lacking substance or significance; "slight evidence"; "a tenuous argument"; "a thin plot"; a fragile claim to fame"","being of delicate or slender build; "she was slender as a willow shoot is slender"- Frank Norris; "a slim girl with straight blonde hair"; "watched her slight figure cross the street""
slily
