flab,"loose or flaccid body fat"
flagella,"a whip used to inflict punishment (often used for pedantic humor)","a lash-like appendage used for locomotion (e.g., in sperm cells and some bacteria and protozoa)"
flagellate,"a usually nonphotosynthetic free-living protozoan with whiplike appendages; some are pathogens of humans and other animals","whip; "The religious fanatics flagellated themselves"","having or resembling a lash or whip (as does a flagellum)"
flagellated,"having or resembling a lash or whip (as does a flagellum)"
flagellates,"a usually nonphotosynthetic free-living protozoan with whiplike appendages; some are pathogens of humans and other animals","whip; "The religious fanatics flagellated themselves"","having or resembling a lash or whip (as does a flagellum)"
flagellating
flagellation,"beating as a source of erotic or religious stimulation","beating with a whip or strap or rope as a form of punishment"
flagellations,"beating as a source of erotic or religious stimulation","beating with a whip or strap or rope as a form of punishment"
flagged,"communicate or signal with a flag","provide with a flag; "Flag this file so that I can recognize it immediately"","droop, sink, or settle from or as if from pressure or loss of tautness","decorate with flags; "the building was flagged for the holiday"","become less intense"
flagger
flaggers
flaggier
flaggiest
flagging,"flagstones collectively; "there was a pile of flagging waiting to be laid in place"","a walk of flagstones; "the flagging in the garden was quite imaginative"","communicate or signal with a flag","provide with a flag; "Flag this file so that I can recognize it immediately"","droop, sink, or settle from or as if from pressure or loss of tautness","decorate with flags; "the building was flagged for the holiday"","become less intense","weak from exhaustion"
flaggings,"flagstones collectively; "there was a pile of flagging waiting to be laid in place"","a walk of flagstones; "the flagging in the garden was quite imaginative"","communicate or signal with a flag","provide with a flag; "Flag this file so that I can recognize it immediately"","droop, sink, or settle from or as if from pressure or loss of tautness","decorate with flags; "the building was flagged for the holiday"","become less intense","weak from exhaustion"
flaggy
flagless
flagman
flagmen
flagon,"a large metal or pottery vessel with a handle and spout; used to hold alcoholic beverages (usually wine)"
flagons,"a large metal or pottery vessel with a handle and spout; used to hold alcoholic beverages (usually wine)"
flagpole,"surveying instrument consisting of a straight rod painted in bands of alternate red and white each one foot wide; used for sightings by surveyors","a tall staff or pole on which a flag is raised"
flagpoles,"surveying instrument consisting of a straight rod painted in bands of alternate red and white each one foot wide; used for sightings by surveyors","a tall staff or pole on which a flag is raised"
flagrant,"conspicuously and outrageously bad or reprehensible; "a crying shame"; "an egregious lie"; "flagrant violation of human rights"; "a glaring error"; "gross ineptitude"; "gross injustice"; "rank treachery""
flagrantly,"in a flagrant manner; "he is flagrantly disregarding the law""
flags,"emblem usually consisting of a rectangular piece of cloth of distinctive design","a listing printed in all issues of a newspaper or magazine (usually on the editorial page) that gives the name of the publication and the names of the editorial staff, etc.","plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals","a rectangular piece of fabric used as a signalling device","flagpole used to mark the position of the hole on a golf green","stratified stone that splits into pieces suitable as paving stones","a conspicuously marked or shaped tail","communicate or signal with a flag","provide with a flag; "Flag this file so that I can recognize it immediately"","droop, sink, or settle from or as if from pressure or loss of tautness","decorate with flags; "the building was flagged for the holiday"","become less intense"
flagship,"the chief one of a related group; "it is their flagship newspaper"","the ship that carries the commander of a fleet and flies his flag"
flagships,"the chief one of a related group; "it is their flagship newspaper"","the ship that carries the commander of a fleet and flies his flag"
flagstaff,"a town in north central Arizona; site of an important observatory","a tall staff or pole on which a flag is raised"
flagstaffs,"a town in north central Arizona; site of an important observatory","a tall staff or pole on which a flag is raised"
flagstone,"stratified stone that splits into pieces suitable as paving stones"
flagstones,"stratified stone that splits into pieces suitable as paving stones"
flail,"an implement consisting of handle with a free swinging stick at the end; used in manual threshing","give a thrashing to; beat hard","move like a flail; thresh about; "Her arms were flailing""
flailed
flailing
flails,"an implement consisting of handle with a free swinging stick at the end; used in manual threshing","give a thrashing to; beat hard","move like a flail; thresh about; "Her arms were flailing""
flair,"a natural talent; "he has a flair for mathematics"; "he has a genius for interior decorating"","distinctive and stylish elegance; "he wooed her with the confident dash of a cavalry officer"","a shape that spreads outward; "the skirt had a wide flare""
flairs,"a natural talent; "he has a flair for mathematics"; "he has a genius for interior decorating"","distinctive and stylish elegance; "he wooed her with the confident dash of a cavalry officer"","a shape that spreads outward; "the skirt had a wide flare""
flak,"a slick spokesperson who can turn any criticism to the advantage of their employer","intense adverse criticism; "Clinton directed his fire at the Republican Party"; "the government has come under attack"; "don't give me any flak"","artillery designed to shoot upward at airplanes"
flake,"a crystal of snow","a person with an unusual or odd personality","a small fragment of something broken off from the whole; "a bit of rock caught him in the eye"","form into flakes; "The substances started to flake"","cover with flakes or as if with flakes","come off in flakes or thin small pieces; "The paint in my house is peeling off""
flaked
flaker
flakers
flakes,"a crystal of snow","a person with an unusual or odd personality","a small fragment of something broken off from the whole; "a bit of rock caught him in the eye"","form into flakes; "The substances started to flake"","cover with flakes or as if with flakes","come off in flakes or thin small pieces; "The paint in my house is peeling off""
flakier,"made of or resembling flakes; "flaky soap"","made of or easily forming flakes","conspicuously or grossly unconventional or unusual; "restaurants of bizarre design--one like a hat, another like a rabbit"; "famed for his eccentric spelling"; "a freakish combination of styles"; "his off-the-wall antics"; "the outlandish clothes of teenagers"; "outre and affected stage antics""
flakiest,"made of or resembling flakes; "flaky soap"","made of or easily forming flakes","conspicuously or grossly unconventional or unusual; "restaurants of bizarre design--one like a hat, another like a rabbit"; "famed for his eccentric spelling"; "a freakish combination of styles"; "his off-the-wall antics"; "the outlandish clothes of teenagers"; "outre and affected stage antics""
flakily
flaking
flaky,"made of or resembling flakes; "flaky soap"","made of or easily forming flakes","conspicuously or grossly unconventional or unusual; "restaurants of bizarre design--one like a hat, another like a rabbit"; "famed for his eccentric spelling"; "a freakish combination of styles"; "his off-the-wall antics"; "the outlandish clothes of teenagers"; "outre and affected stage antics""
flam
flambe,"pour liquor over and ignite (a dish)"
flambeau,"a flaming torch (such as are used in processions at night)"
flambeaus,"a flaming torch (such as are used in processions at night)"
flambeaux,"a flaming torch (such as are used in processions at night)"
flambee
flambeed
flambeing
flambes,"pour liquor over and ignite (a dish)"
flamboyance,"extravagant elaborateness; "he wrote with great flamboyance""
flamboyances,"extravagant elaborateness; "he wrote with great flamboyance""
flamboyant,"showy tropical tree or shrub native to Madagascar; widely planted in tropical regions for its immense racemes of scarlet and orange flowers; sometimes placed in genus Poinciana","marked by ostentation but often tasteless; "a cheap showy rhinestone bracelet"; "a splashy half-page ad"","elaborately or excessively ornamented; "flamboyant handwriting"; "the senator's florid speech""
flamboyantly,"in a fancy colorful manner; "he dresses rather flamboyantly""
flame,"the process of combustion of inflammable materials producing heat and light and (often) smoke; "fire was one of our ancestors' first discoveries"","shine with a sudden light; "The night sky flared with the massive bombardment"","be in flames or aflame; "The sky seemed to flame in the Hawaiian sunset"","criticize harshly, usually via an electronic medium; "the person who posted an inflammatory message got flamed""
flamed
flamen,"a priest who served a particular deity in ancient Rome"
flamenco,"guitar music composed for dancing the flamenco","a style of dancing characteristic of the Andalusian Gypsies; vigorous and rhythmic with clapping and stamping of feet"
flamencos,"guitar music composed for dancing the flamenco","a style of dancing characteristic of the Andalusian Gypsies; vigorous and rhythmic with clapping and stamping of feet"
flamens,"a priest who served a particular deity in ancient Rome"
flameout
flameouts
flamer
flamers
flames,"the process of combustion of inflammable materials producing heat and light and (often) smoke; "fire was one of our ancestors' first discoveries"","shine with a sudden light; "The night sky flared with the massive bombardment"","be in flames or aflame; "The sky seemed to flame in the Hawaiian sunset"","criticize harshly, usually via an electronic medium; "the person who posted an inflammatory message got flamed""
flamier
flamiest
flamines,"a priest who served a particular deity in ancient Rome"
flaming,"the process of combustion of inflammable materials producing heat and light and (often) smoke; "fire was one of our ancestors' first discoveries"","informal intensifiers; "what a bally (or blinking) nuisance"; "a bloody fool"; "a crashing bore"; "you flaming idiot"","very intense; "a fiery temper"; "flaming passions""
flamingo,"large pink to scarlet web-footed wading bird with down-bent bill; inhabits brackish lakes"
flamingoes,"large pink to scarlet web-footed wading bird with down-bent bill; inhabits brackish lakes"
flamingos,"large pink to scarlet web-footed wading bird with down-bent bill; inhabits brackish lakes"
flammable,"easily ignited"
flammed
flamming
flams
flamy
flan,"open pastry filled with fruit or custard"
flancard
flancards
flanerie
flaneries
flanes
flaneur
flaneurs
flange,"a projection used for strength or for attaching to another object"
flanged
flanger
flangers
flanges,"a projection used for strength or for attaching to another object"
flanging
flank,"the side of military or naval formation; "they attacked the enemy's right flank"","a subfigure consisting of a side of something","a cut from the fleshy part of an animal's side between the ribs and the leg","the side between ribs and hipbone","be located at the sides of something or somebody"
flanked
flanker,"a back stationed wide of the scrimmage line; used as a pass receiver","a soldier who is a member of a detachment assigned to guard the flanks of a military formation"
flankers,"a back stationed wide of the scrimmage line; used as a pass receiver","a soldier who is a member of a detachment assigned to guard the flanks of a military formation"
flanking
flanks,"the side of military or naval formation; "they attacked the enemy's right flank"","a subfigure consisting of a side of something","a cut from the fleshy part of an animal's side between the ribs and the leg","the side between ribs and hipbone","be located at the sides of something or somebody"
flannel,"a soft light woolen fabric; used for clothing","bath linen consisting of a piece of cloth used to wash the face and body","(usually in the plural) trousers made of flannel or gabardine or tweed or white cloth"
flanneled
flanneling
flannelled
flannelling
flannels,"a soft light woolen fabric; used for clothing","bath linen consisting of a piece of cloth used to wash the face and body","(usually in the plural) trousers made of flannel or gabardine or tweed or white cloth"
flans,"open pastry filled with fruit or custard"
flap,"any broad thin and limber covering attached at one edge; hangs loose or projects freely; "he wrote on the flap of the envelope"","an excited state of agitation; "he was in a dither"; "there was a terrible flap about the theft"","the motion made by flapping up and down","a movable piece of tissue partly connected to the body","a movable airfoil that is part of an aircraft wing; used to increase lift or drag","move in a wavy pattern or with a rising and falling motion; "The curtains undulated"; "the waves rolled towards the beach"","move noisily; "flags flapped in the strong wind"","move with a thrashing motion; "The bird flapped its wings"; "The eagle beat its wings and soared high into the sky"","move with a flapping motion; "The bird's wings were flapping"","make a fuss; be agitated","pronounce with a flap, of alveolar sounds"
flapjack,"a flat cake of thin batter fried on both sides on a griddle"
flapjacks,"a flat cake of thin batter fried on both sides on a griddle"
flapless
flapped,"move in a wavy pattern or with a rising and falling motion; "The curtains undulated"; "the waves rolled towards the beach"","move noisily; "flags flapped in the strong wind"","move with a thrashing motion; "The bird flapped its wings"; "The eagle beat its wings and soared high into the sky"","move with a flapping motion; "The bird's wings were flapping"","make a fuss; be agitated","pronounce with a flap, of alveolar sounds"
flapper,"a young woman in the 1920s who flaunted her unconventional conduct and dress"
flappers,"a young woman in the 1920s who flaunted her unconventional conduct and dress"
flappier
flappiest
flapping,"the motion made by flapping up and down","move in a wavy pattern or with a rising and falling motion; "The curtains undulated"; "the waves rolled towards the beach"","move noisily; "flags flapped in the strong wind"","move with a thrashing motion; "The bird flapped its wings"; "The eagle beat its wings and soared high into the sky"","move with a flapping motion; "The bird's wings were flapping"","make a fuss; be agitated","pronounce with a flap, of alveolar sounds"
flappy
flaps,"a movable airfoil that is part of an aircraft wing; used to increase lift or drag","move in a wavy pattern or with a rising and falling motion; "The curtains undulated"; "the waves rolled towards the beach"","move noisily; "flags flapped in the strong wind"","move with a thrashing motion; "The bird flapped its wings"; "The eagle beat its wings and soared high into the sky"","move with a flapping motion; "The bird's wings were flapping"","make a fuss; be agitated","pronounce with a flap, of alveolar sounds"
flare,"a shape that spreads outward; "the skirt had a wide flare"","a sudden burst of flame","a burst of light used to communicate or illuminate","reddening of the skin spreading outward from a focus of infection or irritation","a sudden recurrence or worsening of symptoms; "a colitis flare"; "infection can cause a lupus flare"","a sudden eruption of intense high-energy radiation from the sun's surface; associated with sunspots and radio interference","am unwanted reflection in an optical system (or the fogging of an image that is caused by such a reflection)","a sudden outburst of emotion; "she felt a flare of delight"; "she could not control her flare of rage"","a device that produces a bright light for warning or illumination or identification","a short forward pass to a back who is running toward the sidelines; "he threw a flare to the fullback who was tackled for a loss"","(baseball) a fly ball hit a short distance into the outfield","burn brightly; "Every star seemed to flare with new intensity"","become flared and widen, usually at one end; "The bellbottom pants flare out"","shine with a sudden light; "The night sky flared with the massive bombardment"","erupt or intensify suddenly; "Unrest erupted in the country"; "Tempers flared at the meeting"; "The crowd irrupted into a burst of patriotism""
flared
flares,"a shape that spreads outward; "the skirt had a wide flare"","a sudden burst of flame","a burst of light used to communicate or illuminate","reddening of the skin spreading outward from a focus of infection or irritation","a sudden recurrence or worsening of symptoms; "a colitis flare"; "infection can cause a lupus flare"","a sudden eruption of intense high-energy radiation from the sun's surface; associated with sunspots and radio interference","am unwanted reflection in an optical system (or the fogging of an image that is caused by such a reflection)","a sudden outburst of emotion; "she felt a flare of delight"; "she could not control her flare of rage"","a device that produces a bright light for warning or illumination or identification","a short forward pass to a back who is running toward the sidelines; "he threw a flare to the fullback who was tackled for a loss"","(baseball) a fly ball hit a short distance into the outfield","burn brightly; "Every star seemed to flare with new intensity"","become flared and widen, usually at one end; "The bellbottom pants flare out"","shine with a sudden light; "The night sky flared with the massive bombardment"","erupt or intensify suddenly; "Unrest erupted in the country"; "Tempers flared at the meeting"; "The crowd irrupted into a burst of patriotism""
flaring,"streaming or flapping or spreading wide as if in a current of air; "ran quickly, her flaring coat behind her"; "flags aflare in the breeze""
flash,"a sudden intense burst of radiant energy","a momentary brightness","a short vivid experience; "a flash of emotion swept over him"; "the flashings of pain were a warning"","a sudden brilliant understanding; "he had a flash of intuition"","a very short time (as the time it takes the eye to blink or the heart to beat); "if I had the chance I'd do it in a flash"","a gaudy outward display","a burst of light used to communicate or illuminate","a short news announcement concerning some on-going news story","a bright patch of color used for decoration or identification; "red flashes adorned the airplane"; "a flash sewn on his sleeve indicated the unit he belonged to"","a lamp for providing momentary light to take a photograph","gleam or glow intermittently; "The lights were flashing"","appear briefly; "The headlines flashed on the screen"","display proudly; act ostentatiously or pretentiously; "he showed off his new sports car"","make known or cause to appear with great speed; "The latest intelligence is flashed to all command posts"","run or move very quickly or hastily; "She dashed into the yard"","expose or show briefly; "he flashed a $100 bill"","protect by covering with a thin sheet of metal; "flash the roof"","emit a brief burst of light; "A shooting star flashed and was gone"","tastelessly showy; "a flash car"; "a flashy ring"; "garish colors"; "a gaudy costume"; "loud sport shirts"; "a meretricious yet stylish book"; "tawdry ornaments""
flashed
flasher,"someone with a compulsive desire to expose the genitals","an electrical device that automatically turns a lamp on and off (as for an advertising display)","a light that flashes on and off; used as a signal or to send messages"
flashers,"someone with a compulsive desire to expose the genitals","an electrical device that automatically turns a lamp on and off (as for an advertising display)","a light that flashes on and off; used as a signal or to send messages"
flashes
flashgun,"a lamp for providing momentary light to take a photograph"
flashguns,"a lamp for providing momentary light to take a photograph"
flashier,"tastelessly showy; "a flash car"; "a flashy ring"; "garish colors"; "a gaudy costume"; "loud sport shirts"; "a meretricious yet stylish book"; "tawdry ornaments"","(used especially of clothes) marked by conspicuous display"
flashiest,"tastelessly showy; "a flash car"; "a flashy ring"; "garish colors"; "a gaudy costume"; "loud sport shirts"; "a meretricious yet stylish book"; "tawdry ornaments"","(used especially of clothes) marked by conspicuous display"
flashily,"in a meretricious manner; "the boat is meretriciously decorated"","in a fancy colorful manner; "he dresses rather flamboyantly""
flashiness,"tasteless showiness"
flashinesses
flashing,"a short vivid experience; "a flash of emotion swept over him"; "the flashings of pain were a warning"","sheet metal shaped and attached to a roof for strength and weatherproofing"
flashings,"a short vivid experience; "a flash of emotion swept over him"; "the flashings of pain were a warning"","sheet metal shaped and attached to a roof for strength and weatherproofing"
flashlight,"a small portable battery-powered electric lamp"
flashlights,"a small portable battery-powered electric lamp"
flashy,"tastelessly showy; "a flash car"; "a flashy ring"; "garish colors"; "a gaudy costume"; "loud sport shirts"; "a meretricious yet stylish book"; "tawdry ornaments"","(used especially of clothes) marked by conspicuous display"
flask,"bottle that has a narrow neck","the quantity a flask will hold"
flasket
flaskets
flasks,"bottle that has a narrow neck","the quantity a flask will hold"
flat,"a level tract of land; "the salt flats of Utah"","a shallow box in which seedlings are started","a musical notation indicating one half step lower than the note named","freight car without permanent sides or roof","a deflated pneumatic tire","scenery consisting of a wooden frame covered with painted canvas; part of a stage setting","a suite of rooms usually on one floor of an apartment house","having a surface without slope, tilt in which no part is higher or lower than another; "a flat desk"; "acres of level farmland"; "a plane surface"; "skirts sewn with fine flat seams"","having a relatively broad surface in relation to depth or thickness; "flat computer monitors"","not modified or restricted by reservations; "a categorical denial"; "a flat refusal"","stretched out and lying at full length along the ground; "found himself lying flat on the floor"","lacking contrast or shading between tones","(of a musical note) lowered in pitch by one chromatic semitone; "B flat"","flattened laterally along the whole length (e.g., certain leafstalks or flatfishes)","lacking taste or flavor or tang; "a bland diet"; "insipid hospital food"; "flavorless supermarket tomatoes"; "vapid beer"; "vapid tea"","lacking stimulating characteristics; uninteresting; "a bland little drama"; "a flat joke"","having lost effervescence; "flat beer"; "a flat cola"","sounded or spoken in a tone unvarying in pitch; "the owl's faint monotonous hooting"","horizontally level; "a flat roof"","lacking the expected range or depth; not designed to give an illusion or depth; "a film with two-dimensional characters"; "a flat two-dimensional painting"","not reflecting light; not glossy; "flat wall paint"; "a photograph with a matte finish"","commercially inactive; "flat sales for the month"; "prices remained flat"; "a flat market"","with flat sails; "sail flat against the wind"","in a forthright manner; candidly or frankly; "he didn't answer directly"; "told me straight out"; "came out flat for less work and more pay""
flatbed,"freight car without permanent sides or roof","an open truck bed or trailer with no sides; used to carry large heavy objects"
flatbeds,"freight car without permanent sides or roof","an open truck bed or trailer with no sides; used to carry large heavy objects"
flatboat,"a flatbottom boat for carrying heavy loads (especially on canals)"
flatboats,"a flatbottom boat for carrying heavy loads (especially on canals)"
flatcap
flatcaps
flatcar,"freight car without permanent sides or roof"
flatcars,"freight car without permanent sides or roof"
flatfeet,"a policeman who patrols a given region","a foot afflicted with a fallen arch; abnormally flattened and spread out"
flatfish,"sweet lean whitish flesh of any of numerous thin-bodied fish; usually served as thin fillets","any of several families of fishes having flattened bodies that swim along the sea floor on one side of the body with both eyes on the upper side"
flatfishes,"sweet lean whitish flesh of any of numerous thin-bodied fish; usually served as thin fillets","any of several families of fishes having flattened bodies that swim along the sea floor on one side of the body with both eyes on the upper side"
flatfoot,"a policeman who patrols a given region","a foot afflicted with a fallen arch; abnormally flattened and spread out"
flatfooted
flatfooting
flatfoots,"a policeman who patrols a given region","a foot afflicted with a fallen arch; abnormally flattened and spread out"
flathead,"food fish of the Indonesian region of the Pacific; resembles gurnards","pallid bottom-dwelling flat-headed fish with large eyes and a duck-like snout"
flatheads,"food fish of the Indonesian region of the Pacific; resembles gurnards","pallid bottom-dwelling flat-headed fish with large eyes and a duck-like snout"
flatiron,"an iron that was heated by placing it on a stove"
flatirons,"an iron that was heated by placing it on a stove"
flatland
flatlands
flatlet,"a tiny flat"
flatlets,"a tiny flat"
flatling
flatly,"in an unqualified manner; "he flatly denied the charges""
flatness,"the property of having two dimensions","a want of animation or brilliance; "the almost self-conscious flatness of Hemingway's style"","a deficiency in flavor; "it needed lemon juice to sharpen the flatness of the dried lentils"","the property of having little or no contrast; lacking highlights or gloss","inactivity; showing an unusual lack of energy; "the general appearance of sluggishness alarmed his friends""
flatnesses
flats,"footwear (shoes or slippers) with no heel (or a very low heel)","having a surface without slope, tilt in which no part is higher or lower than another; "a flat desk"; "acres of level farmland"; "a plane surface"; "skirts sewn with fine flat seams"","having a relatively broad surface in relation to depth or thickness; "flat computer monitors"","not modified or restricted by reservations; "a categorical denial"; "a flat refusal"","stretched out and lying at full length along the ground; "found himself lying flat on the floor"","lacking contrast or shading between tones","(of a musical note) lowered in pitch by one chromatic semitone; "B flat"","flattened laterally along the whole length (e.g., certain leafstalks or flatfishes)","lacking taste or flavor or tang; "a bland diet"; "insipid hospital food"; "flavorless supermarket tomatoes"; "vapid beer"; "vapid tea"","lacking stimulating characteristics; uninteresting; "a bland little drama"; "a flat joke"","having lost effervescence; "flat beer"; "a flat cola"","sounded or spoken in a tone unvarying in pitch; "the owl's faint monotonous hooting"","horizontally level; "a flat roof"","lacking the expected range or depth; not designed to give an illusion or depth; "a film with two-dimensional characters"; "a flat two-dimensional painting"","not reflecting light; not glossy; "flat wall paint"; "a photograph with a matte finish"","commercially inactive; "flat sales for the month"; "prices remained flat"; "a flat market"","with flat sails; "sail flat against the wind"","in a forthright manner; candidly or frankly; "he didn't answer directly"; "told me straight out"; "came out flat for less work and more pay""
flatted
flatten,"make flat or flatter; "flatten a road"; "flatten your stomach with these exercises"","become flat or flatter; "The landscape flattened"","lower the pitch of (musical notes)"
flattened,"having been flattened"
flattening
flattens,"make flat or flatter; "flatten a road"; "flatten your stomach with these exercises"","become flat or flatter; "The landscape flattened"","lower the pitch of (musical notes)"
flatter,"praise somewhat dishonestly","having a surface without slope, tilt in which no part is higher or lower than another; "a flat desk"; "acres of level farmland"; "a plane surface"; "skirts sewn with fine flat seams"","having a relatively broad surface in relation to depth or thickness; "flat computer monitors"","not modified or restricted by reservations; "a categorical denial"; "a flat refusal"","stretched out and lying at full length along the ground; "found himself lying flat on the floor"","lacking contrast or shading between tones","(of a musical note) lowered in pitch by one chromatic semitone; "B flat"","flattened laterally along the whole length (e.g., certain leafstalks or flatfishes)","lacking taste or flavor or tang; "a bland diet"; "insipid hospital food"; "flavorless supermarket tomatoes"; "vapid beer"; "vapid tea"","lacking stimulating characteristics; uninteresting; "a bland little drama"; "a flat joke"","having lost effervescence; "flat beer"; "a flat cola"","sounded or spoken in a tone unvarying in pitch; "the owl's faint monotonous hooting"","horizontally level; "a flat roof"","lacking the expected range or depth; not designed to give an illusion or depth; "a film with two-dimensional characters"; "a flat two-dimensional painting"","not reflecting light; not glossy; "flat wall paint"; "a photograph with a matte finish"","commercially inactive; "flat sales for the month"; "prices remained flat"; "a flat market""
flattered
flatterer,"a person who uses flattery"
flatteries
flattering,"showing or representing to advantage; "a flattering color""
flatters,"praise somewhat dishonestly","having a surface without slope, tilt in which no part is higher or lower than another; "a flat desk"; "acres of level farmland"; "a plane surface"; "skirts sewn with fine flat seams"","having a relatively broad surface in relation to depth or thickness; "flat computer monitors"","not modified or restricted by reservations; "a categorical denial"; "a flat refusal"","stretched out and lying at full length along the ground; "found himself lying flat on the floor"","lacking contrast or shading between tones","(of a musical note) lowered in pitch by one chromatic semitone; "B flat"","flattened laterally along the whole length (e.g., certain leafstalks or flatfishes)","lacking taste or flavor or tang; "a bland diet"; "insipid hospital food"; "flavorless supermarket tomatoes"; "vapid beer"; "vapid tea"","lacking stimulating characteristics; uninteresting; "a bland little drama"; "a flat joke"","having lost effervescence; "flat beer"; "a flat cola"","sounded or spoken in a tone unvarying in pitch; "the owl's faint monotonous hooting"","horizontally level; "a flat roof"","lacking the expected range or depth; not designed to give an illusion or depth; "a film with two-dimensional characters"; "a flat two-dimensional painting"","not reflecting light; not glossy; "flat wall paint"; "a photograph with a matte finish"","commercially inactive; "flat sales for the month"; "prices remained flat"; "a flat market""
flattery,"excessive or insincere praise"
flattest,"having a surface without slope, tilt in which no part is higher or lower than another; "a flat desk"; "acres of level farmland"; "a plane surface"; "skirts sewn with fine flat seams"","having a relatively broad surface in relation to depth or thickness; "flat computer monitors"","not modified or restricted by reservations; "a categorical denial"; "a flat refusal"","stretched out and lying at full length along the ground; "found himself lying flat on the floor"","lacking contrast or shading between tones","(of a musical note) lowered in pitch by one chromatic semitone; "B flat"","flattened laterally along the whole length (e.g., certain leafstalks or flatfishes)","lacking taste or flavor or tang; "a bland diet"; "insipid hospital food"; "flavorless supermarket tomatoes"; "vapid beer"; "vapid tea"","lacking stimulating characteristics; uninteresting; "a bland little drama"; "a flat joke"","having lost effervescence; "flat beer"; "a flat cola"","sounded or spoken in a tone unvarying in pitch; "the owl's faint monotonous hooting"","horizontally level; "a flat roof"","lacking the expected range or depth; not designed to give an illusion or depth; "a film with two-dimensional characters"; "a flat two-dimensional painting"","not reflecting light; not glossy; "flat wall paint"; "a photograph with a matte finish"","commercially inactive; "flat sales for the month"; "prices remained flat"; "a flat market""
flatting
flattish
flattop,"a closely cropped haircut; usually for men","a large warship that carries planes and has a long flat deck for takeoffs and landings"
flattops,"a closely cropped haircut; usually for men","a large warship that carries planes and has a long flat deck for takeoffs and landings"
flatulence,"a state of excessive gas in the alimentary canal","pompously embellished language"
flatulences,"a state of excessive gas in the alimentary canal","pompously embellished language"
flatulent,"generating excessive gas in the alimentary canal","suffering from excessive gas in the alimentary canal"
flatus,"a reflex that expels intestinal gas through the anus"
flatuses
flatware,"tableware that is relatively flat and fashioned as a single piece","silverware eating utensils"
flatwares,"tableware that is relatively flat and fashioned as a single piece","silverware eating utensils"
flatwash
flatwashes
flatways
flatwise
flatwork,"ironing that can be done mechanically"
flatworks,"ironing that can be done mechanically"
flatworm,"parasitic or free-living worms having a flattened body"
flatworms,"parasitic or free-living worms having a flattened body"
flaunt,"the act of displaying something ostentatiously; "his behavior was an outrageous flaunt"","display proudly; act ostentatiously or pretentiously; "he showed off his new sports car""
flaunted
flaunter
flaunters
flauntier,"inclined to flaunt"
flauntiest,"inclined to flaunt"
flaunting
flaunts,"the act of displaying something ostentatiously; "his behavior was an outrageous flaunt"","display proudly; act ostentatiously or pretentiously; "he showed off his new sports car""
flaunty,"inclined to flaunt"
flautist,"someone who plays the flute"
flautists,"someone who plays the flute"
flavin,"a ketone that forms the nucleus of certain natural yellow pigments like riboflavin"
flavine
flavines
flavins,"a ketone that forms the nucleus of certain natural yellow pigments like riboflavin"
flavone,"a colorless crystalline compound that is part of a number of white or yellow plant pigments"
flavones,"a colorless crystalline compound that is part of a number of white or yellow plant pigments"
flavonol
flavonols
flavor,"the general atmosphere of a place or situation and the effect that it has on people; "the feel of the city excited him"; "a clergyman improved the tone of the meeting"; "it had the smell of treason"","the taste experience when a savoury condiment is taken into the mouth","(physics) the six kinds of quarks","lend flavor to; "Season the chicken breast after roasting it""
flavored
flavorer,"something added to food primarily for the savor it imparts"
flavorers,"something added to food primarily for the savor it imparts"
flavorful,"full of flavor"
