uta,"a reptile genus of Iguanidae"
utopias,"a book written by Sir Thomas More (1516) describing the perfect society on an imaginary island","ideally perfect state; especially in its social and political and moral aspects","a work of fiction describing a utopia","an imaginary place considered to be perfect or ideal"
utopism
utopisms
utopist
utopists
utricle,"a small pouch into which the semicircular canals open"
utricles,"a small pouch into which the semicircular canals open"
utriculi,"a small pouch into which the semicircular canals open"
uts,"the local time at the 0 meridian passing through Greenwich, England; it is the same everywhere","a state in the western United States; settled in 1847 by Mormons led by Brigham Young","the syllable naming the first (tonic) note of any major scale in solmization"
utter,"articulate; either verbally or with a cry, shout, or noise; "She expressed her anger"; "He uttered a curse"","express audibly; utter sounds (not necessarily words); "She let out a big heavy sigh"; "He uttered strange sounds that nobody could understand"","express in speech; "She talks a lot of nonsense"; "This depressed patient does not verbalize"","put into circulation; "utter counterfeit currency"","without qualification; used informally as (often pejorative) intensifiers; "an arrant fool"; "a complete coward"; "a consummate fool"; "a double-dyed villain"; "gross negligence"; "a perfect idiot"; "pure folly"; "what a sodding mess"; "stark staring mad"; "a thoroughgoing villain"; "utter nonsense"; "the unadulterated truth"","complete; "came to a dead stop"; "utter seriousness""
utterance,"the use of uttered sounds for auditory communication"
utterances,"the use of uttered sounds for auditory communication"
uttered,"communicated in words; "frequently uttered sentiments""
utterer,"an organism that can utter vocal sounds; "an utterer of foul oaths"; "is the giraffe a vocalizer?"","someone who circulates forged banknotes or counterfeit coins","someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous); "the speaker at commencement"; "an utterer of useful maxims""
utterers,"an organism that can utter vocal sounds; "an utterer of foul oaths"; "is the giraffe a vocalizer?"","someone who circulates forged banknotes or counterfeit coins","someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous); "the speaker at commencement"; "an utterer of useful maxims""
uttering
utterly,"completely and without qualification; used informally as intensifiers; "an absolutely magnificent painting"; "a perfectly idiotic idea"; "you're perfectly right"; "utterly miserable"; "you can be dead sure of my innocence"; "was dead tired"; "dead right""
utters,"articulate; either verbally or with a cry, shout, or noise; "She expressed her anger"; "He uttered a curse"","express audibly; utter sounds (not necessarily words); "She let out a big heavy sigh"; "He uttered strange sounds that nobody could understand"","express in speech; "She talks a lot of nonsense"; "This depressed patient does not verbalize"","put into circulation; "utter counterfeit currency"","without qualification; used informally as (often pejorative) intensifiers; "an arrant fool"; "a complete coward"; "a consummate fool"; "a double-dyed villain"; "gross negligence"; "a perfect idiot"; "pure folly"; "what a sodding mess"; "stark staring mad"; "a thoroughgoing villain"; "utter nonsense"; "the unadulterated truth"","complete; "came to a dead stop"; "utter seriousness""
