ecarte,"a card game for 2 players; played with 32 cards and king high"
echidna,"a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to New Guinea","a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to Australia"
echidnae,"a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to New Guinea","a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to Australia"
echidnas,"a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to New Guinea","a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to Australia"
echinate
eching
echini,"ovolo molding between the shaft and the abacus of a Doric column"
echinoid
echinoids
echinus,"ovolo molding between the shaft and the abacus of a Doric column"
echo,"the repetition of a sound resulting from reflection of the sound waves; "she could hear echoes of her own footsteps"","(Greek mythology) a nymph who was spurned by Narcissus and pined away until only her voice remained","a reply that repeats what has just been said","a reflected television or radio or radar beam","a close parallel of a feeling, idea, style, etc.; "his contention contains more than an echo of Rousseau"; "Napoleon III was an echo of the mighty Emperor but an infinitely better man"","an imitation or repetition; "the flower arrangement was created as an echo of a client's still life"","to say again or imitate; "followers echoing the cries of their leaders"","ring or echo with sound; "the hall resounded with laughter"","call to mind; "His words echoed John F. Kennedy""
echoed
echoer
echoers
echoes,"the repetition of a sound resulting from reflection of the sound waves; "she could hear echoes of her own footsteps"","(Greek mythology) a nymph who was spurned by Narcissus and pined away until only her voice remained","a reply that repeats what has just been said","a reflected television or radio or radar beam","a close parallel of a feeling, idea, style, etc.; "his contention contains more than an echo of Rousseau"; "Napoleon III was an echo of the mighty Emperor but an infinitely better man"","an imitation or repetition; "the flower arrangement was created as an echo of a client's still life""
echoey
echoic,"(of words) formed in imitation of a natural sound; "onomatopoeic words are imitative of noises"; "it was independently developed in more than one place as an onomatopoetic term"- Harry Hoijer","like or characteristic of an echo"
echoing,"(of sounds) repeating by reflection; "a hotel with echoing halls""
echoism
echoisms
echoless,"having or producing no echo; "the echoless darkness""
eclair,"oblong cream puff"
eclairs,"oblong cream puff"
eclat,"enthusiastic approval; "the book met with modest acclaim"; "he acknowledged the plaudits of the crowd"; "they gave him more eclat than he really deserved"","ceremonial elegance and splendor; "entered with much eclat in a coach drawn by eight white horses"","brilliant or conspicuous success or effect; "the eclat of a great achievement""
eclats,"enthusiastic approval; "the book met with modest acclaim"; "he acknowledged the plaudits of the crowd"; "they gave him more eclat than he really deserved"","ceremonial elegance and splendor; "entered with much eclat in a coach drawn by eight white horses"","brilliant or conspicuous success or effect; "the eclat of a great achievement""
eclectic,"someone who selects according to the eclectic method","selecting what seems best of various styles or ideas"
eclectics,"someone who selects according to the eclectic method","selecting what seems best of various styles or ideas"
eclipse,"one celestial body obscures another","be greater in significance than; "the tragedy overshadowed the couple's happiness"","cause an eclipse of (a celestial body) by intervention; "The Sun eclipses the moon today"; "Planets and stars often are occulted by other celestial bodies""
eclipsed
eclipses,"one celestial body obscures another","be greater in significance than; "the tragedy overshadowed the couple's happiness"","cause an eclipse of (a celestial body) by intervention; "The Sun eclipses the moon today"; "Planets and stars often are occulted by other celestial bodies""
eclipsing
eclipsis,"omission or suppression of parts of words or sentences"
eclipsises
ecliptic,"the great circle representing the apparent annual path of the sun; the plane of the Earth's orbit around the sun; makes an angle of about 23 degrees with the equator; "all of the planets rotate the sun in approximately the same ecliptic""
ecliptics,"the great circle representing the apparent annual path of the sun; the plane of the Earth's orbit around the sun; makes an angle of about 23 degrees with the equator; "all of the planets rotate the sun in approximately the same ecliptic""
eclogite
eclogites
eclogue,"a short poem descriptive of rural or pastoral life"
eclogues,"a short poem descriptive of rural or pastoral life"
eclosion
eclosions
ecole
ecoles
ecologic,"characterized by the interdependence of living organisms in an environment; "an ecological disaster"","of or relating to the science of ecology; "ecological research""
ecological,"characterized by the interdependence of living organisms in an environment; "an ecological disaster"","of or relating to the science of ecology; "ecological research""
ecologically,"with respect to ecology; "ecologically speaking, this idea is brilliant; economically, it is a disaster""
ecologies
ecologist,"a biologist who studies the relation between organisms and their environment"
ecologists,"a biologist who studies the relation between organisms and their environment"
ecology,"the environment as it relates to living organisms; "it changed the ecology of the island"","the branch of biology concerned with the relations between organisms and their environment"
economic,"of or relating to an economy, the system of production and management of material wealth; "economic growth"; "aspects of social, political, and economical life"","of or relating to the science of economics; "economic theory"","using the minimum of time or resources necessary for effectiveness; "an economic use of home heating oil"; "a modern economical heating system"; "an economical use of her time"","concerned with worldly necessities of life (especially money); "he wrote the book primarily for economic reasons"; "gave up the large house for economic reasons"; "in economic terms they are very privileged"","financially rewarding; "it was no longer economic to keep the factory open"; "have to keep prices high enough to make it economic to continue the service""
economical,"using the minimum of time or resources necessary for effectiveness; "an economic use of home heating oil"; "a modern economical heating system"; "an economical use of her time"","of or relating to an economy, the system of production and management of material wealth; "economic growth"; "aspects of social, political, and economical life"","avoiding waste; "an economical meal"; "an economical shopper"; "a frugal farmer"; "a frugal lunch"; "a sparing father and a spending son"; "sparing in their use of heat and light"; "stinting in bestowing gifts"; "thrifty because they remember the great Depression"; "`scotch' is used only informally""
economically,"with respect to economic science; "economically this proposal makes no sense"","in an economical manner","with respect to the economic system; "economically the country is worse off""
economics,"the branch of social science that deals with the production and distribution and consumption of goods and services and their management","of or relating to an economy, the system of production and management of material wealth; "economic growth"; "aspects of social, political, and economical life"","of or relating to the science of economics; "economic theory"","using the minimum of time or resources necessary for effectiveness; "an economic use of home heating oil"; "a modern economical heating system"; "an economical use of her time"","concerned with worldly necessities of life (especially money); "he wrote the book primarily for economic reasons"; "gave up the large house for economic reasons"; "in economic terms they are very privileged"","financially rewarding; "it was no longer economic to keep the factory open"; "have to keep prices high enough to make it economic to continue the service""
economies
economist,"an expert in the science of economics"
economists,"an expert in the science of economics"
economize,"use cautiously and frugally; "I try to economize my spare time"; "conserve your energy for the ascent to the summit"","spend sparingly, avoid the waste of; "This move will save money"; "The less fortunate will have to economize now""
economized
economizes,"use cautiously and frugally; "I try to economize my spare time"; "conserve your energy for the ascent to the summit"","spend sparingly, avoid the waste of; "This move will save money"; "The less fortunate will have to economize now""
economizing
economy,"the system of production and distribution and consumption","the efficient use of resources; "economy of effort"","frugality in the expenditure of money or resources; "the Scots are famous for their economy"","an act of economizing; reduction in cost; "it was a small economy to walk to work every day"; "there was a saving of 50 cents""
ecotonal
ecotone
ecotones
ecotype
ecotypes
ecotypic
ecraseur
ecraseurs
ecru,"a very light brown"
ecrus,"a very light brown"
ecstasies
ecstasy,"a state of being carried away by overwhelming emotion; "listening to sweet music in a perfect rapture"- Charles Dickens","a state of elated bliss","street names for methylenedioxymethamphetamine"
ecstatic,"feeling great rapture or delight"
ecstatically,"in an ecstatic manner; "he reacted ecstatically to my plan to travel to Africa""
ecstatics,"feeling great rapture or delight"
ectases
ectasis,"dilatation or distension of a hollow organ"
ectatic
ecthyma
ecthymata
ectoderm,"the outer germ layer that develops into skin and nervous tissue"
ectoderms,"the outer germ layer that develops into skin and nervous tissue"
ectomere
ectomeres
ectopia,"abnormal position of a part or organ (especially at the time of birth)"
ectopias,"abnormal position of a part or organ (especially at the time of birth)"
ectopic,"exhibiting ectopia"
ectosarc
ectosarcs
ectozoa,"any external parasitic organism (as fleas)"
ectozoan,"any external parasitic organism (as fleas)","of or relating to epizoa"
ectozoans,"any external parasitic organism (as fleas)","of or relating to epizoa"
ectozoon,"any external parasitic organism (as fleas)"
ectypal
ectype
ectypes
ecu
ecumenic,"concerned with promoting unity among churches or religions; "ecumenical thinking"; "ecumenical activities"; "the ecumenical movement""
ecus
eczema,"generic term for inflammatory conditions of the skin; particularly with vesiculation in the acute stages"
eczemas,"generic term for inflammatory conditions of the skin; particularly with vesiculation in the acute stages"
