maar,"a flat-bottomed volcanic crater that was formed by an explosion; often filled with water"
machines,"any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks","an efficient person; "the boxer was a magnificent fighting machine"","an intricate organization that accomplishes its goals efficiently; "the war machine"","a device for overcoming resistance at one point by applying force at some other point","a group that controls the activities of a political party; "he was endorsed by the Democratic machine"","a motor vehicle with four wheels; usually propelled by an internal combustion engine; "he needs a car to get to work"","turn, shape, mold, or otherwise finish by machinery","make by machinery; "The Americans were machining while others still hand-made cars""
machining
machinist,"a craftsman skilled in operating machine tools"
machinists,"a craftsman skilled in operating machine tools"
machismo,"exaggerated masculinity"
machismos,"exaggerated masculinity"
macho,"a male exhibiting or characterized by machismo","used of men; markedly masculine in appearance or manner"
machos,"a male exhibiting or characterized by machismo","used of men; markedly masculine in appearance or manner"
machree
machrees
machs,"Austrian physicist and philosopher who introduced the Mach number and who founded logical positivism (1838-1916)"
machzor
machzorim
machzors
macing
mack,"a waterproof raincoat made of rubberized fabric"
mackerel,"flesh of very important usually small (to 18 in) fatty Atlantic fish","any of various fishes of the family Scombridae"
mackerels,"flesh of very important usually small (to 18 in) fatty Atlantic fish","any of various fishes of the family Scombridae"
mackinaw,"a short plaid coat made of made of thick woolen material","a thick plaid blanket formerly used in the northwestern United States","a flat-bottomed boat used on upper Great Lakes","a heavy woolen cloth heavily napped and felted, often with a plaid design"
mackinaws,"a short plaid coat made of made of thick woolen material","a thick plaid blanket formerly used in the northwestern United States","a flat-bottomed boat used on upper Great Lakes","a heavy woolen cloth heavily napped and felted, often with a plaid design"
mackle,"a printed impression that is blurred or doubled"
mackled
mackles,"a printed impression that is blurred or doubled"
mackling
macks,"a waterproof raincoat made of rubberized fabric"
macle
macled
macles
macrame,"a relatively coarse lace; made by weaving and knotting cords","make knotted patterns; "macrame a plant holder""
macrames,"a relatively coarse lace; made by weaving and knotting cords","make knotted patterns; "macrame a plant holder""
macro,"a single computer instruction that results in a series of instructions in machine language","very large in scale or scope or capability"
macrocosm,"everything that exists anywhere; "they study the evolution of the universe"; "the biggest tree in existence""
macrocosms,"everything that exists anywhere; "they study the evolution of the universe"; "the biggest tree in existence""
macron,"a diacritical mark (-) placed above a vowel to indicate a long sound"
macrons,"a diacritical mark (-) placed above a vowel to indicate a long sound"
macros,"a single computer instruction that results in a series of instructions in machine language","very large in scale or scope or capability"
macrural
macruran
macrurans
macs,"a waterproof raincoat made of rubberized fabric"
macula,"a cooler darker spot appearing periodically on the sun's photosphere; associated with a strong magnetic field","a small yellowish central area of the retina that is rich in cones and that mediates clear detailed vision","a patch of skin that is discolored but not usually elevated; caused by various diseases"
maculae,"a cooler darker spot appearing periodically on the sun's photosphere; associated with a strong magnetic field","a small yellowish central area of the retina that is rich in cones and that mediates clear detailed vision","a patch of skin that is discolored but not usually elevated; caused by various diseases"
macular
maculas,"a cooler darker spot appearing periodically on the sun's photosphere; associated with a strong magnetic field","a small yellowish central area of the retina that is rich in cones and that mediates clear detailed vision","a patch of skin that is discolored but not usually elevated; caused by various diseases"
maculate,"make dirty or spotty, as by exposure to air; also used metaphorically; "The silver was tarnished by the long exposure to the air"; "Her reputation was sullied after the affair with a married man"","spot, stain, or pollute; "The townspeople defiled the river by emptying raw sewage into it"","morally blemished; stained or impure","spotted or blotched"
maculated
maculates,"make dirty or spotty, as by exposure to air; also used metaphorically; "The silver was tarnished by the long exposure to the air"; "Her reputation was sullied after the affair with a married man"","spot, stain, or pollute; "The townspeople defiled the river by emptying raw sewage into it"","morally blemished; stained or impure","spotted or blotched"
maculating
macule,"a patch of skin that is discolored but not usually elevated; caused by various diseases"
maculed
macules,"a patch of skin that is discolored but not usually elevated; caused by various diseases"
maculing
mad,"roused to anger; "stayed huffy a good while"- Mark Twain; "she gets mad when you wake her up so early"; "mad at his friend"; "sore over a remark"","affected with madness or insanity; "a man who had gone mad"","marked by uncontrolled excitement or emotion; "a crowd of delirious baseball fans"; "something frantic in their gaiety"; "a mad whirl of pleasure"","very foolish; "harebrained ideas"; "took insane risks behind the wheel"; "a completely mad scheme to build a bridge between two mountains""
madam,"a woman of refinement; "a chauffeur opened the door of the limousine for the grand lady"","a woman who runs a house of prostitution"
madame,"title used for a married Frenchwoman"
madames,"title used for a married Frenchwoman"
madams,"a woman of refinement; "a chauffeur opened the door of the limousine for the grand lady"","a woman who runs a house of prostitution"
madcap,"a reckless impetuous irresponsible person","characterized by undue haste and lack of thought or deliberation; "a hotheaded decision"; "liable to such impulsive acts as hugging strangers"; "an impetuous display of spending and gambling"; "madcap escapades"; (`brainish' is archaic)"
madcaps,"a reckless impetuous irresponsible person","characterized by undue haste and lack of thought or deliberation; "a hotheaded decision"; "liable to such impulsive acts as hugging strangers"; "an impetuous display of spending and gambling"; "madcap escapades"; (`brainish' is archaic)"
madded
madden,"cause to go crazy; cause to lose one's mind","drive up the wall; go on someone's nerves","make mad; "His behavior is maddening""
maddened,"marked by extreme anger; "the enraged bull attached"; "furious about the accident"; "a furious scowl"; "infuriated onlookers charged the police who were beating the boy"; "could not control the maddened crowd""
maddening,"extremely annoying or displeasing; "his cavelier curtness of manner was exasperating"; "I've had an exasperating day"; "her infuriating indifference"; "the ceaseless tumult of the jukebox was maddening""
maddens,"cause to go crazy; cause to lose one's mind","drive up the wall; go on someone's nerves","make mad; "His behavior is maddening""
madder,"Eurasian herb having small yellow flowers and red roots formerly an important source of the dye alizarin","color a moderate to strong red","roused to anger; "stayed huffy a good while"- Mark Twain; "she gets mad when you wake her up so early"; "mad at his friend"; "sore over a remark"","affected with madness or insanity; "a man who had gone mad"","marked by uncontrolled excitement or emotion; "a crowd of delirious baseball fans"; "something frantic in their gaiety"; "a mad whirl of pleasure"","very foolish; "harebrained ideas"; "took insane risks behind the wheel"; "a completely mad scheme to build a bridge between two mountains""
madders,"Eurasian herb having small yellow flowers and red roots formerly an important source of the dye alizarin","color a moderate to strong red","roused to anger; "stayed huffy a good while"- Mark Twain; "she gets mad when you wake her up so early"; "mad at his friend"; "sore over a remark"","affected with madness or insanity; "a man who had gone mad"","marked by uncontrolled excitement or emotion; "a crowd of delirious baseball fans"; "something frantic in their gaiety"; "a mad whirl of pleasure"","very foolish; "harebrained ideas"; "took insane risks behind the wheel"; "a completely mad scheme to build a bridge between two mountains""
maddest,"roused to anger; "stayed huffy a good while"- Mark Twain; "she gets mad when you wake her up so early"; "mad at his friend"; "sore over a remark"","affected with madness or insanity; "a man who had gone mad"","marked by uncontrolled excitement or emotion; "a crowd of delirious baseball fans"; "something frantic in their gaiety"; "a mad whirl of pleasure"","very foolish; "harebrained ideas"; "took insane risks behind the wheel"; "a completely mad scheme to build a bridge between two mountains""
madding
maddish
made,"engage in; "make love, not war"; "make an effort"; "do research"; "do nothing"; "make revolution"","give certain properties to something; "get someone mad"; "She made us look silly"; "He made a fool of himself at the meeting"; "Don't make this into a big deal"; "This invention will make you a millionaire"; "Make yourself clear"","make or cause to be or to become; "make a mess in one's office"; "create a furor"","cause to do; cause to act in a specified manner; "The ads induced me to buy a VCR"; "My children finally got me to buy a computer"; "My wife made me buy a new sofa"","give rise to; cause to happen or occur, not always intentionally; "cause a commotion"; "make a stir"; "cause an accident"","create or manufacture a man-made product; "We produce more cars than we can sell"; "The company has been making toys for two centuries"","make, formulate, or derive in the mind; "I draw a line here"; "draw a conclusion"; "draw parallels"; "make an estimate"; "What do you make of his remarks?"","compel or make somebody or something to act in a certain way; "People cannot be made to integrate just by passing a law!"; "Heat makes you sweat"","create by artistic means; "create a poem"; "Schoenberg created twelve-tone music"; "Picasso created Cubism"; "Auden made verses"","earn on some commercial or business transaction; earn as salary or wages; "How much do you make a month in your new job?"; "She earns a lot in her new job"; "this merger brought in lots of money"; "He clears $5,000 each month"","create or design, often in a certain way; "Do my room in blue"; "I did this piece in wood to express my love for the forest"","to compose or represent:"This wall forms the background of the stage setting"; "The branches made a roof"; "This makes a fine introduction"","reach a goal, e.g., "make the first team"; "We made it!"; "She may not make the grade"","be or be capable of being changed or made into; "He makes a great host"; "He will make a fine father"","make by shaping or bringing together constituents; "make a dress"; "make a cake"; "make a wall of stones"","perform or carry out; "make a decision"; "make a move"; "make advances"; "make a phone call"","make by combining materials and parts; "this little pig made his house out of straw"; "Some eccentric constructed an electric brassiere warmer"","change from one form into another; "make water into wine"; "make lead into gold"; "make clay into bricks"","act in a certain way so as to acquire; "make friends"; "make enemies"","charge with a function; charge to be; "She was named Head of the Committee"; "She was made president of the club"","achieve a point or goal; "Nicklaus had a 70"; "The Brazilian team got 4 goals"; "She made 29 points that day"","reach a destination, either real or abstract; "We hit Detroit by noon"; "The water reached the doorstep"; "We barely made it to the finish line"; "I have to hit the MAC machine before the weekend starts"","institute, enact, or establish; "make laws"","carry out or commit; "make a mistake"; "commit a faux-pas"","form by assembling individuals or constituents; "Make a quorum"","organize or be responsible for; "hold a reception"; "have, throw, or make a party"; "give a course"","put in order or neaten; "make the bed"; "make up a room"","head into a specified direction; "The escaped convict took to the hills"; "We made for the mountains"","have a bowel movement; "The dog had made in the flower beds"","undergo fabrication or creation; "This wool makes into a nice sweater"","be suitable for; "Wood makes good furniture"","add up to; "four and four make eight"","amount to; "This salary increase makes no difference to my standard of living"","constitute the essence of; "Clothes make the man"","appear to begin an activity; "He made to speak but said nothing in the end"; "She made as if to say hello to us"","proceed along a path; "work one's way through the crowd"; "make one's way into the forest"","reach in time; "We barely made the plane"","gather and light the materials for; "make a fire"","prepare for eating by applying heat; "Cook me dinner, please"; "can you make me an omelette?"; "fix breakfast for the guests, please"","induce to have sex; "Harry finally seduced Sally"; "Did you score last night?"; "Harry made Sally"","assure the success of; "A good review by this critic will make your play!"","represent fictitiously, as in a play, or pretend to be or act like; "She makes like an actress"","consider as being; "It wasn't the problem some people made it"","calculate as being; "I make the height about 100 feet"","cause to be enjoyable or pleasurable; "make my day"","favor the development of; "Practice makes the winner"","develop into; "He will make a splendid father!"","behave in a certain way; "make merry"","eliminate urine; "Again, the cat had made on the expensive rug"","produced by a manufacturing process; "bought some made goods at the local store; rope and nails"","(of a bed) having the sheets and blankets set in order; "a neatly made bed"","successful or assured of success; "now I am a made man forever"- Christopher Marlowe"
madeira,"a Brazilian river; tributary of the Amazon River","an island in the Atlantic Ocean off the coast of Africa; the largest of the Madeira Islands","an amber dessert wine from the Madeira Islands"
madeiras,"a group of volcanic islands in the Atlantic Ocean to the west of Morocco; the group forms an autonomous region of Portugal"
mademoiselle,"small silvery drumfish often mistaken for white perch; found along coasts of United States from New York to Mexico"
mademoiselles,"small silvery drumfish often mistaken for white perch; found along coasts of United States from New York to Mexico"
madhouse,"pejorative terms for an insane asylum"
madhouses,"pejorative terms for an insane asylum"
madly,"in an uncontrolled manner; "she fought back madly"","in an insane manner; "she behaved insanely"; "he behaves crazily when he is off his medication"; "the witch cackled madly"; "screaming dementedly"","(used as intensives) extremely; "she was madly in love"; "deadly dull"; "deadly earnest"; "deucedly clever"; "insanely jealous""
madman,"an insane person"
madmen
madness,"obsolete terms for legal insanity","an acute viral disease of the nervous system of warm-blooded animals (usually transmitted by the bite of a rabid animal); rabies is fatal if the virus reaches the brain","a feeling of intense anger; "hell hath no fury like a woman scorned"; "his face turned red with rage"","the quality of being rash and foolish; "trying to drive through a blizzard is the height of folly"; "adjusting to an insane society is total foolishness"","unrestrained excitement or enthusiasm; "poetry is a sort of divine madness""
madnesses
madonna,"the mother of Jesus; Christians refer to her as the Virgin Mary; she is especially honored by Roman Catholics","United States pop singer and sex symbol during the 1980s (born in 1958)"
madonnas,"the mother of Jesus; Christians refer to her as the Virgin Mary; she is especially honored by Roman Catholics","United States pop singer and sex symbol during the 1980s (born in 1958)"
madras,"a state in southeastern India on the Bay of Bengal (south of Andhra Pradesh); formerly Madras","a city in Tamil Nadu on the Bay of Bengal; formerly Madras","a light patterned cotton cloth"
madrases
madre
madres
madrigal,"an unaccompanied partsong for 2 or 3 voices; follows a strict poetic form","sing madrigals; "The group was madrigaling beautifully""
madrigals,"an unaccompanied partsong for 2 or 3 voices; follows a strict poetic form","sing madrigals; "The group was madrigaling beautifully""
madrona,"evergreen tree of the Pacific coast of North America having glossy leathery leaves and orange-red edible berries; wood used for furniture and bark for tanning"
madronas,"evergreen tree of the Pacific coast of North America having glossy leathery leaves and orange-red edible berries; wood used for furniture and bark for tanning"
madrone
madrones
madrono,"evergreen tree of the Pacific coast of North America having glossy leathery leaves and orange-red edible berries; wood used for furniture and bark for tanning"
madronos,"evergreen tree of the Pacific coast of North America having glossy leathery leaves and orange-red edible berries; wood used for furniture and bark for tanning"
mads,"roused to anger; "stayed huffy a good while"- Mark Twain; "she gets mad when you wake her up so early"; "mad at his friend"; "sore over a remark"","affected with madness or insanity; "a man who had gone mad"","marked by uncontrolled excitement or emotion; "a crowd of delirious baseball fans"; "something frantic in their gaiety"; "a mad whirl of pleasure"","very foolish; "harebrained ideas"; "took insane risks behind the wheel"; "a completely mad scheme to build a bridge between two mountains""
maduro
maduros
madwoman,"a woman lunatic"
madwomen
madwort,"any garden plant of the genus Alyssum having clusters of small yellow or white flowers"
madworts,"any garden plant of the genus Alyssum having clusters of small yellow or white flowers"
madzoon
madzoons
mae
maelstrom,"a powerful circular current of water (usually the result of conflicting tides)"
maelstroms,"a powerful circular current of water (usually the result of conflicting tides)"
maenad,"an unnaturally frenzied or distraught woman","(Greek mythology) a woman participant in the orgiastic rites of Dionysus"
maenades
maenadic
maenads,"an unnaturally frenzied or distraught woman","(Greek mythology) a woman participant in the orgiastic rites of Dionysus"
maes
maestoso
maestosos
maestri,"an artist of consummate skill; "a master of the violin"; "one of the old masters""
maestro,"an artist of consummate skill; "a master of the violin"; "one of the old masters""
maestros,"an artist of consummate skill; "a master of the violin"; "one of the old masters""
maffia,"a crime syndicate in the United States; organized in families; believed to have important relations to the Sicilian Mafia","a secret terrorist group in Sicily; originally opposed tyranny but evolved into a criminal organization in the middle of the 19th century","any tightly knit group of trusted associates"
maffias,"a crime syndicate in the United States; organized in families; believed to have important relations to the Sicilian Mafia","a secret terrorist group in Sicily; originally opposed tyranny but evolved into a criminal organization in the middle of the 19th century","any tightly knit group of trusted associates"
maffick
mafficked
mafficking
mafficks
mafia,"a crime syndicate in the United States; organized in families; believed to have important relations to the Sicilian Mafia","a secret terrorist group in Sicily; originally opposed tyranny but evolved into a criminal organization in the middle of the 19th century","any tightly knit group of trusted associates"
mafias,"a crime syndicate in the United States; organized in families; believed to have important relations to the Sicilian Mafia","a secret terrorist group in Sicily; originally opposed tyranny but evolved into a criminal organization in the middle of the 19th century","any tightly knit group of trusted associates"
mafic
mafiosi,"a member of the Sicilian Mafia","a member of the Mafia crime syndicate in the United States"
mafioso,"a member of the Sicilian Mafia","a member of the Mafia crime syndicate in the United States"
maftir
maftirs
mag,"a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it; "it takes several years before a magazine starts to break even or make money""
magazine,"a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it; "it takes several years before a magazine starts to break even or make money"","product consisting of a paperback periodic publication as a physical object; "tripped over a pile of magazines"","a business firm that publishes magazines; "he works for a magazine"","a light-tight supply chamber holding the film and supplying it for exposure as required","a storehouse (as a compartment on a warship) where weapons and ammunition are stored","a metal frame or container holding cartridges; can be inserted into an automatic gun"
magazines,"a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it; "it takes several years before a magazine starts to break even or make money"","product consisting of a paperback periodic publication as a physical object; "tripped over a pile of magazines"","a business firm that publishes magazines; "he works for a magazine"","a light-tight supply chamber holding the film and supplying it for exposure as required","a storehouse (as a compartment on a warship) where weapons and ammunition are stored","a metal frame or container holding cartridges; can be inserted into an automatic gun"
magdalen,"a reformed prostitute"
magdalens,"a reformed prostitute"
mage
magenta,"a primary subtractive color for light; a dark purple-red color; the dye for magenta was discovered in 1859, the year of the battle of Magenta","a battle in 1859 in which the French and Sardinian forces under Napoleon III defeated the Austrians under Francis Joseph I","of deep purplish red"
magentas,"a primary subtractive color for light; a dark purple-red color; the dye for magenta was discovered in 1859, the year of the battle of Magenta","a battle in 1859 in which the French and Sardinian forces under Napoleon III defeated the Austrians under Francis Joseph I","of deep purplish red"
mages
magestical
magestically
maggot,"the larva of the housefly and blowfly commonly found in decaying organic matter"
maggots,"the larva of the housefly and blowfly commonly found in decaying organic matter"
maggoty,"spoiled and covered with eggs and larvae of flies; "flyblown meat"; "a sack of maggoty apricots""
magi,"(New Testament) the sages who visited Jesus and Mary and Joseph shortly after Jesus was born; the Gospel According to Matthew says they were guided by a star and brought gifts of gold and frankincense and myrrh; because there were three gifts it is usually assumed that there were three of them"
magic,"any art that invokes supernatural powers","an illusory feat; considered magical by naive observers","possessing or using or characteristic of or appropriate to supernatural powers; "charming incantations"; "magic signs that protect against adverse influence"; "a magical spell"; "'tis now the very witching time of night"- Shakespeare; "wizard wands"; "wizardly powers""
magical,"possessing or using or characteristic of or appropriate to supernatural powers; "charming incantations"; "magic signs that protect against adverse influence"; "a magical spell"; "'tis now the very witching time of night"- Shakespeare; "wizard wands"; "wizardly powers""
magically,"in a magical manner; "it disappeared magically""
magician,"someone who performs magic tricks to amuse an audience","one who practices magic or sorcery"
magicians,"someone who performs magic tricks to amuse an audience","one who practices magic or sorcery"
magicked
magicking
magics,"any art that invokes supernatural powers","an illusory feat; considered magical by naive observers","possessing or using or characteristic of or appropriate to supernatural powers; "charming incantations"; "magic signs that protect against adverse influence"; "a magical spell"; "'tis now the very witching time of night"- Shakespeare; "wizard wands"; "wizardly powers""
magilp,"a medium for oil-paints; linseed oil mixed with mastic varnish or turpentine"
magilps,"a medium for oil-paints; linseed oil mixed with mastic varnish or turpentine"
magister
magisterial,"of or relating to a magistrate; "official magisterial functions"","offensively self-assured or given to exercising usually unwarranted power; "an autocratic person"; "autocratic behavior"; "a bossy way of ordering others around"; "a rather aggressive and dominating character"; "managed the employees in an aloof magisterial way"; "a swaggering peremptory manner"","used of a person's appearance or behavior; befitting an eminent person; "his distinguished bearing"; "the monarch's imposing presence"; "she reigned in magisterial beauty""
magisters
magistracies
magistracy,"the position of magistrate"
magistrate,"a lay judge or civil authority who administers the law (especially one who conducts a court dealing with minor offenses)"
magistrates,"a lay judge or civil authority who administers the law (especially one who conducts a court dealing with minor offenses)"
magma,"molten rock in the earth's crust"
magmas,"molten rock in the earth's crust"
magmata,"molten rock in the earth's crust"
magmatic
magnanimities
magnanimity,"liberality in bestowing gifts; extremely liberal and generous of spirit"
magnanimous,"noble and generous in spirit; "a greathearted general"; "a magnanimous conqueror"","generous and understanding and tolerant; "a heart big enough to hold no grudges"; "that's very big of you to be so forgiving"; "a large and generous spirit"; "a large heart"; "magnanimous toward his enemies""
magnanimously,"in a magnanimous manner; "magnanimously, he forgave all those who had harmed him""
magnanimousness,"the quality of elevation of mind and exaltation of character or ideals or conduct"
magnanimousnesses
magnate,"a very wealthy or powerful businessman; "an oil baron""
magnates,"a very wealthy or powerful businessman; "an oil baron""
magnesia,"a white solid mineral that occurs naturally as periclase; a source of magnesium"
magnesias,"a white solid mineral that occurs naturally as periclase; a source of magnesium"
magnesic
magnesium,"a light silver-white ductile bivalent metallic element; in pure form it burns with brilliant white flame; occurs naturally only in combination (as in magnesite and dolomite and carnallite and spinel and olivine)"
magnesiums,"a light silver-white ductile bivalent metallic element; in pure form it burns with brilliant white flame; occurs naturally only in combination (as in magnesite and dolomite and carnallite and spinel and olivine)"
magnet,"(physics) a device that attracts iron and produces a magnetic field","a characteristic that provides pleasure and attracts; "flowers are an attractor for bees""
magnetic,"of or relating to or caused by magnetism; "magnetic forces"","having the properties of a magnet; i.e. of attracting iron or steel; "the hard disk is covered with a thin coat of magnetic material"","capable of being magnetized","determined by earth's magnetic fields; "magnetic north"; "the needle of a magnetic compass points to the magnetic north pole"","possessing an extraordinary ability to attract; "a charismatic leader"; "a magnetic personality""
magnetically,"by the use of magnetism; "magnetically contaminated material"","as if by magnetism; "he was magnetically attracted to her""
magnetics,"the branch of science that studies magnetism","of or relating to or caused by magnetism; "magnetic forces"","having the properties of a magnet; i.e. of attracting iron or steel; "the hard disk is covered with a thin coat of magnetic material"","capable of being magnetized","determined by earth's magnetic fields; "magnetic north"; "the needle of a magnetic compass points to the magnetic north pole"","possessing an extraordinary ability to attract; "a charismatic leader"; "a magnetic personality""
magnetism,"attraction for iron; associated with electric currents as well as magnets; characterized by fields of force","the branch of science that studies magnetism"
magnetisms,"attraction for iron; associated with electric currents as well as magnets; characterized by fields of force","the branch of science that studies magnetism"
magnetite,"an oxide of iron that is strongly attracted by magnets"
magnetites,"an oxide of iron that is strongly attracted by magnets"
magnetizable
magnetization,"the extent or degree to which something is magnetized","the process that makes a substance magnetic (temporarily or permanently)","the physical property of being magnetic"
magnetizations,"the extent or degree to which something is magnetized","the process that makes a substance magnetic (temporarily or permanently)","the physical property of being magnetic"
magnetize,"make magnetic; "The strong magnet magnetized the iron shavings"","attract strongly, as if with a magnet; "She magnetized the audience with her tricks""
magnetized,"having the properties of a magnet; i.e. of attracting iron or steel; "the hard disk is covered with a thin coat of magnetic material""
magnetizer
magnetizers
magnetizes,"make magnetic; "The strong magnet magnetized the iron shavings"","attract strongly, as if with a magnet; "She magnetized the audience with her tricks""
magnetizing
magneto,"a small dynamo with a secondary winding that produces a high voltage enabling a spark to jump between the poles of a spark plug in a gasoline engine"
magneton,"a unit of magnetic moment of a molecular or atomic or subatomic particle"
magnetons,"a unit of magnetic moment of a molecular or atomic or subatomic particle"
magnetos,"a small dynamo with a secondary winding that produces a high voltage enabling a spark to jump between the poles of a spark plug in a gasoline engine"
magnets,"(physics) a device that attracts iron and produces a magnetic field","a characteristic that provides pleasure and attracts; "flowers are an attractor for bees""
magnific
magnification,"the act of expanding something in apparent size","the ratio of the size of an image to the size of the object","making to seem more important than it really is","a photographic print that has been enlarged"
magnifications,"the act of expanding something in apparent size","the ratio of the size of an image to the size of the object","making to seem more important than it really is","a photographic print that has been enlarged"
magnificence,"splendid or imposing in size or appearance; "the grandness of the architecture"; "impressed by the richness of the flora"","the quality of being magnificent or splendid or grand; "for magnificence and personal service there is the Queen's hotel"; "his `Hamlet' lacks the brilliance that one expects"; "it is the university that gives the scene its stately splendor"; "an imaginative mix of old-fashioned grandeur and colorful art"; "advertisers capitalize on the grandness and elegance it brings to their products""
magnificences,"splendid or imposing in size or appearance; "the grandness of the architecture"; "impressed by the richness of the flora"","the quality of being magnificent or splendid or grand; "for magnificence and personal service there is the Queen's hotel"; "his `Hamlet' lacks the brilliance that one expects"; "it is the university that gives the scene its stately splendor"; "an imaginative mix of old-fashioned grandeur and colorful art"; "advertisers capitalize on the grandness and elegance it brings to their products""
magnificent,"characterized by grandeur; "the brilliant court life at Versailles"; "a glorious work of art"; "magnificent cathedrals"; "the splendid coronation ceremony""
magnificently,"extremely well; "he did splendidly in the exam"; "we got along famously"","in an impressively beautiful manner; "the Princess was gorgeously dressed""
magnified,"increase in size, volume or significance; "Her terror was magnified in her mind"","to enlarge beyond bounds or the truth; "tended to romanticize and exaggerate this `gracious Old South' imagery"","make large; "blow up an image"","enlarged to an abnormal degree; "thick lenses exaggerated the size of her eyes""
magnifier,"a scientific instrument that magnifies an image"
magnifiers,"a scientific instrument that magnifies an image"
magnifies
magnify,"increase in size, volume or significance; "Her terror was magnified in her mind"","to enlarge beyond bounds or the truth; "tended to romanticize and exaggerate this `gracious Old South' imagery"","make large; "blow up an image""
magnifying
magnitude,"the property of relative size or extent (whether large or small); "they tried to predict the magnitude of the explosion"; "about the magnitude of a small pea"","a number assigned to the ratio of two quantities; two quantities are of the same order of magnitude if one is less than 10 times as large as the other; the number of magnitudes that the quantities differ is specified to within a power of 10","relative importance; "a problem of the first magnitude""
