sybarite,"a person addicted to luxury and pleasures of the senses"
symbolical,"relating to or using or proceeding by means of symbols; "symbolic logic"; "symbolic operations"; "symbolic thinking"","serving as a visible symbol for something abstract; "a crown is emblematic of royalty"; "the spinning wheel was as symbolic of colonical Massachusetts as the codfish""
symbolically,"in a symbolic manner; "symbolically accepted goals"","by means of symbols; "symbolically expressed""
symboling
symbolism,"a system of symbols and symbolic representations","the practice of investing things with symbolic meaning","an artistic movement in the late 19th century that tried to express abstract or mystical ideas through the symbolic use of images"
symbolisms,"a system of symbols and symbolic representations","the practice of investing things with symbolic meaning","an artistic movement in the late 19th century that tried to express abstract or mystical ideas through the symbolic use of images"
symbolization,"the use of symbols to convey meaning","something visible that by association or convention represents something else that is invisible; "the eagle is a symbol of the United States"","the practice of investing things with symbolic meaning"
symbolizations,"the use of symbols to convey meaning","something visible that by association or convention represents something else that is invisible; "the eagle is a symbol of the United States"","the practice of investing things with symbolic meaning"
symbolize,"express indirectly by an image, form, or model; be a symbol; "What does the Statue of Liberty symbolize?"","represent or identify by using a symbol; use symbols; "The poet symbolizes love in this poem"; "These painters believed that artists should symbolize""
symbolized
symbolizes,"express indirectly by an image, form, or model; be a symbol; "What does the Statue of Liberty symbolize?"","represent or identify by using a symbol; use symbols; "The poet symbolizes love in this poem"; "These painters believed that artists should symbolize""
symbolizing,"the act of representing something with a symbol"
symbolled
symbolling
symbols,"an arbitrary sign (written or printed) that has acquired a conventional significance","something visible that by association or convention represents something else that is invisible; "the eagle is a symbol of the United States""
symmetric,"having similarity in size, shape, and relative position of corresponding parts"
symmetrical,"having similarity in size, shape, and relative position of corresponding parts","exhibiting equivalence or correspondence among constituents of an entity or between different entities"
symmetrically,"in a symmetrical manner; "they were symmetrically arranged""
symmetries
symmetry,"(mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane","balance among the parts of something","(physics) the property of being isotropic; having the same value when measured in different directions"
sympathetic,"of or relating to the sympathetic nervous system; "sympathetic neurons"; "sympathetic stimulation"","expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward; "sympathetic to the students' cause"; "a sympathetic observer"; "a sympathetic gesture"","showing or motivated by sympathy and understanding and generosity; "was charitable in his opinions of others"; "kindly criticism"; "a kindly act"; "sympathetic words"; "a large-hearted mentor"","(of characters in literature or drama) evoking empathic or sympathetic feelings; "the sympathetic characters in the play"","having similar disposition and tastes; "with their many similar tastes, he found her a most sympathetic companion"","relating to vibrations that occur as a result of vibrations in a nearby body; "sympathetic vibration""
sympathetically,"with respect to the sympathetic nervous system; "the stimulus acted sympathetically"","in a sympathetic manner; "she listened to him sympathetically""
sympathies
sympathize,"share the feelings of; understand the sentiments of","be understanding of; "You don't need to explain--I understand!"","to feel or express sympathy or compassion"
sympathized
sympathizes,"share the feelings of; understand the sentiments of","be understanding of; "You don't need to explain--I understand!"","to feel or express sympathy or compassion"
sympathizing
sympathy,"an inclination to support or be loyal to or to agree with an opinion; "his sympathies were always with the underdog"; "I knew I could count on his understanding"","sharing the feelings of others (especially feelings of sorrow or anguish)","a relation of affinity or harmony between people; whatever affects one correspondingly affects the other; "the two of them were in close sympathy""
sympatries
sympatry,"the occurrence of organisms in overlapping geographical areas, but without interbreeding"
symphonic,"relating to or characteristic or suggestive of a symphony; "symphonic choir"","harmonious in sound; "the symphonic hum of a million insects""
symphonies
symphony,"a long and complex sonata for symphony orchestra","a large orchestra; can perform symphonies; "we heard the Vienna symphony""
sympodia
symposia,"a meeting or conference for the public discussion of some topic especially one in which the participants form an audience and make presentations"
symposium,"a meeting or conference for the public discussion of some topic especially one in which the participants form an audience and make presentations"
symptom,"(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease","anything that accompanies X and is regarded as an indication of X's existence"
symptomatically,"by symptoms"
symptomatology
symptoms,"(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease","anything that accompanies X and is regarded as an indication of X's existence"
syn
synagog
synagogs
synagogue,"(Judaism) the place of worship for a Jewish congregation"
synagogues,"(Judaism) the place of worship for a Jewish congregation"
synapse,"the junction between two neurons (axon-to-dendrite) or between a neuron and a muscle; "nerve impulses cross a synapse through the action of neurotransmitters""
synapsed
synapses,"the side by side pairing of homologous maternal and paternal chromosomes at the start of meiosis"
synapsing
synapsis,"the side by side pairing of homologous maternal and paternal chromosomes at the start of meiosis"
synaptic,"(neuroscience) of or involving synapses"
sync,"make synchronous and adjust in time or manner; "Let's synchronize our efforts""
syncarp,"fruit consisting of many individual small fruits or drupes derived from separate ovaries within a common receptacle: e.g. blackberry; raspberry; pineapple"
syncarpies
syncarps,"fruit consisting of many individual small fruits or drupes derived from separate ovaries within a common receptacle: e.g. blackberry; raspberry; pineapple"
syncarpy
synced
synch
synched
synching
synchro,"a system consisting of a generator and a motor so connected that the motor will assume the same relative position as the generator; the generator and the motor are synchronized"
synchronization,"the relation that exists when things occur at the same time; "the drug produces an increased synchrony of the brain waves"","an adjustment that causes something to occur or recur in unison","coordinating by causing to indicate the same time; "the synchronization of their watches was an important preliminary""
synchronizations,"the relation that exists when things occur at the same time; "the drug produces an increased synchrony of the brain waves"","an adjustment that causes something to occur or recur in unison","coordinating by causing to indicate the same time; "the synchronization of their watches was an important preliminary""
synchronize,"make synchronous and adjust in time or manner; "Let's synchronize our efforts"","happen at the same time","make (motion picture sound) exactly simultaneous with the action; "synchronize this film"","arrange or represent events so that they co-occur; "synchronize biblical events"","operate simultaneously; "The clocks synchronize"","cause to indicate the same time or rate; "synchronize your watches""
synchronized,"operating in unison; "the synchronized flapping of a bird's wings""
synchronizes,"make synchronous and adjust in time or manner; "Let's synchronize our efforts"","happen at the same time","make (motion picture sound) exactly simultaneous with the action; "synchronize this film"","arrange or represent events so that they co-occur; "synchronize biblical events"","operate simultaneously; "The clocks synchronize"","cause to indicate the same time or rate; "synchronize your watches""
synchronizing,"the relation that exists when things occur at the same time; "the drug produces an increased synchrony of the brain waves"","an adjustment that causes something to occur or recur in unison","coordinating by causing to indicate the same time; "the synchronization of their watches was an important preliminary""
synchros,"a system consisting of a generator and a motor so connected that the motor will assume the same relative position as the generator; the generator and the motor are synchronized"
synchs
syncing
syncline
synclines
syncom
syncoms
syncopal
syncopate,"omit a sound or letter in a word; "syncopate a word"","modify the rhythm by stressing or accenting a weak beat"
syncopated,"stressing a normally weak beat"
syncopates,"omit a sound or letter in a word; "syncopate a word"","modify the rhythm by stressing or accenting a weak beat"
syncopating
syncopation,"(phonology) the loss of sounds from within a word (as in `fo'c'sle' for `forecastle')","a musical rhythm accenting a normally weak beat","music (especially dance music) that has a syncopated rhythm"
syncopations,"(phonology) the loss of sounds from within a word (as in `fo'c'sle' for `forecastle')","a musical rhythm accenting a normally weak beat","music (especially dance music) that has a syncopated rhythm"
syncope,"a spontaneous loss of consciousness caused by insufficient blood to the brain","(phonology) the loss of sounds from within a word (as in `fo'c'sle' for `forecastle')"
syncopes,"a spontaneous loss of consciousness caused by insufficient blood to the brain","(phonology) the loss of sounds from within a word (as in `fo'c'sle' for `forecastle')"
syncopic
syncs,"make synchronous and adjust in time or manner; "Let's synchronize our efforts""
syncytia,"a mass of cytoplasm containing several nuclei and enclosed in a membrane but no internal cell boundaries (as in muscle fibers)"
syndeses
syndesis
syndesises
syndet
syndetic,"connected by a conjunction"
syndets
syndic,"one appointed to represent a city or university or corporation in business transactions"
syndical
syndicate,"a loose affiliation of gangsters in charge of organized criminal activities","an association of companies for some definite purpose","a news agency that sells features or articles or photographs etc. to newspapers for simultaneous publication","join together into a syndicate; "The banks syndicated"","organize into or form a syndicate","sell articles, television programs, or photos to several publications or independent broadcasting stations"
syndicated
syndicates,"a loose affiliation of gangsters in charge of organized criminal activities","an association of companies for some definite purpose","a news agency that sells features or articles or photographs etc. to newspapers for simultaneous publication","join together into a syndicate; "The banks syndicated"","organize into or form a syndicate","sell articles, television programs, or photos to several publications or independent broadcasting stations"
syndicating
syndication,"organizing into or administering as a syndicate","selling (an article or cartoon) for publication in many magazines or newspapers at the same time; "he received a comfortable income from the syndication of his work""
syndics,"one appointed to represent a city or university or corporation in business transactions"
syndrome,"a complex of concurrent things; "every word has a syndrome of meanings"","a pattern of symptoms indicative of some disease"
syndromes,"a complex of concurrent things; "every word has a syndrome of meanings"","a pattern of symptoms indicative of some disease"
syne
synectic
synergia
synergias
synergic
synergid
synergids
synergies
synergy,"the working together of two things (muscles or drugs for example) to produce an effect greater than the sum of their individual effects"
synesis
synesises
syngamic
syngamies
syngamy
synod,"a council convened to discuss ecclesiastical business"
synodal
synodic
synods,"a council convened to discuss ecclesiastical business"
synonym,"two words that can be interchanged in a context are said to be synonymous relative to that context"
synonyme
synonymes
synonymies
synonymous,"(of words) meaning the same or nearly the same"
synonyms,"two words that can be interchanged in a context are said to be synonymous relative to that context"
synonymy,"the semantic relation that holds between two words that can (in a given context) express the same meaning"
synopses,"a sketchy summary of the main points of an argument or theory"
synopsis,"a sketchy summary of the main points of an argument or theory"
synoptic,"presenting a summary or general view of a whole; "a synoptic presentation of a physical theory"","presenting or taking the same point of view; used especially with regard to the first three gospels of the New Testament; "synoptic sayings""
synovia,"viscid lubricating fluid secreted by the membrane lining joints and tendon sheaths etc."
synovial,"relating to or secreting synovia"
synovias,"viscid lubricating fluid secreted by the membrane lining joints and tendon sheaths etc."
syntactic,"of or relating to or conforming to the rules of syntax; "the syntactic rules of a language""
syntactical,"of or relating to or conforming to the rules of syntax; "the syntactic rules of a language""
syntax,"the grammatical arrangement of words in sentences","a systematic orderly arrangement","studies of the rules for forming admissible sentences"
syntaxes
syntheses,"the process of producing a chemical compound (usually by the union of simpler chemical compounds)","the combination of ideas into a complex whole","reasoning from the general to the particular (or from cause to effect)"
synthesis,"the process of producing a chemical compound (usually by the union of simpler chemical compounds)","the combination of ideas into a complex whole","reasoning from the general to the particular (or from cause to effect)"
synthesize,"combine so as to form a more complex, product; "his operas synthesize music and drama in perfect harmony"; "The liver synthesizes vitamins"","combine and form a synthesis; "Vitamin D only synthesizes when sunlight is available""
synthesized
synthesizer,"an intellectual who synthesizes or uses synthetic methods","(music) an electronic instrument (usually played with a keyboard) that generates and modifies sounds electronically and can imitate a variety of other musical instruments"
synthesizers,"an intellectual who synthesizes or uses synthetic methods","(music) an electronic instrument (usually played with a keyboard) that generates and modifies sounds electronically and can imitate a variety of other musical instruments"
synthesizes,"combine so as to form a more complex, product; "his operas synthesize music and drama in perfect harmony"; "The liver synthesizes vitamins"","combine and form a synthesis; "Vitamin D only synthesizes when sunlight is available""
synthesizing
synthetic,"a compound made artificially by chemical reactions","not of natural origin; prepared or made artificially; "man-made fibers"; "synthetic leather"","involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis; "limnology is essentially a synthetic science composed of elements...that extend well beyond the limits of biology"- P.S.Welch","systematic combining of root and modifying elements into single words","of a proposition whose truth value is determined by observation or facts; "`all men are arrogant' is a synthetic proposition"","artificial as if portrayed in a film; "a novel with flat celluloid characters"","not genuine or natural; "counterfeit rhetoric that flourishes when passions are synthetic"- George Will"
synthetically,"by synthesis; in a synthetic manner; "some of these drugs have been derived from opium and others have been produced synthetically""
synthetics,"a compound made artificially by chemical reactions","not of natural origin; prepared or made artificially; "man-made fibers"; "synthetic leather"","involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis; "limnology is essentially a synthetic science composed of elements...that extend well beyond the limits of biology"- P.S.Welch","systematic combining of root and modifying elements into single words","of a proposition whose truth value is determined by observation or facts; "`all men are arrogant' is a synthetic proposition"","artificial as if portrayed in a film; "a novel with flat celluloid characters"","not genuine or natural; "counterfeit rhetoric that flourishes when passions are synthetic"- George Will"
syntonic
syntonies
syntony
synura
synurae
sypher
syphered
syphering
syphers
syphilis,"a common venereal disease caused by the treponema pallidum spirochete; symptoms change through progressive stages; can be congenital (transmitted through the placenta)"
syphilises
syphilitic,"a person suffering from syphilis","of or relating to or infected with syphilis; "syphilitic symptoms""
syphon,"a tube running from the liquid in a vessel to a lower level outside the vessel so that atmospheric pressure forces the liquid through the tube","a tubular organ in an aquatic animal (especially in mollusks) through which water can be taken in or expelled","convey, draw off, or empty by or as if by a siphon"
syphoned
syphoning
syphons,"a tube running from the liquid in a vessel to a lower level outside the vessel so that atmospheric pressure forces the liquid through the tube","a tubular organ in an aquatic animal (especially in mollusks) through which water can be taken in or expelled","convey, draw off, or empty by or as if by a siphon"
syren
syrens
syringa,"large hardy shrub with showy and strongly fragrant creamy-white flowers in short terminal racemes","genus of Old World shrubs or low trees having fragrant flowers in showy panicles: lilacs"
syringas,"large hardy shrub with showy and strongly fragrant creamy-white flowers in short terminal racemes","genus of Old World shrubs or low trees having fragrant flowers in showy panicles: lilacs"
syringe,"a medical instrument used to inject or withdraw fluids","spray or irrigate (a body part) with a syringe"
syringed
syringes,"a primitive wind instrument consisting of several parallel pipes bound together","the vocal organ of a bird","spray or irrigate (a body part) with a syringe"
syringing
syrinx,"a primitive wind instrument consisting of several parallel pipes bound together","the vocal organ of a bird"
syrinxes
syrphian
syrphians
syrphid
syrphids
syrup,"a thick sweet sticky liquid"
syrups,"a thick sweet sticky liquid"
syrupy,"overly sweet","having a relatively high resistance to flow","with honey added"
system,"instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity; "he bought a new stereo system"; "the system consists of a motor and a small computer"","a group of independent but interrelated elements comprising a unified whole; "a vast system of production and distribution and consumption keep the country going"","(physical chemistry) a sample of matter in which substances in different phases are in equilibrium; "in a static system oil cannot be replaced by water on a surface"; "a system generating hydrogen peroxide"","a complex of methods or rules governing behavior; "they have to operate under a system they oppose"; "that language has a complex system for indicating gender"","an organized structure for arranging or classifying; "he changed the arrangement of the topics"; "the facts were familiar but it was in the organization of them that he was original"; "he tried to understand their system of classification"","a group of physiologically or anatomically related organs or parts; "the body has a system of organs for digestion"","a procedure or process for obtaining an objective; "they had to devise a system that did not depend on cooperation"","the living body considered as made up of interdependent components forming a unified whole; "exercise helped him get the alcohol out of his system"","an ordered manner; orderliness by virtue of being methodical and well organized; "his compulsive organization was not an endearing quality"; "we can't do it unless we establish some system around here""
systematic,"characterized by order and planning; "the investigation was very systematic"; "a systematic administrator"","of or relating to taxonomy; "taxonomic relations"; "a taxonomic designation""
systematical
systematically,"in a systematic or consistent manner; "they systematically excluded women""
systematize,"arrange according to a system or reduce to a system; "systematize our scientific knowledge""
systematized
systematizes,"arrange according to a system or reduce to a system; "systematize our scientific knowledge""
systematizing
systemic,"affecting an entire system; "a systemic poison""
systemics,"affecting an entire system; "a systemic poison""
systems,"instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity; "he bought a new stereo system"; "the system consists of a motor and a small computer"","a group of independent but interrelated elements comprising a unified whole; "a vast system of production and distribution and consumption keep the country going"","(physical chemistry) a sample of matter in which substances in different phases are in equilibrium; "in a static system oil cannot be replaced by water on a surface"; "a system generating hydrogen peroxide"","a complex of methods or rules governing behavior; "they have to operate under a system they oppose"; "that language has a complex system for indicating gender"","an organized structure for arranging or classifying; "he changed the arrangement of the topics"; "the facts were familiar but it was in the organization of them that he was original"; "he tried to understand their system of classification"","a group of physiologically or anatomically related organs or parts; "the body has a system of organs for digestion"","a procedure or process for obtaining an objective; "they had to devise a system that did not depend on cooperation"","the living body considered as made up of interdependent components forming a unified whole; "exercise helped him get the alcohol out of his system"","an ordered manner; orderliness by virtue of being methodical and well organized; "his compulsive organization was not an endearing quality"; "we can't do it unless we establish some system around here""
systole,"the contraction of the chambers of the heart (especially the ventricles) to drive blood into the aorta and pulmonary artery"
systoles,"the contraction of the chambers of the heart (especially the ventricles) to drive blood into the aorta and pulmonary artery"
systolic,"of or relating to a systole or happening during a systole"
syzygal
syzygial
syzygies
syzygy,"the straight line configuration of 3 celestial bodies (as the sun and earth and moon) in a gravitational system"
