bub
buck,"a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting","a piece of paper money worth one dollar","United States author whose novels drew on her experiences as a missionary in China (1892-1973)","a framework for holding wood that is being sawed","mature male of various mammals (especially deer or antelope)","to strive with determination; "John is bucking for a promotion"","resist; "buck the trend"","move quickly and violently; "The car tore down the street"; "He came charging into my office"","jump vertically, with legs stiff and back arched; "the yung filly bucked""
buckaroo,"local names for a cowboy (`vaquero' is used especially in southwestern and central Texas and `buckaroo' is used especially in California)"
buckaroos,"local names for a cowboy (`vaquero' is used especially in southwestern and central Texas and `buckaroo' is used especially in California)"
buckayro
buckayros
buckbean,"perennial plant of Europe and America having racemes of white or purplish flowers and intensely bitter trifoliate leaves; often rooting at water margin and spreading across the surface"
buckbeans,"perennial plant of Europe and America having racemes of white or purplish flowers and intensely bitter trifoliate leaves; often rooting at water margin and spreading across the surface"
bucked
buckeen
buckeens
bucker
buckeroo,"local names for a cowboy (`vaquero' is used especially in southwestern and central Texas and `buckaroo' is used especially in California)"
buckeroos,"local names for a cowboy (`vaquero' is used especially in southwestern and central Texas and `buckaroo' is used especially in California)"
buckers
bucket,"a roughly cylindrical vessel that is open at the top","the quantity contained in a bucket","put into a bucket","carry in a bucket"
bucketed
bucketful,"the quantity contained in a bucket"
bucketfuls,"the quantity contained in a bucket"
bucketing
buckets,"a roughly cylindrical vessel that is open at the top","the quantity contained in a bucket","put into a bucket","carry in a bucket"
buckeye,"the inedible nutlike seed of the horse chestnut","tree having palmate leaves and large clusters of white to red flowers followed by brown shiny inedible seeds","a native or resident of Ohio"
buckeyes,"the inedible nutlike seed of the horse chestnut","tree having palmate leaves and large clusters of white to red flowers followed by brown shiny inedible seeds","a native or resident of Ohio"
bucking
buckish
buckle,"fastener that fastens together two ends of a belt or strap; often has loose prong","a shape distorted by twisting or folding","fasten with a buckle or buckles","fold or collapse; "His knees buckled"","bend out of shape, as under pressure or from heat; "The highway buckled during the heat wave""
buckled
buckler,"armor carried on the arm to intercept blows"
bucklered
bucklering
bucklers,"armor carried on the arm to intercept blows"
buckles,"fastener that fastens together two ends of a belt or strap; often has loose prong","a shape distorted by twisting or folding","fasten with a buckle or buckles","fold or collapse; "His knees buckled"","bend out of shape, as under pressure or from heat; "The highway buckled during the heat wave""
buckling
bucko
buckoes
buckra
buckram,"a coarse cotton fabric stiffened with glue; used in bookbinding and to stiffen clothing","stiffen with or as with buckram; "buckram the skirt"","rigidly formal; "a starchy manner"; "the letter was stiff and formal"; "his prose has a buckram quality""
buckramed
buckraming
buckrams,"a coarse cotton fabric stiffened with glue; used in bookbinding and to stiffen clothing","stiffen with or as with buckram; "buckram the skirt"","rigidly formal; "a starchy manner"; "the letter was stiff and formal"; "his prose has a buckram quality""
buckras
bucks,"a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting","a piece of paper money worth one dollar","United States author whose novels drew on her experiences as a missionary in China (1892-1973)","a framework for holding wood that is being sawed","mature male of various mammals (especially deer or antelope)","to strive with determination; "John is bucking for a promotion"","resist; "buck the trend"","move quickly and violently; "The car tore down the street"; "He came charging into my office"","jump vertically, with legs stiff and back arched; "the yung filly bucked""
bucksaw,"a saw that is set in a frame in the shape of an H; used with both hands to cut wood that is held in a sawbuck"
bucksaws,"a saw that is set in a frame in the shape of an H; used with both hands to cut wood that is held in a sawbuck"
buckshee,"free of charge; "if they deposit these shares in the scheme they will get further buckshee shares on a one-for-one basis"- Economist"
buckshees,"free of charge; "if they deposit these shares in the scheme they will get further buckshee shares on a one-for-one basis"- Economist"
buckshot,"small lead shot for shotgun shells"
buckshots,"small lead shot for shotgun shells"
buckskin,"horse of a light yellowish dun color with dark mane and tail","a soft yellowish suede leather originally from deerskin but now usually from sheepskin"
buckskins,"breeches made of buckskin"
bucktail
bucktails
bucktooth,"a large projecting front tooth"
bucktooths,"a large projecting front tooth"
buckwheat,"a member of the genus Fagopyrum; annual Asian plant with clusters of small pinkish white flowers and small edible triangular seeds which are used whole or ground into flour","grain ground into flour"
buckwheats,"a member of the genus Fagopyrum; annual Asian plant with clusters of small pinkish white flowers and small edible triangular seeds which are used whole or ground into flour","grain ground into flour"
bucolic,"a country person","a short poem descriptive of rural or pastoral life","(used with regard to idealized country life) idyllically rustic; "a country life of arcadian contentment"; "a pleasant bucolic scene"; "charming in its pastoral setting"; "rustic tranquility"","relating to shepherds or herdsmen or devoted to raising sheep or cattle; "pastoral seminomadic people"; "pastoral land"; "a pastoral economy""
bucolics,"a country person","a short poem descriptive of rural or pastoral life","(used with regard to idealized country life) idyllically rustic; "a country life of arcadian contentment"; "a pleasant bucolic scene"; "charming in its pastoral setting"; "rustic tranquility"","relating to shepherds or herdsmen or devoted to raising sheep or cattle; "pastoral seminomadic people"; "pastoral land"; "a pastoral economy""
bud,"a partially opened flower","a swelling on a plant stem consisting of overlapping immature leaves or petals","develop buds; "The hibiscus is budding!"","start to grow or develop; "a budding friendship""
budded,"develop buds; "The hibiscus is budding!"","start to grow or develop; "a budding friendship""
budder
budders
buddies
budding,"reproduction of some unicellular organisms (such as yeasts) by growth and specialization followed by the separation by constriction of a part of the parent","develop buds; "The hibiscus is budding!"","start to grow or develop; "a budding friendship"","beginning to develop; "a budding genius""
buddle
buddleia,"tropical shrub having clusters of white or violet or yellow flowers"
buddleias,"tropical shrub having clusters of white or violet or yellow flowers"
buddles
buddy,"a close friend who accompanies his buddies in their activities"
budge,"United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000)","move very slightly; "He shifted in his seat""
budged
budger
budgers
budges,"United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000)","move very slightly; "He shifted in his seat""
budget,"a sum of money allocated for a particular purpose; "the laboratory runs on a budget of a million a year"","a summary of intended expenditures along with proposals for how to meet them; "the president submitted the annual budget to Congress"","make a budget"
budgetary,"of or relating to a budget; "budgetary considerations""
budgeted
budgeter
budgeters
budgeting
budgets,"a sum of money allocated for a particular purpose; "the laboratory runs on a budget of a million a year"","a summary of intended expenditures along with proposals for how to meet them; "the president submitted the annual budget to Congress"","make a budget"
budgie,"small Australian parakeet usually light green with black and yellow markings in the wild but bred in many colors"
budgies,"small Australian parakeet usually light green with black and yellow markings in the wild but bred in many colors"
budging
budless
budlike
buds,"a partially opened flower","a swelling on a plant stem consisting of overlapping immature leaves or petals","develop buds; "The hibiscus is budding!"","start to grow or develop; "a budding friendship""
buff,"an ardent follower and admirer","a soft thick undyed leather from the skins of e.g. buffalo or oxen","bare skin; naked; "swimming in the buff"","a medium to dark tan color","an implement consisting of soft material mounted on a block; used for polishing (as in manicuring)","strike, beat repeatedly; "The wind buffeted him"","polish and make shiny; "buff the wooden floors"; "buff my shoes"","of the yellowish-beige color of buff leather"
buffable
buffalo,"large shaggy-haired brown bison of North American plains","a city on Lake Erie in western New York (near Niagara Falls)","meat from an American bison","any of several Old World animals resembling oxen including, e.g., water buffalo; Cape buffalo","intimidate or overawe"
buffaloed
buffaloes,"large shaggy-haired brown bison of North American plains","a city on Lake Erie in western New York (near Niagara Falls)","meat from an American bison","any of several Old World animals resembling oxen including, e.g., water buffalo; Cape buffalo"
buffaloing
buffalos,"large shaggy-haired brown bison of North American plains","a city on Lake Erie in western New York (near Niagara Falls)","meat from an American bison","any of several Old World animals resembling oxen including, e.g., water buffalo; Cape buffalo","intimidate or overawe"
buffed
buffer,"(chemistry) an ionic compound that resists changes in its pH","a neutral zone between two rival powers that is created in order to diminish the danger of conflict","an inclined metal frame at the front of a locomotive to clear the track","(computer science) a part of RAM used for temporary storage of data that is waiting to be sent to a device; used to compensate for differences in the rate of flow of data between components of a computer system","a power tool used to buff surfaces","a cushion-like device that reduces shock due to an impact","an implement consisting of soft material mounted on a block; used for polishing (as in manicuring)","add a buffer (a solution); "buffered saline solution for the eyes"","protect from impact; "cushion the blow""
buffered
buffering
buffers,"(chemistry) an ionic compound that resists changes in its pH","a neutral zone between two rival powers that is created in order to diminish the danger of conflict","an inclined metal frame at the front of a locomotive to clear the track","(computer science) a part of RAM used for temporary storage of data that is waiting to be sent to a device; used to compensate for differences in the rate of flow of data between components of a computer system","a power tool used to buff surfaces","a cushion-like device that reduces shock due to an impact","an implement consisting of soft material mounted on a block; used for polishing (as in manicuring)","add a buffer (a solution); "buffered saline solution for the eyes"","protect from impact; "cushion the blow""
buffet,"a piece of furniture that stands at the side of a dining room; has shelves and drawers","a meal set out on a buffet at which guests help themselves","usually inexpensive bar","strike against forcefully; "Winds buffeted the tent"","strike, beat repeatedly; "The wind buffeted him""
buffeted,"pounded or hit repeatedly by storms or adversities"
buffeter
buffeters
buffeting,"repeated heavy blows"
buffets,"a piece of furniture that stands at the side of a dining room; has shelves and drawers","a meal set out on a buffet at which guests help themselves","usually inexpensive bar","strike against forcefully; "Winds buffeted the tent"","strike, beat repeatedly; "The wind buffeted him""
buffi
buffier
buffiest
buffing
buffo
buffoon,"a rude or vulgar fool","a person who amuses others by ridiculous behavior"
buffoons,"a rude or vulgar fool","a person who amuses others by ridiculous behavior"
buffos
buffs,"an ardent follower and admirer","a soft thick undyed leather from the skins of e.g. buffalo or oxen","bare skin; naked; "swimming in the buff"","a medium to dark tan color","an implement consisting of soft material mounted on a block; used for polishing (as in manicuring)","strike, beat repeatedly; "The wind buffeted him"","polish and make shiny; "buff the wooden floors"; "buff my shoes"","of the yellowish-beige color of buff leather"
buffy
bug,"general term for any insect or similar creeping or crawling invertebrate","a fault or defect in a computer program, system, or machine","a small hidden microphone; for listening secretly","insects with sucking mouthparts and forewings thickened and leathery at the base; usually show incomplete metamorphosis","a minute life form (especially a disease-causing bacterium); the term is not in technical use","annoy persistently; "The children teased the boy because of his stammer"","tap a telephone or telegraph wire to get information; "The FBI was tapping the phone line of the suspected spy"; "Is this hotel room bugged?""
bugaboo,"an imaginary monster used to frighten children","a source of concern; "the old bugaboo of inflation still bothers them""
bugaboos,"an imaginary monster used to frighten children","a source of concern; "the old bugaboo of inflation still bothers them""
bugbane,"North American plant having large leaves and yellowish green flowers growing in racemes; yields a toxic alkaloid used medicinally","a plant of the genus Cimicifuga having flowers in long racemes or panicles reported to be distasteful to insects"
bugbanes,"North American plant having large leaves and yellowish green flowers growing in racemes; yields a toxic alkaloid used medicinally","a plant of the genus Cimicifuga having flowers in long racemes or panicles reported to be distasteful to insects"
bugbear,"an imaginary monster used to frighten children","an object of dread or apprehension; "Germany was always a bugbear for France"; "A foolish consistency is the hobgoblin of little minds"--Ralph Waldo Emerson"
bugbears,"an imaginary monster used to frighten children","an object of dread or apprehension; "Germany was always a bugbear for France"; "A foolish consistency is the hobgoblin of little minds"--Ralph Waldo Emerson"
bugeye
bugeyes
bugged,"annoy persistently; "The children teased the boy because of his stammer"","tap a telephone or telegraph wire to get information; "The FBI was tapping the phone line of the suspected spy"; "Is this hotel room bugged?"","having hidden electronic eavesdropping devices; "wired hotel rooms"; "even the car is bugged""
bugger,"someone who engages in anal copulation (especially a male who engages in anal copulation with another male)","practice anal sex upon"
buggered
buggeries
buggering
buggers,"someone who engages in anal copulation (especially a male who engages in anal copulation with another male)","practice anal sex upon"
buggery,"intercourse via the anus, committed by a man with a man or woman"
buggier,"informal or slang terms for mentally irregular; "it used to drive my husband balmy"","infested with bugs"
buggies
buggiest,"informal or slang terms for mentally irregular; "it used to drive my husband balmy"","infested with bugs"
bugging,"annoy persistently; "The children teased the boy because of his stammer"","tap a telephone or telegraph wire to get information; "The FBI was tapping the phone line of the suspected spy"; "Is this hotel room bugged?""
buggy,"a small lightweight carriage; drawn by a single horse","informal or slang terms for mentally irregular; "it used to drive my husband balmy"","infested with bugs"
bughouse
bughouses
bugle,"a brass instrument without valves; used for military calls and fanfares","any of various low-growing annual or perennial evergreen herbs native to Eurasia; used for ground cover","a tubular glass or plastic bead sewn onto clothing for decoration","play on a bugle"
bugled
bugler,"someone who plays a bugle"
buglers,"someone who plays a bugle"
bugles,"a brass instrument without valves; used for military calls and fanfares","any of various low-growing annual or perennial evergreen herbs native to Eurasia; used for ground cover","a tubular glass or plastic bead sewn onto clothing for decoration","play on a bugle"
bugling
bugloss,"perennial or biennial herb cultivated for its delicate usually blue flowers","widespread European weed with spiny tongue-shaped leaves and yellow flowers; naturalized in United States"
buglosses
bugs,"general term for any insect or similar creeping or crawling invertebrate","a fault or defect in a computer program, system, or machine","a small hidden microphone; for listening secretly","insects with sucking mouthparts and forewings thickened and leathery at the base; usually show incomplete metamorphosis","a minute life form (especially a disease-causing bacterium); the term is not in technical use","annoy persistently; "The children teased the boy because of his stammer"","tap a telephone or telegraph wire to get information; "The FBI was tapping the phone line of the suspected spy"; "Is this hotel room bugged?""
bugseed
bugseeds
bugsha
bugshas
buhl,"an inlaid furniture decoration; tortoiseshell and yellow and white metal form scrolls in cabinetwork"
buhls,"an inlaid furniture decoration; tortoiseshell and yellow and white metal form scrolls in cabinetwork"
buhlwork
buhlworks
buhr
buhrs
build,"constitution of the human body","alternative names for the body of a human being; "Leonardo studied the human body"; "he has a strong physique"; "the spirit is willing but the flesh is weak"","make by combining materials and parts; "this little pig made his house out of straw"; "Some eccentric constructed an electric brassiere warmer"","form or accumulate steadily; "Resistance to the manager's plan built up quickly"; "Pressure is building up at the Indian-Pakistani border"","build or establish something abstract; "build a reputation"","improve the cleansing action of; "build detergents"","order, supervise, or finance the construction of; "The government is building new schools in this state"","give form to, according to a plan; "build a modern nation"; "build a million-dollar business"","be engaged in building; "These architects build in interesting and new styles"","found or ground; "build a defense on nothing but the accused person's reputation"","bolster or strengthen; "We worked up courage"; "build up confidence"; "ramp up security in the airports"","develop and grow; "Suspense was building right from the beginning of the opera""
builded
builder,"a substance added to soaps or detergents to increase their cleansing action","a person who creates a business or who organizes and develops a country; "empire builder"","someone who contracts for and supervises construction (as of a building)"
builders,"a substance added to soaps or detergents to increase their cleansing action","a person who creates a business or who organizes and develops a country; "empire builder"","someone who contracts for and supervises construction (as of a building)"
building,"a structure that has a roof and walls and stands more or less permanently in one place; "there was a three-story building on the corner"; "it was an imposing edifice"","the act of constructing something; "during the construction we had to take a detour"; "his hobby was the building of boats"","the commercial activity involved in repairing old structures or constructing new ones; "their main business is home construction"; "workers in the building trades"","the occupants of a building; "the entire building complained about the noise""
buildings,"a structure that has a roof and walls and stands more or less permanently in one place; "there was a three-story building on the corner"; "it was an imposing edifice"","the act of constructing something; "during the construction we had to take a detour"; "his hobby was the building of boats"","the commercial activity involved in repairing old structures or constructing new ones; "their main business is home construction"; "workers in the building trades"","the occupants of a building; "the entire building complained about the noise""
builds,"constitution of the human body","alternative names for the body of a human being; "Leonardo studied the human body"; "he has a strong physique"; "the spirit is willing but the flesh is weak"","make by combining materials and parts; "this little pig made his house out of straw"; "Some eccentric constructed an electric brassiere warmer"","form or accumulate steadily; "Resistance to the manager's plan built up quickly"; "Pressure is building up at the Indian-Pakistani border"","build or establish something abstract; "build a reputation"","improve the cleansing action of; "build detergents"","order, supervise, or finance the construction of; "The government is building new schools in this state"","give form to, according to a plan; "build a modern nation"; "build a million-dollar business"","be engaged in building; "These architects build in interesting and new styles"","found or ground; "build a defense on nothing but the accused person's reputation"","bolster or strengthen; "We worked up courage"; "build up confidence"; "ramp up security in the airports"","develop and grow; "Suspense was building right from the beginning of the opera""
buildup,"the act of building up an accumulation; "I envied his rapid buildup of assets"; "a military buildup in preparation for the invasion"","the result of the process of accumulation; "the buildup of leaves blocked the drain pipes"","highly favorable publicity and praise; "his letter of recommendation gave her a terrific buildup""
buildups,"the act of building up an accumulation; "I envied his rapid buildup of assets"; "a military buildup in preparation for the invasion"","the result of the process of accumulation; "the buildup of leaves blocked the drain pipes"","highly favorable publicity and praise; "his letter of recommendation gave her a terrific buildup""
built,"make by combining materials and parts; "this little pig made his house out of straw"; "Some eccentric constructed an electric brassiere warmer"","form or accumulate steadily; "Resistance to the manager's plan built up quickly"; "Pressure is building up at the Indian-Pakistani border"","build or establish something abstract; "build a reputation"","improve the cleansing action of; "build detergents"","order, supervise, or finance the construction of; "The government is building new schools in this state"","give form to, according to a plan; "build a modern nation"; "build a million-dollar business"","be engaged in building; "These architects build in interesting and new styles"","found or ground; "build a defense on nothing but the accused person's reputation"","bolster or strengthen; "We worked up courage"; "build up confidence"; "ramp up security in the airports"","develop and grow; "Suspense was building right from the beginning of the opera"","(used of soaps or cleaning agents) having a substance (an abrasive or filler) added to increase effectiveness; "the built liquid detergents""
buirdly,"muscular and heavily built; "a beefy wrestler"; "had a tall burly frame"; "clothing sizes for husky boys"; "a strapping boy of eighteen"; "`buirdly' is a Scottish term""
bulb,"a modified bud consisting of a thickened globular underground stem serving as a reproductive structure","electric lamp consisting of a transparent or translucent glass housing containing a wire filament (usually tungsten) that emits light when heated by electricity","a rounded part of a cylindrical instrument (usually at one end); "the bulb of a syringe"","anything with a round shape resembling a teardrop","lower or hindmost part of the brain; continuous with spinal cord; (`bulb' is an old term for medulla oblongata); "the medulla oblongata is the most vital part of the brain because it contains centers controlling breathing and heart functioning"","a rounded dilation or expansion in a canal or vessel or organ"
bulbar,"involving the medulla oblongata; "bulbar paralysis""
bulbed,"having a bulb"
bulbel
bulbels
bulbil,"small bulb or bulb-shaped growth arising from the leaf axil or in the place of flowers"
bulbils,"small bulb or bulb-shaped growth arising from the leaf axil or in the place of flowers"
bulbous,"shaped like a bulb","curving outward"
bulbs,"a modified bud consisting of a thickened globular underground stem serving as a reproductive structure","electric lamp consisting of a transparent or translucent glass housing containing a wire filament (usually tungsten) that emits light when heated by electricity","a rounded part of a cylindrical instrument (usually at one end); "the bulb of a syringe"","anything with a round shape resembling a teardrop","lower or hindmost part of the brain; continuous with spinal cord; (`bulb' is an old term for medulla oblongata); "the medulla oblongata is the most vital part of the brain because it contains centers controlling breathing and heart functioning"","a rounded dilation or expansion in a canal or vessel or organ"
bulbul,"nightingale spoken of in Persian poetry"
bulbuls,"nightingale spoken of in Persian poetry"
bulge,"something that bulges out or is protuberant or projects from its surroundings; "the gun in his pocket made an obvious bulge"; "the hump of a camel"; "he stood on the rocky prominence"; "the occipital protuberance was well developed"; "the bony excrescence between its horns"","swell or protrude outwards; "His stomach bulged after the huge meal"","bulge out; form a bulge outward, or be so full as to appear to bulge","bulge outward; "His eyes popped"","cause to bulge or swell outwards"
bulged
bulger
bulgers
bulges,"something that bulges out or is protuberant or projects from its surroundings; "the gun in his pocket made an obvious bulge"; "the hump of a camel"; "he stood on the rocky prominence"; "the occipital protuberance was well developed"; "the bony excrescence between its horns"","swell or protrude outwards; "His stomach bulged after the huge meal"","bulge out; form a bulge outward, or be so full as to appear to bulge","bulge outward; "His eyes popped"","cause to bulge or swell outwards"
bulgier
bulgiest
bulging,"curving or bulging outward","curving outward"
bulgur,"parched crushed wheat"
bulgurs,"parched crushed wheat"
bulgy,"curving outward"
bulimia,"a disorder of eating seen among young women who go on eating binges and then feel guilt and depression and self-condemnation","pathologically insatiable hunger (especially when caused by brain lesions)"
bulimiac
bulimias,"a disorder of eating seen among young women who go on eating binges and then feel guilt and depression and self-condemnation","pathologically insatiable hunger (especially when caused by brain lesions)"
bulimic,"a person suffering from bulimia","suffering from bulimia"
bulk,"the property resulting from being or relating to the greater in number of two parts; the main part; "the majority of his customers prefer it"; "the bulk of the work is finished"","the property of something that is great in magnitude; "it is cheaper to buy it in bulk"; "he received a mass of correspondence"; "the volume of exports"","the property possessed by a large mass","stick out or up; "The parcel bulked in the sack"","cause to bulge or swell outwards"
bulkage
bulkages
bulked
bulkhead,"a partition that divides a ship or plane into compartments"
bulkheads,"a partition that divides a ship or plane into compartments"
bulkier,"of large size for its weight"
bulkiest,"of large size for its weight"
bulkily
bulking
bulks,"the property resulting from being or relating to the greater in number of two parts; the main part; "the majority of his customers prefer it"; "the bulk of the work is finished"","the property of something that is great in magnitude; "it is cheaper to buy it in bulk"; "he received a mass of correspondence"; "the volume of exports"","the property possessed by a large mass","stick out or up; "The parcel bulked in the sack"","cause to bulge or swell outwards"
bulky,"of large size for its weight"
bull,"uncastrated adult male of domestic cattle","a large and strong and heavyset man; "he was a bull of a man"; "a thick-skinned bruiser ready to give as good as he got"","obscene words for unacceptable behavior; "I put up with a lot of bullshit from that jerk"; "what he said was mostly bull"","a serious and ludicrous blunder; "he made a bad bull of the assignment"","uncomplimentary terms for a policeman","an investor with an optimistic market outlook; an investor who expects prices to rise and so buys now for resale later","(astrology) a person who is born while the sun is in Taurus","the second sign of the zodiac; the sun is in this sign from about April 20 to May 20","the center of a target","a formal proclamation issued by the pope (usually written in antiquated characters and sealed with a leaden bulla)","mature male of various mammals of which the female is called `cow'; e.g. whales or elephants or especially cattle","push or force; "He bulled through his demands"","try to raise the price of stocks through speculative buying","speak insincerely or without regard for facts or truths; "The politician was not well prepared for the debate and faked it"","advance in price; "stocks were bulling""
bulla,"(pathology) an elevation of the skin filled with serous fluid","the round leaden seal affixed to a papal bull"
bullace,"small wild or half-domesticated Eurasian plum bearing small ovoid fruit in clusters"
bullaces,"small wild or half-domesticated Eurasian plum bearing small ovoid fruit in clusters"
bullae,"(pathology) an elevation of the skin filled with serous fluid","the round leaden seal affixed to a papal bull"
bullate,"of leaves; appearing puckered as if blistered"
bullbat,"mainly nocturnal North American goatsucker"
bullbats,"mainly nocturnal North American goatsucker"
bulldog,"a sturdy thickset short-haired breed with a large head and strong undershot lower jaw; developed originally in England for bull baiting","attack viciously and ferociously","throw a steer by seizing the horns and twisting the neck, as in a rodeo"
bulldogged
bulldogging,"attack viciously and ferociously","throw a steer by seizing the horns and twisting the neck, as in a rodeo"
bulldogs,"a sturdy thickset short-haired breed with a large head and strong undershot lower jaw; developed originally in England for bull baiting","attack viciously and ferociously","throw a steer by seizing the horns and twisting the neck, as in a rodeo"
bulldoze,"flatten with or as if with a bulldozer"
bulldozed
bulldozer,"large powerful tractor; a large blade in front flattens areas of ground"
bulldozers,"large powerful tractor; a large blade in front flattens areas of ground"
bulldozes,"flatten with or as if with a bulldozer"
bulldozing
bulled
bullet,"a projectile that is fired from a gun","a high-speed passenger train","(baseball) a pitch thrown with maximum velocity; "he swung late on the fastball"; "he showed batters nothing but smoke""
bulleted
bulletin,"a brief report (especially an official statement issued for immediate publication or broadcast)","make public by bulletin"
bulletined
bulleting
bulletining
bulletins,"a brief report (especially an official statement issued for immediate publication or broadcast)","make public by bulletin"
bulletproof,"make bulletproof; "bulletproof the car"","without flaws or loopholes; "an ironclad contract"; "a watertight alibi"; "a bulletproof argument"","not penetrable by bullets; "bulletproof glass"; "bulletproof vest""
bulletproofs,"make bulletproof; "bulletproof the car"","without flaws or loopholes; "an ironclad contract"; "a watertight alibi"; "a bulletproof argument"","not penetrable by bullets; "bulletproof glass"; "bulletproof vest""
bullets,"a projectile that is fired from a gun","a high-speed passenger train","(baseball) a pitch thrown with maximum velocity; "he swung late on the fastball"; "he showed batters nothing but smoke""
bullfight,"a Spanish or Portuguese or Latin American spectacle; a matador baits and (usually) kills a bull in an arena before many spectators"
bullfighter,"someone who fights bulls"
bullfighters,"someone who fights bulls"
bullfights,"a Spanish or Portuguese or Latin American spectacle; a matador baits and (usually) kills a bull in an arena before many spectators"
bullfinch,"United States architect who designed the Capitol Building in Washington which served as a model for state capitols throughout the United States (1763-1844)","common European finch mostly black and white with red throat and breast"
bullfinches
bullfrog,"largest North American frog; highly aquatic with a deep-pitched voice"
bullfrogs,"largest North American frog; highly aquatic with a deep-pitched voice"
bullhead,"freshwater sculpin with a large flattened bony-plated head with hornlike spines","any of several common freshwater catfishes of the United States"
bullheaded,"obstinate and stupid"
bullheads,"freshwater sculpin with a large flattened bony-plated head with hornlike spines","any of several common freshwater catfishes of the United States"
bullhorn,"a portable loudspeaker with built-in microphone and amplifier"
bullhorns,"a portable loudspeaker with built-in microphone and amplifier"
bullied,"be bossy towards; "Her big brother always bullied her when she was young"","discourage or frighten with threats or a domineering manner; intimidate"
bullier
bullies
bulliest
bulling
bullion,"a mass of precious metal","gold or silver in bars or ingots"
bullions,"a mass of precious metal","gold or silver in bars or ingots"
bullish,"expecting a rise in prices"
bullneck
bullnecks
bullnose,"a small carpenter's plane with the cutting edge near the front"
bullnoses,"a small carpenter's plane with the cutting edge near the front"
bullock,"young bull","castrated bull"
bullocks,"young bull","castrated bull"
bullocky,"resembling a bullock in strength and power; "thick bullocky shoulders""
bullous
bullpen,"a place on a baseball field where relief pitchers can warm up during a game","a large cell where prisoners (people awaiting trial or sentence or refugees or illegal immigrants) are confined together temporarily"
bullpens,"a place on a baseball field where relief pitchers can warm up during a game","a large cell where prisoners (people awaiting trial or sentence or refugees or illegal immigrants) are confined together temporarily"
bullpout
bullpouts
bullring,"a stadium where bullfights take place"
bullrings,"a stadium where bullfights take place"
bullrush,"tall marsh plant with cylindrical seed heads that explode when mature shedding large quantities of down; its long flat leaves are used for making mats and chair seats; of North America, Europe, Asia and North Africa","tall rush with soft erect or arching stems found in Eurasia, Australia, New Zealand, and common in North America"
bullrushes
