mead,"United States anthropologist noted for her claims about adolescence and sexual behavior in Polynesian cultures (1901-1978)","United States philosopher of pragmatism (1863-1931)","made of fermented honey and water"
meadow,"a field where grass or alfalfa are grown to be made into hay"
means,"how a result is obtained or an end is achieved; "a means of control"; "an example is the best agency of instruction"; "the true way to success"","an instrumentality for accomplishing some end","considerable capital (wealth or income); "he is a man of means"","mean or intend to express or convey; "You never understand what I mean!"; "what do his words intend?"","have as a logical consequence; "The water shortage means that we have to stop taking long showers"","denote or connote; "`maison' means `house' in French"; "An example sentence would show what this word means"","have in mind as a purpose; "I mean no harm"; "I only meant to help you"; "She didn't think to harm me"; "We thought to return early that night"","have a specified degree of importance; "My ex-husband means nothing to me"; "Happiness means everything"","intend to refer to; "I'm thinking of good food when I talk about France"; "Yes, I meant you when I complained about people who gossip!"","destine or designate for a certain purpose; "These flowers were meant for you"","approximating the statistical norm or average or expected value; "the average income in New England is below that of the nation"; "of average height for his age"; "the mean annual rainfall"","characterized by malice; "a hateful thing to do"; "in a mean mood"","having or showing an ignoble lack of honor or morality; "that liberal obedience without which your army would be a base rabble"- Edmund Burke; "taking a mean advantage"; "chok'd with ambition of the meaner sort"- Shakespeare; "something essentially vulgar and meanspirited in politics"","excellent; "famous for a mean backhand"","marked by poverty befitting a beggar; "a beggarly existence in the slums"; "a mean hut"","(used of persons or behavior) characterized by or indicative of lack of generosity; "a mean person"; "he left a miserly tip"","(used of sums of money) so small in amount as to deserve contempt","of no value or worth; "I was caught in the bastardly traffic""
meant,"mean or intend to express or convey; "You never understand what I mean!"; "what do his words intend?"","have as a logical consequence; "The water shortage means that we have to stop taking long showers"","denote or connote; "`maison' means `house' in French"; "An example sentence would show what this word means"","have in mind as a purpose; "I mean no harm"; "I only meant to help you"; "She didn't think to harm me"; "We thought to return early that night"","have a specified degree of importance; "My ex-husband means nothing to me"; "Happiness means everything"","intend to refer to; "I'm thinking of good food when I talk about France"; "Yes, I meant you when I complained about people who gossip!"","destine or designate for a certain purpose; "These flowers were meant for you""
meantime,"the time between one event, process, or period and another; "meanwhile the socialists are running the government"","during the intervening time; "meanwhile I will not think about the problem"; "meantime he was attentive to his other interests"; "in the meantime the police were notified""
meantimes,"the time between one event, process, or period and another; "meanwhile the socialists are running the government"","during the intervening time; "meanwhile I will not think about the problem"; "meantime he was attentive to his other interests"; "in the meantime the police were notified""
meanwhile,"the time between one event, process, or period and another; "meanwhile the socialists are running the government"","at the same time but in another place; "meanwhile, back at the ranch..."","during the intervening time; "meanwhile I will not think about the problem"; "meantime he was attentive to his other interests"; "in the meantime the police were notified""
meanwhiles,"the time between one event, process, or period and another; "meanwhile the socialists are running the government"","at the same time but in another place; "meanwhile, back at the ranch..."","during the intervening time; "meanwhile I will not think about the problem"; "meantime he was attentive to his other interests"; "in the meantime the police were notified""
meany,"United States labor leader who was the first president of the AFL-CIO (1894-1980)","a person of mean disposition"
measle
measled
measles,"an acute and highly contagious viral disease marked by distinct red spots followed by a rash; occurs primarily in children"
measlier,"contemptibly small in amount; "a measly tip"; "the company donated a miserable $100 for flood relief"; "a paltry wage"; "almost depleted his miserable store of dried beans""
measliest,"contemptibly small in amount; "a measly tip"; "the company donated a miserable $100 for flood relief"; "a paltry wage"; "almost depleted his miserable store of dried beans""
measly,"contemptibly small in amount; "a measly tip"; "the company donated a miserable $100 for flood relief"; "a paltry wage"; "almost depleted his miserable store of dried beans""
measurable,"capable of being measured; "measurable depths"","of distinguished importance; "a measurable figure in literature""
measurably,"to a measurable degree; "the difference is measurably large""
measure,"any maneuver made as part of progress toward a goal; "the situation called for strong measures"; "the police took steps to reduce crime"","how much there is or how many there are of something that you can quantify","a statute in draft before it becomes law; "they held a public hearing on the bill"","the act or process of assigning numbers to phenomena according to a rule; "the measurements were carefully done"; "his mental measurings proved remarkably accurate"","a basis for comparison; a reference point against which other things can be evaluated; "the schools comply with federal standards"; "they set the measure for all subsequent work"","(prosody) the accent in a metrical foot of verse","musical notation for a repeating pattern of musical beats; "the orchestra omitted the last twelve bars of the song"","measuring instrument having a sequence of marks at regular intervals; used as a reference in making measurements","a container of some standard capacity that is used to obtain fixed amounts of a substance","determine the measurements of something or somebody, take measurements of; "Measure the length of the wall"","express as a number or measure or quantity; "Can you quantify your results?"","have certain dimensions; "This table surfaces measures 20inches by 36 inches"","evaluate or estimate the nature, quality, ability, extent, or significance of; "I will have the family jewels appraised by a professional"; "access all the factors when taking a risk""
measured,"having notes of fixed rhythmic value","the rhythmic arrangement of syllables","carefully thought out in advance; "a calculated insult"; "with measured irony"","unhurried and with care and dignity; "walking at the same measured pace"; "with all deliberate speed""
measureless,"without limits in extent or size or quantity; "limitless vastness of our solar system""
measurement,"the act or process of assigning numbers to phenomena according to a rule; "the measurements were carefully done"; "his mental measurings proved remarkably accurate""
measurements,"the act or process of assigning numbers to phenomena according to a rule; "the measurements were carefully done"; "his mental measurings proved remarkably accurate""
measurer,"a person who makes measurements"
measurers,"a person who makes measurements"
measures,"any maneuver made as part of progress toward a goal; "the situation called for strong measures"; "the police took steps to reduce crime"","how much there is or how many there are of something that you can quantify","a statute in draft before it becomes law; "they held a public hearing on the bill"","the act or process of assigning numbers to phenomena according to a rule; "the measurements were carefully done"; "his mental measurings proved remarkably accurate"","a basis for comparison; a reference point against which other things can be evaluated; "the schools comply with federal standards"; "they set the measure for all subsequent work"","(prosody) the accent in a metrical foot of verse","musical notation for a repeating pattern of musical beats; "the orchestra omitted the last twelve bars of the song"","measuring instrument having a sequence of marks at regular intervals; used as a reference in making measurements","a container of some standard capacity that is used to obtain fixed amounts of a substance","determine the measurements of something or somebody, take measurements of; "Measure the length of the wall"","express as a number or measure or quantity; "Can you quantify your results?"","have certain dimensions; "This table surfaces measures 20inches by 36 inches"","evaluate or estimate the nature, quality, ability, extent, or significance of; "I will have the family jewels appraised by a professional"; "access all the factors when taking a risk""
measuring,"the act or process of assigning numbers to phenomena according to a rule; "the measurements were carefully done"; "his mental measurings proved remarkably accurate""
meat,"the flesh of animals (including fishes and birds and snails) used as food","the inner and usually edible part of a seed or grain or nut or fruit stone; "black walnut kernels are difficult to get out of the shell"","the choicest or most essential or most vital part of some idea or experience; "the gist of the prosecutor's argument"; "the heart and soul of the Republican Party"; "the nub of the story""
meatal
meatball,"ground meat formed into a ball and fried or simmered in broth"
meatballs,"ground meat formed into a ball and fried or simmered in broth"
meathead
meatheads
meatier,"like or containing meat; "enough of vegetarianism; let's have a meaty meal"","being on topic and prompting thought; "a meaty discussion""
meatiest,"like or containing meat; "enough of vegetarianism; let's have a meaty meal"","being on topic and prompting thought; "a meaty discussion""
meatily
meatless,"lacking meat; "meatless days""
meatman,"a retailer of meat"
meatmen
meats,"the flesh of animals (including fishes and birds and snails) used as food","the inner and usually edible part of a seed or grain or nut or fruit stone; "black walnut kernels are difficult to get out of the shell"","the choicest or most essential or most vital part of some idea or experience; "the gist of the prosecutor's argument"; "the heart and soul of the Republican Party"; "the nub of the story""
meatus,"a natural body passageway"
meatuses
meaty,"like or containing meat; "enough of vegetarianism; let's have a meaty meal"","being on topic and prompting thought; "a meaty discussion""
mecca,"joint capital (with Riyadh) of Saudi Arabia; located in western Saudi Arabia; as the birthplace of Muhammad it is the holiest city of Islam","a place that attracts many visitors; "New York is a mecca for young artists""
meccas,"joint capital (with Riyadh) of Saudi Arabia; located in western Saudi Arabia; as the birthplace of Muhammad it is the holiest city of Islam","a place that attracts many visitors; "New York is a mecca for young artists""
mechanic,"a craftsman skilled in operating machine tools","someone whose occupation is repairing and maintaining automobiles","resembling the action of a machine; "from blank to blank a threadless way I pushed mechanic feet"- Emily Dickenson"
mechanical,"using (or as if using) mechanisms or tools or devices; "a mechanical process"; "his smile was very mechanical"; "a mechanical toy"","relating to or concerned with machinery or tools; "mechanical arts"; "mechanical design"; "mechanical skills"","relating to or governed by or in accordance with mechanics; "a belief that the universe is a mechanical contrivance"; "the mechanical pressure of a strong wind""
mechanically,"in a mechanical manner; by a mechanism; "this door opens mechanically"","in a machinelike manner; without feeling; "he smiled mechanically""
mechanics,"the branch of physics concerned with the motion of bodies in a frame of reference","the technical aspects of doing something; "a mechanism of social control"; "mechanisms of communication"; "the mechanics of prose style"","resembling the action of a machine; "from blank to blank a threadless way I pushed mechanic feet"- Emily Dickenson"
mechanism,"the atomic process that occurs during a chemical reaction; "he determined unique mechanisms for the photochemical reactions"","the technical aspects of doing something; "a mechanism of social control"; "mechanisms of communication"; "the mechanics of prose style"","a natural object resembling a machine in structure or function; "the mechanism of the ear"; "the mechanism of infection"","(philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes","device consisting of a piece of machinery; has moving parts that perform some function"
mechanisms,"the atomic process that occurs during a chemical reaction; "he determined unique mechanisms for the photochemical reactions"","the technical aspects of doing something; "a mechanism of social control"; "mechanisms of communication"; "the mechanics of prose style"","a natural object resembling a machine in structure or function; "the mechanism of the ear"; "the mechanism of infection"","(philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes","device consisting of a piece of machinery; has moving parts that perform some function"
mechanistic,"explained in terms of physical forces; "a mechanistic universe"","of or relating to the philosophical theory of mechanism"
mechanistically,"in a mechanistic manner; "Handel achieves a huge breadth of musical thought when composing almost mechanistically in the least weighty of styles""
mechanization,"the condition of having a highly technical implementation","the act of implementing the control of equipment with advanced technology; usually involving electronic hardware; "automation replaces human workers by machines""
mechanizations,"the condition of having a highly technical implementation","the act of implementing the control of equipment with advanced technology; usually involving electronic hardware; "automation replaces human workers by machines""
mechanize,"equip with armed and armored motor vehicles; "mechanize armies"","make monotonous; make automatic or routine; "If your work becomes too mechanized, change jobs!"","make mechanical; "mechanize the procedure""
mechanized,"equipped with machinery; "a mechanized factory"","using vehicles; "motorized warfare""
mechanizer
mechanizers
mechanizes,"equip with armed and armored motor vehicles; "mechanize armies"","make monotonous; make automatic or routine; "If your work becomes too mechanized, change jobs!"","make mechanical; "mechanize the procedure""
mechanizing
meconium,"thick dark green mucoid material that is the first feces of a newborn child"
meconiums,"thick dark green mucoid material that is the first feces of a newborn child"
medaka
medakas
medal,"an award for winning a championship or commemorating some other event"
medaled
medaling
medalist,"someone who has won a medal","(golf) the winner at medal play of a tournament"
medalists,"someone who has won a medal","(golf) the winner at medal play of a tournament"
medalled
medallic
medalling
medallion,"any of various large ancient Greek coins","a circular helping of food (especially a boneless cut of meat); "medallions of veal"","an emblem indicating that a taxicab is registered","an award for winning a championship or commemorating some other event"
medallions,"any of various large ancient Greek coins","a circular helping of food (especially a boneless cut of meat); "medallions of veal"","an emblem indicating that a taxicab is registered","an award for winning a championship or commemorating some other event"
medals,"an award for winning a championship or commemorating some other event"
meddle,"intrude in other people's affairs or business; interfere unwantedly; "Don't meddle in my affairs!""
meddled
meddler,"an officious annoying person who interferes with others"
meddlers,"an officious annoying person who interferes with others"
meddles,"intrude in other people's affairs or business; interfere unwantedly; "Don't meddle in my affairs!""
meddlesome,"intrusive in a meddling or offensive manner; "an interfering old woman"; "bustling about self-importantly making an officious nuisance of himself"; "busy about other people's business""
meddling,"the act of altering something secretly or improperly","intrusive in a meddling or offensive manner; "an interfering old woman"; "bustling about self-importantly making an officious nuisance of himself"; "busy about other people's business""
media,"a means or instrumentality for storing or communicating information","the surrounding environment; "fish require an aqueous medium"","an intervening substance through which signals can travel as a means for communication","(bacteriology) a nutrient substance (solid or liquid) that is used to cultivate micro-organisms","a liquid with which pigment is mixed by a painter","(biology) a substance in which specimens are preserved or displayed","an intervening substance through which something is achieved; "the dissolving medium is called a solvent"","a state that is intermediate between extremes; a middle position; "a happy medium"","someone who serves as an intermediary between the living and the dead; "he consulted several mediums"","(usually plural) transmissions that are disseminated widely to the public","an occupation for which you are especially well suited; "in law he found his true metier""
mediacies
mediacy,"the quality of being mediate"
mediad
mediae
mediaeval,"relating to or belonging to the Middle Ages; "Medieval scholars"; "Medieval times"","as if belonging to the Middle Ages; old-fashioned and unenlightened; "a medieval attitude toward dating""
medial,"dividing an animal into right and left halves","relating to or situated in or extending toward the middle"
medially,"in a medial position; "this consonant always occurs medially""
medials,"dividing an animal into right and left halves","relating to or situated in or extending toward the middle"
median,"the value below which 50% of the cases fall","relating to or constituting the middle value of an ordered set of values (or the average of the middle two in a set with an even number of values); "the median value of 17, 20, and 36 is 20"; "the median income for the year was $15,000"","dividing an animal into right and left halves","relating to or situated in or extending toward the middle"
medianly
medians,"the value below which 50% of the cases fall","relating to or constituting the middle value of an ordered set of values (or the average of the middle two in a set with an even number of values); "the median value of 17, 20, and 36 is 20"; "the median income for the year was $15,000"","dividing an animal into right and left halves","relating to or situated in or extending toward the middle"
mediant,"(music) the third note of a diatonic scale; midway between the tonic and the dominant"
mediants,"(music) the third note of a diatonic scale; midway between the tonic and the dominant"
medias,"a means or instrumentality for storing or communicating information","the surrounding environment; "fish require an aqueous medium"","an intervening substance through which signals can travel as a means for communication","(bacteriology) a nutrient substance (solid or liquid) that is used to cultivate micro-organisms","a liquid with which pigment is mixed by a painter","(biology) a substance in which specimens are preserved or displayed","an intervening substance through which something is achieved; "the dissolving medium is called a solvent"","a state that is intermediate between extremes; a middle position; "a happy medium"","someone who serves as an intermediary between the living and the dead; "he consulted several mediums"","(usually plural) transmissions that are disseminated widely to the public","an occupation for which you are especially well suited; "in law he found his true metier""
mediastinum,"the part of the thoracic cavity between the lungs that contains the heart and aorta and esophagus and trachea and thymus"
mediate,"act between parties with a view to reconciling differences; "He interceded in the family dispute"; "He mediated a settlement"","occupy an intermediate or middle position or form a connecting link or stage between two others; "mediate between the old and the new"","acting through or dependent on an intervening agency; "the disease spread by mediate as well as direct contact"","being neither at the beginning nor at the end in a series; "adolescence is an awkward in-between age"; "in a mediate position"; "the middle point on a line""
mediated,"acting or brought about through an intervening agency; "the mediated settlement brought satisfaction to both sides""
mediates,"act between parties with a view to reconciling differences; "He interceded in the family dispute"; "He mediated a settlement"","occupy an intermediate or middle position or form a connecting link or stage between two others; "mediate between the old and the new"","acting through or dependent on an intervening agency; "the disease spread by mediate as well as direct contact"","being neither at the beginning nor at the end in a series; "adolescence is an awkward in-between age"; "in a mediate position"; "the middle point on a line""
mediating
mediation,"a negotiation to resolve differences that is conducted by some impartial party","the act of intervening for the purpose of bringing about a settlement"
mediations,"a negotiation to resolve differences that is conducted by some impartial party","the act of intervening for the purpose of bringing about a settlement"
mediator,"a negotiator who acts as a link between parties"
mediators,"a negotiator who acts as a link between parties"
medic,"any of several Old World herbs of the genus Medicago having small flowers and trifoliate compound leaves","a medical practitioner in the armed forces"
medicable
medicably
medicaid,"health care for the needy; a federally and state-funded program"
medicaids,"health care for the needy; a federally and state-funded program"
medical,"a thorough physical examination; includes a variety of tests depending on the age and sex and health of the person","relating to the study or practice of medicine; "the medical profession"; "a medical student"; "medical school"","requiring or amenable to treatment by medicine especially as opposed to surgery; "medical treatment"; "pneumonia is a medical disease"","of or belonging to Aesculapius or the healing art"
medically,"involving medical practice; "medically trained nurses"; "medically correct treatment""
medicals,"a thorough physical examination; includes a variety of tests depending on the age and sex and health of the person","relating to the study or practice of medicine; "the medical profession"; "a medical student"; "medical school"","requiring or amenable to treatment by medicine especially as opposed to surgery; "medical treatment"; "pneumonia is a medical disease"","of or belonging to Aesculapius or the healing art"
medicare,"health care for the aged; a federally administered system of health insurance available to persons aged 65 and over"
medicares,"health care for the aged; a federally administered system of health insurance available to persons aged 65 and over"
medicate,"impregnate with a medicinal substance","treat medicinally, treat with medicine"
medicated
medicates,"impregnate with a medicinal substance","treat medicinally, treat with medicine"
medicating
medication,"(medicine) something that treats or prevents or alleviates the symptoms of disease","the act of treating with medicines or remedies"
medications,"(medicine) something that treats or prevents or alleviates the symptoms of disease","the act of treating with medicines or remedies"
medicinal,"having the properties of medicine; "medicative drugs"; "medicinal herbs"; "medicinal properties""
medicinally,"in a medicinal manner"
medicine,"the branches of medical science that deal with nonsurgical techniques","(medicine) something that treats or prevents or alleviates the symptoms of disease","the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries; "he studied medicine at Harvard"","punishment for one's actions; "you have to face the music"; "take your medicine"","treat medicinally, treat with medicine"
medicined
medicines,"the branches of medical science that deal with nonsurgical techniques","(medicine) something that treats or prevents or alleviates the symptoms of disease","the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries; "he studied medicine at Harvard"","punishment for one's actions; "you have to face the music"; "take your medicine"","treat medicinally, treat with medicine"
medicining
medick,"any of several Old World herbs of the genus Medicago having small flowers and trifoliate compound leaves"
medicks,"any of several Old World herbs of the genus Medicago having small flowers and trifoliate compound leaves"
medico,"a student in medical school","a licensed medical practitioner; "I felt so bad I went to see my doctor""
medicos,"a student in medical school","a licensed medical practitioner; "I felt so bad I went to see my doctor""
medics,"any of several Old World herbs of the genus Medicago having small flowers and trifoliate compound leaves","a medical practitioner in the armed forces"
medieval,"relating to or belonging to the Middle Ages; "Medieval scholars"; "Medieval times"","as if belonging to the Middle Ages; old-fashioned and unenlightened; "a medieval attitude toward dating"","characteristic of the time of chivalry and knighthood in the Middle Ages; "chivalric rites"; "the knightly years""
medievalism
medievalisms
medievalist
medievalists
medievals,"relating to or belonging to the Middle Ages; "Medieval scholars"; "Medieval times"","as if belonging to the Middle Ages; old-fashioned and unenlightened; "a medieval attitude toward dating"","characteristic of the time of chivalry and knighthood in the Middle Ages; "chivalric rites"; "the knightly years""
medii
mediocre,"moderate to inferior in quality; "they improved the quality from mediocre to above average"","lacking exceptional quality or ability; "a novel of average merit"; "only a fair performance of the sonata"; "in fair health"; "the caliber of the students has gone from mediocre to above average"; "the performance was middling at best"","poor to middling in quality; "there have been good and mediocre and bad artists""
mediocrities
mediocrity,"ordinariness as a consequence of being average and not outstanding","a person of second-rate ability or value; "a team of aging second-raters"; "shone among the mediocrities who surrounded him""
meditate,"reflect deeply on a subject; "I mulled over the events of the afternoon"; "philosophers have speculated on the question of God for thousands of years"; "The scientist must stop to observe and start to excogitate"","think intently and at length, as for spiritual purposes; "He is meditating in his study""
meditated
meditates,"reflect deeply on a subject; "I mulled over the events of the afternoon"; "philosophers have speculated on the question of God for thousands of years"; "The scientist must stop to observe and start to excogitate"","think intently and at length, as for spiritual purposes; "He is meditating in his study""
meditating
meditation,"continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; "the habit of meditation is the basis for all real knowledge"","(religion) contemplation of spiritual matters (usually on religious or philosophical subjects)"
meditations,"continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature; "the habit of meditation is the basis for all real knowledge"","(religion) contemplation of spiritual matters (usually on religious or philosophical subjects)"
meditative,"deeply or seriously thoughtful; "Byron lives on not only in his poetry, but also in his creation of the 'Byronic hero' - the persona of a brooding melancholy young man";"
meditatively,"in a meditative manner; "round and round, while meditatively, as a cow chewing the cud, he let his eyes rest on the flat water ahead of him""
medium,"a means or instrumentality for storing or communicating information","the surrounding environment; "fish require an aqueous medium"","an intervening substance through which signals can travel as a means for communication","(bacteriology) a nutrient substance (solid or liquid) that is used to cultivate micro-organisms","a liquid with which pigment is mixed by a painter","(biology) a substance in which specimens are preserved or displayed","an intervening substance through which something is achieved; "the dissolving medium is called a solvent"","a state that is intermediate between extremes; a middle position; "a happy medium"","someone who serves as an intermediary between the living and the dead; "he consulted several mediums"","(usually plural) transmissions that are disseminated widely to the public","an occupation for which you are especially well suited; "in law he found his true metier"","around the middle of a scale of evaluation; "an orange of average size"; "intermediate capacity"; "medium bombers"","(meat) cooked until there is just a little pink meat inside"
mediums,"a means or instrumentality for storing or communicating information","the surrounding environment; "fish require an aqueous medium"","an intervening substance through which signals can travel as a means for communication","(bacteriology) a nutrient substance (solid or liquid) that is used to cultivate micro-organisms","a liquid with which pigment is mixed by a painter","(biology) a substance in which specimens are preserved or displayed","an intervening substance through which something is achieved; "the dissolving medium is called a solvent"","a state that is intermediate between extremes; a middle position; "a happy medium"","someone who serves as an intermediary between the living and the dead; "he consulted several mediums"","(usually plural) transmissions that are disseminated widely to the public","an occupation for which you are especially well suited; "in law he found his true metier"","around the middle of a scale of evaluation; "an orange of average size"; "intermediate capacity"; "medium bombers"","(meat) cooked until there is just a little pink meat inside"
medius
medlar,"small deciduous tree of southern Africa having edible fruit","small deciduous Eurasian tree cultivated for its fruit that resemble crab apples","a South African globular fruit with brown leathery skin and pithy flesh having a sweet-acid taste","crabapple-like fruit used for preserves"
medlars,"relational database of the United States National Library of Medicine for the storage and retrieval of bibliographical information concerning the biomedical literature"
medley,"a musical composition consisting of a series of songs or other musical pieces from various sources"
medleys,"a musical composition consisting of a series of songs or other musical pieces from various sources"
medulla,"a white fatty substance that forms a medullary sheath around the axis cylinder of some nerve fibers","lower or hindmost part of the brain; continuous with spinal cord; (`bulb' is an old term for medulla oblongata); "the medulla oblongata is the most vital part of the brain because it contains centers controlling breathing and heart functioning"","the inner part of an organ or structure in plant or animal"
medullae,"a white fatty substance that forms a medullary sheath around the axis cylinder of some nerve fibers","lower or hindmost part of the brain; continuous with spinal cord; (`bulb' is an old term for medulla oblongata); "the medulla oblongata is the most vital part of the brain because it contains centers controlling breathing and heart functioning"","the inner part of an organ or structure in plant or animal"
medullar
medullas,"a white fatty substance that forms a medullary sheath around the axis cylinder of some nerve fibers","lower or hindmost part of the brain; continuous with spinal cord; (`bulb' is an old term for medulla oblongata); "the medulla oblongata is the most vital part of the brain because it contains centers controlling breathing and heart functioning"","the inner part of an organ or structure in plant or animal"
medusa,"(Greek mythology) a woman transformed into a Gorgon by Athena; she was slain by Perseus","one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate; in this phase it has a gelatinous umbrella-shaped body and tentacles"
medusae,"(Greek mythology) a woman transformed into a Gorgon by Athena; she was slain by Perseus","one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate; in this phase it has a gelatinous umbrella-shaped body and tentacles"
medusan,"one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate; in this phase it has a gelatinous umbrella-shaped body and tentacles"
medusans,"one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate; in this phase it has a gelatinous umbrella-shaped body and tentacles"
medusas,"(Greek mythology) a woman transformed into a Gorgon by Athena; she was slain by Perseus","one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate; in this phase it has a gelatinous umbrella-shaped body and tentacles"
medusoid,"one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate; in this phase it has a gelatinous umbrella-shaped body and tentacles","relating to or resembling a medusa"
medusoids,"one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate; in this phase it has a gelatinous umbrella-shaped body and tentacles","relating to or resembling a medusa"
