woad,"a blue dyestuff obtained from the woad plant","any of several herbs of the genus Isatis"
woolliest,"having a fluffy character or appearance","confused and vague; used especially of thinking; "muddleheaded ideas"; "your addled little brain"; "woolly thinking"; "woolly-headed ideas"","covered with dense often matted or curly hairs; "woolly lambs"","covered with dense cottony hairs or hairlike filaments; "the woolly aphid has a lanate coat resembling cotton""
woollike
woolly,"having a fluffy character or appearance","confused and vague; used especially of thinking; "muddleheaded ideas"; "your addled little brain"; "woolly thinking"; "woolly-headed ideas"","covered with dense often matted or curly hairs; "woolly lambs"","covered with dense cottony hairs or hairlike filaments; "the woolly aphid has a lanate coat resembling cotton""
woolman
woolmen
woolpack
woolpacks
wools,"a fabric made from the hair of sheep","fiber sheared from animals (such as sheep) and twisted into yarn for weaving","outer coat of especially sheep and yaks"
woolsack
woolsacks
woolshed
woolsheds
woolskin
woolskins
wooly,"having a fluffy character or appearance","confused and vague; used especially of thinking; "muddleheaded ideas"; "your addled little brain"; "woolly thinking"; "woolly-headed ideas"","covered with dense often matted or curly hairs; "woolly lambs""
woomera
woomeras
woops
woorali
wooralis
woorari
wooraris
woos,"seek someone's favor; "China is wooing Russia"","make amorous advances towards; "John is courting Mary""
woosh,"move with a sibilant sound; "He whooshed the doors open""
wooshed
wooshes
wooshing
woozier,"having or causing a whirling sensation; liable to falling; "had a dizzy spell"; "a dizzy pinnacle"; "had a headache and felt giddy"; "a giddy precipice"; "feeling woozy from the blow on his head"; "a vertiginous climb up the face of the cliff""
wooziest,"having or causing a whirling sensation; liable to falling; "had a dizzy spell"; "a dizzy pinnacle"; "had a headache and felt giddy"; "a giddy precipice"; "feeling woozy from the blow on his head"; "a vertiginous climb up the face of the cliff""
woozily
wooziness
woozinesses
woozy,"having or causing a whirling sensation; liable to falling; "had a dizzy spell"; "a dizzy pinnacle"; "had a headache and felt giddy"; "a giddy precipice"; "feeling woozy from the blow on his head"; "a vertiginous climb up the face of the cliff""
wop,"(ethnic slur) offensive term for a person of Italian descent"
wops,"(ethnic slur) offensive term for a person of Italian descent"
worcester,"United States lexicographer who was accused of plagiarism by Noah Webster (1784-1865)","an industrial and university city in central Massachusetts to the west of Boston","a cathedral city in west central England on the River Severn"
word,"a unit of language that native speakers can identify; "words are the blocks from which sentences are made"; "he hardly said ten words all morning"","a brief statement; "he didn't say a word about it"","information about recent and important events; "they awaited news of the outcome"","a verbal command for action; "when I give the word, charge!"","an exchange of views on some topic; "we had a good discussion"; "we had a word or two about it"","a promise; "he gave his word"","a word is a string of bits stored in computer memory; "large computers use words up to 64 bits long"","the divine word of God; the second person in the Trinity (incarnate in Jesus)","a secret word or phrase known only to a restricted group; "he forgot the password"","the sacred writings of the Christian religions; "he went to carry the Word to the heathen"","put into words or an expression; "He formulated his concerns to the board of trustees""
wordage
wordages
wordbook,"a reference book containing words (usually with their meanings)"
wordbooks,"a reference book containing words (usually with their meanings)"
worded
wordier,"using or containing too many words; "long-winded (or windy) speakers"; "verbose and ineffective instructional methods"; "newspapers of the day printed long wordy editorials"; "proceedings were delayed by wordy disputes""
wordiest,"using or containing too many words; "long-winded (or windy) speakers"; "verbose and ineffective instructional methods"; "newspapers of the day printed long wordy editorials"; "proceedings were delayed by wordy disputes""
wordily,"in a verbose manner; "she explained her ideas verbosely""
wordiness,"boring verbosity"
wordinesses
wording,"the manner in which something is expressed in words; "use concise military verbiage"- G.S.Patton"
wordings,"the manner in which something is expressed in words; "use concise military verbiage"- G.S.Patton"
wordless,"expressed without speech; "a mute appeal"; "a silent curse"; "best grief is tongueless"- Emily Dickinson; "the words stopped at her lips unsounded"; "unspoken grief"; "choking exasperation and wordless shame"- Thomas Wolfe"
wordplay,"a humorous play on words; "I do it for the pun of it"; "his constant punning irritated her""
wordplays,"a humorous play on words; "I do it for the pun of it"; "his constant punning irritated her""
words,"the words that are spoken; "I listened to his words very closely"","the text of a popular song or musical-comedy number; "his compositions always started with the lyrics"; "he wrote both words and music"; "the song uses colloquial language"","language that is spoken or written; "he has a gift for words"; "she put her thoughts into words"","an angry dispute; "they had a quarrel"; "they had words"","words making up the dialogue of a play; "the actor forgot his speech"","put into words or an expression; "He formulated his concerns to the board of trustees""
wordy,"using or containing too many words; "long-winded (or windy) speakers"; "verbose and ineffective instructional methods"; "newspapers of the day printed long wordy editorials"; "proceedings were delayed by wordy disputes""
wore,"be dressed in; "She was wearing yellow that day"","have on one's person; "He wore a red ribbon"; "bear a scar"","have in one's aspect; wear an expression of one's attitude or personality; "He always wears a smile"","deteriorate through use or stress; "The constant friction wore out the cloth"","have or show an appearance of; "wear one's hair in a certain way"","last and be usable; "This dress wore well for almost ten years"","go to pieces; "The lawn mower finally broke"; "The gears wore out"; "The old chair finally fell apart completely"","exhaust or get tired through overuse or great strain or stress; "We wore ourselves out on this hike"","put clothing on one's body; "What should I wear today?"; "He put on his best suit for the wedding"; "The princess donned a long blue dress"; "The queen assumed the stately robes"; "He got into his jeans""
work,"activity directed toward making or doing something; "she checked several points needing further work"","a product produced or accomplished through the effort or activity or agency of a person or thing; "it is not regarded as one of his more memorable works"; "the symphony was hailed as an ingenious work"; "he was indebted to the pioneering work of John Dewey"; "the work of an active imagination"; "erosion is the work of wind or water over time"","the occupation for which you are paid; "he is looking for employment"; "a lot of people are out of work"","applying the mind to learning and understanding a subject (especially by reading); "mastering a second language requires a lot of work"; "no schools offer graduate study in interior design"","(physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force; "work equals force times distance"","a place where work is done; "he arrived at work early today"","the total output of a writer or artist (or a substantial part of it); "he studied the entire Wagnerian oeuvre"; "Picasso's work can be divided into periods"","exert oneself by doing mental or physical work for a purpose or out of necessity; "I will work hard to improve my grades"; "she worked hard for better living conditions for the poor"","be employed; "Is your husband working again?"; "My wife never worked"; "Do you want to work after the age of 60?"; "She never did any work because she inherited a lot of money"; "She works as a waitress to put herself through college"","have an effect or outcome; often the one desired or expected; "The voting process doesn't work as well as people thought"; "How does your idea work in practice?"; "This method doesn't work"; "The breaks of my new car act quickly"; "The medicine works only if you take it with a lot of water"","perform as expected when applied; "The washing machine won't go unless it's plugged in"; "Does this old car still run well?"; "This old radio doesn't work anymore"","shape, form, or improve a material; "work stone into tools"; "process iron"; "work the metal"","give a workout to; "Some parents exercise their infants"; "My personal trainer works me hard"; "work one's muscles"; "this puzzle will exercise your mind"","proceed along a path; "work one's way through the crowd"; "make one's way into the forest"","operate in a certain place, area, or specialty; "She works the night clubs"; "The salesman works the Midwest"; "This artist works mostly in acrylics"","proceed towards a goal or along a path or through an activity; "work your way through every problem or task"; "She was working on her second martini when the guests arrived"; "Start from the bottom and work towards the top"","move in an agitated manner; "His fingers worked with tension"","cause to happen or to occur as a consequence; "I cannot work a miracle"; "wreak havoc"; "bring comments"; "play a joke"; "The rain brought relief to the drought-stricken area"","cause to work; "he is working his servants hard"","prepare for crops; "Work the soil"; "cultivate the land"","behave in a certain way when handled; "This dough does not work easily"; "The soft metal works well"","have and exert influence or effect; "The artist's work influenced the young painter"; "She worked on her friends to support the political candidate"","operate in or through; "Work the phones"","cause to operate or function; "This pilot works the controls"; "Can you work an electric drill?"","provoke or excite; "The rock musician worked the crowd of young girls into a frenzy"","gratify and charm, usually in order to influence; "the political candidate worked the crowds"","make something, usually for a specific function; "She molded the rice balls carefully"; "Form cylinders from the dough"; "shape a figure"; "Work the metal into a sword"","move into or onto; "work the raisins into the dough"; "the student worked a few jokes into his presentation"; "work the body onto the flatbed truck"","make uniform; "knead dough"; "work the clay until it is soft"","use or manipulate to one's advantage; "He exploit the new taxation system"; "She knows how to work the system"; "he works his parents for sympathy"","find the solution to (a problem or question) or understand the meaning of; "did you solve the problem?"; "Work out your problems with the boss"; "this unpleasant situation isn't going to work itself out"; "did you get it?"; "Did you get my meaning?"; "He could not work the math problem"","cause to undergo fermentation; "We ferment the grapes for a very long time to achieve high alcohol content"; "The vintner worked the wine in big oak vats"","go sour or spoil; "The milk has soured"; "The wine worked"; "The cream has turned--we have to throw it out"","arrive at a certain condition through repeated motion; "The stitches of the hem worked loose after she wore the skirt many times""
workability
workable,"capable of being done with means at hand and circumstances as they are"
workableness
workablenesses
workaday,"found in the ordinary course of events; "a placid everyday scene"; "it was a routine day"; "there's nothing quite like a real...train conductor to add color to a quotidian commute"- Anita Diamant"
workbag,"container for holding implements and materials for work (especially for sewing)"
workbags,"container for holding implements and materials for work (especially for sewing)"
workbasket,"container for holding implements and materials for work (especially for sewing)"
workbaskets,"container for holding implements and materials for work (especially for sewing)"
workbench,"a strong worktable for a carpenter or mechanic"
workbenches
workboat
workboats
workbook,"a student's book or booklet containing problems with spaces for solving them"
workbooks,"a student's book or booklet containing problems with spaces for solving them"
workbox,"container for holding implements and materials for work (especially for sewing)"
workboxes
workday,"a day on which work is done","the amount of time that a worker must work for an agreed daily wage; "they work an 8-hour day""
workdays,"a day on which work is done","the amount of time that a worker must work for an agreed daily wage; "they work an 8-hour day""
worked
worker,"a person who works at a specific occupation; "he is a good worker"","a member of the working class (not necessarily employed); "workers of the world--unite!"","sterile member of a colony of social insects that forages for food and cares for the larvae","a person who acts and gets things done; "he's a principal actor in this affair"; "when you want something done get a doer"; "he's a miracle worker""
workers,"a person who works at a specific occupation; "he is a good worker"","a member of the working class (not necessarily employed); "workers of the world--unite!"","sterile member of a colony of social insects that forages for food and cares for the larvae","a person who acts and gets things done; "he's a principal actor in this affair"; "when you want something done get a doer"; "he's a miracle worker""
workfolk
workhorse,"machine that performs dependably under heavy use; "the IBM main frame computers have been the workhorse of the business world"","a horse used for plowing and hauling and other heavy labor"
workhorses,"machine that performs dependably under heavy use; "the IBM main frame computers have been the workhorse of the business world"","a horse used for plowing and hauling and other heavy labor"
workhouse,"a poorhouse where able-bodied poor are compelled to labor","a county jail that holds prisoners for periods up to 18 months"
workhouses,"a poorhouse where able-bodied poor are compelled to labor","a county jail that holds prisoners for periods up to 18 months"
working,"a mine or quarry that is being or has been worked","actively engaged in paid work; "the working population"; "the ratio of working men to unemployed"; "a working mother"; "robots can be on the job day and night"","adequate for practical use; especially sufficient in strength or numbers to accomplish something; "the party has a working majority in the House"; "a working knowledge of Spanish"","adopted as a temporary basis for further work; "a working draft"; "a working hypothesis"","(of e.g. a machine) performing or capable of performing; "in running (or working) order"; "a functional set of brakes"","serving to permit or facilitate further work or activity; "discussed the working draft of a peace treaty"; "they need working agreements with their neighbor states on interstate projects""
workingman,"an employee who performs manual or industrial labor"
workingmen
workings,"the internal mechanism of a device","a mine or quarry that is being or has been worked","actively engaged in paid work; "the working population"; "the ratio of working men to unemployed"; "a working mother"; "robots can be on the job day and night"","adequate for practical use; especially sufficient in strength or numbers to accomplish something; "the party has a working majority in the House"; "a working knowledge of Spanish"","adopted as a temporary basis for further work; "a working draft"; "a working hypothesis"","(of e.g. a machine) performing or capable of performing; "in running (or working) order"; "a functional set of brakes"","serving to permit or facilitate further work or activity; "discussed the working draft of a peace treaty"; "they need working agreements with their neighbor states on interstate projects""
workless
workload,"work that a person is expected to do in a specified time"
