fracas,"noisy quarrel"
fragments,"a piece broken off or cut off of something else; "a fragment of rock"","a broken piece of a brittle artifact","an incomplete piece; "fragments of a play"","break or cause to break into pieces; "The plate fragmented""
fragrant,"pleasant-smelling"
fragrantly
frags
frail,"the weight of a frail (basket) full of raisins or figs; between 50 and 75 pounds","a basket for holding dried fruit (especially raisins or figs)","physically weak; "an invalid's frail body"","wanting in moral strength, courage, or will; having the attributes of man as opposed to e.g. divine beings; "I'm only a fallible human"; "frail humanity"","easily broken or damaged or destroyed; "a kite too delicate to fly safely"; "fragile porcelain plates"; "fragile old bones"; "a frail craft""
frailer
frailest
frailly
frails,"the weight of a frail (basket) full of raisins or figs; between 50 and 75 pounds","a basket for holding dried fruit (especially raisins or figs)","physically weak; "an invalid's frail body"","wanting in moral strength, courage, or will; having the attributes of man as opposed to e.g. divine beings; "I'm only a fallible human"; "frail humanity"","easily broken or damaged or destroyed; "a kite too delicate to fly safely"; "fragile porcelain plates"; "fragile old bones"; "a frail craft""
frailties
frailty,"the state of being weak in health or body (especially from old age)","moral weakness"
fraise,"a ruff for the neck worn in the 16th century","sloping or horizontal rampart of pointed stakes"
fraises,"a ruff for the neck worn in the 16th century","sloping or horizontal rampart of pointed stakes"
fraktur
frakturs
framable
frame,"the framework for a pair of eyeglasses","a single one of a series of still transparent pictures forming a cinema, television or video film","alternative names for the body of a human being; "Leonardo studied the human body"; "he has a strong physique"; "the spirit is willing but the flesh is weak"","(baseball) one of nine divisions of play during which each team has a turn at bat","a single drawing in a comic_strip","an application that divides the user's display into two or more windows that can be scrolled independently","a system of assumptions and standards that sanction behavior and give it meaning","the hard structure (bones and cartilages) that provides a frame for the body of an animal","the internal supporting structure that gives an artifact its shape; "the building has a steel skeleton"","a framework that supports and protects a picture or a mirror; "the frame enhances but is not itself the subject of attention"; "the frame was much more valuable than the miror it held"","one of the ten divisions into which bowling is divided","enclose in or as if in a frame; "frame a picture"","enclose in a frame, as of a picture","take or catch as if in a snare or trap; "I was set up!"; "The innocent man was framed by the police"","formulate in a particular style or language; "I wouldn't put it that way"; "She cast her request in very polite language"","make up plans or basic details for; "frame a policy"","construct by fitting or uniting parts together"
framed,"provided with a frame; "there were framed snapshots of family and friends on her desk""
framer,"someone who makes frames (as for pictures)","someone who writes a new law or plan; "the framers of the Constitution""
framers,"someone who makes frames (as for pictures)","someone who writes a new law or plan; "the framers of the Constitution""
frames,"the framework for a pair of eyeglasses","a single one of a series of still transparent pictures forming a cinema, television or video film","alternative names for the body of a human being; "Leonardo studied the human body"; "he has a strong physique"; "the spirit is willing but the flesh is weak"","(baseball) one of nine divisions of play during which each team has a turn at bat","a single drawing in a comic_strip","an application that divides the user's display into two or more windows that can be scrolled independently","a system of assumptions and standards that sanction behavior and give it meaning","the hard structure (bones and cartilages) that provides a frame for the body of an animal","the internal supporting structure that gives an artifact its shape; "the building has a steel skeleton"","a framework that supports and protects a picture or a mirror; "the frame enhances but is not itself the subject of attention"; "the frame was much more valuable than the miror it held"","one of the ten divisions into which bowling is divided","enclose in or as if in a frame; "frame a picture"","enclose in a frame, as of a picture","take or catch as if in a snare or trap; "I was set up!"; "The innocent man was framed by the police"","formulate in a particular style or language; "I wouldn't put it that way"; "She cast her request in very polite language"","make up plans or basic details for; "frame a policy"","construct by fitting or uniting parts together"
framework,"a hypothetical description of a complex entity or process; "the computer program was based on a model of the circulatory and respiratory systems"","the underlying structure; "providing a factual framework for future research"; "it is part of the fabric of society"","a structure supporting or containing something"
frameworks,"a hypothetical description of a complex entity or process; "the computer program was based on a model of the circulatory and respiratory systems"","the underlying structure; "providing a factual framework for future research"; "it is part of the fabric of society"","a structure supporting or containing something"
framing,"formulation of the plans and important details; "the framing of judicial decrees"","a framework that supports and protects a picture or a mirror; "the frame enhances but is not itself the subject of attention"; "the frame was much more valuable than the miror it held""
franc,"the basic monetary unit in many countries; equal to 100 centimes"
franchise,"an authorization to sell a company's goods or services in a particular place","a business established or operated under an authorization to sell or distribute a company's goods or services in a particular area","a statutory right or privilege granted to a person or group by a government (especially the rights of citizenship and the right to vote)","grant a franchise to"
franchisee
franchisees
franchises,"an authorization to sell a company's goods or services in a particular place","a business established or operated under an authorization to sell or distribute a company's goods or services in a particular area","a statutory right or privilege granted to a person or group by a government (especially the rights of citizenship and the right to vote)","grant a franchise to"
francium,"a radioactive element of the alkali-metal group discovered as a disintegration product of actinium"
franciums,"a radioactive element of the alkali-metal group discovered as a disintegration product of actinium"
francs,"the basic monetary unit in many countries; equal to 100 centimes"
frangibilities
frangibility,"quality of being easily damaged or destroyed"
frangible,"capable of being broken; "the museum stored all frangible articles in locked showcases""
frank,"a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century","a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll","stamp with a postmark to indicate date and time of mailing","exempt by means of an official pass or letter, as from customs or other checks","characterized by directness in manner or speech; without subtlety or evasion; "blunt talking and straight shooting"; "a blunt New England farmer"; "I gave them my candid opinion"; "forthright criticism"; "a forthright approach to the problem"; "tell me what you think--and you may just as well be frank"; "it is possible to be outspoken without being rude"; "plainspoken and to the point"; "a point-blank accusation"","clearly manifest; evident; "frank enjoyment""
franked
franker
frankers
frankest
frankfort,"the capital of Kentucky; located in northern Kentucky","a German city; an industrial and commercial and financial center"
frankforter
frankforters
frankforts,"the capital of Kentucky; located in northern Kentucky","a German city; an industrial and commercial and financial center"
frankfurt,"a German city; an industrial and commercial and financial center"
frankfurter,"a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll"
frankfurters,"a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll"
frankfurts,"a German city; an industrial and commercial and financial center"
frankincense,"an aromatic gum resin obtained from various Arabian or East African trees; formerly valued for worship and for embalming and fumigation"
frankincenses,"an aromatic gum resin obtained from various Arabian or East African trees; formerly valued for worship and for embalming and fumigation"
franking
franklin,"United States historian noted for studies of Black American history (born in 1915)","printer whose success as an author led him to take up politics; he helped draw up the Declaration of Independence and the Constitution; he played a major role in the American Revolution and negotiated French support for the colonists; as a scientist he is remembered particularly for his research in electricity (1706-1790)","a landowner (14th and 15th centuries) who was free but not of noble birth"
franklins,"United States historian noted for studies of Black American history (born in 1915)","printer whose success as an author led him to take up politics; he helped draw up the Declaration of Independence and the Constitution; he played a major role in the American Revolution and negotiated French support for the colonists; as a scientist he is remembered particularly for his research in electricity (1706-1790)","a landowner (14th and 15th centuries) who was free but not of noble birth"
frankly,"(used as intensives reflecting the speaker's attitude) it is sincerely the case that; "honestly, I don't believe it"; "candidly, I think she doesn't have a conscience"; "frankly, my dear, I don't give a damn""
frankness,"the quality of being honest and straightforward in attitude and speech","the trait of being blunt and outspoken"
franknesses
franks,"a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century","a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll","stamp with a postmark to indicate date and time of mailing","exempt by means of an official pass or letter, as from customs or other checks","characterized by directness in manner or speech; without subtlety or evasion; "blunt talking and straight shooting"; "a blunt New England farmer"; "I gave them my candid opinion"; "forthright criticism"; "a forthright approach to the problem"; "tell me what you think--and you may just as well be frank"; "it is possible to be outspoken without being rude"; "plainspoken and to the point"; "a point-blank accusation"","clearly manifest; evident; "frank enjoyment""
frantic,"excessively agitated; distraught with fear or other violent emotion; "frantic with anger and frustration"; "frenetic screams followed the accident"; "a frenzied look in his eye"","marked by uncontrolled excitement or emotion; "a crowd of delirious baseball fans"; "something frantic in their gaiety"; "a mad whirl of pleasure""
frantically,"in an uncontrolled manner; "she fought back madly""
franticly
frap,"make secure by lashing; "frap a sail"","take up the slack of; "frap a rope""
frappe,"liqueur poured over shaved ice","thick milkshake containing ice cream","a frozen dessert with fruit flavoring (especially one containing no milk)"
frapped,"make secure by lashing; "frap a sail"","take up the slack of; "frap a rope""
frappes,"liqueur poured over shaved ice","thick milkshake containing ice cream","a frozen dessert with fruit flavoring (especially one containing no milk)"
frapping,"make secure by lashing; "frap a sail"","take up the slack of; "frap a rope""
fraps,"make secure by lashing; "frap a sail"","take up the slack of; "frap a rope""
frat,"a social club for male undergraduates"
frater
fraternal,"of or relating to a fraternity or society of usually men; "a fraternal order"","(of twins) derived from two separate fertilized ova; "fraternal twins are biovular"","like or characteristic of or befitting a brother; "brotherly feelings"; "close fraternal ties""
fraternally,"in a brotherly manner"
fraternities
fraternity,"a social club for male undergraduates","people engaged in a particular occupation; "the medical fraternity""
fraternization,"associating with others in a brotherly or friendly way; especially with an enemy"
fraternizations,"associating with others in a brotherly or friendly way; especially with an enemy"
fraternize,"be on friendly terms with someone, as if with a brother, especially with an enemy"
fraternized
fraternizes,"be on friendly terms with someone, as if with a brother, especially with an enemy"
fraternizing
fraters
fratricidal
fratricide,"a person who murders their brother or sister","fire that injures or kills an ally","the murder of your sibling"
fratricides,"a person who murders their brother or sister","fire that injures or kills an ally","the murder of your sibling"
frats,"a social club for male undergraduates"
fraud,"intentional deception resulting in injury to another person","a person who makes deceitful pretenses","something intended to deceive; deliberate trickery intended to gain an advantage"
frauds,"intentional deception resulting in injury to another person","a person who makes deceitful pretenses","something intended to deceive; deliberate trickery intended to gain an advantage"
fraudulent,"intended to deceive; "deceitful advertising"; "fallacious testimony"; "smooth, shining, and deceitful as thin ice" - S.T.Coleridge; "a fraudulent scheme to escape paying taxes""
fraudulently,"in a dishonest and fraudulent manner; "this money was fraudulently obtained""
fraught,"marked by distress; "a fraught mother-daughter relationship"","filled with or attended with; "words fraught with meaning"; "an incident fraught with danger"; "a silence pregnant with suspense""
fraughted
fraughting
fraughts,"marked by distress; "a fraught mother-daughter relationship"","filled with or attended with; "words fraught with meaning"; "an incident fraught with danger"; "a silence pregnant with suspense""
fraulein,"a German courtesy title or form of address for an unmarried woman"
frauleins,"a German courtesy title or form of address for an unmarried woman"
fray,"a noisy fight","wear away by rubbing; "The friction frayed the sleeve"","cause friction; "my sweater scratches""
frayed,"worn away or tattered along the edges; "frayed cuffs""
fraying
frayings
frays,"a noisy fight","wear away by rubbing; "The friction frayed the sleeve"","cause friction; "my sweater scratches""
frazzle,"a state of extreme exhaustion; "he was worn to a frazzle"","wear away by rubbing; "The friction frayed the sleeve"","exhaust physically or emotionally; "She was frazzled after the visit of her in-laws""
frazzled
frazzles,"a state of extreme exhaustion; "he was worn to a frazzle"","wear away by rubbing; "The friction frayed the sleeve"","exhaust physically or emotionally; "She was frazzled after the visit of her in-laws""
frazzling
freak,"a person or animal that is markedly unusual or deformed","someone who is so ardently devoted to something that it resembles an addiction; "a golf addict"; "a car nut"; "a bodybuilding freak"; "a news junkie"","lose one's nerve; "When he saw the accident, he freaked out""
freaked
freakier,"strange and somewhat frightening; "the whole experience was really freaky"","conspicuously or grossly unconventional or unusual; "restaurants of bizarre design--one like a hat, another like a rabbit"; "famed for his eccentric spelling"; "a freakish combination of styles"; "his off-the-wall antics"; "the outlandish clothes of teenagers"; "outre and affected stage antics""
freakiest,"strange and somewhat frightening; "the whole experience was really freaky"","conspicuously or grossly unconventional or unusual; "restaurants of bizarre design--one like a hat, another like a rabbit"; "famed for his eccentric spelling"; "a freakish combination of styles"; "his off-the-wall antics"; "the outlandish clothes of teenagers"; "outre and affected stage antics""
freakily
freaking
freakish,"changeable; "a capricious summer breeze"; "freakish weather"","characteristic of a freak; "a freakish extra toe"","conspicuously or grossly unconventional or unusual; "restaurants of bizarre design--one like a hat, another like a rabbit"; "famed for his eccentric spelling"; "a freakish combination of styles"; "his off-the-wall antics"; "the outlandish clothes of teenagers"; "outre and affected stage antics""
freakout
freakouts
freaks,"a person or animal that is markedly unusual or deformed","someone who is so ardently devoted to something that it resembles an addiction; "a golf addict"; "a car nut"; "a bodybuilding freak"; "a news junkie"","lose one's nerve; "When he saw the accident, he freaked out""
freaky,"strange and somewhat frightening; "the whole experience was really freaky"","conspicuously or grossly unconventional or unusual; "restaurants of bizarre design--one like a hat, another like a rabbit"; "famed for his eccentric spelling"; "a freakish combination of styles"; "his off-the-wall antics"; "the outlandish clothes of teenagers"; "outre and affected stage antics""
freckle,"a small brownish spot (of the pigment melanin) on the skin","become freckled; "I freckle easily"","mark with freckles"
freckled,"relating to or covered with or resembling freckles"
freckles,"a small brownish spot (of the pigment melanin) on the skin","become freckled; "I freckle easily"","mark with freckles"
frecklier
freckliest
freckling
freckly
free,"people who are free; "the home of the free and the brave"","grant freedom to; free from confinement","relieve from; "Rid the house of pests"","remove or force out from a position; "The dentist dislodged the piece of food that had been stuck under my gums"; "He finally could free the legs of the earthquake victim who was buried in the rubble"","grant relief or an exemption from a rule or requirement to; "She exempted me from the exam"","make (information) available for publication; "release the list with the names of the prisoners"","free from obligations or duties","free or remove obstruction from; "free a path across the cluttered floor"","let off the hook; "I absolve you from this responsibility"","part with a possession or right; "I am relinquishing my bedroom to the long-term house guest"; "resign a claim to the throne"","release (gas or energy) as a result of a chemical reaction or physical decomposition","make (assets) available; "release the holdings in the dictator's bank account"","able to act at will; not hampered; not under compulsion or restraint; "free enterprise"; "a free port"; "a free country"; "I have an hour free"; "free will"; "free of racism"; "feel free to stay as long as you wish"; "a free choice"","unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion; "free expansion"; "free oxygen"; "a free electron"","costing nothing; "complimentary tickets"; "free admission"","not occupied or in use; "a free locker"; "a free lane"","not fixed in position; "the detached shutter fell on him"; "he pulled his arm free and ran"","not held in servitude; "after the Civil War he was a free man"","not taken up by scheduled activities; "a free hour between classes"; "spare time on my hands"","completely wanting or lacking; "writing barren of insight"; "young recruits destitute of experience"; "innocent of literary merit"; "the sentence was devoid of meaning"","not literal; "a loose interpretation of what she had been told"; "a free translation of the poem"","without restraint; "cows in India are running loose""
freebee,"something that is free (usually provided as part of a promotional scheme); "the road map was a freebie""
freebees,"something that is free (usually provided as part of a promotional scheme); "the road map was a freebie""
freebie,"something that is free (usually provided as part of a promotional scheme); "the road map was a freebie""
freebies,"something that is free (usually provided as part of a promotional scheme); "the road map was a freebie""
freeboot
freebooted
freebooter,"someone who takes spoils or plunder (as in war)"
freebooters,"someone who takes spoils or plunder (as in war)"
freebooting
freeboots
freeborn,"born free of free parents"
freed
freedman,"a person who has been freed from slavery"
freedmen
freedom,"the condition of being free; the power to act or speak or think without externally imposed restraints","immunity from an obligation or duty"
freedoms,"the condition of being free; the power to act or speak or think without externally imposed restraints","immunity from an obligation or duty"
freeform
freehand,"done by hand without mechanical aids or devices; "a freehand drawing""
freehold,"an estate held in fee simple or for life","tenure by which land is held in fee simple or for life"
freeholds,"an estate held in fee simple or for life","tenure by which land is held in fee simple or for life"
freeing,"the act of liberating someone or something"
freeload,"live off somebody's generosity; "This young man refuses to work and is freeloading""
freeloaded
freeloader,"someone who takes advantage of the generosity of others"
freeloaders,"someone who takes advantage of the generosity of others"
freeloading
freeloads,"live off somebody's generosity; "This young man refuses to work and is freeloading""
freely,"in a free manner; "the painting featured freely brushed strokes""
freeman,"a person who is not a serf or a slave"
freemen
freeness
freenesses
freer,"able to act at will; not hampered; not under compulsion or restraint; "free enterprise"; "a free port"; "a free country"; "I have an hour free"; "free will"; "free of racism"; "feel free to stay as long as you wish"; "a free choice"","unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion; "free expansion"; "free oxygen"; "a free electron"","costing nothing; "complimentary tickets"; "free admission"","not occupied or in use; "a free locker"; "a free lane"","not fixed in position; "the detached shutter fell on him"; "he pulled his arm free and ran"","not held in servitude; "after the Civil War he was a free man"","not taken up by scheduled activities; "a free hour between classes"; "spare time on my hands"","completely wanting or lacking; "writing barren of insight"; "young recruits destitute of experience"; "innocent of literary merit"; "the sentence was devoid of meaning"","not literal; "a loose interpretation of what she had been told"; "a free translation of the poem""
freers,"able to act at will; not hampered; not under compulsion or restraint; "free enterprise"; "a free port"; "a free country"; "I have an hour free"; "free will"; "free of racism"; "feel free to stay as long as you wish"; "a free choice"","unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion; "free expansion"; "free oxygen"; "a free electron"","costing nothing; "complimentary tickets"; "free admission"","not occupied or in use; "a free locker"; "a free lane"","not fixed in position; "the detached shutter fell on him"; "he pulled his arm free and ran"","not held in servitude; "after the Civil War he was a free man"","not taken up by scheduled activities; "a free hour between classes"; "spare time on my hands"","completely wanting or lacking; "writing barren of insight"; "young recruits destitute of experience"; "innocent of literary merit"; "the sentence was devoid of meaning"","not literal; "a loose interpretation of what she had been told"; "a free translation of the poem""
frees,"people who are free; "the home of the free and the brave"","grant freedom to; free from confinement","relieve from; "Rid the house of pests"","remove or force out from a position; "The dentist dislodged the piece of food that had been stuck under my gums"; "He finally could free the legs of the earthquake victim who was buried in the rubble"","grant relief or an exemption from a rule or requirement to; "She exempted me from the exam"","make (information) available for publication; "release the list with the names of the prisoners"","free from obligations or duties","free or remove obstruction from; "free a path across the cluttered floor"","let off the hook; "I absolve you from this responsibility"","part with a possession or right; "I am relinquishing my bedroom to the long-term house guest"; "resign a claim to the throne"","release (gas or energy) as a result of a chemical reaction or physical decomposition","make (assets) available; "release the holdings in the dictator's bank account"","able to act at will; not hampered; not under compulsion or restraint; "free enterprise"; "a free port"; "a free country"; "I have an hour free"; "free will"; "free of racism"; "feel free to stay as long as you wish"; "a free choice"","unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion; "free expansion"; "free oxygen"; "a free electron"","costing nothing; "complimentary tickets"; "free admission"","not occupied or in use; "a free locker"; "a free lane"","not fixed in position; "the detached shutter fell on him"; "he pulled his arm free and ran"","not held in servitude; "after the Civil War he was a free man"","not taken up by scheduled activities; "a free hour between classes"; "spare time on my hands"","completely wanting or lacking; "writing barren of insight"; "young recruits destitute of experience"; "innocent of literary merit"; "the sentence was devoid of meaning"","not literal; "a loose interpretation of what she had been told"; "a free translation of the poem"","without restraint; "cows in India are running loose""
freesia,"any of several plants of the genus Freesia valued for their one-sided clusters of usually fragrant yellow or white or pink tubular flowers"
freesias,"any of several plants of the genus Freesia valued for their one-sided clusters of usually fragrant yellow or white or pink tubular flowers"
freest,"able to act at will; not hampered; not under compulsion or restraint; "free enterprise"; "a free port"; "a free country"; "I have an hour free"; "free will"; "free of racism"; "feel free to stay as long as you wish"; "a free choice"","unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion; "free expansion"; "free oxygen"; "a free electron"","costing nothing; "complimentary tickets"; "free admission"","not occupied or in use; "a free locker"; "a free lane"","not fixed in position; "the detached shutter fell on him"; "he pulled his arm free and ran"","not held in servitude; "after the Civil War he was a free man"","not taken up by scheduled activities; "a free hour between classes"; "spare time on my hands"","completely wanting or lacking; "writing barren of insight"; "young recruits destitute of experience"; "innocent of literary merit"; "the sentence was devoid of meaning"","not literal; "a loose interpretation of what she had been told"; "a free translation of the poem""
freestanding,"standing apart; not attached to or supported by anything; "a freestanding bell tower"; "a house with a separate garage""
freeway,"a broad highway designed for high-speed traffic"
freeways,"a broad highway designed for high-speed traffic"
freewill,"done of your own accord; "a freewill offering""
freeze,"the withdrawal of heat to change something from a liquid to a solid","weather cold enough to cause freezing","an interruption or temporary suspension of progress or movement; "a halt in the arms race"; "a nuclear freeze"","fixing (of prices or wages etc) at a particular level; "a freeze on hiring"","stop moving or become immobilized; "When he saw the police car he froze"","change to ice; "The water in the bowl froze"","be cold; "I could freeze to death in this office when the air conditioning is turned on"","cause to freeze; "Freeze the leftover food"","stop a process or a habit by imposing a freeze on it; "Suspend the aid to the war-torn country"","be very cold, below the freezing point; "It is freezing in Kalamazoo"","change from a liquid to a solid when cold; "Water freezes at 32 degrees Fahrenheit"","prohibit the conversion or use of (assets); "Blocked funds"; "Freeze the assets of this hostile government"","anesthetize by cold","suddenly behave coldly and formally; "She froze when she saw her ex-husband""
freezer,"electric refrigerator (trade name Deepfreeze) in which food is frozen and stored for long periods of time"
freezers,"electric refrigerator (trade name Deepfreeze) in which food is frozen and stored for long periods of time"
freezes,"the withdrawal of heat to change something from a liquid to a solid","weather cold enough to cause freezing","an interruption or temporary suspension of progress or movement; "a halt in the arms race"; "a nuclear freeze"","fixing (of prices or wages etc) at a particular level; "a freeze on hiring"","stop moving or become immobilized; "When he saw the police car he froze"","change to ice; "The water in the bowl froze"","be cold; "I could freeze to death in this office when the air conditioning is turned on"","cause to freeze; "Freeze the leftover food"","stop a process or a habit by imposing a freeze on it; "Suspend the aid to the war-torn country"","be very cold, below the freezing point; "It is freezing in Kalamazoo"","change from a liquid to a solid when cold; "Water freezes at 32 degrees Fahrenheit"","prohibit the conversion or use of (assets); "Blocked funds"; "Freeze the assets of this hostile government"","anesthetize by cold","suddenly behave coldly and formally; "She froze when she saw her ex-husband""
freezing,"the withdrawal of heat to change something from a liquid to a solid"
freight,"goods carried by a large vehicle","transporting goods commercially at rates cheaper than express rates","the charge for transporting something by common carrier; "we pay the freight"; "the freight rate is usually cheaper"","transport commercially as cargo","load with goods for transportation"
freighted
freighter,"a cargo ship; "they did much of their overseas trade in foreign bottoms""
freighters,"a cargo ship; "they did much of their overseas trade in foreign bottoms""
freighting
freights,"goods carried by a large vehicle","transporting goods commercially at rates cheaper than express rates","the charge for transporting something by common carrier; "we pay the freight"; "the freight rate is usually cheaper"","transport commercially as cargo","load with goods for transportation"
fremd
fremitus
fremituses
frena
french,"the Romance language spoken in France and in countries colonized by France","the people of France","United States sculptor who created the seated marble figure of Abraham Lincoln in the Lincoln Memorial in Washington D.C. (1850-1931)","cut (e.g, beans) lengthwise in preparation for cooking; "French the potatoes"","of or pertaining to France or the people of France; "French cooking"; "a Gallic shrug""
frenched
frenches
frenching
frenetic,"excessively agitated; distraught with fear or other violent emotion; "frantic with anger and frustration"; "frenetic screams followed the accident"; "a frenzied look in his eye""
frenetically,"in a very agitated manner; as if possessed by an evil spirit"
frenetics,"excessively agitated; distraught with fear or other violent emotion; "frantic with anger and frustration"; "frenetic screams followed the accident"; "a frenzied look in his eye""
frenula
frenulum
frenum
frenums
frenzied,"affected with or marked by frenzy or mania uncontrolled by reason; "a frenzied attack"; "a frenzied mob"; "the prosecutor's frenzied denunciation of the accused"- H.W.Carter; "outbursts of drunken violence and manic activity and creativity"","excessively agitated; distraught with fear or other violent emotion; "frantic with anger and frustration"; "frenetic screams followed the accident"; "a frenzied look in his eye""
frenzies
frenzily
frenzy,"state of violent mental agitation"
frenzying
frequencies
frequency,"the number of occurrences within a given time period; "the frequency of modulation was 40 cycles per second"; "the frequency of his seizures increased as he grew older"","the ratio of the number of observations in a statistical category to the total number of observations","the number of observations in a given statistical category"
frequent,"do one's shopping at; do business with; be a customer or client of","be a regular or frequent visitor to a certain place; "She haunts the ballet"","coming at short intervals or habitually; "a frequent guest"; "frequent complaints"","frequently encountered; "a frequent (or common) error is using the transitive verb `lay' for the intransitive `lie'";"
frequented
frequenter,"a regular customer"
frequenters,"a regular customer"
frequentest
frequenting
frequently,"many times at short intervals; "we often met over a cup of coffee""
frequents,"do one's shopping at; do business with; be a customer or client of","be a regular or frequent visitor to a certain place; "She haunts the ballet"","coming at short intervals or habitually; "a frequent guest"; "frequent complaints"","frequently encountered; "a frequent (or common) error is using the transitive verb `lay' for the intransitive `lie'";"
frere
freres
fresco,"a mural done with watercolors on wet plaster","a durable method of painting on a wall by using watercolors on wet plaster","paint onto wet plaster on a wall"
frescoed
frescoer
frescoers
frescoes,"a mural done with watercolors on wet plaster","a durable method of painting on a wall by using watercolors on wet plaster"
frescoing
frescos,"a mural done with watercolors on wet plaster","a durable method of painting on a wall by using watercolors on wet plaster","paint onto wet plaster on a wall"
fresh,"recently made, produced, or harvested; "fresh bread"; "a fresh scent"; "fresh lettuce"","(of a cycle) beginning or occurring again; "a fresh start"; "fresh ideas"","imparting vitality and energy; "the bracing mountain air"","original and of a kind not seen before; "the computer produced a completely novel proof of a well-known theorem"","not canned or otherwise preserved; "fresh vegetables"","not containing or composed of salt water; "fresh water"","having recently calved and therefore able to give milk; "the cow is fresh"","with restored energy","not soured or preserved; "sweet milk"","free from impurities; "clean water"; "fresh air"","not yet used or soiled; "a fresh shirt"; "a fresh sheet of paper"; "an unused envelope"","improperly forward or bold; "don't be fresh with me"; "impertinent of a child to lecture a grownup"; "an impudent boy given to insulting strangers"; "Don't get wise with me!"","very recently; "they are newly married"; "newly raised objections"; "a newly arranged hairdo"; "grass new washed by the rain"; "a freshly cleaned floor"; "we are fresh out of tomatoes""
freshed
freshen,"make (to feel) fresh; "The cool water refreshed us"","become or make oneself fresh again; "She freshened up after the tennis game"","make fresh again"
freshened
freshening
freshens,"make (to feel) fresh; "The cool water refreshed us"","become or make oneself fresh again; "She freshened up after the tennis game"","make fresh again"
fresher,"a first-year undergraduate"
freshes
freshest
freshet,"the occurrence of a water flow resulting from sudden rain or melting snow"
freshets,"the occurrence of a water flow resulting from sudden rain or melting snow"
freshing
