wha
whines,"a complaint uttered in a plaintive whining way","move with a whining sound; "The bullets were whining past us"","talk in a tearful manner","make a high-pitched, screeching noise; "The door creaked when I opened it slowly"; "My car engine makes a whining noise"","complain whiningly"
whiney,"habitually complaining; "a whiny child""
whinier
whiniest
whining
whinnied,"make a characteristic sound, of a horse"
whinnier
whinnies
whinniest
whinny,"the characteristic sounds made by a horse","make a characteristic sound, of a horse"
whinnying
whins,"very spiny and dense evergreen shrub with fragrant golden-yellow flowers; common throughout western Europe","small Eurasian shrub having clusters of yellow flowers that yield a dye; common as a weed in Britain and the United States; sometimes grown as an ornamental","any of various hard colored rocks (especially rocks consisting of chert or basalt)"
whiny,"habitually complaining; "a whiny child""
whip,"an instrument with a handle and a flexible lash that is used for whipping","a legislator appointed by the party to enforce discipline","a dessert made of sugar and stiffly beaten egg whites or cream and usually flavored with fruit","(golf) the flexibility of the shaft of a golf club","a quick blow delivered with a whip or whiplike object; "the whip raised a red welt"","beat severely with a whip or rod; "The teacher often flogged the students"; "The children were severely trounced"","defeat thoroughly; "He mopped up the floor with his opponents"","thrash about flexibly in the manner of a whiplash; "The tall grass whipped in the wind"","strike as if by whipping; "The curtain whipped her face"","whip with or as if with a wire whisk; "whisk the eggs"","subject to harsh criticism; "The Senator blistered the administration in his speech on Friday"; "the professor scaled the students"; "your invectives scorched the community""
whipcord,"closely twisted hard cord used for the lashes of whips","a strong worsted or cotton fabric with a diagonal rib"
whipcords,"closely twisted hard cord used for the lashes of whips","a strong worsted or cotton fabric with a diagonal rib"
whiplash,"an injury to the neck (the cervical vertebrae) resulting from rapid acceleration or deceleration (as in an automobile accident)","a quick blow delivered with a whip or whiplike object; "the whip raised a red welt""
whiplashes
whiplike,"having or resembling a lash or whip (as does a flagellum)"
whipped,"beat severely with a whip or rod; "The teacher often flogged the students"; "The children were severely trounced"","defeat thoroughly; "He mopped up the floor with his opponents"","thrash about flexibly in the manner of a whiplash; "The tall grass whipped in the wind"","strike as if by whipping; "The curtain whipped her face"","whip with or as if with a wire whisk; "whisk the eggs"","subject to harsh criticism; "The Senator blistered the administration in his speech on Friday"; "the professor scaled the students"; "your invectives scorched the community""
whipper,"a person who administers punishment by wielding a switch or whip"
whippers,"a person who administers punishment by wielding a switch or whip"
whippersnapper,"someone who is unimportant but cheeky and presumptuous"
whippersnappers,"someone who is unimportant but cheeky and presumptuous"
whippet,"small slender dog of greyhound type developed in England"
whippets,"small slender dog of greyhound type developed in England"
whippier
whippiest
whipping,"beating with a whip or strap or rope as a form of punishment","a sound defeat","a sewing stitch passing over an edge diagonally","the act of overcoming or outdoing","beat severely with a whip or rod; "The teacher often flogged the students"; "The children were severely trounced"","defeat thoroughly; "He mopped up the floor with his opponents"","thrash about flexibly in the manner of a whiplash; "The tall grass whipped in the wind"","strike as if by whipping; "The curtain whipped her face"","whip with or as if with a wire whisk; "whisk the eggs"","subject to harsh criticism; "The Senator blistered the administration in his speech on Friday"; "the professor scaled the students"; "your invectives scorched the community"","smart and fashionable; "snappy conversation"; "some sharp and whipping lines""
whippings,"beating with a whip or strap or rope as a form of punishment","a sound defeat","a sewing stitch passing over an edge diagonally","the act of overcoming or outdoing","beat severely with a whip or rod; "The teacher often flogged the students"; "The children were severely trounced"","defeat thoroughly; "He mopped up the floor with his opponents"","thrash about flexibly in the manner of a whiplash; "The tall grass whipped in the wind"","strike as if by whipping; "The curtain whipped her face"","whip with or as if with a wire whisk; "whisk the eggs"","subject to harsh criticism; "The Senator blistered the administration in his speech on Friday"; "the professor scaled the students"; "your invectives scorched the community"","smart and fashionable; "snappy conversation"; "some sharp and whipping lines""
whippoorwill,"American nocturnal goatsucker with grey-and-white plumage"
whippoorwills,"American nocturnal goatsucker with grey-and-white plumage"
whippy,"bending and snapping back readily without breaking"
whipray
whiprays
whips,"an instrument with a handle and a flexible lash that is used for whipping","a legislator appointed by the party to enforce discipline","a dessert made of sugar and stiffly beaten egg whites or cream and usually flavored with fruit","(golf) the flexibility of the shaft of a golf club","a quick blow delivered with a whip or whiplike object; "the whip raised a red welt"","beat severely with a whip or rod; "The teacher often flogged the students"; "The children were severely trounced"","defeat thoroughly; "He mopped up the floor with his opponents"","thrash about flexibly in the manner of a whiplash; "The tall grass whipped in the wind"","strike as if by whipping; "The curtain whipped her face"","whip with or as if with a wire whisk; "whisk the eggs"","subject to harsh criticism; "The Senator blistered the administration in his speech on Friday"; "the professor scaled the students"; "your invectives scorched the community""
whipsaw,"a saw with handles at both ends; intended for use by two people","victimize, especially in gambling or negotiations","saw with a whipsaw"
whipsawed
whipsawing
whipsawn,"victimize, especially in gambling or negotiations","saw with a whipsaw"
whipsaws,"a saw with handles at both ends; intended for use by two people","victimize, especially in gambling or negotiations","saw with a whipsaw"
whipt
whiptail,"any of numerous very agile and alert New World lizards"
whiptails,"any of numerous very agile and alert New World lizards"
whipworm
whipworms
whir,"sound of something in rapid motion; "whir of a bird's wings"; "the whir of the propellers"","make a soft swishing sound; "the motor whirred"; "the car engine purred""
whirl,"confused movement; "he was caught up in a whirl of work"; "a commotion of people fought for the exits"","the shape of something rotating rapidly","a usually brief attempt; "he took a crack at it"; "I gave it a whirl"","the act of rotating rapidly; "he gave the crank a spin"; "it broke off after much twisting"","turn in a twisting or spinning motion; "The leaves swirled in the autumn wind"","cause to spin; "spin a coin"","flow in a circular current, of liquids","revolve quickly and repeatedly around one's own axis; "The dervishes whirl around and around without getting dizzy"","fly around; "The clothes tumbled in the dryer"; "rising smoke whirled in the air""
whirled
whirler,"a dervish whose actions include ecstatic dancing and whirling","a revolving mechanism"
whirlers,"a dervish whose actions include ecstatic dancing and whirling","a revolving mechanism"
whirlier
whirlies
whirliest
whirling,"the act of rotating in a circle or spiral"
whirlpool,"a powerful circular current of water (usually the result of conflicting tides)","flow in a circular current, of liquids"
whirlpools,"a powerful circular current of water (usually the result of conflicting tides)","flow in a circular current, of liquids"
whirls,"confused movement; "he was caught up in a whirl of work"; "a commotion of people fought for the exits"","the shape of something rotating rapidly","a usually brief attempt; "he took a crack at it"; "I gave it a whirl"","the act of rotating rapidly; "he gave the crank a spin"; "it broke off after much twisting"","turn in a twisting or spinning motion; "The leaves swirled in the autumn wind"","cause to spin; "spin a coin"","flow in a circular current, of liquids","revolve quickly and repeatedly around one's own axis; "The dervishes whirl around and around without getting dizzy"","fly around; "The clothes tumbled in the dryer"; "rising smoke whirled in the air""
whirlwind,"a more or less vertical column of air whirling around itself as it moves over the surface of the Earth"
whirlwinds,"a more or less vertical column of air whirling around itself as it moves over the surface of the Earth"
whirly
whirr,"sound of something in rapid motion; "whir of a bird's wings"; "the whir of the propellers"","make a soft swishing sound; "the motor whirred"; "the car engine purred"","make a vibrant sound, as of some birds"
whirred,"make a soft swishing sound; "the motor whirred"; "the car engine purred""
whirried
whirries
whirring,"sound of something in rapid motion; "whir of a bird's wings"; "the whir of the propellers"","make a soft swishing sound; "the motor whirred"; "the car engine purred"","like the sound of rapidly vibrating wings"
whirrs,"sound of something in rapid motion; "whir of a bird's wings"; "the whir of the propellers"","make a soft swishing sound; "the motor whirred"; "the car engine purred"","make a vibrant sound, as of some birds"
whirry
whirrying
whirs,"sound of something in rapid motion; "whir of a bird's wings"; "the whir of the propellers"","make a soft swishing sound; "the motor whirred"; "the car engine purred""
whish,"make a sibilant sound","move with a whishing sound; "The car whished past her""
whished
whishes
whishing
whisht
whishted
whishting
whishts
whisk,"a mixer incorporating a coil of wires; used for whipping eggs or cream","a small short-handled broom used to brush clothes","move somewhere quickly; "The President was whisked away in his limo"","move quickly and nimbly; "He whisked into the house"","brush or wipe off lightly","whip with or as if with a wire whisk; "whisk the eggs""
whisked
whisker,"a very small distance or space; "they escaped by a hair's-breadth"; "they lost the election by a whisker"","a long stiff hair growing from the snout or brow of most mammals as e.g. a cat","furnish with whiskers; "a whiskered jersey""
whiskered,"having hair on the cheeks and chin"
whiskers,"the hair growing on the lower part of a man's face","furnish with whiskers; "a whiskered jersey""
whiskery,"having hair on the cheeks and chin"
whiskey,"a liquor made from fermented mash of grain"
whiskeys,"a liquor made from fermented mash of grain"
whiskies
whisking
whisks,"a mixer incorporating a coil of wires; used for whipping eggs or cream","a small short-handled broom used to brush clothes","move somewhere quickly; "The President was whisked away in his limo"","move quickly and nimbly; "He whisked into the house"","brush or wipe off lightly","whip with or as if with a wire whisk; "whisk the eggs""
whisky,"a liquor made from fermented mash of grain"
whisper,"speaking softly without vibration of the vocal cords","a light noise, like the noise of silk clothing or leaves blowing in the wind","speak softly; in a low voice"
whispered,"spoken in soft hushed tones without vibrations of the vocal cords; "a long whispered conversation""
whispering,"a light noise, like the noise of silk clothing or leaves blowing in the wind","speaking softly without vibration of the vocal cords","making a low continuous indistinct sound; "like murmuring waves"; "susurrant voices""
whispers,"speaking softly without vibration of the vocal cords","a light noise, like the noise of silk clothing or leaves blowing in the wind","speak softly; in a low voice"
whispery
whist,"a card game for four players who form two partnerships; a pack of 52 cards is dealt and each side scores one point for each trick it takes in excess of six"
whisted
whisting
whistle,"the sound made by something moving rapidly or by steam coming out of a small aperture","the act of signalling (e.g., summoning) by whistling or blowing a whistle; "the whistle signalled the end of the game"","a small wind instrument that produces a whistling sound by blowing into it","acoustic device that forces air or steam against an edge or into a cavity and so produces a loud shrill sound","an inexpensive fipple flute","make whistling sounds; "He lay there, snoring and whistling"","move with, or as with, a whistling sound; "The bullets whistled past him"","utter or express by whistling; "She whistled a melody"","move, send, or bring as if by whistling; "Her optimism whistled away these worries"","make a whining, ringing, or whistling sound; "the kettle was singing"; "the bullet sang past his ear"","give a signal by whistling; "She whistled for her maid""
whistled
whistler,"United States painter (1834-1903)","someone who makes a loud high sound","large North American mountain marmot","large-headed swift-flying diving duck of Arctic regions","Australian and southeastern Asian birds with a melodious whistling call"
whistlers,"United States painter (1834-1903)","someone who makes a loud high sound","large North American mountain marmot","large-headed swift-flying diving duck of Arctic regions","Australian and southeastern Asian birds with a melodious whistling call"
whistles,"the sound made by something moving rapidly or by steam coming out of a small aperture","the act of signalling (e.g., summoning) by whistling or blowing a whistle; "the whistle signalled the end of the game"","a small wind instrument that produces a whistling sound by blowing into it","acoustic device that forces air or steam against an edge or into a cavity and so produces a loud shrill sound","an inexpensive fipple flute","make whistling sounds; "He lay there, snoring and whistling"","move with, or as with, a whistling sound; "The bullets whistled past him"","utter or express by whistling; "She whistled a melody"","move, send, or bring as if by whistling; "Her optimism whistled away these worries"","make a whining, ringing, or whistling sound; "the kettle was singing"; "the bullet sang past his ear"","give a signal by whistling; "She whistled for her maid""
whistling,"the sound made by something moving rapidly or by steam coming out of a small aperture","the act of whistling a tune; "his cheerful whistling indicated that he enjoyed his work"","the act of signalling (e.g., summoning) by whistling or blowing a whistle; "the whistle signalled the end of the game""
whists,"a card game for four players who form two partnerships; a pack of 52 cards is dealt and each side scores one point for each trick it takes in excess of six"
whit,"a tiny or scarcely detectable amount"
white,"a member of the Caucasoid race","the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)","United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921)","Australian writer (1912-1990)","United States political journalist (1915-1986)","United States architect (1853-1906)","United States writer noted for his humorous essays (1899-1985)","United States educator who in 1865 (with Ezra Cornell) founded Cornell University and served as its first president (1832-1918)","a tributary of the Mississippi River that flows southeastward through northern Arkansas and southern Missouri","the white part of an egg; the nutritive and protective gelatinous substance surrounding the yolk consisting mainly of albumin dissolved in water; "she separated the whites from the yolks of several eggs"","(board games) the lighter pieces","(usually in the plural) trousers made of flannel or gabardine or tweed or white cloth","turn white; "This detergent will whiten your laundry"","being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light; "as white as fresh snow"; "a bride's white dress"","of or belonging to a racial group having light skin coloration; "voting patterns within the white population"","free from moral blemish or impurity; unsullied; "in shining white armor"","marked by the presence of snow; "a white Christmas"; "the white hills of a northern winter"","restricted to whites only; "under segregation there were even white restrooms and white drinking fountains"; "a lily-white movement which would expel Negroes from the organization"","glowing white with heat; "white flames"; "a white-hot center of the fire"","benevolent; without malicious intent; "that's white of you"","(of a surface) not written or printed on; "blank pages"; "fill in the blank spaces"; "a clean page"; "wide white margins"","(of coffee) having cream or milk added","(of hair) having lost its color; "the white hairs of old age"","anemic looking from illness or emotion; "a face turned ashen"; "the invalid's blanched cheeks"; "tried to speak with bloodless lips"; "a face livid with shock"; "lips...livid with the hue of death"- Mary W. Shelley; "lips white with terror"; "a face white with rage"","of summer nights in northern latitudes where the sun barely sets; "white nights""
whitebait,"minnows or other small fresh- or saltwater fish (especially herring); usually cooked whole","the edible young of especially herrings and sprats and smelts"
whitebaits,"minnows or other small fresh- or saltwater fish (especially herring); usually cooked whole","the edible young of especially herrings and sprats and smelts"
whitecap,"a wave that is blown by the wind so its crest is broken and appears white"
whitecaps,"a wave that is blown by the wind so its crest is broken and appears white"
whited
whitefish,"any market fish--edible saltwater fish or shellfish--except herring","flesh of salmon-like or trout-like cold-water fish of cold lakes of the northern hemisphere","silvery herring-like freshwater food fish of cold lakes of the northern hemisphere"
whitefishes,"any market fish--edible saltwater fish or shellfish--except herring","flesh of salmon-like or trout-like cold-water fish of cold lakes of the northern hemisphere","silvery herring-like freshwater food fish of cold lakes of the northern hemisphere"
whiteflies
whitefly,"minute insect that feeds on plant juices; related to scale insects"
whitely
whiten,"turn white; "This detergent will whiten your laundry""
whitened,"(of hair) having lost its color; "the white hairs of old age""
whitener,"an agent that makes things white or colorless"
whiteners,"an agent that makes things white or colorless"
whiteness,"the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)","the state of being unsullied by sin or moral wrong; lacking a knowledge of evil","lightness or fairness of complexion; "only the whiteness of her cheeks gave any indication of the stress from which she was suffering""
whitenesses
whitening,"changing to a lighter color"
whitens,"turn white; "This detergent will whiten your laundry""
whiteout,"an arctic atmospheric condition with clouds over snow produce a uniform whiteness and objects are difficult to see; occurs when the light reflected off the snow equals the light coming through the clouds","cover up with a liquid correction fluid; "white-out the typo"","lose daylight visibility in heavy fog, snow, or rain"
