ilea
ileac
ileal
ileitides
ileitis,"inflammation of the ileum"
illegitimately,"in a manner disapproved or not allowed by custom; "He acted illegitimately when he increased the rent fourfold"","of biological parents not married to each other; "this child was born illegitimately""
illicit,"contrary to accepted morality (especially sexual morality) or convention; "an illicit association with his secretary"","contrary to or forbidden by law; "an illegitimate seizure of power"; "illicit trade"; "an outlaw strike"; "unlawful measures""
illicitly,"in a manner disapproved or not allowed by custom; "He acted illegitimately when he increased the rent fourfold"","in an illegal manner; "they dumped the waste illegally""
illimitable,"without limits in extent or size or quantity; "limitless vastness of our solar system""
illimitably
illinium
illiniums
illiquid
illite
illiteracies
illiteracy,"ignorance resulting from not reading","an inability to read"
illiterate,"a person unable to read","not able to read or write","uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field; "she is ignorant of quantum mechanics"; "he is musically illiterate"","lacking culture, especially in language and literature"
illiterates,"a person unable to read","not able to read or write","uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field; "she is ignorant of quantum mechanics"; "he is musically illiterate"","lacking culture, especially in language and literature"
illites
illitic
illnaturedly
illness,"impairment of normal physiological function affecting part or all of an organism"
illnesses
illogic,"invalid or incorrect reasoning"
illogical,"lacking in correct logical relation","lacking orderly continuity; "a confused set of instructions"; "a confused dream about the end of the world"; "disconnected fragments of a story"; "scattered thoughts""
illogically,"in an illogical manner; "she acted illogically under the pressure""
illogics,"invalid or incorrect reasoning"
ills,"an often persistent bodily disorder or disease; a cause for complaining","affected by an impairment of normal physical or mental function; "ill from the monotony of his suffering"","resulting in suffering or adversity; "ill effects"; "it's an ill wind that blows no good"","distressing; "ill manners"; "of ill repute"","indicating hostility or enmity; "you certainly did me an ill turn"; "ill feelings"; "ill will"","presaging ill fortune; "ill omens"; "ill predictions"; "my words with inauspicious thunderings shook heaven"- P.B.Shelley; "a dead and ominous silence prevailed"; "a by-election at a time highly unpropitious for the Government"","(`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner; not well; "he was ill prepared"; "it ill befits a man to betray old friends"; "the car runs badly"; "he performed badly on the exam"; "the team played poorly"; "ill-fitting clothes"; "an ill-conceived plan"","unfavorably or with disapproval; "tried not to speak ill of the dead"; "thought badly of him for his lack of concern"","with difficulty or inconvenience; scarcely or hardly; "we can ill afford to buy a new car just now""
illume,"make lighter or brighter; "This lamp lightens the room a bit""
illumed
illumes,"make lighter or brighter; "This lamp lightens the room a bit""
illuminate,"make lighter or brighter; "This lamp lightens the room a bit"","make free from confusion or ambiguity; make clear; "Could you clarify these remarks?"; "Clear up the question of who is at fault"","add embellishments and paintings to (medieval manuscripts)"
illuminated,"provided with artificial light; "illuminated advertising"; "looked up at the lighted windows"; "a brightly lit room"; "a well-lighted stairwell""
illuminates,"make lighter or brighter; "This lamp lightens the room a bit"","make free from confusion or ambiguity; make clear; "Could you clarify these remarks?"; "Clear up the question of who is at fault"","add embellishments and paintings to (medieval manuscripts)"
illuminating,"tending to increase knowledge or dissipate ignorance; "an enlightening glimpse of government in action"; "an illuminating lecture""
illuminatingly
illumination,"a condition of spiritual awareness; divine illumination; "follow God's light"","the degree of visibility of your environment","an interpretation that removes obstacles to understanding; "the professor's clarification helped her to understand the textbook"","the luminous flux incident on a unit area","painting or drawing included in a book (especially in illuminated medieval manuscripts)"
illuminations,"a condition of spiritual awareness; divine illumination; "follow God's light"","the degree of visibility of your environment","an interpretation that removes obstacles to understanding; "the professor's clarification helped her to understand the textbook"","the luminous flux incident on a unit area","painting or drawing included in a book (especially in illuminated medieval manuscripts)"
illumine,"make lighter or brighter; "This lamp lightens the room a bit""
illumined
illumines,"make lighter or brighter; "This lamp lightens the room a bit""
illuming
illumining
illusion,"an erroneous mental representation","something many people believe that is false; "they have the illusion that I am very wealthy"","the act of deluding; deception by creating illusory ideas","an illusory feat; considered magical by naive observers"
illusions,"an erroneous mental representation","something many people believe that is false; "they have the illusion that I am very wealthy"","the act of deluding; deception by creating illusory ideas","an illusory feat; considered magical by naive observers"
illusive,"based on or having the nature of an illusion; "illusive hopes of finding a better job"; "Secret activities offer presidents the alluring but often illusory promise that they can achieve foreign policy goals without the bothersome debate and open decision that are staples of democracy""
illusory,"based on or having the nature of an illusion; "illusive hopes of finding a better job"; "Secret activities offer presidents the alluring but often illusory promise that they can achieve foreign policy goals without the bothersome debate and open decision that are staples of democracy""
illustrate,"clarify by giving an example of","depict with an illustration","supply with illustrations; "illustrate a book with drawings""
illustrated
illustrates,"clarify by giving an example of","depict with an illustration","supply with illustrations; "illustrate a book with drawings""
illustrating
illustration,"artwork that helps make something clear or attractive","showing by example","an item of information that is typical of a class or group; "this patient provides a typical example of the syndrome"; "there is an example on page 10"","a visual representation (a picture or diagram) that is used make some subject more pleasing or easier to understand"
illustrations,"artwork that helps make something clear or attractive","showing by example","an item of information that is typical of a class or group; "this patient provides a typical example of the syndrome"; "there is an example on page 10"","a visual representation (a picture or diagram) that is used make some subject more pleasing or easier to understand"
illustrative,"clarifying by use of examples","serving to demonstrate"
illustratively
illustrator,"an artist who makes illustrations (for books or magazines or advertisements etc.)"
illustrators,"an artist who makes illustrations (for books or magazines or advertisements etc.)"
illustrious,"widely known and esteemed; "a famous actor"; "a celebrated musician"; "a famed scientist"; "an illustrious judge"; "a notable historian"; "a renowned painter"","having or conferring glory; "an illustrious achievement""
illustriousness,"the property possessed by something or someone of outstanding importance or eminence"
illustriousnesses
illuvia
illuvial
illuvium
illuviums
illy
ilmenite,"a weakly magnetic black mineral found in metamorphic and plutonic rocks; an iron titanium oxide in crystalline form; a source of titanium"
ilmenites,"a weakly magnetic black mineral found in metamorphic and plutonic rocks; an iron titanium oxide in crystalline form; a source of titanium"
