chabouk
chain,"a series of things depending on each other as if linked together; "the chain of command"; "a complicated concatenation of circumstances"","(chemistry) a series of linked atoms (generally in an organic molecule)","a series of (usually metal) rings or links fitted into one another to make a flexible ligament","(business) a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership","anything that acts as a restraint","a unit of length","British biochemist (born in Germany) who isolated and purified penicillin, which had been discovered in 1928 by Sir Alexander Fleming (1906-1979)","a series of hills or mountains; "the valley was between two ranges of hills"; "the plains lay just beyond the mountain range"","a linked or connected series of objects; "a chain of daisies"","a necklace made by a stringing objects together; "a string of beads"; "a strand of pearls";","connect or arrange into a chain by linking","fasten or secure with chains; "Chain the chairs together""
chaine
chained,"bound with chains; "enchained demons strained in anger to gnaw on his bones"; "prisoners in chains""
chaines
chaining
chainman
chainmen
chains,"metal shackles; for hands or legs","connect or arrange into a chain by linking","fasten or secure with chains; "Chain the chairs together""
chair,"a seat for one person, with a support for the back; "he put his coat over the back of the chair and sat down"","the position of professor; "he was awarded an endowed chair in economics"","the officer who presides at the meetings of an organization; "address your remarks to the chairperson"","an instrument of execution by electrocution; resembles an ordinary seat for one person; "the murderer was sentenced to die in the chair"","a particular seat in an orchestra; "he is second chair violin"","act or preside as chair, as of an academic department in a university; "She chaired the department for many years"","preside over; "John moderated the discussion""
chaired
chairing
chairman,"the officer who presides at the meetings of an organization; "address your remarks to the chairperson"","act or preside as chair, as of an academic department in a university; "She chaired the department for many years""
chairmaned
chairmaning
chairmanned
chairmanning
chairmans,"the officer who presides at the meetings of an organization; "address your remarks to the chairperson"","act or preside as chair, as of an academic department in a university; "She chaired the department for many years""
chairmanship,"the position of chairman"
chairmanships,"the position of chairman"
chairmen
chairs,"a seat for one person, with a support for the back; "he put his coat over the back of the chair and sat down"","the position of professor; "he was awarded an endowed chair in economics"","the officer who presides at the meetings of an organization; "address your remarks to the chairperson"","an instrument of execution by electrocution; resembles an ordinary seat for one person; "the murderer was sentenced to die in the chair"","a particular seat in an orchestra; "he is second chair violin"","act or preside as chair, as of an academic department in a university; "She chaired the department for many years"","preside over; "John moderated the discussion""
chairwoman,"the officer who presides at the meetings of an organization; "address your remarks to the chairperson""
chairwomen
chaise,"a long chair; for reclining","a carriage consisting of two wheels and a calash top; drawn by a single horse"
chaises,"a long chair; for reclining","a carriage consisting of two wheels and a calash top; drawn by a single horse"
chalah
chalahs
chalaza,"basal part of a plant ovule opposite the micropyle; where integument and nucellus are joined","one of two spiral bands of tissue connecting the egg yolk to the enclosing membrane at either end of the shell"
chalazae,"basal part of a plant ovule opposite the micropyle; where integument and nucellus are joined","one of two spiral bands of tissue connecting the egg yolk to the enclosing membrane at either end of the shell"
chalazal
chalazas,"basal part of a plant ovule opposite the micropyle; where integument and nucellus are joined","one of two spiral bands of tissue connecting the egg yolk to the enclosing membrane at either end of the shell"
chalcid,"any of various tiny insects whose larvae are parasites on eggs and larvae of other insects; many are beneficial in destroying injurious insects"
chalcids,"any of various tiny insects whose larvae are parasites on eggs and larvae of other insects; many are beneficial in destroying injurious insects"
chaldron,"a British imperial capacity measure (liquid or dry) equal to 36 bushels"
chaldrons,"a British imperial capacity measure (liquid or dry) equal to 36 bushels"
chaleh
chalehs
chalet,"a Swiss house with a sloping roof and wide eaves or a house built in this style"
chalets,"a Swiss house with a sloping roof and wide eaves or a house built in this style"
chalice,"a bowl-shaped drinking vessel; especially the Eucharistic cup"
chaliced
chalices,"a bowl-shaped drinking vessel; especially the Eucharistic cup"
chalk,"a soft whitish calcite","a pure flat white with little reflectance","an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant","a piece of calcite or a similar substance, usually in the shape of a crayon, that is used to write or draw on blackboards or other flat surfaces","write, draw, or trace with chalk"
chalkboard,"sheet of slate; for writing with chalk"
chalkboards,"sheet of slate; for writing with chalk"
chalked
chalkier
chalkiest
chalking
chalks,"a soft whitish calcite","a pure flat white with little reflectance","an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant","a piece of calcite or a similar substance, usually in the shape of a crayon, that is used to write or draw on blackboards or other flat surfaces","write, draw, or trace with chalk"
chalky,"composed of or containing or resembling calcium carbonate or calcite or chalk","of something having the color of chalk; "she turned chalky white""
challah,"(Judaism) a loaf of white bread containing eggs and leavened with yeast; often formed into braided loaves and glazed with eggs before baking"
challahs,"(Judaism) a loaf of white bread containing eggs and leavened with yeast; often formed into braided loaves and glazed with eggs before baking"
challenge,"a demanding or stimulating situation; "they reacted irrationally to the challenge of Russian power"","a call to engage in a contest or fight","questioning a statement and demanding an explanation; "his challenge of the assumption that Japan is still our enemy"","a formal objection to the selection of a particular person as a juror","a demand by a sentry for a password or identification","take exception to; "She challenged his claims"","issue a challenge to; "Fischer challenged Spassky to a match"","ask for identification; "The illegal immigrant was challenged by the border guard"","raise a formal objection in a court of law"
challenged
challenger,"the contestant you hope to defeat; "he had respect for his rivals"; "he wanted to know what the competition was doing""
challengers,"the contestant you hope to defeat; "he had respect for his rivals"; "he wanted to know what the competition was doing""
challenges,"a demanding or stimulating situation; "they reacted irrationally to the challenge of Russian power"","a call to engage in a contest or fight","questioning a statement and demanding an explanation; "his challenge of the assumption that Japan is still our enemy"","a formal objection to the selection of a particular person as a juror","a demand by a sentry for a password or identification","take exception to; "She challenged his claims"","issue a challenge to; "Fischer challenged Spassky to a match"","ask for identification; "The illegal immigrant was challenged by the border guard"","raise a formal objection in a court of law"
challenging,"requiring full use of your abilities or resources; "ambitious schedule"; "performed the most challenging task without a mistake"","stimulating interest or thought; "a challenging hypothesis"; "a thought-provoking book"","disturbingly provocative; "an intriguing smile""
challie
challies
challis,"a soft lightweight fabric (usually printed)"
challises
challot
challoth,"(Judaism) a loaf of white bread containing eggs and leavened with yeast; often formed into braided loaves and glazed with eggs before baking"
chally
chalone
chalones
chalot
chaloth
chalutz
chalutzim
cham
chamade
chamades
chamber,"a natural or artificial enclosed space","an enclosed volume in the body; "the chambers of his heart were healthy"","a room where a judge transacts business","a deliberative or legislative or administrative or judicial assembly; "the upper chamber is the senate"","a room used primarily for sleeping","place in a chamber"
chambered,"having compartmental chambers; "a spiral chambered seashell""
chambering
chambermaid,"a maid who is employed to clean and care for bedrooms (now primarily in hotels)"
chambermaids,"a maid who is employed to clean and care for bedrooms (now primarily in hotels)"
chambers,"English architect (1723-1796)","place in a chamber"
chambray,"a lightweight fabric woven with white threads across a colored warp"
chambrays,"a lightweight fabric woven with white threads across a colored warp"
chameleon,"a changeable or inconstant person","a faint constellation in the polar region of the southern hemisphere near Apus and Mensa","lizard of Africa and Madagascar able to change skin color and having a projectile tongue"
chameleons,"a changeable or inconstant person","a faint constellation in the polar region of the southern hemisphere near Apus and Mensa","lizard of Africa and Madagascar able to change skin color and having a projectile tongue"
chamfer,"two surfaces meeting at an angle different from 90 degrees","cut a bevel on; shape to a bevel; "bevel the surface"","cut a furrow into a columns"
chamfered
chamfering
chamfers,"two surfaces meeting at an angle different from 90 degrees","cut a bevel on; shape to a bevel; "bevel the surface"","cut a furrow into a columns"
chamfron,"medieval plate armor to protect a horse's head"
chamfrons,"medieval plate armor to protect a horse's head"
chamise
chamises
chamiso
chamisos
chammied
chammies
chammy,"a soft suede leather formerly from the skin of the chamois antelope but now from sheepskin"
chammying
chamois,"a soft suede leather formerly from the skin of the chamois antelope but now from sheepskin","hoofed mammal of mountains of Eurasia having upright horns with backward-hooked tips"
chamoised
chamoises
chamoising
chamoix
champ,"someone who has won first place in a competition","chafe at the bit, like horses","chew noisily; "The boy chomped his sandwich""
champac
champacs
champagne,"a white sparkling wine either produced in Champagne or resembling that produced there","a region of northeastern France"
champagnes,"a white sparkling wine either produced in Champagne or resembling that produced there","a region of northeastern France"
champak
champaks
champed
champer
champers
champing
champion,"someone who has won first place in a competition","someone who fights for a cause","a person who backs a politician or a team etc.; "all their supporters came out for the game"; "they are friends of the library"","someone who is dazzlingly skilled in any field","protect or fight for as a champion","holding first place in a contest; "a champion show dog"; "a prizewinning wine""
championed
championing
champions,"someone who has won first place in a competition","someone who fights for a cause","a person who backs a politician or a team etc.; "all their supporters came out for the game"; "they are friends of the library"","someone who is dazzlingly skilled in any field","protect or fight for as a champion","holding first place in a contest; "a champion show dog"; "a prizewinning wine""
championship,"the status of being a champion; "he held the title for two years"","a competition at which a champion is chosen","the act of providing approval and support; "his vigorous backing of the conservatives got him in trouble with progressives""
championships,"the status of being a champion; "he held the title for two years"","a competition at which a champion is chosen","the act of providing approval and support; "his vigorous backing of the conservatives got him in trouble with progressives""
champs,"someone who has won first place in a competition","chafe at the bit, like horses","chew noisily; "The boy chomped his sandwich""
champy
chams
chance,"a possibility due to a favorable combination of circumstances; "the holiday gave us the opportunity to visit Washington"; "now is your chance"","an unknown and unpredictable phenomenon that causes an event to result one way rather than another; "bad luck caused his downfall"; "we ran into each other by pure chance"","a risk involving danger; "you take a chance when you let her drive"","a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible; "the probability that an unbiased coin will fall with the head up is 0.5"","the possibility of future success; "his prospects as a writer are excellent"","be the case by chance; "I chanced to meet my old friend in the street"","take a risk in the hope of a favorable outcome; "When you buy these stocks you are gambling"","come upon, as if by accident; meet with; "We find this idea in Plato"; "I happened upon the most wonderful bakery not very far from here"; "She chanced upon an interesting book in the bookstore the other day"","occurring or appearing or singled out by chance; "seek help from casual passers-by"; "a casual meeting"; "a chance occurrence""
chanced
chancel,"area around the altar of a church for the clergy and choir; often enclosed by a lattice or railing"
chancelleries
chancellery,"a government building housing the office of a chancellor"
chancellor,"the British cabinet minister responsible for finance","the person who is head of state (in several countries)","the honorary or titular head of a university"
chancellories
chancellors,"the British cabinet minister responsible for finance","the person who is head of state (in several countries)","the honorary or titular head of a university"
chancellorship,"the office of chancellor"
chancellorships,"the office of chancellor"
chancellory
chancels,"area around the altar of a church for the clergy and choir; often enclosed by a lattice or railing"
chanceries
chancery,"a court with jurisdiction in equity","an office of archives for public or ecclesiastic records; a court of public records"
chances,"a possibility due to a favorable combination of circumstances; "the holiday gave us the opportunity to visit Washington"; "now is your chance"","an unknown and unpredictable phenomenon that causes an event to result one way rather than another; "bad luck caused his downfall"; "we ran into each other by pure chance"","a risk involving danger; "you take a chance when you let her drive"","a measure of how likely it is that some event will occur; a number expressing the ratio of favorable cases to the whole number of cases possible; "the probability that an unbiased coin will fall with the head up is 0.5"","the possibility of future success; "his prospects as a writer are excellent"","be the case by chance; "I chanced to meet my old friend in the street"","take a risk in the hope of a favorable outcome; "When you buy these stocks you are gambling"","come upon, as if by accident; meet with; "We find this idea in Plato"; "I happened upon the most wonderful bakery not very far from here"; "She chanced upon an interesting book in the bookstore the other day"","occurring or appearing or singled out by chance; "seek help from casual passers-by"; "a casual meeting"; "a chance occurrence""
chancier,"of uncertain outcome; especially fraught with risk; "an extremely dicey future on a brave new world of liquid nitrogen, tar, and smog"- New Yorker","subject to accident or chance or change; "a chancy appeal at best"; "getting that job was definitely fluky"; "a fluky wind"; "an iffy proposition""
chanciest,"of uncertain outcome; especially fraught with risk; "an extremely dicey future on a brave new world of liquid nitrogen, tar, and smog"- New Yorker","subject to accident or chance or change; "a chancy appeal at best"; "getting that job was definitely fluky"; "a fluky wind"; "an iffy proposition""
chancily
chancing
chancre,"a small hard painless nodule at the site of entry of a pathogen (as syphilis)"
chancres,"a small hard painless nodule at the site of entry of a pathogen (as syphilis)"
chancy,"of uncertain outcome; especially fraught with risk; "an extremely dicey future on a brave new world of liquid nitrogen, tar, and smog"- New Yorker","subject to accident or chance or change; "a chancy appeal at best"; "getting that job was definitely fluky"; "a fluky wind"; "an iffy proposition""
chandelier,"branched lighting fixture; often ornate; hangs from the ceiling"
chandeliers,"branched lighting fixture; often ornate; hangs from the ceiling"
chandler,"United States writer of detective thrillers featuring the character of Philip Marlowe (1888-1959)","a retail dealer in provisions and supplies","a maker (and seller) of candles and soap and oils and paints"
chandlers,"United States writer of detective thrillers featuring the character of Philip Marlowe (1888-1959)","a retail dealer in provisions and supplies","a maker (and seller) of candles and soap and oils and paints"
chanfron,"medieval plate armor to protect a horse's head"
chanfrons,"medieval plate armor to protect a horse's head"
chang,"the longest river of Asia; flows eastward from Tibet into the East China Sea near Shanghai"
change,"an event that occurs when something passes from one state or phase to another; "the change was intended to increase sales"; "this storm is certainly a change for the worse"; "the neighborhood had undergone few modifications since his last visit years ago"","a relational difference between states; especially between states before and after some event; "he attributed the change to their marriage"","the action of changing something; "the change of government had no impact on the economy"; "his change on abortion cost him the election"","the result of alteration or modification; "there were marked changes in the lining of the lungs"; "there had been no change in the mountains"","the balance of money received when the amount you tender is greater than the amount due; "I paid with a twenty and pocketed the change"","a thing that is different; "he inspected several changes before selecting one"","a different or fresh set of clothes; "she brought a change in her overnight bag"","coins of small denomination regarded collectively; "he had a pocketful of change"","money received in return for its equivalent in a larger denomination or a different currency; "he got change for a twenty and used it to pay the taxi driver"","a difference that is usually pleasant; "he goes to France for variety"; "it is a refreshing change to meet a woman mechanic"","cause to change; make different; cause a transformation; "The advent of the automobile may have altered the growth pattern of the city"; "The discussion has changed my thinking about the issue"","undergo a change; become different in essence; losing one's or its original nature; "She changed completely as she grew older"; "The weather changed last night"","become different in some particular way, without permanently losing one's or its former characteristics or essence; "her mood changes in accordance with the weather"; "The supermarket's selection of vegetables varies according to the season"","lay aside, abandon, or leave for another; "switch to a different brand of beer"; "She switched psychiatrists"; "The car changed lanes"","change clothes; put on different clothes; "Change before you go to the opera"","exchange or replace with another, usually of the same kind or category; "Could you convert my dollars into pounds?"; "He changed his name"; "convert centimeters into inches"; "convert holdings into shares"","give to, and receive from, one another; "Would you change places with me?"; "We have been exchanging letters for a year"","change from one vehicle or transportation line to another; "She changed in Chicago on her way to the East coast"","become deeper in tone; "His voice began to change when he was 12 years old"; "Her voice deepened when she whispered the password"","remove or replace the coverings of; "Father had to learn how to change the baby"; "After each guest we changed the bed linens""
changeable,"capable of or tending to change in form or quality or nature; "a mutable substance"; "the mutable ways of fortune"; "mutable weather patterns"; "a mutable foreign policy"","such that alteration is possible; having a marked tendency to change; "changeable behavior"; "changeable moods"; "changeable prices"","subject to change; "a changeable climate"; "the weather is uncertain"; "unsettled weather with rain and hail and sunshine coming one right after the other"","varying in color when seen in different lights or from different angles; "changeable taffeta"; "chatoyant (or shot) silk"; "a dragonfly hovered, vibrating and iridescent""
changed,"made or become different in nature or form; "changed attitudes"; "changed styles of dress"; "a greatly changed country after the war"","made or become different in some respect; "he's an altered (or changed) man since his election to Congress"","changed in constitution or structure or composition by metamorphism; "metamorphic rocks""
changeless,"not subject or susceptible to change or variation in form or quality or nature; "the view of that time was that all species were immutable, created by God"","unvarying in nature; "maintained a constant temperature"; "principles of unvarying validity"","remaining the same for indefinitely long times"
changer,"a person who changes something; "an inveterate changer of the menu"","an automatic mechanical device on a record player that causes new records to be played without manual intervention"
changers,"a person who changes something; "an inveterate changer of the menu"","an automatic mechanical device on a record player that causes new records to be played without manual intervention"
changes,"an event that occurs when something passes from one state or phase to another; "the change was intended to increase sales"; "this storm is certainly a change for the worse"; "the neighborhood had undergone few modifications since his last visit years ago"","a relational difference between states; especially between states before and after some event; "he attributed the change to their marriage"","the action of changing something; "the change of government had no impact on the economy"; "his change on abortion cost him the election"","the result of alteration or modification; "there were marked changes in the lining of the lungs"; "there had been no change in the mountains"","the balance of money received when the amount you tender is greater than the amount due; "I paid with a twenty and pocketed the change"","a thing that is different; "he inspected several changes before selecting one"","a different or fresh set of clothes; "she brought a change in her overnight bag"","coins of small denomination regarded collectively; "he had a pocketful of change"","money received in return for its equivalent in a larger denomination or a different currency; "he got change for a twenty and used it to pay the taxi driver"","a difference that is usually pleasant; "he goes to France for variety"; "it is a refreshing change to meet a woman mechanic"","cause to change; make different; cause a transformation; "The advent of the automobile may have altered the growth pattern of the city"; "The discussion has changed my thinking about the issue"","undergo a change; become different in essence; losing one's or its original nature; "She changed completely as she grew older"; "The weather changed last night"","become different in some particular way, without permanently losing one's or its former characteristics or essence; "her mood changes in accordance with the weather"; "The supermarket's selection of vegetables varies according to the season"","lay aside, abandon, or leave for another; "switch to a different brand of beer"; "She switched psychiatrists"; "The car changed lanes"","change clothes; put on different clothes; "Change before you go to the opera"","exchange or replace with another, usually of the same kind or category; "Could you convert my dollars into pounds?"; "He changed his name"; "convert centimeters into inches"; "convert holdings into shares"","give to, and receive from, one another; "Would you change places with me?"; "We have been exchanging letters for a year"","change from one vehicle or transportation line to another; "She changed in Chicago on her way to the East coast"","become deeper in tone; "His voice began to change when he was 12 years old"; "Her voice deepened when she whispered the password"","remove or replace the coverings of; "Father had to learn how to change the baby"; "After each guest we changed the bed linens""
changing,"marked by continuous change or effective action"
changs,"the longest river of Asia; flows eastward from Tibet into the East China Sea near Shanghai"
channel,"a path over which electrical signals can pass; "a channel is typically what you rent from a telephone company"","a passage for water (or other fluids) to flow through; "the fields were crossed with irrigation channels"; "gutters carried off the rainwater into a series of channels under the street"","a long narrow furrow cut either by a natural process (such as erosion) or by a tool (as e.g. a groove in a phonograph record)","a deep and relatively narrow body of water (as in a river or a harbor or a strait linking two larger bodies) that allows the best passage for vessels; "the ship went aground in the channel"","(often plural) a means of communication or access; "it must go through official channels"; "lines of communication were set up between the two firms"","a bodily passage or tube lined with epithelial cells and conveying a secretion or other substance; "the tear duct was obstructed"; "the alimentary canal"; "poison is released through a channel in the snake's fangs"","a television station and its programs; "a satellite TV channel"; "surfing through the channels"; "they offer more than one hundred channels"","a way of selling a company's product either directly or via distributors; "possible distribution channels are wholesalers or small retailers or retail chains or direct mailers or your own stores"","transmit or serve as the medium for transmission; "Sound carries well over water"; "The airwaves carry the sound"; "Many metals conduct heat"","direct the flow of; "channel information towards a broad audience"","send from one person or place to another; "transmit a message""
channeled
channeling
channelled,"transmit or serve as the medium for transmission; "Sound carries well over water"; "The airwaves carry the sound"; "Many metals conduct heat"","direct the flow of; "channel information towards a broad audience"","send from one person or place to another; "transmit a message""
channelling,"transmit or serve as the medium for transmission; "Sound carries well over water"; "The airwaves carry the sound"; "Many metals conduct heat"","direct the flow of; "channel information towards a broad audience"","send from one person or place to another; "transmit a message""
channels,"official routes of communication; "you have to go through channels"","transmit or serve as the medium for transmission; "Sound carries well over water"; "The airwaves carry the sound"; "Many metals conduct heat"","direct the flow of; "channel information towards a broad audience"","send from one person or place to another; "transmit a message""
chanson
chansons
chant,"a repetitive song in which as many syllables as necessary are assigned to a single tone","recite with musical intonation; recite as a chant or a psalm; "The rabbi chanted a prayer"","utter monotonously and repetitively and rhythmically; "The students chanted the same slogan over and over again""
chantage
chantages
chanted,"sung or uttered rhythmically in a monotone; "a chanted psalm""
chanter,"reed pipe with finger holes on which the melody is played"
chanters,"reed pipe with finger holes on which the melody is played"
chantey,"a rhythmical work song originally sung by sailors"
chanteys,"a rhythmical work song originally sung by sailors"
chanties
chanting,"the act of singing in a monotonous tone"
chantor
chantors
chantries
chantry,"an endowment for the singing of Masses","a chapel endowed for singing Masses for the soul of the donor"
chants,"a repetitive song in which as many syllables as necessary are assigned to a single tone","recite with musical intonation; recite as a chant or a psalm; "The rabbi chanted a prayer"","utter monotonously and repetitively and rhythmically; "The students chanted the same slogan over and over again""
chanty,"a rhythmical work song originally sung by sailors"
chaos,"a state of extreme confusion and disorder","the formless and disordered state of matter before the creation of the cosmos","(Greek mythology) the most ancient of gods; the personification of the infinity of space preceding creation of the universe","(physics) a dynamical system that is extremely sensitive to its initial conditions"
chaoses
chaotic,"lacking a visible order or organization","completely unordered and unpredictable and confusing","of or relating to a sensitive dependence on initial conditions"
chaotically,"in a wild and confused manner; "the drugged man was talking chaotically"","in a manner suggestive of chaos; "the room was chaotically disorganized""
chap,"a boy or man; "that chap is your host"; "there's a fellow at the door"; "he's a likable cuss"; "he's a good bloke"","a long narrow depression in a surface","a crack in a lip caused usually by cold","(usually in the plural) leather leggings without a seat; joined by a belt; often have flared outer flaps; worn over trousers by cowboys to protect their legs","crack due to dehydration; "My lips chap in this dry weather""
chapbook
chapbooks
chape
chapeau,"headdress that protects the head from bad weather; has shaped crown and usually a brim"
chapeaus,"headdress that protects the head from bad weather; has shaped crown and usually a brim"
chapeaux,"headdress that protects the head from bad weather; has shaped crown and usually a brim"
chapel,"a place of worship that has its own altar","a service conducted in a place of worship that has its own altar; "he was late for chapel""
chapels,"a place of worship that has its own altar","a service conducted in a place of worship that has its own altar; "he was late for chapel""
chaperon,"one who accompanies and supervises a young woman or gatherings of young people","accompany as a chaperone"
chaperonage
chaperonages
chaperone,"one who accompanies and supervises a young woman or gatherings of young people","accompany as a chaperone"
chaperoned
chaperones,"one who accompanies and supervises a young woman or gatherings of young people","accompany as a chaperone"
chaperoning
chaperons,"one who accompanies and supervises a young woman or gatherings of young people","accompany as a chaperone"
chapes
chapiter,"the upper part of a column that supports the entablature"
chapiters,"the upper part of a column that supports the entablature"
chaplain,"a clergyman ministering to some institution"
chaplaincies
chaplaincy,"the position of chaplain"
chaplains,"a clergyman ministering to some institution"
chaplet,"flower arrangement consisting of a circular band of foliage or flowers for ornamental purposes"
chaplets,"flower arrangement consisting of a circular band of foliage or flowers for ornamental purposes"
chapman,"United States pioneer who planted apple trees as he traveled (1774-1845)","archaic term for an itinerant peddler"
chapmen
chapped,"crack due to dehydration; "My lips chap in this dry weather"","used of skin roughened as a result of cold or exposure; "chapped lips""
chapping,"crack due to dehydration; "My lips chap in this dry weather""
chaps,"a boy or man; "that chap is your host"; "there's a fellow at the door"; "he's a likable cuss"; "he's a good bloke"","a long narrow depression in a surface","a crack in a lip caused usually by cold","(usually in the plural) leather leggings without a seat; joined by a belt; often have flared outer flaps; worn over trousers by cowboys to protect their legs","crack due to dehydration; "My lips chap in this dry weather""
chapt
chapter,"a subdivision of a written work; usually numbered and titled; "he read a chapter every night before falling asleep"","any distinct period in history or in a person's life; "the industrial revolution opened a new chapter in British history"; "the divorce was an ugly chapter in their relationship"","a local branch of some fraternity or association; "he joined the Atlanta chapter"","an ecclesiastical assembly of the monks in a monastery or even of the canons of a church","a series of related events forming an episode; "a chapter of disasters""
chaptered
chaptering
chapters,"a subdivision of a written work; usually numbered and titled; "he read a chapter every night before falling asleep"","any distinct period in history or in a person's life; "the industrial revolution opened a new chapter in British history"; "the divorce was an ugly chapter in their relationship"","a local branch of some fraternity or association; "he joined the Atlanta chapter"","an ecclesiastical assembly of the monks in a monastery or even of the canons of a church","a series of related events forming an episode; "a chapter of disasters""
chaqueta
chaquetas
char,"a charred substance","a human female employed to do housework; "the char will clean the carpet"; "I have a woman who comes in four hours a day while I write"","any of several small trout-like fish of the genus Salvelinus","burn to charcoal; "Without a drenching rain, the forest fire will char everything"","burn slightly and superficially so as to affect color; "The cook blackened the chicken breast"; "The fire charred the ceiling above the mantelpiece"; "the flames scorched the ceiling""
characid,"any freshwater fish of the family Characinidae"
characids,"any freshwater fish of the family Characinidae"
characin,"any freshwater fish of the family Characinidae"
characins,"any freshwater fish of the family Characinidae"
character,"an imaginary person represented in a work of fiction (play or film or story); "she is the main character in the novel"","a characteristic property that defines the apparent individual nature of something; "each town has a quality all its own"; "the radical character of our demands"","the inherent complex of attributes that determines a persons moral and ethical actions and reactions; "education has for its object the formation of character"- Herbert Spencer","an actor's portrayal of someone in a play; "she played the part of Desdemona"","a person of a specified kind (usually with many eccentricities); "a real character"; "a strange character"; "a friendly eccentric"; "the capable type"; "a mental case"","good repute; "he is a man of character"","a formal recommendation by a former employer to a potential future employer describing the person's qualifications and dependability; "requests for character references are all too often answered evasively"","a written symbol that is used to represent speech; "the Greek alphabet has 24 characters"","(genetics) an attribute (structural or functional) that is determined by a gene or group of genes","engrave or inscribe characters on"
characteristic,"a prominent attribute or aspect of something; "the map showed roads and other features"; "generosity is one of his best characteristics"","a distinguishing quality","the integer part (positive or negative) of the representation of a logarithm; in the expression log 643 = 2.808 the characteristic is 2","any measurable property of a device measured under closely specified conditions","typical or distinctive; "heard my friend's characteristic laugh"; "red and gold are the characteristic colors of autumn"; "stripes characteristic of the zebra""
characteristically,"in characteristic manner; "he arrived characteristically late""
characteristics,"a prominent attribute or aspect of something; "the map showed roads and other features"; "generosity is one of his best characteristics"","a distinguishing quality","the integer part (positive or negative) of the representation of a logarithm; in the expression log 643 = 2.808 the characteristic is 2","any measurable property of a device measured under closely specified conditions","typical or distinctive; "heard my friend's characteristic laugh"; "red and gold are the characteristic colors of autumn"; "stripes characteristic of the zebra""
