skag,"street names for heroin"
ski,"narrow wood or metal or plastic runners used in pairs for gliding over snow","move along on skis; "We love to ski the Rockies"; "My children don't ski""
skiable
skiagram,"a photographic image produced on a radiosensitive surface by radiation other than visible light (especially by X-rays or gamma rays)"
skiagrams,"a photographic image produced on a radiosensitive surface by radiation other than visible light (especially by X-rays or gamma rays)"
skibob,"a vehicle resembling a bicycle but having skis instead of wheels; the rider wears short skis for balancing"
skibobs,"a vehicle resembling a bicycle but having skis instead of wheels; the rider wears short skis for balancing"
skid,"one of a pair of planks used to make a track for rolling or sliding objects","a restraint provided when the brake linings are moved hydraulically against the brake drum to retard the wheel's rotation","an unexpected slide","slide without control; "the car skidded in the curve on the wet road"","elevate onto skids","apply a brake or skid to","move obliquely or sideways, usually in an uncontrolled manner; "the wheels skidded against the sidewalk""
skidded,"slide without control; "the car skidded in the curve on the wet road"","elevate onto skids","apply a brake or skid to","move obliquely or sideways, usually in an uncontrolled manner; "the wheels skidded against the sidewalk""
skidder,"a person who slips or slides because of loss of traction","a worker who uses a skid to move logs","a tractor used to haul logs over rough terrain"
skidders,"a person who slips or slides because of loss of traction","a worker who uses a skid to move logs","a tractor used to haul logs over rough terrain"
skiddier
skiddiest
skidding,"slide without control; "the car skidded in the curve on the wet road"","elevate onto skids","apply a brake or skid to","move obliquely or sideways, usually in an uncontrolled manner; "the wheels skidded against the sidewalk""
skiddoo
skiddooed
skiddooing
skiddoos
skiddy
skidoo
skidooed
skidooing
skidoos
skids,"one of a pair of planks used to make a track for rolling or sliding objects","a restraint provided when the brake linings are moved hydraulically against the brake drum to retard the wheel's rotation","an unexpected slide","slide without control; "the car skidded in the curve on the wet road"","elevate onto skids","apply a brake or skid to","move obliquely or sideways, usually in an uncontrolled manner; "the wheels skidded against the sidewalk""
skidway
skidways
skied
skier,"someone who skis"
skiers,"someone who skis"
skies
skiey
skiff,"any of various small boats propelled by oars or by sails or by a motor"
skiffle,"a style of popular music in the 1950s; based on American folk music and played on guitars and improvised percussion instruments"
skiffled
skiffles,"a style of popular music in the 1950s; based on American folk music and played on guitars and improvised percussion instruments"
skiffling
skiffs,"any of various small boats propelled by oars or by sails or by a motor"
skiing,"a sport in which participants must travel on skis"
skiings,"a sport in which participants must travel on skis"
skiis
skijorer
skijorers
skilful,"having or showing knowledge and skill and aptitude; "adept in handicrafts"; "an adept juggler"; "an expert job"; "a good mechanic"; "a practiced marksman"; "a proficient engineer"; "a lesser-known but no less skillful composer"; "the effect was achieved by skillful retouching""
skill,"an ability that has been acquired by training","ability to produce solutions in some problem domain; "the skill of a well-trained boxer"; "the sweet science of pugilism""
skilled,"having or showing or requiring special skill; "only the most skilled gymnasts make an Olympic team"; "a skilled surgeon has many years of training and experience"; "a skilled reconstruction of her damaged elbow"; "a skilled trade""
skilless
skillet,"a pan used for frying foods"
skillets,"a pan used for frying foods"
skillful,"having or showing knowledge and skill and aptitude; "adept in handicrafts"; "an adept juggler"; "an expert job"; "a good mechanic"; "a practiced marksman"; "a proficient engineer"; "a lesser-known but no less skillful composer"; "the effect was achieved by skillful retouching"","done with delicacy and skill; "a nice bit of craft"; "a job requiring nice measurements with a micrometer"; "a nice shot""
skillfully,"with skill; "fragments of a nearly complete jug, skillfully restored at the institute of archaeology""
skillfulness,"the state of being cognitively skillful"
skillfulnesses
skilling
skillings
skills,"an ability that has been acquired by training","ability to produce solutions in some problem domain; "the skill of a well-trained boxer"; "the sweet science of pugilism""
skim,"a thin layer covering the surface of a liquid; "there was a thin skim of oil on the water"","reading or glancing through quickly","travel on the surface of water","move or pass swiftly and lightly over the surface of","examine hastily; "She scanned the newspaper headlines while waiting for the taxi"","cause to skip over a surface; "Skip a stone across the pond"","coat (a liquid) with a layer","remove from the surface; "skim cream from the surface of milk"","read superficially","used of milk and milk products from which the cream has been removed; "yogurt made with skim milk"; "she can drink skimmed milk but should avoid butter""
skimmed,"travel on the surface of water","move or pass swiftly and lightly over the surface of","examine hastily; "She scanned the newspaper headlines while waiting for the taxi"","cause to skip over a surface; "Skip a stone across the pond"","coat (a liquid) with a layer","remove from the surface; "skim cream from the surface of milk"","read superficially","used of milk and milk products from which the cream has been removed; "yogurt made with skim milk"; "she can drink skimmed milk but should avoid butter""
skimmer,"a rapid superficial reader","a cooking utensil used to skim fat from the surface of liquids","a stiff hat made of straw with a flat crown","gull-like seabird that flies along the surface of the water with an elongated lower mandible immersed to skim out food"
skimmers,"a rapid superficial reader","a cooking utensil used to skim fat from the surface of liquids","a stiff hat made of straw with a flat crown","gull-like seabird that flies along the surface of the water with an elongated lower mandible immersed to skim out food"
skimming,"the act of removing floating material from the surface of a liquid","reading or glancing through quickly","failure to declare income in order to avoid paying taxes on it","the act of brushing against while passing","travel on the surface of water","move or pass swiftly and lightly over the surface of","examine hastily; "She scanned the newspaper headlines while waiting for the taxi"","cause to skip over a surface; "Skip a stone across the pond"","coat (a liquid) with a layer","remove from the surface; "skim cream from the surface of milk"","read superficially"
skimmings,"the act of removing floating material from the surface of a liquid","reading or glancing through quickly","failure to declare income in order to avoid paying taxes on it","the act of brushing against while passing","travel on the surface of water","move or pass swiftly and lightly over the surface of","examine hastily; "She scanned the newspaper headlines while waiting for the taxi"","cause to skip over a surface; "Skip a stone across the pond"","coat (a liquid) with a layer","remove from the surface; "skim cream from the surface of milk"","read superficially"
skimo
skimos
skimp,"work hastily or carelessly; deal with inadequately and superficially","limit in quality or quantity","subsist on a meager allowance; "scratch and scrimp"","supply sparingly and with restricted quantities; "sting with the allowance""
skimped
skimpier,"containing little excess; "a lean budget"; "a skimpy allowance""
skimpiest,"containing little excess; "a lean budget"; "a skimpy allowance""
skimpily,"in a skimpy manner; "a skimpily dressed woman""
skimping
skimps,"work hastily or carelessly; deal with inadequately and superficially","limit in quality or quantity","subsist on a meager allowance; "scratch and scrimp"","supply sparingly and with restricted quantities; "sting with the allowance""
skimpy,"containing little excess; "a lean budget"; "a skimpy allowance""
skims,"a thin layer covering the surface of a liquid; "there was a thin skim of oil on the water"","reading or glancing through quickly","travel on the surface of water","move or pass swiftly and lightly over the surface of","examine hastily; "She scanned the newspaper headlines while waiting for the taxi"","cause to skip over a surface; "Skip a stone across the pond"","coat (a liquid) with a layer","remove from the surface; "skim cream from the surface of milk"","read superficially","used of milk and milk products from which the cream has been removed; "yogurt made with skim milk"; "she can drink skimmed milk but should avoid butter""
skin,"a natural protective body covering and site of the sense of touch; "your skin is the largest organ of your body"","an outer surface (usually thin); "the skin of an airplane"","body covering of a living animal","a person's skin regarded as their life; "he tried to save his skin"","the rind of a fruit or vegetable","a bag serving as a container for liquids; it is made from the hide of an animal","climb awkwardly, as if by scrambling","bruise, cut, or injure the skin or the surface of; "The boy skinned his knee when he fell"","remove the bark of a tree","strip the skin off; "pare apples""
skinflint,"a selfish person who is unwilling to give or spend"
skinflints,"a selfish person who is unwilling to give or spend"
skinful,"a quantity of alcoholic drink sufficient to make you drunk; "someone had to drive me home last night because I had a skinful""
skinfuls,"a quantity of alcoholic drink sufficient to make you drunk; "someone had to drive me home last night because I had a skinful""
skinhead,"a young person who belongs to a British or American group that shave their heads and gather at rock concerts or engage in white supremacist demonstrations"
skinheads,"a youth subculture that appeared first in England in the late 1960s as a working-class reaction to the hippies; hair was cropped close to the scalp; wore work-shirts and short jeans (supported by suspenders) and heavy red boots; involved in attacks against Asians and football hooliganism"
skink,"alert agile lizard with reduced limbs and an elongated body covered with shiny scales; more dependent on moisture than most lizards; found in tropical regions worldwide"
skinked
skinker
skinkers
skinking
skinks,"alert agile lizard with reduced limbs and an elongated body covered with shiny scales; more dependent on moisture than most lizards; found in tropical regions worldwide"
skinless,"having no skin"
skinlike
skinned,"climb awkwardly, as if by scrambling","bruise, cut, or injure the skin or the surface of; "The boy skinned his knee when he fell"","remove the bark of a tree","strip the skin off; "pare apples"","having skin of a specified kind"
skinner,"United States actor (1858-1942)","United States actress noted for her one-woman shows (1901-1979)","United States psychologist and a leading proponent of behaviorism (1904-1990)","a person who prepares or deals in animal skins","a worker who drives mules"
skinners,"United States actor (1858-1942)","United States actress noted for her one-woman shows (1901-1979)","United States psychologist and a leading proponent of behaviorism (1904-1990)","a person who prepares or deals in animal skins","a worker who drives mules"
skinnier,"being very thin; "a child with skinny freckled legs"; "a long scrawny neck"","of or relating to or resembling skin","fitting snugly; "a tightly-fitting cover"; "tight-fitting clothes"","giving or spending with reluctance; "our cheeseparing administration"; "very close (or near) with his money"; "a penny-pinching miserly old man""
skinniest,"being very thin; "a child with skinny freckled legs"; "a long scrawny neck"","of or relating to or resembling skin","fitting snugly; "a tightly-fitting cover"; "tight-fitting clothes"","giving or spending with reluctance; "our cheeseparing administration"; "very close (or near) with his money"; "a penny-pinching miserly old man""
skinning,"climb awkwardly, as if by scrambling","bruise, cut, or injure the skin or the surface of; "The boy skinned his knee when he fell"","remove the bark of a tree","strip the skin off; "pare apples""
skinny,"confidential information about a topic or person; "he wanted the inside skinny on the new partner"","being very thin; "a child with skinny freckled legs"; "a long scrawny neck"","of or relating to or resembling skin","fitting snugly; "a tightly-fitting cover"; "tight-fitting clothes"","giving or spending with reluctance; "our cheeseparing administration"; "very close (or near) with his money"; "a penny-pinching miserly old man""
skins,"a natural protective body covering and site of the sense of touch; "your skin is the largest organ of your body"","an outer surface (usually thin); "the skin of an airplane"","body covering of a living animal","a person's skin regarded as their life; "he tried to save his skin"","the rind of a fruit or vegetable","a bag serving as a container for liquids; it is made from the hide of an animal","climb awkwardly, as if by scrambling","bruise, cut, or injure the skin or the surface of; "The boy skinned his knee when he fell"","remove the bark of a tree","strip the skin off; "pare apples""
skint,"lacking funds; "`skint' is a British slang term""
skintight,"so tight as to cling to the skin; "skintight jeans""
skioring
skiorings
skip,"a gait in which steps and hops alternate","a mistake resulting from neglect","bypass; "He skipped a row in the text and so the sentence was incomprehensible"","intentionally fail to attend; "cut class"","jump lightly","leave suddenly; "She persuaded him to decamp"; "skip town"","bound off one point after another","cause to skip over a surface; "Skip a stone across the pond""
skipjack,"oceanic schooling tuna of considerable value in Pacific but less in Atlantic; reaches 75 pounds; very similar to if not the same as oceanic bonito","medium-sized tuna-like food fish of warm Atlantic and Pacific waters; less valued than tuna","able to right itself when on its back by flipping into the air with a clicking sound"
skipjacks,"oceanic schooling tuna of considerable value in Pacific but less in Atlantic; reaches 75 pounds; very similar to if not the same as oceanic bonito","medium-sized tuna-like food fish of warm Atlantic and Pacific waters; less valued than tuna","able to right itself when on its back by flipping into the air with a clicking sound"
skiplane
skiplanes
skipped,"bypass; "He skipped a row in the text and so the sentence was incomprehensible"","intentionally fail to attend; "cut class"","jump lightly","leave suddenly; "She persuaded him to decamp"; "skip town"","bound off one point after another","cause to skip over a surface; "Skip a stone across the pond""
skipper,"a student who fails to attend classes","an officer who is licensed to command a merchant ship","the naval officer in command of a military ship","work as the skipper on a vessel"
skippered
skippering
skippers,"a student who fails to attend classes","an officer who is licensed to command a merchant ship","the naval officer in command of a military ship","work as the skipper on a vessel"
skippet
skippets
skipping,"bypass; "He skipped a row in the text and so the sentence was incomprehensible"","intentionally fail to attend; "cut class"","jump lightly","leave suddenly; "She persuaded him to decamp"; "skip town"","bound off one point after another","cause to skip over a surface; "Skip a stone across the pond""
skips,"a gait in which steps and hops alternate","a mistake resulting from neglect","bypass; "He skipped a row in the text and so the sentence was incomprehensible"","intentionally fail to attend; "cut class"","jump lightly","leave suddenly; "She persuaded him to decamp"; "skip town"","bound off one point after another","cause to skip over a surface; "Skip a stone across the pond""
skirl,"the sound of (the chanter of) a bagpipe","make a shrill, wailing sound; "skirling bagpipes"","play the bagpipes"
skirled
skirling
skirls,"the sound of (the chanter of) a bagpipe","make a shrill, wailing sound; "skirling bagpipes"","play the bagpipes"
skirmish,"a minor short-term fight","engage in a skirmish"
skirmished
skirmishes
skirmishing
skirr
skirred
skirret,"an Asiatic herb cultivated in Europe for its sweet edible tuberous root"
skirrets,"an Asiatic herb cultivated in Europe for its sweet edible tuberous root"
skirring
skirrs
skirt,"cloth covering that forms the part of a garment below the waist","a garment hanging from the waist; worn mainly by girls and women","(Fungi) a remnant of the partial veil that in mature mushrooms surrounds the stem like a collar","informal terms for a (young) woman","avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues); "He dodged the issue"; "she skirted the problem"; "They tend to evade their responsibilities"; "he evaded the questions skillfully"","pass around or about; move along the border; "The boat skirted the coast"","form the edge of","extend on all sides of simultaneously; encircle; "The forest surrounds my property""
skirted
skirter
skirters
skirting,"being all around the edges; enclosing; "his encircling arms"; "the room's skirting board needs painting""
skirtings,"being all around the edges; enclosing; "his encircling arms"; "the room's skirting board needs painting""
skirts,"cloth covering that forms the part of a garment below the waist","a garment hanging from the waist; worn mainly by girls and women","(Fungi) a remnant of the partial veil that in mature mushrooms surrounds the stem like a collar","informal terms for a (young) woman","avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues); "He dodged the issue"; "she skirted the problem"; "They tend to evade their responsibilities"; "he evaded the questions skillfully"","pass around or about; move along the border; "The boat skirted the coast"","form the edge of","extend on all sides of simultaneously; encircle; "The forest surrounds my property""
skis,"narrow wood or metal or plastic runners used in pairs for gliding over snow","move along on skis; "We love to ski the Rockies"; "My children don't ski""
skit,"a short theatrical episode"
skite
skited
skites
skiting
skits,"a short theatrical episode"
skitter,"to move about or proceed hurriedly; "so terrified by the extraordinary ebbing of the sea that they scurried to higher ground"","glide easily along a surface","cause to skip over a surface; "Skip a stone across the pond"","twitch the hook of a fishing line through or along the surface of water"
skittered
skitterier
skitteriest
skittering
skitters,"to move about or proceed hurriedly; "so terrified by the extraordinary ebbing of the sea that they scurried to higher ground"","glide easily along a surface","cause to skip over a surface; "Skip a stone across the pond"","twitch the hook of a fishing line through or along the surface of water"
skittery
skittish,"unpredictably excitable (especially of horses)"
skittle,"a bowling pin of the type used in playing ninepins or (in England) skittles","play skittles"
skittles,"a bowling game that is played by rolling a bowling ball down a bowling alley at a target of nine wooden pins","play skittles"
skive,"remove the surface of; "skive leather""
skived
skiver
skivers
skives,"remove the surface of; "skive leather""
skiving
skivvies,"men's underwear consisting of cotton T-shirt and shorts"
skivvy,"a female domestic servant who does all kinds of menial work"
skiwear
skiwears
sklent
sklented
sklenting
sklents
skoal
skoaled
skoaling
skoals
skookum
skreegh
skreeghed
skreeghing
skreeghs
skreigh,"utter a harsh abrupt scream"
skreighed
skreighing
skreighs,"utter a harsh abrupt scream"
skua,"gull-like jaeger of northern seas"
skuas,"gull-like jaeger of northern seas"
skulk,"lie in wait, lie in ambush, behave in a sneaky and secretive manner","avoid responsibilities and duties, e.g., by pretending to be ill","move stealthily; "The lonely man skulks down the main street all day""
skulked
skulker,"someone shirking their duty by feigning illness or incapacity","someone waiting in concealment"
skulkers,"someone shirking their duty by feigning illness or incapacity","someone waiting in concealment"
skulking,"evading duty or work by pretending to be incapacitated; "they developed a test to detect malingering""
skulks,"lie in wait, lie in ambush, behave in a sneaky and secretive manner","avoid responsibilities and duties, e.g., by pretending to be ill","move stealthily; "The lonely man skulks down the main street all day""
skull,"the bony skeleton of the head of vertebrates"
skullcap,"rounded brimless cap fitting the crown of the head","a herbaceous plant of the genus Scutellaria which has a calyx that, when inverted, resembles a helmet with its visor raised","the dome of the skull"
skullcaps,"rounded brimless cap fitting the crown of the head","a herbaceous plant of the genus Scutellaria which has a calyx that, when inverted, resembles a helmet with its visor raised","the dome of the skull"
skulled
skulls,"the bony skeleton of the head of vertebrates"
skunk,"a person who is deemed to be despicable or contemptible; "only a rotter would do that"; "kill the rat"; "throw the bum out"; "you cowardly little pukes!"; "the British call a contemptible person a `git'"","a defeat in a game where one side fails to score","street names for marijuana","American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae","defeat by a lurch"
skunked
skunking
skunks,"a person who is deemed to be despicable or contemptible; "only a rotter would do that"; "kill the rat"; "throw the bum out"; "you cowardly little pukes!"; "the British call a contemptible person a `git'"","a defeat in a game where one side fails to score","street names for marijuana","American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae","defeat by a lurch"
sky,"the atmosphere and outer space as viewed from the earth","throw or toss with a light motion; "flip me the beachball"; "toss me newspaper""
skyborne
skycap,"a porter who helps passengers with their baggage at an airport"
skycaps,"a porter who helps passengers with their baggage at an airport"
skydive,"jump from an airplane and perform various maneuvers before opening one's parachute"
skydived
skydiver,"a person who jumps from a plane and performs various gymnastic maneuvers before pulling the parachute cord"
skydivers,"a person who jumps from a plane and performs various gymnastic maneuvers before pulling the parachute cord"
skydives,"jump from an airplane and perform various maneuvers before opening one's parachute"
skydiving,"performing acrobatics in free fall before pulling the ripcord of a parachute"
skydove,"jump from an airplane and perform various maneuvers before opening one's parachute"
skyed
skyey
skyhook,"helicopter carrying a reel of steel cable that can be used to lift and transport heavy objects","a hook that is imagined to be suspended from the sky"
skyhooks,"helicopter carrying a reel of steel cable that can be used to lift and transport heavy objects","a hook that is imagined to be suspended from the sky"
skying
skyjack,"subject an aircraft to air piracy; "the plane was skyjacked to Uzbekistan""
skyjacked
skyjacking
skyjacks,"subject an aircraft to air piracy; "the plane was skyjacked to Uzbekistan""
skylark,"brown-speckled European lark noted for singing while hovering at a great height","play boisterously; "The children frolicked in the garden"; "the gamboling lambs in the meadows"; "The toddlers romped in the playroom""
skylarked
skylarking
skylarks,"brown-speckled European lark noted for singing while hovering at a great height","play boisterously; "The children frolicked in the garden"; "the gamboling lambs in the meadows"; "The toddlers romped in the playroom""
skylight,"a window in a roof to admit daylight"
skylights,"a window in a roof to admit daylight"
skyline,"the outline of objects seen against the sky","the line at which the sky and Earth appear to meet"
skylines,"the outline of objects seen against the sky","the line at which the sky and Earth appear to meet"
skyman
skymen
skyphoi
skyphos
skyrocket,"propels bright light high in the sky, or used to propel a lifesaving line or harpoon","sends a firework display high into the sky","shoot up abruptly, like a rocket; "prices skyrocketed""
skyrocketed
skyrocketing
skyrockets,"propels bright light high in the sky, or used to propel a lifesaving line or harpoon","sends a firework display high into the sky","shoot up abruptly, like a rocket; "prices skyrocketed""
skysail,"the sail above the royal on a square-rigger"
skysails,"the sail above the royal on a square-rigger"
skyscraper,"a very tall building with many stories"
skyscrapers,"a very tall building with many stories"
skyward,"directed toward heaven or the sky; "the soul in its heavenward flight"","toward the sky; "look skywards!""
skywards,"directed toward heaven or the sky; "the soul in its heavenward flight"","toward the sky; "look skywards!""
skyway,"a designated route followed by airplanes in flying from one airport to another"
skyways,"a designated route followed by airplanes in flying from one airport to another"
skywrite
skywrites
skywriting,"writing formed in the sky by smoke released from an airplane"
skywritten
skywrote
