ama
amateurism,"the conviction that people should participate in sports as a hobby (for the fun of it) rather than for money"
amateurisms,"the conviction that people should participate in sports as a hobby (for the fun of it) rather than for money"
amateurs,"someone who pursues a study or sport as a pastime","an athlete who does not play for pay","engaged in as a pastime; "an amateur painter"; "gained valuable experience in amateur theatricals"; "recreational golfers"; "reading matter that is both recreational and mentally stimulating"; "unpaid extras in the documentary"","lacking professional skill or expertise; "a very amateurish job"; "inexpert but conscientious efforts"; "an unskilled painting""
amative,"inclined toward or displaying love; "feeling amorous""
amatol
amatols
amatory,"expressive of or exciting sexual love or romance; "her amatory affairs"; "amorous glances"; "a romantic adventure"; "a romantic moonlight ride""
amaze,"affect with wonder; "Your ability to speak six languages amazes me!"","be a mystery or bewildering to; "This beats me!"; "Got me--I don't know the answer!"; "a vexing problem"; "This question really stuck me""
amazed,"filled with the emotional impact of overwhelming surprise or shock; "an amazed audience gave the magician a standing ovation"; "I stood enthralled, astonished by the vastness and majesty of the cathedral"; "astounded viewers wept at the pictures from the Oklahoma City bombing"; "stood in stunned silence"; "stunned scientists found not one but at least three viruses""
amazedly
amazement,"the feeling that accompanies something extremely surprising; "he looked at me in astonishment""
amazements,"the feeling that accompanies something extremely surprising; "he looked at me in astonishment""
amazes,"affect with wonder; "Your ability to speak six languages amazes me!"","be a mystery or bewildering to; "This beats me!"; "Got me--I don't know the answer!"; "a vexing problem"; "This question really stuck me""
amazing,"surprising greatly; "she does an amazing amount of work"; "the dog was capable of astonishing tricks"","inspiring awe or admiration or wonder; "New York is an amazing city"; "the Grand Canyon is an awe-inspiring sight"; "the awesome complexity of the universe"; "this sea, whose gently awful stirrings seem to speak of some hidden soul beneath"- Melville; "Westminster Hall's awing majesty, so vast, so high, so silent""
amazingly,"in an amazing manner; to everyone's surprise; "amazingly, he finished medical school in three years""
amazon,"a large strong and aggressive woman","(Greek mythology) one of a nation of women warriors of Scythia (who burned off the right breast in order to use a bow and arrow more effectively)","a major South American river; arises in the Andes and flows eastward into the South Atlantic; the world's 2nd longest river (4000 miles)","mainly green tropical American parrots"
amazonian
amazons,"a large strong and aggressive woman","(Greek mythology) one of a nation of women warriors of Scythia (who burned off the right breast in order to use a bow and arrow more effectively)","a major South American river; arises in the Andes and flows eastward into the South Atlantic; the world's 2nd longest river (4000 miles)","mainly green tropical American parrots"
ambage,"a style that involves indirect ways of expressing things"
ambages,"(archaic) roundabout or mysterious ways of action"
ambari
ambaries
ambaris
ambary
ambassador,"a diplomat of the highest rank; accredited as representative from one country to another","an informal representative; "an ambassador of good will""
ambassadorial,"of or relating to or characteristic of ambassadors"
ambassadors,"a diplomat of the highest rank; accredited as representative from one country to another","an informal representative; "an ambassador of good will""
ambassadorship,"the post of ambassador"
ambassadorships,"the post of ambassador"
ambeer
ambeers
amber,"a deep yellow color; "an amber light illuminated the room"; "he admired the gold of her hair"","a hard yellowish to brownish translucent fossil resin; used for jewelry","of a medium to dark brownish yellow color"
ambergris,"waxy substance secreted by the sperm whale and found floating at sea or washed ashore; used in perfume"
ambergrises
amberies
amberoid
amberoids
ambers,"a deep yellow color; "an amber light illuminated the room"; "he admired the gold of her hair"","a hard yellowish to brownish translucent fossil resin; used for jewelry","of a medium to dark brownish yellow color"
ambery
ambiance,"a particular environment or surrounding influence; "there was an atmosphere of excitement"","the atmosphere of an environment"
ambiances,"a particular environment or surrounding influence; "there was an atmosphere of excitement"","the atmosphere of an environment"
ambidextrous,"equally skillful with each hand; "an ambidextrous surgeon"","marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another; "she was a deceitful scheming little thing"- Israel Zangwill; "a double-dealing double agent"; "a double-faced infernal traitor and schemer"- W.M.Thackeray"
ambidextrously
ambience,"a particular environment or surrounding influence; "there was an atmosphere of excitement"","the atmosphere of an environment"
ambiences,"a particular environment or surrounding influence; "there was an atmosphere of excitement"","the atmosphere of an environment"
ambient,"completely enveloping; "the ambient air"; "ambient sound"; "the ambient temperature""
ambients,"completely enveloping; "the ambient air"; "ambient sound"; "the ambient temperature""
ambiguities
ambiguity,"an expression whose meaning cannot be determined from its context","unclearness by virtue of having more than one meaning"
ambiguous,"open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead; "an equivocal statement"; "the polling had a complex and equivocal (or ambiguous) message for potential female candidates"; "the officer's equivocal behavior increased the victim's uneasiness"; "popularity is an equivocal crown"; "an equivocal response to an embarrassing question"","having more than one possible meaning; "ambiguous words"; "frustrated by ambiguous instructions, the parents were unable to assemble the toy"","having no intrinsic or objective meaning; not organized in conventional patterns; "an ambiguous situation with no frame of reference"; "ambiguous inkblots""
ambit,"an area in which something acts or operates or has power or control: "the range of a supersonic jet"; "a piano has a greater range than the human voice"; "the ambit of municipal legislation"; "within the compass of this article"; "within the scope of an investigation"; "outside the reach of the law"; "in the political orbit of a world power""
ambition,"a cherished desire; "his ambition is to own his own business"","a strong drive for success","have as one's ambition"
ambitioned
ambitioning
ambitions,"a cherished desire; "his ambition is to own his own business"","a strong drive for success","have as one's ambition"
ambitious,"having a strong desire for success or achievement","requiring full use of your abilities or resources; "ambitious schedule"; "performed the most challenging task without a mistake""
ambitiously,"with ambition; in an ambitious and energetic manner; "she pursued her goals ambitiously""
ambits,"an area in which something acts or operates or has power or control: "the range of a supersonic jet"; "a piano has a greater range than the human voice"; "the ambit of municipal legislation"; "within the compass of this article"; "within the scope of an investigation"; "outside the reach of the law"; "in the political orbit of a world power""
ambivalence,"mixed feelings or emotions"
ambivalences,"mixed feelings or emotions"
ambivalent,"uncertain or unable to decide about what course to follow; "was ambivalent about having children""
ambivert
ambiverts
amble,"a leisurely walk (usually in some public place)","walk leisurely"
ambled
ambler,"someone who walks at a leisurely pace"
amblers,"someone who walks at a leisurely pace"
ambles,"a leisurely walk (usually in some public place)","walk leisurely"
ambling
ambo,"a platform raised above the surrounding level to give prominence to the person on it"
amboina
amboinas
ambones
ambos,"a platform raised above the surrounding level to give prominence to the person on it"
amboyna,"mottled curly-grained wood of Pterocarpus indicus","tree native to southeastern Asia having reddish wood with a mottled or striped black grain"
amboynas,"mottled curly-grained wood of Pterocarpus indicus","tree native to southeastern Asia having reddish wood with a mottled or striped black grain"
ambries
ambroid
ambroids
ambrosia,"a mixture of nectar and pollen prepared by worker bees and fed to larvae","any of numerous chiefly North American weedy plants constituting the genus Ambrosia that produce highly allergenic pollen responsible for much hay fever and asthma","fruit dessert made of oranges and bananas with shredded coconut","(classical mythology) the food and drink of the gods; mortals who ate it became immortal"
ambrosias,"a mixture of nectar and pollen prepared by worker bees and fed to larvae","any of numerous chiefly North American weedy plants constituting the genus Ambrosia that produce highly allergenic pollen responsible for much hay fever and asthma","fruit dessert made of oranges and bananas with shredded coconut","(classical mythology) the food and drink of the gods; mortals who ate it became immortal"
ambry
ambsace
ambsaces
ambulance,"a vehicle that takes people to and from hospitals"
ambulances,"a vehicle that takes people to and from hospitals"
ambulant,"able to walk about; "the patient is ambulatory""
ambulate,"walk about; not be bedridden or incapable of walking"
ambulated
ambulates,"walk about; not be bedridden or incapable of walking"
ambulating
ambulation,"walking about; "the hospital encouraged early ambulation""
ambulatory,"a covered walkway (as in a cloister); "it has an ambulatory and seven chapels"","relating to or adapted for walking; "an ambulatory corridor"","able to walk about; "the patient is ambulatory""
ambush,"the act of concealing yourself and lying in wait to attack by surprise","wait in hiding to attack","hunt (quarry) by stalking and ambushing"
ambushed
ambusher,"an attacker who waits in a concealed position to launch a surprise attack"
ambushers,"an attacker who waits in a concealed position to launch a surprise attack"
ambushes
ambushing
ameba,"naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion"
amebae,"naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion"
ameban,"pertaining to or resembling amoebae; "amoebic dysentery""
amebas,"naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion"
amebean
amebic,"pertaining to or resembling amoebae; "amoebic dysentery""
ameboid,"like an amoeba (especially in having a variable irregular shape)"
ameer,"an independent ruler or chieftain (especially in Africa or Arabia)"
ameerate
ameerates
ameers,"an independent ruler or chieftain (especially in Africa or Arabia)"
amelcorn
amelcorns
ameliorate,"to make better; "The editor improved the manuscript with his changes"","get better; "The weather improved toward evening""
ameliorated
ameliorates,"to make better; "The editor improved the manuscript with his changes"","get better; "The weather improved toward evening""
ameliorating,"tending to ameliorate"
amelioration,"the act of relieving ills and changing for the better"
ameliorations,"the act of relieving ills and changing for the better"
amen,"a primeval Egyptian personification of air and breath; worshipped especially at Thebes"
amenable,"disposed or willing to comply; "someone amenable to persuasion"","readily reacting to suggestions and influences; "a responsive student"","open to being acted upon in a certain way; "an amenable hospitalization should not result in untimely death"; "the tumor was not amenable to surgical treatment"","liable to answer to a higher authority; "the president is amenable to the constitutional court""
amenably
amend,"make amendments to; "amend the document"","to make better; "The editor improved the manuscript with his changes"","set straight or right; "remedy these deficiencies"; "rectify the inequities in salaries"; "repair an oversight""
amended,"of legislation","modified for the better; "his amended ways""
amender
amenders
amending
amendment,"the act of amending or correcting","a statement that is added to or revises or improves a proposal or document (a bill or constitution etc.)"
amendments,"the act of amending or correcting","a statement that is added to or revises or improves a proposal or document (a bill or constitution etc.)"
amends,"a sum of money paid in compensation for loss or injury","something done or paid in expiation of a wrong; "how can I make amends"","make amendments to; "amend the document"","to make better; "The editor improved the manuscript with his changes"","set straight or right; "remedy these deficiencies"; "rectify the inequities in salaries"; "repair an oversight""
amenities,"things that make you comfortable and at ease; "all the comforts of home""
amenity,"pleasantness resulting from agreeable conditions; "a well trained staff saw to the agreeableness of our accommodations"; "he discovered the amenities of reading at an early age""
amens,"a primeval Egyptian personification of air and breath; worshipped especially at Thebes"
ament,"a cylindrical spikelike inflorescence"
amentia,"extreme mental retardation"
amentias,"extreme mental retardation"
aments,"a cylindrical spikelike inflorescence"
amerce,"punish with an arbitrary penalty","punish by a fine imposed arbitrarily by the discretion of the court"
amerced
amercer
amercers
amerces,"punish with an arbitrary penalty","punish by a fine imposed arbitrarily by the discretion of the court"
amercing
amesace
amesaces
amethyst,"a transparent purple variety of quartz; used as a gemstone","of a moderate purple color"
amethysts,"a transparent purple variety of quartz; used as a gemstone","of a moderate purple color"
ami
amia,"type genus of the Amiidae"
amiabilities
amiability,"a cheerful and agreeable mood","a disposition to be friendly and approachable (easy to talk to)"
amiable,"disposed to please; "an amiable villain with a cocky sidelong grin"- Hal Hinson","diffusing warmth and friendliness; "an affable smile"; "an amiable gathering"; "cordial relations"; "a cordial greeting"; "a genial host""
amiably,"in an affable manner; "`Come and visit me,' he said amiably""
amiantus
amiantuses
amias,"type genus of the Amiidae"
amicable,"characterized by friendship and good will"
amicably,"in an amicable manner; "they separated amicably""
amice
amices
amid
amidase
amidases
amide,"any organic compound containing the group -CONH2"
amides,"any organic compound containing the group -CONH2"
amidic
amidin
amidins
amido
amidogen
amidogens
amidol
amidols
amids
amidship,"located in the middle part of a ship or aircraft","at or near or toward the center of a ship; "in the late 19th century, engines were placed in front, amidships, and at the rear"","at or near or toward the middle"
amidst
amie
amies
amiga
amigas
amigo,"a friend or comrade"
amigos,"a friend or comrade"
amin
amine,"a compound derived from ammonia by replacing hydrogen atoms by univalent hydrocarbon radicals"
amines,"a compound derived from ammonia by replacing hydrogen atoms by univalent hydrocarbon radicals"
aminic,"pertaining to or containing any of a group of organic compounds of nitrogen derived from ammonia"
aminities
aminity
amino,"the radical -NH2","pertaining to or containing any of a group of organic compounds of nitrogen derived from ammonia"
amins
amir,"an independent ruler or chieftain (especially in Africa or Arabia)"
amirate
amirates
amirs,"an independent ruler or chieftain (especially in Africa or Arabia)"
amis
amiss,"not functioning properly; "something is amiss"; "has gone completely haywire"; "something is wrong with the engine"","away from the correct or expected course; "something has gone awry in our plans"; "something went badly amiss in the preparations"","in an improper or mistaken or unfortunate manner; "if you think him guilty you judge amiss"; "he spoke amiss"; "no one took it amiss when she spoke frankly"","in an imperfect or faulty way; "The lobe was imperfectly developed"; "Miss Bennet would not play at all amiss if she practiced more"- Jane Austen"
amities
amitoses
amitosis,"the direct method of cell division characterized by simple division of the nucleus without formation of chromosomes"
amitotic,"pertaining to a simple method of cell division"
amitrole
amitroles
amity,"a cordial disposition","a state of friendship and cordiality"
ammeter,"a meter that measures the flow of electrical current in amperes"
ammeters,"a meter that measures the flow of electrical current in amperes"
ammine,"a complex inorganic compound that contains ammonia molecules"
ammines,"a complex inorganic compound that contains ammonia molecules"
ammino,"pertaining to or characteristic of an ammine (an inorganic coordination compound of ammonia and a metallic salt)"
ammo,"projectiles to be fired from a gun"
ammocete
ammocetes
ammonal
ammonals
ammonia,"a water solution of ammonia","a pungent gas compounded of nitrogen and hydrogen (NH3)"
ammoniac,"the aromatic gum of the ammoniac plant","pertaining to or containing or similar to ammonia"
ammoniacs,"the aromatic gum of the ammoniac plant","pertaining to or containing or similar to ammonia"
ammonias,"a water solution of ammonia","a pungent gas compounded of nitrogen and hydrogen (NH3)"
ammonic
ammonified,"treat with ammonia; cause to undergo ammonification"
ammonifies
ammonify,"treat with ammonia; cause to undergo ammonification"
ammonifying
ammonite,"one of the coiled chambered fossil shells of extinct mollusks"
ammonites,"one of the coiled chambered fossil shells of extinct mollusks"
ammonium,"the ion NH4 derived from ammonia; behaves in many respects like an alkali metal ion"
ammoniums,"the ion NH4 derived from ammonia; behaves in many respects like an alkali metal ion"
ammonoid,"one of the coiled chambered fossil shells of extinct mollusks"
ammonoids,"one of the coiled chambered fossil shells of extinct mollusks"
ammos,"projectiles to be fired from a gun"
ammunition,"projectiles to be fired from a gun","any nuclear or chemical or biological material that can be used as a weapon of mass destruction","information that can be used to attack or defend a claim or argument or viewpoint; "his admission provided ammunition for his critics""
ammunitions,"projectiles to be fired from a gun","any nuclear or chemical or biological material that can be used as a weapon of mass destruction","information that can be used to attack or defend a claim or argument or viewpoint; "his admission provided ammunition for his critics""
amnesia,"partial or total loss of memory; "he has a total blackout for events of the evening""
amnesiac,"a person suffering from amnesia","suffering from a partial loss of memory"
amnesiacs,"a person suffering from amnesia","suffering from a partial loss of memory"
amnesias,"partial or total loss of memory; "he has a total blackout for events of the evening""
amnesic,"a person suffering from amnesia","of or relating to or caused by amnesia","suffering from a partial loss of memory"
amnesics,"a person suffering from amnesia","of or relating to or caused by amnesia","suffering from a partial loss of memory"
amnestic,"of or relating to or caused by amnesia"
amnestied,"grant a pardon to (a group of people)"
amnesties
amnesty,"a period during which offenders are exempt from punishment","a warrant granting release from punishment for an offense","the formal act of liberating someone","grant a pardon to (a group of people)"
amnestying
amnia,"thin innermost membranous sac enclosing the developing embryo of higher vertebrates (reptiles, birds and mammals)"
amnic,"of or related to the amnion or characterized by developing an amnion; "amniotic membrane""
amnion,"thin innermost membranous sac enclosing the developing embryo of higher vertebrates (reptiles, birds and mammals)"
amnionic,"of or related to the amnion or characterized by developing an amnion; "amniotic membrane""
amnions,"thin innermost membranous sac enclosing the developing embryo of higher vertebrates (reptiles, birds and mammals)"
amniote,"any member of the Amniota"
amniotes,"any member of the Amniota"
amniotic,"of or related to the amnion or characterized by developing an amnion; "amniotic membrane""
amoeba,"naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion"
amoebae,"naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion"
amoeban,"pertaining to or resembling amoebae; "amoebic dysentery""
amoebas,"naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion"
amoebean
amoebic,"pertaining to or resembling amoebae; "amoebic dysentery""
amoeboid,"like an amoeba (especially in having a variable irregular shape)"
amok,"frenzied as if possessed by a demon; "the soldier was completely amuck"; "berserk with grief"; "a berserk worker smashing windows"","wildly; without self-control; "when the restaurant caught fire the patrons ran amuck, blocking the exit"","in a murderous frenzy; "rioters running amuck and throwing sticks and bottles and stones""
amoks,"frenzied as if possessed by a demon; "the soldier was completely amuck"; "berserk with grief"; "a berserk worker smashing windows"","wildly; without self-control; "when the restaurant caught fire the patrons ran amuck, blocking the exit"","in a murderous frenzy; "rioters running amuck and throwing sticks and bottles and stones""
amole
amoles
among
amongst
amoral
amorally,"without regard for morality; "he acted immorally when his own interests were at stake""
amoretti
amoretto
amorettos
amorini
amorino
amorist,"one dedicated to love and lovemaking especially one who writes about love"
amorists,"one dedicated to love and lovemaking especially one who writes about love"
amoroso
amorous,"inclined toward or displaying love; "feeling amorous"","expressive of or exciting sexual love or romance; "her amatory affairs"; "amorous glances"; "a romantic adventure"; "a romantic moonlight ride""
amorously,"in an amorous manner; "he looked at her amorously""
amorousness,"a feeling of love or fondness","the arousal of feelings of sexual desire"
amorousnesses
amorphous,"having no definite form or distinct shape; "amorphous clouds of insects"; "an aggregate of formless particles"; "a shapeless mass of protoplasm"","lacking the system or structure characteristic of living bodies","without real or apparent crystalline form; "an amorphous mineral"; "amorphous structure""
amort,"utterly cast down"
amortise,"liquidate gradually"
amortised
amortises,"liquidate gradually"
amortising
amortization,"the reduction of the value of an asset by prorating its cost over a period of years","payment of an obligation in a series of installments or transfers"
amortizations,"the reduction of the value of an asset by prorating its cost over a period of years","payment of an obligation in a series of installments or transfers"
amortize,"liquidate gradually"
amortized
amortizes,"liquidate gradually"
amortizing
amotion
amotions
amount,"a quantity of money; "he borrowed a large sum"; "the amount he had in cash was insufficient"","the relative magnitude of something with reference to a criterion; "an adequate amount of food for four people"","how much there is or how many there are of something that you can quantify","a quantity obtained by the addition of a group of numbers","be tantamount or equivalent to; "Her action amounted to a rebellion"","add up in number or quantity; "The bills amounted to $2,000"; "The bill came to $2,000"","develop into; "This idea will never amount to anything"; "nothing came of his grandiose plans""
amounted
amounting
amounts,"a quantity of money; "he borrowed a large sum"; "the amount he had in cash was insufficient"","the relative magnitude of something with reference to a criterion; "an adequate amount of food for four people"","how much there is or how many there are of something that you can quantify","a quantity obtained by the addition of a group of numbers","be tantamount or equivalent to; "Her action amounted to a rebellion"","add up in number or quantity; "The bills amounted to $2,000"; "The bill came to $2,000"","develop into; "This idea will never amount to anything"; "nothing came of his grandiose plans""
amour,"a usually secretive or illicit sexual relationship"
amours,"a usually secretive or illicit sexual relationship"
amp,"the basic unit of electric current adopted under the Systeme International d'Unites; "a typical household circuit carries 15 to 50 amps"","a nucleotide found in muscle cells and important in metabolism; reversibly convertible to ADP and ATP"
amperage,"the strength of an electrical current measured in amperes"
amperages,"the strength of an electrical current measured in amperes"
ampere,"a former unit of electric current (slightly smaller than the SI ampere)","the basic unit of electric current adopted under the Systeme International d'Unites; "a typical household circuit carries 15 to 50 amps""
amperes,"a former unit of electric current (slightly smaller than the SI ampere)","the basic unit of electric current adopted under the Systeme International d'Unites; "a typical household circuit carries 15 to 50 amps""
ampersand,"a punctuation mark (&) used to represent conjunction (and)"
ampersands,"a punctuation mark (&) used to represent conjunction (and)"
amphibia,"the class of vertebrates that live on land but breed in water; frogs; toads; newts; salamanders; caecilians"
amphibian,"a flat-bottomed motor vehicle that can travel on land or water","an airplane designed to take off and land on water","cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae undergo metamorphosis into adult form","relating to or characteristic of animals of the class Amphibia"
amphibians,"a flat-bottomed motor vehicle that can travel on land or water","an airplane designed to take off and land on water","cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae undergo metamorphosis into adult form","relating to or characteristic of animals of the class Amphibia"
amphibious,"relating to or characteristic of animals of the class Amphibia","operating or living on land and in water; "amphibious vehicles"; "amphibious operations"; "amphibious troops"; "frogs are amphibious animals""
amphioxi,"small translucent lancet-shaped burrowing marine animal; primitive forerunner of the vertebrates"
amphipod,"a kind of malacostracan crustacean"
amphipods,"a kind of malacostracan crustacean"
amphitheater,"a sloping gallery with seats for spectators (as in an operating room or theater)","an oval large stadium with tiers of seats; an arena in which contests and spectacles are held"
amphitheaters,"a sloping gallery with seats for spectators (as in an operating room or theater)","an oval large stadium with tiers of seats; an arena in which contests and spectacles are held"
amphora,"an ancient jar with two handles and a narrow neck; used to hold oil or wine"
amphorae,"an ancient jar with two handles and a narrow neck; used to hold oil or wine"
amphoral
amphoras,"an ancient jar with two handles and a narrow neck; used to hold oil or wine"
ample,"more than enough in size or scope or capacity; "had ample food for the party"; "an ample supply"","affording an abundant supply; "had ample food for the party"; "copious provisions"; "food is plentiful"; "a plenteous grape harvest"; "a rich supply"","fairly large; "a sizable fortune"; "an ample waistline"; "of ample proportions""
ampler
amplest
amplification,"addition of extra material or illustration or clarifying detail; "a few remarks added in amplification and defense"; "an elaboration of the sketch followed"","the amount of increase in signal power or voltage or current expressed as the ratio of output to input","(electronics) the act of increasing voltage or power or current"
amplifications,"addition of extra material or illustration or clarifying detail; "a few remarks added in amplification and defense"; "an elaboration of the sketch followed"","the amount of increase in signal power or voltage or current expressed as the ratio of output to input","(electronics) the act of increasing voltage or power or current"
amplified,"increase in size, volume or significance; "Her terror was magnified in her mind"","to enlarge beyond bounds or the truth; "tended to romanticize and exaggerate this `gracious Old South' imagery"","exaggerate or make bigger; "The charges were inflated"","increase the volume of; "amplify sound""
amplifier,"electronic equipment that increases strength of signals passing through it"
amplifiers,"electronic equipment that increases strength of signals passing through it"
amplifies
amplify,"increase in size, volume or significance; "Her terror was magnified in her mind"","to enlarge beyond bounds or the truth; "tended to romanticize and exaggerate this `gracious Old South' imagery"","exaggerate or make bigger; "The charges were inflated"","increase the volume of; "amplify sound""
amplifying
amplitude,"(physics) the maximum displacement of a periodic wave","the property of copious abundance","greatness of magnitude"
amplitudes,"(physics) the maximum displacement of a periodic wave","the property of copious abundance","greatness of magnitude"
amply,"to an ample degree or in an ample manner; "these voices were amply represented"; "we benefited richly"","sufficiently; more than adequately; "the evidence amply (or fully) confirms our suspicions"; "they were fully (or amply) fed""
ampoule,"a small bottle that contains a drug (especially a sealed sterile container for injection by needle)"
ampoules,"a small bottle that contains a drug (especially a sealed sterile container for injection by needle)"
amps,"the basic unit of electric current adopted under the Systeme International d'Unites; "a typical household circuit carries 15 to 50 amps"","a nucleotide found in muscle cells and important in metabolism; reversibly convertible to ADP and ATP"
ampul,"a small bottle that contains a drug (especially a sealed sterile container for injection by needle)"
ampule,"a small bottle that contains a drug (especially a sealed sterile container for injection by needle)"
ampules,"a small bottle that contains a drug (especially a sealed sterile container for injection by needle)"
ampulla,"the dilated portion of a canal or duct especially of the semicircular canals of the ear","a flask that has two handles; used by Romans for wines or oils"
ampullae,"the dilated portion of a canal or duct especially of the semicircular canals of the ear","a flask that has two handles; used by Romans for wines or oils"
ampullar,"of or related to an ampulla"
ampuls,"a small bottle that contains a drug (especially a sealed sterile container for injection by needle)"
amputate,"remove surgically; "amputate limbs""
amputated
amputates,"remove surgically; "amputate limbs""
amputating
amputation,"a condition of disability resulting from the loss of one or more limbs","a surgical removal of all or part of a limb"
amputations,"a condition of disability resulting from the loss of one or more limbs","a surgical removal of all or part of a limb"
amputee,"someone who has had a limb removed by amputation"
amputees,"someone who has had a limb removed by amputation"
amreeta
amreetas
amrita
amritas
amtrac
amtrack
amtracks
amtracs
amu
amuck,"frenzied as if possessed by a demon; "the soldier was completely amuck"; "berserk with grief"; "a berserk worker smashing windows"","wildly; without self-control; "when the restaurant caught fire the patrons ran amuck, blocking the exit"","in a murderous frenzy; "rioters running amuck and throwing sticks and bottles and stones""
amucks,"frenzied as if possessed by a demon; "the soldier was completely amuck"; "berserk with grief"; "a berserk worker smashing windows"","wildly; without self-control; "when the restaurant caught fire the patrons ran amuck, blocking the exit"","in a murderous frenzy; "rioters running amuck and throwing sticks and bottles and stones""
amulet,"a trinket or piece of jewelry usually hung about the neck and thought to be a magical protection against evil or disease"
amulets,"a trinket or piece of jewelry usually hung about the neck and thought to be a magical protection against evil or disease"
amus
amusable
amuse,"occupy in an agreeable, entertaining or pleasant fashion; "The play amused the ladies"","make (somebody) laugh; "The clown amused the children""
amused,"pleasantly occupied; "We are not amused" -Queen Victoria"
amusedly
amusement,"a feeling of delight at being entertained","an activity that is diverting and that holds the attention"
amusements,"a feeling of delight at being entertained","an activity that is diverting and that holds the attention"
amuser
amusers
amuses,"occupy in an agreeable, entertaining or pleasant fashion; "The play amused the ladies"","make (somebody) laugh; "The clown amused the children""
amusing,"providing enjoyment; pleasantly entertaining; "an amusing speaker"; "a diverting story"","arousing or provoking laughter; "an amusing film with a steady stream of pranks and pratfalls"; "an amusing fellow"; "a comic hat"; "a comical look of surprise"; "funny stories that made everybody laugh"; "a very funny writer"; "it would have been laughable if it hadn't hurt so much"; "a mirthful experience"; "risible courtroom antics""
amusive,"providing enjoyment; pleasantly entertaining; "an amusing speaker"; "a diverting story""
amygdala,"an almond-shaped neural structure in the anterior part of the temporal lobe of the cerebrum; intimately connected with the hypothalamus and the hippocampus and the cingulate gyrus; as part of the limbic system it plays an important role in motivation and emotional behavior"
amygdalae,"an almond-shaped neural structure in the anterior part of the temporal lobe of the cerebrum; intimately connected with the hypothalamus and the hippocampus and the cingulate gyrus; as part of the limbic system it plays an important role in motivation and emotional behavior"
amygdale
amygdales
amygdule
amygdules
amyl,"a hydrocarbon radical that occurs in many organic compounds"
