reabsorb,"undergo resorption"
reader,"a person who enjoys reading","someone who contracts to receive and pay for a service or a certain number of issues of a publication","a person who can read; a literate person","someone who reads manuscripts and judges their suitability for publication","someone who reads proof in order to find errors and mark corrections","someone who reads the lessons in a church service; someone ordained in a minor order of the Roman Catholic Church","a public lecturer at certain universities","one of a series of texts for students learning to read"
readers,"a person who enjoys reading","someone who contracts to receive and pay for a service or a certain number of issues of a publication","a person who can read; a literate person","someone who reads manuscripts and judges their suitability for publication","someone who reads proof in order to find errors and mark corrections","someone who reads the lessons in a church service; someone ordained in a minor order of the Roman Catholic Church","a public lecturer at certain universities","one of a series of texts for students learning to read"
readership,"the audience reached by written communications (books or magazines or newspapers etc.)"
readerships,"the audience reached by written communications (books or magazines or newspapers etc.)"
readied
readier,"completely prepared or in condition for immediate action or use or progress; "get ready"; "she is ready to resign"; "the bridge is ready to collapse"; "I am ready to work"; "ready for action"; "ready for use"; "the soup will be ready in a minute"; "ready to learn to read"","(of especially money) immediately available; "he seems to have ample ready money"; "a ready source of cash"","mentally disposed; "he was ready to believe her"","made suitable and available for immediate use; "dinner is ready"","apprehending and responding with speed and sensitivity; "a quick mind"; "a ready wit""
readies
readiest,"completely prepared or in condition for immediate action or use or progress; "get ready"; "she is ready to resign"; "the bridge is ready to collapse"; "I am ready to work"; "ready for action"; "ready for use"; "the soup will be ready in a minute"; "ready to learn to read"","(of especially money) immediately available; "he seems to have ample ready money"; "a ready source of cash"","mentally disposed; "he was ready to believe her"","made suitable and available for immediate use; "dinner is ready"","apprehending and responding with speed and sensitivity; "a quick mind"; "a ready wit""
readily,"without much difficulty; "these snakes can be identified readily"","in a punctual manner; "he did his homework promptly""
readiness,"the state of having been made ready or prepared for use or action (especially military action); "putting them in readiness"; "their preparation was more than adequate"","prompt willingness; "readiness to continue discussions"; "they showed no eagerness to spread the gospel"; "they disliked his zeal in demonstrating his superiority"; "he tried to explain his forwardness in battle"","(psychology) being temporarily ready to respond in a particular way; "the subjects' set led them to solve problems the familiar way and to overlook the simpler solution"; "his instructions deliberately gave them the wrong set"","a natural effortlessness; "they conversed with great facility"; "a happy readiness of conversation"--Jane Austen"
readinesses
reading,"the cognitive process of understanding a written linguistic message; "his main reading was detective stories"; "suggestions for further reading"","a particular interpretation or performance; "on that reading it was an insult"; "he was famous for his reading of Mozart"","a datum about some physical state that is presented to a user by a meter or similar instrument; "he could not believe the meter reading"; "the barometer gave clear indications of an approaching storm"","written material intended to be read; "the teacher assigned new readings"; "he bought some reading material at the airport"","a mental representation of the meaning or significance of something","a city on the River Thames in Berkshire in southern England","a public instance of reciting or repeating (from memory) something prepared in advance; "the program included songs and recitations of well-loved poems"","the act of measuring with meters or similar instruments; "he has a job meter reading for the gas company""
readings,"the cognitive process of understanding a written linguistic message; "his main reading was detective stories"; "suggestions for further reading"","a particular interpretation or performance; "on that reading it was an insult"; "he was famous for his reading of Mozart"","a datum about some physical state that is presented to a user by a meter or similar instrument; "he could not believe the meter reading"; "the barometer gave clear indications of an approaching storm"","written material intended to be read; "the teacher assigned new readings"; "he bought some reading material at the airport"","a mental representation of the meaning or significance of something","a city on the River Thames in Berkshire in southern England","a public instance of reciting or repeating (from memory) something prepared in advance; "the program included songs and recitations of well-loved poems"","the act of measuring with meters or similar instruments; "he has a job meter reading for the gas company""
readjust,"adjust anew; "After moving back to America, he had to readjust"","adjust again after an initial failure"
readjustable
readjusted
readjusting
readjustment,"the act of adjusting again (to changed circumstances)","the act of adjusting something to match a standard"
readjustments,"the act of adjusting again (to changed circumstances)","the act of adjusting something to match a standard"
readjusts,"adjust anew; "After moving back to America, he had to readjust"","adjust again after an initial failure"
readmit,"admit anew; "The refugee was readmitted into his home country"","admit again or anew; "After paying a penalty, the player was readmitted""
readmits,"admit anew; "The refugee was readmitted into his home country"","admit again or anew; "After paying a penalty, the player was readmitted""
readmitted
readmitting
readopt
readopted
readopting
readopts
readorn
readorned
readorning
readorns
readout,"the output of a computer in readable form","the information displayed or recorded on an electronic device","an electronic device the displays information is a visual form"
readouts,"the output of a computer in readable form","the information displayed or recorded on an electronic device","an electronic device the displays information is a visual form"
reads,"something that is read; "the article was a very good read"","interpret something that is written or printed; "read the advertisement"; "Have you read Salman Rushdie?"","have or contain a certain wording or form; "The passage reads as follows"; "What does the law say?"","look at, interpret, and say out loud something that is written or printed; "The King will read the proclamation at noon"","obtain data from magnetic tapes; "This dictionary can be read by the computer"","interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior; "She read the sky and predicted rain"; "I can't read his strange behavior"; "The fortune teller read his fate in the crystal ball"","interpret something in a certain way; convey a particular meaning or impression; "I read this address as a satire"; "How should I take this message?"; "You can't take credit for this!"","be a student of a certain subject; "She is reading for the bar exam"","indicate a certain reading; of gauges and instruments; "The thermometer showed thirteen degrees below zero"; "The gauge read `empty'"","audition for a stage role by reading parts of a role; "He is auditioning for `Julius Caesar' at Stratford this year"","to hear and understand; "I read you loud and clear!"","make sense of a language; "She understands French"; "Can you read Greek?""
ready,"poised for action; "their guns were at the ready"","prepare for eating by applying heat; "Cook me dinner, please"; "can you make me an omelette?"; "fix breakfast for the guests, please"","make ready or suitable or equip in advance for a particular purpose or for some use, event, etc; "Get the children ready for school!"; "prepare for war"; "I was fixing to leave town after I paid the hotel bill"","completely prepared or in condition for immediate action or use or progress; "get ready"; "she is ready to resign"; "the bridge is ready to collapse"; "I am ready to work"; "ready for action"; "ready for use"; "the soup will be ready in a minute"; "ready to learn to read"","(of especially money) immediately available; "he seems to have ample ready money"; "a ready source of cash"","mentally disposed; "he was ready to believe her"","made suitable and available for immediate use; "dinner is ready"","apprehending and responding with speed and sensitivity; "a quick mind"; "a ready wit""
readying,"the activity of putting or setting in order in advance of some act or purpose; "preparations for the ceremony had begun""
reaffirm,"affirm once again; "He reaffirmed his faith in the church""
reaffirmed
reaffirming
reaffirms,"affirm once again; "He reaffirmed his faith in the church""
reaffix
reaffixed
reaffixes
reaffixing
reagent,"a chemical agent for use in chemical reactions"
reagents,"a chemical agent for use in chemical reactions"
reagin,"an immunoglobulin E that is formed as an antibody against allergens (such as pollen); attaches to cell membranes causing the release of histamine and other substances responsible for the local inflammation characteristic of an allergy"
reaginic
reagins,"an immunoglobulin E that is formed as an antibody against allergens (such as pollen); attaches to cell membranes causing the release of histamine and other substances responsible for the local inflammation characteristic of an allergy"
real,"any rational or irrational number","the basic unit of money in Brazil; equal to 100 centavos","an old small silver Spanish coin","being or occurring in fact or actuality; having verified existence; not illusory; "real objects"; "real people; not ghosts"; "a film based on real life"; "a real illness"; "real humility"; "Life is real! Life is earnest!"- Longfellow","no less than what is stated; worthy of the name; "the real reason"; "real war"; "a real friend"; "a real woman"; "meat and potatoes--I call that a real meal"; "it's time he had a real job"; "it's no penny-ante job--he's making real money"","not to be taken lightly; "statistics demonstrate that poverty and unemployment are very real problems"; "to the man sleeping regularly in doorways homelessness is real"","capable of being treated as fact; "tangible evidence"; "his brief time as Prime Minister brought few real benefits to the poor"","being or reflecting the essential or genuine character of something; "her actual motive"; "a literal solitude like a desert"- G.K.Chesterton; "a genuine dilemma"","of, relating to, or representing an amount that is corrected for inflation; "real prices"; "real income"; "real wages"","having substance or capable of being treated as fact; not imaginary; "the substantial world"; "a mere dream, neither substantial nor practical"; "most ponderous and substantial things"- Shakespeare","(of property) fixed or immovable; "real property consists of land and buildings"","coinciding with reality; "perceptual error...has a surprising resemblance to veridical perception"- F.A.Olafson","used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal; "she was very gifted"; "he played very well"; "a really enjoyable evening"; "I'm real sorry about it"; "a rattling good yarn""
realer
reales,"any rational or irrational number","the basic unit of money in Brazil; equal to 100 centavos","an old small silver Spanish coin"
realest
realgar,"a rare soft orange mineral consisting of arsenic sulphide; an important ore of arsenic"
realgars,"a rare soft orange mineral consisting of arsenic sulphide; an important ore of arsenic"
realia
realign,"align anew or better; "The surgeon realigned my jaw after the accident""
realigned
realigning
realignment
realignments
realigns,"align anew or better; "The surgeon realigned my jaw after the accident""
realise,"earn on some commercial or business transaction; earn as salary or wages; "How much do you make a month in your new job?"; "She earns a lot in her new job"; "this merger brought in lots of money"; "He clears $5,000 each month"","convert into cash; of goods and property","expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass","make real or concrete; give reality or substance to; "our ideas must be substantiated into actions"","be fully aware or cognizant of","perceive (an idea or situation) mentally; "Now I see!"; "I just can't see your point"; "Does she realize how important this decision is?"; "I don't understand the idea""
realised,"successfully completed or brought to an end; "his mission accomplished he took a vacation"; "the completed project"; "the joy of a realized ambition overcame him""
realiser
realisers
realises,"earn on some commercial or business transaction; earn as salary or wages; "How much do you make a month in your new job?"; "She earns a lot in her new job"; "this merger brought in lots of money"; "He clears $5,000 each month"","convert into cash; of goods and property","expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass","make real or concrete; give reality or substance to; "our ideas must be substantiated into actions"","be fully aware or cognizant of","perceive (an idea or situation) mentally; "Now I see!"; "I just can't see your point"; "Does she realize how important this decision is?"; "I don't understand the idea""
realising
realism,"the attribute of accepting the facts of life and favoring practicality and literal truth","the state of being actual or real; "the reality of his situation slowly dawned on him"","(philosophy) the philosophical doctrine that physical objects continue to exist when not perceived","an artistic movement in 19th century France; artists and writers strove for detailed realistic and factual description","(philosophy) the philosophical doctrine that abstract concepts exist independent of their names"
realisms,"the attribute of accepting the facts of life and favoring practicality and literal truth","the state of being actual or real; "the reality of his situation slowly dawned on him"","(philosophy) the philosophical doctrine that physical objects continue to exist when not perceived","an artistic movement in 19th century France; artists and writers strove for detailed realistic and factual description","(philosophy) the philosophical doctrine that abstract concepts exist independent of their names"
realist,"a philosopher who believes that universals are real and exist independently of anyone thinking of them","a person who accepts the world as it literally is and deals with it accordingly","a painter who represents the world realistically and not in an idealized or romantic style"
realistic,"aware or expressing awareness of things as they really are; "a realistic description"; "a realistic view of the possibilities"; "a realistic appraisal of our chances"; "the actors tried to create a realistic portrayal of the Africans"","representing what is real; not abstract or ideal; "realistic portraiture"; "a realistic novel"; "in naturalistic colors"; "the school of naturalistic writers"","of or relating to the philosophical doctrine of realism; "a realistic system of thought""
realistically,"in a realistic manner; "let's look at the situation realistically"","in a realistic manner; "the figure was realistically painted""
realists,"a philosopher who believes that universals are real and exist independently of anyone thinking of them","a person who accepts the world as it literally is and deals with it accordingly","a painter who represents the world realistically and not in an idealized or romantic style"
realities
reality,"all of your experiences that determine how things appear to you; "his world was shattered"; "we live in different worlds"; "for them demons were as much a part of reality as trees were"","the state of being actual or real; "the reality of his situation slowly dawned on him"","the state of the world as it really is rather than as you might want it to be; "businessmen have to face harsh realities"","the quality possessed by something that is real"
realizable,"capable of being realized; "realizable benefits of the plan"","capable of existing or taking place or proving true; possible to do"
realization,"coming to understand something clearly and distinctly; "a growing realization of the risk involved"; "a sudden recognition of the problem he faced"; "increasing recognition that diabetes frequently coexists with other chronic diseases"","making real or giving the appearance of reality","a musical composition that has been completed or enriched by someone other than the composer","a sale in order to obtain money (as a sale of stock or a sale of the estate of a bankrupt person) or the money so obtained","the completion or enrichment of a piece of music left sparsely notated by a composer","something that is made real or concrete; "the victory was the realization of a whole year's work""
realizations,"coming to understand something clearly and distinctly; "a growing realization of the risk involved"; "a sudden recognition of the problem he faced"; "increasing recognition that diabetes frequently coexists with other chronic diseases"","making real or giving the appearance of reality","a musical composition that has been completed or enriched by someone other than the composer","a sale in order to obtain money (as a sale of stock or a sale of the estate of a bankrupt person) or the money so obtained","the completion or enrichment of a piece of music left sparsely notated by a composer","something that is made real or concrete; "the victory was the realization of a whole year's work""
realize,"be fully aware or cognizant of","perceive (an idea or situation) mentally; "Now I see!"; "I just can't see your point"; "Does she realize how important this decision is?"; "I don't understand the idea"","make real or concrete; give reality or substance to; "our ideas must be substantiated into actions"","earn on some commercial or business transaction; earn as salary or wages; "How much do you make a month in your new job?"; "She earns a lot in her new job"; "this merger brought in lots of money"; "He clears $5,000 each month"","convert into cash; of goods and property","expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass"
realized,"successfully completed or brought to an end; "his mission accomplished he took a vacation"; "the completed project"; "the joy of a realized ambition overcame him""
realizer
realizers
realizes,"be fully aware or cognizant of","perceive (an idea or situation) mentally; "Now I see!"; "I just can't see your point"; "Does she realize how important this decision is?"; "I don't understand the idea"","make real or concrete; give reality or substance to; "our ideas must be substantiated into actions"","earn on some commercial or business transaction; earn as salary or wages; "How much do you make a month in your new job?"; "She earns a lot in her new job"; "this merger brought in lots of money"; "He clears $5,000 each month"","convert into cash; of goods and property","expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass"
realizing
reallocate,"allocate, distribute, or apportion anew; "Congressional seats are reapportioned on the basis of census data""
reallocated
reallocates,"allocate, distribute, or apportion anew; "Congressional seats are reapportioned on the basis of census data""
reallocating
reallot,"allot again; "They were realloted additional farm land""
reallots,"allot again; "They were realloted additional farm land""
reallotted
reallotting
really,"in accordance with truth or fact or reality; "she was now truly American"; "a genuinely open society"; "they don't really listen to us"","in actual fact; "to be nominally but not actually independent"; "no one actually saw the shark"; "large meteorites actually come from the asteroid belt"","in fact (used as intensifiers or sentence modifiers); "in truth, moral decay hastened the decline of the Roman Empire"; "really, you shouldn't have done it"; "a truly awful book"","used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal; "she was very gifted"; "he played very well"; "a really enjoyable evening"; "I'm real sorry about it"; "a rattling good yarn""
realm,"a domain in which something is dominant; "the untroubled kingdom of reason"; "a land of make-believe"; "the rise of the realm of cotton in the south"","the domain ruled by a king or queen","a knowledge domain that you are interested in or are communicating about; "it was a limited realm of discourse"; "here we enter the region of opinion"; "the realm of the occult""
realms,"a domain in which something is dominant; "the untroubled kingdom of reason"; "a land of make-believe"; "the rise of the realm of cotton in the south"","the domain ruled by a king or queen","a knowledge domain that you are interested in or are communicating about; "it was a limited realm of discourse"; "here we enter the region of opinion"; "the realm of the occult""
realness,"the state of being actual or real; "the reality of his situation slowly dawned on him""
realnesses
reals,"any rational or irrational number","the basic unit of money in Brazil; equal to 100 centavos","an old small silver Spanish coin","being or occurring in fact or actuality; having verified existence; not illusory; "real objects"; "real people; not ghosts"; "a film based on real life"; "a real illness"; "real humility"; "Life is real! Life is earnest!"- Longfellow","no less than what is stated; worthy of the name; "the real reason"; "real war"; "a real friend"; "a real woman"; "meat and potatoes--I call that a real meal"; "it's time he had a real job"; "it's no penny-ante job--he's making real money"","not to be taken lightly; "statistics demonstrate that poverty and unemployment are very real problems"; "to the man sleeping regularly in doorways homelessness is real"","capable of being treated as fact; "tangible evidence"; "his brief time as Prime Minister brought few real benefits to the poor"","being or reflecting the essential or genuine character of something; "her actual motive"; "a literal solitude like a desert"- G.K.Chesterton; "a genuine dilemma"","of, relating to, or representing an amount that is corrected for inflation; "real prices"; "real income"; "real wages"","having substance or capable of being treated as fact; not imaginary; "the substantial world"; "a mere dream, neither substantial nor practical"; "most ponderous and substantial things"- Shakespeare","(of property) fixed or immovable; "real property consists of land and buildings"","coinciding with reality; "perceptual error...has a surprising resemblance to veridical perception"- F.A.Olafson","used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal; "she was very gifted"; "he played very well"; "a really enjoyable evening"; "I'm real sorry about it"; "a rattling good yarn""
realter
realtered
realtering
realters
realties
realty,"property consisting of houses and land"
ream,"a large quantity of written matter; "he wrote reams and reams"","a quantity of paper; 480 or 500 sheets; one ream equals 20 quires","squeeze the juice out (of a fruit) with a reamer; "ream oranges"","remove by making a hole or by boring; "the dentist reamed out the debris in the course of the root canal treatment"","enlarge with a reamer; "ream a hole""
reamed
reamer,"a squeezer with a conical ridged center that is used for squeezing juice from citrus fruit","a drill that is used to shape or enlarge holes"
reamers,"a squeezer with a conical ridged center that is used for squeezing juice from citrus fruit","a drill that is used to shape or enlarge holes"
reaming
reams,"a large quantity of written matter; "he wrote reams and reams"","a quantity of paper; 480 or 500 sheets; one ream equals 20 quires","squeeze the juice out (of a fruit) with a reamer; "ream oranges"","remove by making a hole or by boring; "the dentist reamed out the debris in the course of the root canal treatment"","enlarge with a reamer; "ream a hole""
reanalyses
reanalysis
reanalyze
reanalyzed
reanalyzes
reanalyzing
reanesthetize
reanesthetized
reanesthetizes
reanesthetizing
reannex
reannexed
reannexes
reannexing
reanoint
reanointed
reanointing
reanoints
reap,"gather, as of natural products; "harvest the grapes"","get or derive; "He drew great benefits from his membership in the association""
reapable
reaped
reaper,"someone who helps to gather the harvest","Death personified as an old man or a skeleton with a scythe","farm machine that gathers a food crop from the fields"
reapers,"someone who helps to gather the harvest","Death personified as an old man or a skeleton with a scythe","farm machine that gathers a food crop from the fields"
reaphook
reaphooks
reaping
reappear,"appear again; "The sores reappeared on her body"; "Her husband reappeared after having left her years ago""
reappearance,"the event of something appearing again; "the reappearance of Halley's comet"","the act of someone appearing again; "his reappearance as Hamlet has been long awaited""
reappearances,"the event of something appearing again; "the reappearance of Halley's comet"","the act of someone appearing again; "his reappearance as Hamlet has been long awaited""
reappeared
reappearing
reappears,"appear again; "The sores reappeared on her body"; "Her husband reappeared after having left her years ago""
reapplied
reapplies
reapply
reapplying
reappoint
reappointed
reappointing
reappoints
reapportion,"allocate, distribute, or apportion anew; "Congressional seats are reapportioned on the basis of census data""
reapportioned
reapportioning
reapportions,"allocate, distribute, or apportion anew; "Congressional seats are reapportioned on the basis of census data""
reappraisal,"a new appraisal or evaluation"
reappraisals,"a new appraisal or evaluation"
reappraise,"appraise anew; "Homes in our town are reappraised every five years and taxes are increased accordingly""
reappraised
reappraises,"appraise anew; "Homes in our town are reappraised every five years and taxes are increased accordingly""
reappraising
reapprove
reapproved
reapproves
reapproving
reaps,"gather, as of natural products; "harvest the grapes"","get or derive; "He drew great benefits from his membership in the association""
rear,"the back of a military formation or procession; "infantrymen were in the rear"","the side of an object that is opposite its front; "his room was toward the rear of the hotel"","the part of something that is furthest from the normal viewer; "he stood at the back of the stage"; "it was hidden in the rear of the store"","the fleshy part of the human body that you sit on; "he deserves a good kick in the butt"; "are you going to sit on your fanny and do nothing?"","the side that goes last or is not normally seen; "he wrote the date on the back of the photograph"","stand up on the hind legs, of quadrupeds; "The horse reared in terror"","bring up; "raise a family"; "bring up children"","rise up; "The building rose before them"","cause to rise up","construct, build, or erect; "Raise a barn"","located in or toward the back or rear; "the chair's rear legs"; "the rear door of the plane"; "on the rearward side""
reared
rearer
rearers
reargue
reargued
reargues
rearguing
rearing,"the properties acquired as a consequence of the way you were treated as a child","helping someone grow up to be an accepted member of the community; "they debated whether nature or nurture was more important"","rearing on left hind leg with forelegs elevated and head usually in profile; "a lion rampant""
rearm,"arm again; "After the war, the defeated country was not rearmed by the victors"","arm anew; "After the war, the defeated country was not allowed to rearm""
rearmed
rearmice
rearming
rearmost,"located farthest to the rear"
rearms,"arm again; "After the war, the defeated country was not rearmed by the victors"","arm anew; "After the war, the defeated country was not allowed to rearm""
rearouse
rearoused
rearouses
rearousing
rearrange,"put into a new order or arrangement; "Please rearrange these files"; "rearrange the furniture in my room""
rearranged
rearranges,"put into a new order or arrangement; "Please rearrange these files"; "rearrange the furniture in my room""
rearranging
rearrest
rearrested
rearresting
rearrests
rears,"the back of a military formation or procession; "infantrymen were in the rear"","the side of an object that is opposite its front; "his room was toward the rear of the hotel"","the part of something that is furthest from the normal viewer; "he stood at the back of the stage"; "it was hidden in the rear of the store"","the fleshy part of the human body that you sit on; "he deserves a good kick in the butt"; "are you going to sit on your fanny and do nothing?"","the side that goes last or is not normally seen; "he wrote the date on the back of the photograph"","stand up on the hind legs, of quadrupeds; "The horse reared in terror"","bring up; "raise a family"; "bring up children"","rise up; "The building rose before them"","cause to rise up","construct, build, or erect; "Raise a barn"","located in or toward the back or rear; "the chair's rear legs"; "the rear door of the plane"; "on the rearward side""
rearward,"direction toward the rear; "his outfit marched to the rearward of the tank divisions"","located in or toward the back or rear; "the chair's rear legs"; "the rear door of the plane"; "on the rearward side"","directed or moving toward the rear; "a rearward glance"; "a rearward movement"","at or to or toward the back or rear; "he moved back"; "tripped when he stepped backward"; "she looked rearward out the window of the car""
rearwards,"direction toward the rear; "his outfit marched to the rearward of the tank divisions"","located in or toward the back or rear; "the chair's rear legs"; "the rear door of the plane"; "on the rearward side"","directed or moving toward the rear; "a rearward glance"; "a rearward movement"","at or to or toward the back or rear; "he moved back"; "tripped when he stepped backward"; "she looked rearward out the window of the car""
reascend
reascended
reascending
reascends
reascent
reascents
reason,"a rational motive for a belief or action; "the reason that war was declared"; "the grounds for their declaration"","an explanation of the cause of some phenomenon; "the reason a steady state was never reached was that the back pressure built up too slowly"","the capacity for rational thought or inference or discrimination; "we are told that man is endowed with reason and capable of distinguishing good from evil"","the state of having good sense and sound judgment; "his rationality may have been impaired"; "he had to rely less on reason than on rousing their emotions"","a justification for something existing or happening; "he had no cause to complain"; "they had good reason to rejoice"","a fact that logically justifies some premise or conclusion; "there is reason to believe he is lying"","decide by reasoning; draw or come to a conclusion; "We reasoned that it was cheaper to rent than to buy a house"","present reasons and arguments","think logically; "The children must learn to reason""
reasonable,"showing reason or sound judgment; "a sensible choice"; "a sensible person"","not excessive or extreme; "a fairish income"; "reasonable prices"","marked by sound judgment; "sane nuclear policy""
reasonableness,"the state of having good sense and sound judgment; "his rationality may have been impaired"; "he had to rely less on reason than on rousing their emotions"","goodness of reason and judgment; "the judiciary is built on the reasonableness of judges"","the property of being moderate in price or expenditures; "the store is famous for the reasonableness of its prices"; "the modestness of the living standards here becomes obvious immediately"","moderation in expectations; "without greater reasonableness by both parties we will never settle this matter!"","the quality of being plausible or acceptable to a reasonable person; "he questioned the tenability of my claims""
reasonablenesses
reasonably,"to a moderately sufficient extent or degree; "pretty big"; "pretty bad"; "jolly decent of him"; "the shoes are priced reasonably"; "he is fairly clever with computers"","with good sense or in a reasonable or intelligent manner; "he acted sensibly in the crisis"; "speak more sanely about these affairs"; "acted quite reasonably""
reasoned,"logically valid; "a sound argument""
reasoner,"someone who reasons logically"
reasoners,"someone who reasons logically"
reasoning,"thinking that is coherent and logical","endowed with the capacity to reason"
reasonings,"thinking that is coherent and logical","endowed with the capacity to reason"
